,ENB,KMI,TRP,WMB,OKE,LNG,TRGP,AM,ET,ETRN,EPD,PBA,PAGP,MMP,MPLX,ENLC,AROC,PAA,WES,DCP,PSXP,CQP,SHLX,HEP,ENBL,CASH,ENB.TO,TRP.TO,PPL.TO,Cash,n/a,SUM
07/30/2021,9.03,8.73,8.86,7.95,6.83,6.58,4.93,4.48,4.35,4.53,4.46,4.61,4.08,4.09,3.36,3.14,2.66,1.81,1.6,0.95,0.84,0.64,0.63,0.36,0.28,0.22,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,9.05,8.54,8.8,7.89,6.73,6.66,4.95,4.45,4.38,4.5,4.25,4.66,3.99,4.04,3.42,3.09,2.72,1.77,1.63,0.95,0.83,0.64,0.64,0.36,0.28,0.77,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,9.05,8.54,8.8,7.89,6.73,6.66,4.95,4.45,4.38,4.5,4.25,4.66,3.99,4.04,3.42,3.09,2.72,1.77,1.63,0.95,0.83,0.64,0.64,0.36,0.28,0.77,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,9.12,8.55,8.83,7.88,6.71,6.61,4.93,4.42,4.4,4.52,4.26,4.7,4.03,4.01,3.42,3.01,2.71,1.79,1.61,0.93,0.81,0.66,0.65,0.36,0.28,0.8,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,9.16,8.62,8.85,7.94,6.71,6.68,4.92,4.36,4.38,4.44,4.27,4.66,3.99,4.09,3.42,2.97,2.65,1.76,1.57,0.93,0.81,0.66,0.64,0.35,0.28,0.88,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,9.16,8.61,8.85,7.91,6.65,6.71,4.94,4.36,4.34,4.55,4.25,4.68,4.03,4.14,3.43,2.93,2.68,1.76,1.55,0.93,0.8,0.64,0.62,0.33,0.28,0.87,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,9.4,8.6,9.07,8.1,6.93,6.86,5.1,4.39,4.18,4.72,4.28,4.76,4.01,4.06,3.41,2.94,2.6,1.77,1.55,0.94,0.8,0.64,0.6,0.32,0.27,0.0,0.0,0.0,0.0,0.0,-0.28,100.02
08/10/2021,9.4,8.6,9.07,8.1,6.93,6.86,5.1,4.39,4.18,4.72,4.28,4.76,4.01,4.06,3.41,2.94,2.6,1.77,1.55,0.94,0.8,0.64,0.6,0.32,0.27,0.0,0.0,0.0,0.0,0.0,-0.28,100.02
08/11/2021,9.39,8.63,8.92,7.96,6.97,6.64,5.08,4.42,4.24,4.77,4.36,4.65,4.05,4.06,3.43,2.92,2.63,1.77,1.53,0.93,0.81,0.62,0.61,0.31,0.28,0.0,0.0,0.0,0.0,0.0,0.02,100.0
08/13/2021,9.35,8.57,8.76,7.85,6.92,6.81,5.21,4.41,4.25,4.74,4.38,4.62,4.03,4.13,3.47,2.99,2.57,1.77,1.56,0.93,0.83,0.64,0.6,0.31,0.27,0.0,0.0,0.0,0.0,0.0,0.02,99.98999999999998
08/16/2021,9.12,8.54,8.62,7.78,6.94,6.78,5.15,4.4,4.35,4.8,4.34,4.6,4.08,4.21,3.51,3.03,2.56,1.81,1.61,0.94,0.84,0.65,0.6,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.0
08/17/2021,0.0,8.51,0.0,7.75,6.91,6.75,5.13,4.38,4.34,4.78,4.32,0.0,4.06,4.19,3.5,3.02,2.55,1.8,1.61,0.94,0.84,0.65,0.6,0.32,0.27,0.0,9.09,8.6,4.59,0.0,0.48,99.98
08/18/2021,9.21,8.58,8.69,7.8,6.88,6.76,5.15,4.36,4.3,4.79,4.33,4.64,4.09,4.25,3.48,2.95,2.54,1.81,1.61,0.94,0.85,0.65,0.61,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.02
08/19/2021,9.32,8.57,8.8,7.82,6.87,6.67,5.1,4.35,4.35,4.71,4.36,4.65,4.02,4.32,3.51,2.91,2.51,1.78,1.61,0.94,0.85,0.66,0.6,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.14,100.01
08/20/2021,9.25,8.5,8.77,7.82,6.85,6.8,5.16,4.4,4.29,4.74,4.35,4.62,4.04,4.32,3.51,2.9,2.49,1.79,1.61,0.94,0.84,0.68,0.6,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.14,100.0
08/23/2021,9.3,8.4,8.77,7.96,6.86,6.84,5.11,4.39,4.29,4.85,4.34,4.57,3.95,4.35,3.57,2.83,2.44,1.75,1.59,0.94,0.85,0.72,0.6,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.02
08/24/2021,9.3,8.4,8.77,7.96,6.86,6.84,5.11,4.39,4.29,4.85,4.34,4.57,3.95,4.35,3.57,2.83,2.44,1.75,1.59,0.94,0.85,0.72,0.6,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.02
08/25/2021,9.34,8.34,8.7,7.93,6.95,6.81,5.15,4.44,4.28,4.81,4.36,4.52,3.93,4.36,3.59,2.89,2.45,1.75,1.61,0.94,0.84,0.68,0.59,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.14,99.99
08/26/2021,9.35,8.34,8.68,7.9,7.01,6.84,5.18,4.42,4.28,4.84,4.33,4.53,3.94,4.26,3.54,2.95,2.48,1.75,1.58,0.97,0.84,0.65,0.58,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.16,99.99
08/27/2021,9.31,8.35,8.62,7.86,7.06,6.86,5.23,4.39,4.29,4.91,4.31,4.53,3.94,4.26,3.49,3.0,2.49,1.75,1.58,0.95,0.84,0.65,0.58,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.16,100.0
08/30/2021,9.36,8.24,8.64,7.77,7.06,6.99,5.23,4.49,4.26,4.99,4.32,4.47,3.87,4.31,3.49,2.97,2.5,1.71,1.58,0.94,0.83,0.65,0.59,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.0
08/31/2021,9.36,8.24,8.64,7.77,7.06,6.99,5.23,4.49,4.26,4.99,4.32,4.47,3.87,4.31,3.49,2.97,2.5,1.71,1.58,0.94,0.83,0.65,0.59,0.32,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.0
09/01/2021,9.24,8.25,8.55,7.71,7.05,6.94,5.28,4.61,4.28,5.05,4.3,4.45,3.86,4.31,3.49,3.04,2.52,1.72,1.62,0.94,0.82,0.64,0.6,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.02
09/02/2021,9.35,8.2,8.66,7.77,7.01,6.95,5.21,4.58,4.24,5.08,4.31,4.48,3.78,4.35,3.51,2.96,2.49,1.69,1.63,0.93,0.82,0.64,0.61,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,100.0
09/03/2021,9.1,8.7,8.92,8.02,7.13,6.57,4.54,4.72,4.46,4.68,4.48,4.3,3.87,4.37,3.48,3.0,2.5,1.71,1.66,0.94,0.83,0.66,0.6,0.33,0.26,0.0,0.0,0.0,0.0,0.0,0.15,99.98
09/06/2021,8.97,8.55,8.81,7.95,7.04,6.56,4.54,4.8,4.52,4.87,4.47,4.29,3.94,4.32,3.52,3.15,2.46,1.73,1.68,0.98,0.82,0.67,0.59,0.34,0.27,0.0,0.0,0.0,0.0,0.0,0.15,99.99
09/08/2021,9.02,8.51,8.85,7.91,7.03,6.58,4.54,4.84,4.51,4.87,4.47,4.29,3.94,4.32,3.54,3.14,2.45,1.72,1.67,0.98,0.82,0.66,0.58,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,99.99
09/09/2021,9.02,8.51,8.85,7.91,7.03,6.58,4.54,4.84,4.51,4.87,4.47,4.29,3.94,4.32,3.54,3.14,2.45,1.72,1.67,0.98,0.82,0.66,0.58,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.15,99.99
09/10/2021,9.08,8.48,8.91,7.86,7.0,6.63,4.52,4.88,4.48,4.87,4.47,4.28,3.95,4.28,3.53,3.15,2.44,1.73,1.65,0.99,0.82,0.67,0.58,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.14,99.99
09/13/2021,9.19,8.46,8.97,7.77,7.05,6.51,4.51,4.87,4.43,4.84,4.43,4.31,3.96,4.24,3.5,3.23,2.35,1.75,1.68,1.0,0.83,0.69,0.57,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.27,100.01
09/14/2021,9.19,8.46,8.97,7.77,7.05,6.51,4.51,4.87,4.43,4.84,4.43,4.31,3.96,4.24,3.5,3.23,2.35,1.75,1.68,1.0,0.83,0.69,0.57,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.27,100.01
09/15/2021,9.14,8.47,8.98,7.96,7.07,6.56,4.47,4.9,4.43,4.81,4.41,4.3,3.96,4.19,3.46,3.34,2.38,1.76,1.66,0.98,0.81,0.66,0.56,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.14,100.0
09/16/2021,9.02,8.38,9.07,7.97,7.05,6.63,4.5,4.9,4.36,4.92,4.36,4.29,3.98,4.12,3.44,3.47,2.43,1.77,1.63,0.98,0.81,0.66,0.56,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.01
09/17/2021,9.03,8.39,9.03,8.02,7.06,6.52,4.49,4.87,4.38,4.89,4.39,4.32,4.04,4.15,3.41,3.47,2.42,1.78,1.63,0.96,0.8,0.65,0.55,0.31,0.27,0.0,0.0,0.0,0.0,0.0,0.13,99.96
09/20/2021,8.93,8.32,8.91,8.09,7.27,6.56,4.61,4.93,4.23,5.02,4.3,4.33,4.01,4.04,3.38,3.59,2.42,1.73,1.67,0.97,0.79,0.64,0.56,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.01
09/21/2021,8.93,8.32,8.91,8.09,7.27,6.56,4.61,4.93,4.23,5.02,4.3,4.33,4.01,4.04,3.38,3.59,2.42,1.73,1.67,0.97,0.79,0.64,0.56,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.01
09/22/2021,8.95,8.32,9.01,8.15,7.3,6.37,4.54,4.85,4.26,5.02,4.32,4.33,3.93,4.12,3.46,3.64,2.51,1.7,1.64,0.96,0.79,0.62,0.55,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.04
09/23/2021,9.01,8.4,9.01,8.27,7.21,6.42,4.57,4.9,4.2,4.96,4.32,4.36,3.9,4.09,3.45,3.52,2.48,1.7,1.62,0.94,0.79,0.62,0.56,0.32,0.25,0.0,0.0,0.0,0.0,0.0,0.12,99.99
09/24/2021,9.05,8.41,9.02,8.15,7.22,6.57,4.62,4.82,4.24,4.89,4.32,4.38,3.88,4.1,3.45,3.54,2.47,1.69,1.61,0.93,0.79,0.62,0.55,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.12,100.0
09/27/2021,8.85,8.41,8.82,8.03,7.44,6.72,4.68,4.81,4.35,4.99,4.21,4.24,4.0,3.97,3.4,3.57,2.48,1.76,1.63,0.96,0.79,0.62,0.56,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.0
09/28/2021,8.85,8.41,8.82,8.03,7.44,6.72,4.68,4.81,4.35,4.99,4.21,4.24,4.0,3.97,3.4,3.57,2.48,1.76,1.63,0.96,0.79,0.62,0.56,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.0
09/29/2021,8.84,8.43,8.91,8.01,7.45,6.79,4.68,4.8,4.25,5.12,4.12,4.24,4.03,3.92,3.4,3.58,2.43,1.76,1.63,0.93,0.79,0.63,0.56,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.01
09/30/2021,8.69,8.44,8.81,8.0,7.44,6.7,4.76,4.84,4.3,5.15,4.08,4.2,4.08,3.93,3.36,3.68,2.49,1.77,1.67,0.95,0.78,0.62,0.56,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.13,100.0
10/01/2021,8.65,8.48,8.53,8.1,7.43,6.84,4.79,4.85,4.29,5.13,4.12,4.2,4.02,3.93,3.36,3.66,2.51,1.75,1.65,0.95,0.77,0.63,0.55,0.3,0.26,0.0,0.0,0.0,0.0,0.0,0.23,99.98000000000002
10/04/2021,8.69,8.44,8.53,8.09,7.43,6.92,4.81,4.84,4.34,5.13,4.11,4.23,4.03,3.82,3.33,3.58,2.53,1.76,1.66,0.96,0.78,0.62,0.54,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.23,99.97
10/05/2021,8.69,8.44,8.53,8.09,7.43,6.92,4.81,4.84,4.34,5.13,4.11,4.23,4.03,3.82,3.33,3.58,2.53,1.76,1.66,0.96,0.78,0.62,0.54,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.23,99.97
10/06/2021,8.61,8.4,8.5,8.11,7.5,6.9,4.88,4.89,4.35,5.16,4.08,4.21,4.0,3.78,3.33,3.61,2.57,1.74,1.67,0.98,0.79,0.62,0.53,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.22,100.0
10/07/2021,8.54,8.26,8.43,8.25,7.44,7.01,4.92,4.87,4.42,5.18,4.16,4.17,3.94,3.75,3.33,3.65,2.55,1.71,1.71,1.0,0.8,0.61,0.52,0.31,0.27,0.0,0.0,0.0,0.0,0.0,0.22,100.02
10/08/2021,8.5,8.27,8.38,8.25,7.48,6.9,4.94,4.92,4.33,5.21,4.25,4.13,3.95,3.75,3.31,3.7,2.58,1.71,1.7,1.02,0.81,0.61,0.51,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.21,99.99
10/11/2021,8.61,8.26,8.43,8.34,7.52,6.86,4.94,4.89,4.22,5.24,4.25,4.15,3.94,3.75,3.32,3.67,2.5,1.71,1.64,1.04,0.81,0.61,0.52,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.21,100.01
10/12/2021,8.61,8.26,8.43,8.34,7.52,6.86,4.94,4.89,4.22,5.24,4.25,4.15,3.94,3.75,3.32,3.67,2.5,1.71,1.64,1.04,0.81,0.61,0.52,0.32,0.26,0.0,0.0,0.0,0.0,0.0,0.21,100.01
10/13/2021,8.59,8.38,8.4,8.4,7.51,6.72,4.9,4.84,4.28,5.2,4.25,4.17,3.95,3.77,3.3,3.74,2.51,1.72,1.64,1.02,0.8,0.6,0.5,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.21,99.97
10/14/2021,8.53,8.45,8.36,8.44,7.49,6.8,4.89,4.81,4.25,5.16,4.22,4.16,3.97,3.78,3.35,3.81,2.5,1.72,1.66,0.99,0.79,0.61,0.5,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.2,100.01
10/15/2021,8.54,8.46,8.5,8.44,7.54,6.79,4.91,4.77,4.19,5.15,4.26,4.13,3.94,3.72,3.29,3.8,2.48,1.71,1.7,1.0,0.79,0.6,0.5,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.2,99.98000000000002
10/18/2021,8.49,8.48,8.52,8.38,7.56,6.87,4.93,4.7,4.12,5.19,4.19,4.18,3.96,3.67,3.31,3.92,2.45,1.73,1.69,1.02,0.79,0.61,0.5,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.19,100.01
10/19/2021,8.49,8.48,8.52,8.38,7.56,6.87,4.93,4.7,4.12,5.19,4.19,4.18,3.96,3.67,3.31,3.92,2.45,1.73,1.69,1.02,0.79,0.61,0.5,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.19,100.01
10/20/2021,0.0,8.49,0.0,8.39,7.58,6.88,4.94,4.7,4.12,5.2,4.19,0.0,3.97,3.68,3.31,3.93,2.45,1.73,1.69,1.02,0.79,0.61,0.51,0.31,0.25,0.0,8.51,8.54,4.19,0.0,0.02,100.0
10/21/2021,8.41,8.41,8.6,8.25,7.54,7.14,4.97,4.76,4.11,5.17,4.22,4.1,4.0,3.78,3.26,3.92,2.36,1.74,1.66,1.0,0.78,0.6,0.49,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.18,100.0
10/22/2021,8.46,8.4,8.72,8.17,7.54,6.93,4.96,4.77,4.12,5.17,4.2,4.09,4.01,3.81,3.27,3.96,2.37,1.75,1.66,1.02,0.79,0.61,0.51,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.18,100.02
10/25/2021,8.48,8.08,8.84,8.13,7.53,6.86,4.97,4.82,4.09,5.09,4.24,4.1,4.02,3.93,3.3,3.98,2.44,1.74,1.66,1.03,0.79,0.62,0.52,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.2,100.01
10/26/2021,8.48,8.08,8.84,8.13,7.53,6.86,4.97,4.82,4.09,5.09,4.24,4.1,4.02,3.93,3.3,3.98,2.44,1.74,1.66,1.03,0.79,0.62,0.52,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.2,100.01
10/27/2021,8.51,8.12,8.88,8.14,7.56,6.79,5.0,4.84,4.08,5.09,4.23,4.09,4.01,3.93,3.27,4.01,2.41,1.73,1.64,1.02,0.79,0.61,0.52,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.2,100.02
10/28/2021,8.43,8.14,8.79,8.13,7.63,6.92,5.02,4.81,4.09,5.16,4.22,4.08,3.98,3.83,3.28,4.01,2.4,1.7,1.62,1.02,0.78,0.62,0.53,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.29,100.02
10/29/2021,8.51,8.14,8.84,8.17,7.73,6.96,5.02,4.69,4.09,5.08,4.22,4.1,3.92,3.79,3.31,3.96,2.41,1.67,1.63,1.01,0.79,0.61,0.53,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.29,100.01
11/01/2021,8.55,7.98,8.98,8.21,7.66,6.86,4.99,4.67,4.06,5.04,4.07,4.13,3.83,3.82,3.3,3.94,2.39,1.64,1.58,1.02,0.77,0.62,0.53,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.81,99.99
11/02/2021,8.55,7.98,8.98,8.21,7.66,6.86,4.99,4.67,4.06,5.04,4.07,4.13,3.83,3.82,3.3,3.94,2.39,1.64,1.58,1.02,0.77,0.62,0.53,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.81,99.99
11/03/2021,8.6,7.95,9.02,8.24,7.67,6.89,5.02,4.64,4.05,4.84,4.05,4.15,3.84,3.86,3.31,3.88,2.37,1.65,1.58,1.0,0.76,0.63,0.53,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.91,99.98
11/04/2021,8.57,7.96,8.94,8.24,7.6,6.89,5.05,4.6,4.16,4.85,4.01,4.14,3.94,3.86,3.31,3.88,2.38,1.7,1.57,0.99,0.78,0.63,0.53,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.91,100.03
11/05/2021,8.53,7.93,8.91,8.21,7.61,6.94,5.03,4.6,4.13,4.93,3.91,4.12,3.92,3.95,3.39,3.85,2.39,1.7,1.59,0.98,0.77,0.62,0.53,0.28,0.25,0.0,0.0,0.0,0.0,0.0,0.91,99.98
11/08/2021,0.0,8.01,0.0,8.36,7.71,7.09,5.18,4.66,3.96,4.81,4.03,0.0,4.04,3.87,3.44,3.66,2.46,1.74,1.61,0.96,0.79,0.63,0.55,0.27,0.25,0.0,8.68,8.99,4.12,0.0,0.11,99.98
11/09/2021,8.71,8.04,9.03,8.39,7.73,7.12,5.2,4.67,3.98,4.83,4.05,4.14,4.06,3.88,3.45,3.68,2.47,1.75,1.62,0.96,0.79,0.64,0.55,0.28,0.24,0.0,0.0,0.0,0.0,0.0,-0.23,100.03
11/10/2021,8.92,8.07,8.61,8.41,7.82,7.21,5.22,4.72,3.97,4.79,4.05,4.25,4.05,3.79,3.44,3.62,2.48,1.74,1.62,0.95,0.79,0.62,0.53,0.28,0.25,0.0,0.0,0.0,0.0,0.0,-0.19,100.01
11/11/2021,8.69,7.99,8.44,8.35,7.82,7.2,5.31,4.75,3.98,4.96,4.06,4.31,4.06,3.77,3.51,3.64,2.5,1.76,1.64,0.98,0.79,0.63,0.54,0.28,0.24,0.0,0.0,0.0,0.0,0.0,-0.19,100.01
11/12/2021,8.69,7.98,8.43,8.38,7.8,7.13,5.26,4.72,3.99,5.0,4.07,4.33,4.09,3.79,3.37,3.67,2.5,1.77,1.62,0.99,0.81,0.62,0.54,0.28,0.25,0.0,0.0,0.0,0.0,0.0,-0.06,100.02
11/15/2021,8.55,8.06,8.36,8.58,7.73,7.03,5.14,4.77,3.96,4.93,4.14,4.2,4.04,3.9,3.47,3.69,2.44,1.76,1.69,1.0,0.81,0.63,0.54,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,100.0
11/16/2021,8.55,8.06,8.36,8.58,7.73,7.03,5.14,4.77,3.96,4.93,4.14,4.2,4.04,3.9,3.47,3.69,2.44,1.76,1.69,1.0,0.81,0.63,0.54,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,100.0
11/17/2021,8.44,8.05,8.42,8.55,7.73,7.07,5.07,4.71,3.96,5.02,4.24,4.22,4.02,3.95,3.45,3.67,2.41,1.76,1.69,1.0,0.8,0.63,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,100.0
11/18/2021,8.43,8.12,8.39,8.53,7.76,7.0,5.14,4.67,4.02,5.04,4.16,4.26,4.02,3.95,3.45,3.65,2.4,1.75,1.67,0.99,0.82,0.62,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,99.98
11/19/2021,8.45,8.06,8.3,8.44,7.76,7.22,5.12,4.69,4.01,5.07,4.21,4.23,4.01,3.95,3.45,3.63,2.4,1.76,1.66,1.01,0.81,0.62,0.55,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,99.99
11/22/2021,8.5,8.06,8.31,8.52,7.88,7.2,5.16,4.7,3.94,5.17,4.12,4.27,3.98,3.91,3.4,3.58,2.37,1.75,1.66,0.99,0.79,0.61,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.05,100.0
11/23/2021,8.5,8.06,8.31,8.52,7.88,7.2,5.16,4.7,3.94,5.17,4.12,4.27,3.98,3.91,3.4,3.58,2.37,1.75,1.66,0.99,0.79,0.61,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.05,100.0
11/24/2021,8.61,8.09,8.38,8.49,7.81,7.33,5.19,4.68,3.91,5.13,4.09,4.36,3.91,3.85,3.44,3.56,2.31,1.73,1.66,0.96,0.76,0.62,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.05,99.98999999999998
11/25/2021,8.55,8.06,8.4,8.54,7.87,7.23,5.21,4.65,3.96,5.12,4.15,4.2,3.89,3.93,3.48,3.62,2.38,1.7,1.61,0.95,0.78,0.62,0.53,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,100.01
11/26/2021,8.46,8.02,8.38,8.53,7.98,7.23,5.28,4.71,3.95,5.15,4.07,4.06,3.92,3.85,3.48,3.72,2.41,1.7,1.64,0.96,0.78,0.62,0.53,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,100.02
11/29/2021,8.37,8.01,8.3,8.56,7.98,7.41,5.32,4.66,3.94,5.21,4.06,4.0,3.94,3.86,3.49,3.69,2.37,1.69,1.62,0.96,0.78,0.64,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,99.99
11/30/2021,8.37,8.01,8.3,8.56,7.98,7.41,5.32,4.66,3.94,5.21,4.06,4.0,3.94,3.86,3.49,3.69,2.37,1.69,1.62,0.96,0.78,0.64,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,99.99
