,MSFT,AAPL,AMZN,GOOGL,PYPL,NVDA,ADBE,HD,TSLA,MA,FB,UNH,ASML,NKE,SPGI,NOW,APTV,CRM,V,n/a,DE,LIN,JCI,NFLX,PG,LRCX,ROK,ZEN,UPS,ILMN,EW,TMO,ZTS,EQIX,A,AMGN,VRTX,ACN,CDNS,ATVI,MAS,KEYS,PLD,WDAY,PEP,MMM,GNRC,TDOC,CMG,MDLZ,CDW,CAR,MRK,ADSK,POOL,TGT,PD,WST,DPZ,CGNX,AMD,EXPE,TREX,YETI,OKTA,DIS,ALGN,DXCM,CI,CPRT,DDOG,FSLY,AMAT,UNP,SBAC,EL,IDXX,NVAX,ETSY,KDP,BLDP.TO,KO,MKTX,BBY,NVO,EA,CRWD,ULTA,DOCU,MRNA,SPLK,WMS,NARI,EBAY,SUM
09/01/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,1.22,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,1.22,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/03/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,1.22,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/06/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,1.22,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/08/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/13/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/24/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/28/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/29/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/30/2021,12.69,7.89,7.16,6.91,4.47,3.41,3.33,2.56,2.38,2.34,2.26,2.02,1.9,1.74,1.53,1.33,1.3,1.24,1.23,0.0,1.2,1.06,1.04,1.03,0.99,0.99,0.93,0.88,0.83,0.8,0.8,0.79,0.75,0.74,0.74,0.73,0.72,0.72,0.68,0.66,0.62,0.62,0.6,0.6,0.59,0.56,0.54,0.51,0.51,0.47,0.46,0.46,0.44,0.43,0.39,0.36,0.36,0.36,0.35,0.34,0.33,0.3,0.29,0.29,0.29,0.27,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.17,0.16,0.16,0.15,0.08,0.07,0.06,0.05,0.05,0.05,0.05,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
