,AMXL.MX,GFNORTEO.MX,WALMEX.MX,FEMSAUBD.MX,TLEVISACPO.MX,CEMEXCPO.MX,GMEXICOB.MX,GAPB.MX,ASURB.MX,BIMBOA.MX,FUNO11.MX,ORBIA.MX,KIMBERA.MX,AC.MX,GRUMAB.MX,GFINBURO.MX,OMAB.MX,KOFUBL.MX,PE&OLES.MX,PINFRA.MX,VOLARA.MX,GCARSOA1.MX,CUERVO.MX,GCC.MX,BBAJIOO.MX,VESTA.MX,RA.MX,SITESB-1.MX,TERRA13.MX,ALSEA.MX,LACOMERUBC.MX,FIBRAPL14.MX,MEGACPO.MX,FIBRAMQ12.MX,BOLSAA.MX,Q.MX,LABB.MX,GENTERA.MX,ALPEKA.MX,NMKA.MX,TRAXIONA.MX,CHDRAUIB.MX,AGUA.MX,HERDEZ.MX,DANHOS13.MX,AXTELCPO.MX,NEMAKA,MXN,XTSLA,SALFT,ISU1,NEMAKA.MX,ISZ1,SUM
08/02/2021,16.14,9.58,9.61,9.57,4.02,4.3,4.14,2.82,2.34,2.37,2.1,1.9,1.59,1.76,1.53,1.49,1.15,1.52,1.33,1.16,1.35,1.04,0.97,1.0,0.99,0.95,0.99,0.79,0.9,0.88,0.75,0.78,0.78,0.74,0.68,0.73,0.64,0.62,0.54,0.48,0.48,0.49,0.43,0.4,0.4,0.3,0.33,0.12,0.06,0.01,0.0,0.0,0.0,100.04
08/03/2021,16.26,9.49,9.74,9.57,4.04,4.16,3.93,2.86,2.36,2.35,2.14,1.87,1.59,1.76,1.54,1.46,1.17,1.55,1.31,1.17,1.32,1.07,0.99,1.01,0.99,0.96,1.03,0.8,0.91,0.87,0.75,0.78,0.78,0.73,0.69,0.73,0.62,0.61,0.54,0.49,0.49,0.5,0.43,0.41,0.38,0.3,0.33,0.12,0.06,0.01,0.0,0.0,0.0,100.02
08/04/2021,16.26,9.49,9.74,9.57,4.04,4.16,3.93,2.86,2.36,2.35,2.14,1.87,1.59,1.76,1.54,1.46,1.17,1.55,1.31,1.17,1.32,1.07,0.99,1.01,0.99,0.96,1.03,0.8,0.91,0.87,0.75,0.78,0.78,0.73,0.69,0.73,0.62,0.61,0.54,0.49,0.49,0.5,0.43,0.41,0.38,0.3,0.33,0.12,0.06,0.01,0.0,0.0,0.0,100.02
08/05/2021,16.26,9.49,9.74,9.57,4.04,4.16,3.93,2.86,2.36,2.35,2.14,1.87,1.59,1.76,1.54,1.46,1.17,1.55,1.31,1.17,1.32,1.07,0.99,1.01,0.99,0.96,1.03,0.8,0.91,0.87,0.75,0.78,0.78,0.73,0.69,0.73,0.62,0.61,0.54,0.49,0.49,0.5,0.43,0.41,0.38,0.3,0.33,0.12,0.06,0.01,0.0,0.0,0.0,100.02
08/06/2021,16.33,9.67,9.74,9.64,3.97,4.17,3.96,2.84,2.32,2.44,2.08,1.9,1.55,1.76,1.54,1.46,1.15,1.53,1.3,1.15,1.26,1.07,0.95,1.01,1.02,0.95,0.99,0.79,0.9,0.85,0.75,0.8,0.76,0.73,0.68,0.72,0.62,0.61,0.53,0.48,0.47,0.49,0.45,0.42,0.38,0.31,0.33,0.13,0.06,0.01,0.0,0.0,0.0,100.02
08/10/2021,16.39,9.48,9.9,9.6,3.92,4.09,4.07,2.71,2.32,2.51,2.09,1.88,1.56,1.78,1.53,1.46,1.13,1.57,1.33,1.16,1.2,1.09,0.94,1.03,1.06,0.96,1.0,0.79,0.89,0.83,0.74,0.8,0.79,0.74,0.68,0.72,0.62,0.62,0.52,0.47,0.49,0.49,0.44,0.4,0.4,0.3,0.32,0.16,0.07,0.01,0.0,0.0,0.0,100.05
08/11/2021,16.39,9.48,9.9,9.6,3.92,4.09,4.07,2.71,2.32,2.51,2.09,1.88,1.56,1.78,1.53,1.46,1.13,1.57,1.33,1.16,1.2,1.09,0.94,1.03,1.06,0.96,1.0,0.79,0.89,0.83,0.74,0.8,0.79,0.74,0.68,0.72,0.62,0.62,0.52,0.47,0.49,0.49,0.44,0.4,0.4,0.3,0.32,0.16,0.07,0.01,0.0,0.0,0.0,100.05
08/13/2021,16.32,9.5,10.01,9.59,3.91,4.1,4.03,2.69,2.32,2.51,2.15,1.91,1.53,1.78,1.56,1.46,1.14,1.56,1.3,1.14,1.2,1.09,0.92,1.05,1.07,0.95,1.01,0.78,0.88,0.83,0.72,0.79,0.78,0.74,0.7,0.71,0.63,0.6,0.52,0.47,0.49,0.51,0.45,0.39,0.4,0.3,0.32,0.16,0.07,0.01,0.0,0.0,0.0,100.05
08/16/2021,16.51,9.54,10.21,9.53,3.76,4.09,3.97,2.74,2.28,2.5,2.14,1.9,1.57,1.79,1.56,1.45,1.15,1.57,1.26,1.15,1.19,1.07,0.91,1.03,1.1,0.94,0.99,0.76,0.88,0.84,0.72,0.82,0.75,0.75,0.68,0.72,0.6,0.59,0.52,0.46,0.48,0.49,0.44,0.39,0.4,0.29,0.32,0.16,0.03,0.01,0.0,0.0,0.0,100.0
08/17/2021,16.64,9.56,10.32,9.51,3.78,4.08,3.98,2.79,2.25,2.48,2.1,1.89,1.57,1.78,1.55,1.44,1.16,1.58,1.25,1.16,1.17,1.05,0.9,1.0,1.1,0.93,0.99,0.76,0.87,0.83,0.7,0.8,0.76,0.74,0.69,0.71,0.6,0.59,0.52,0.46,0.48,0.48,0.44,0.39,0.39,0.29,0.32,0.17,0.03,0.01,0.0,0.0,0.0,100.04
08/19/2021,16.71,9.52,10.29,9.52,3.77,4.06,3.93,2.78,2.25,2.52,2.11,1.9,1.58,1.81,1.56,1.44,1.16,1.59,1.28,1.15,1.15,1.06,0.89,1.0,1.08,0.93,1.0,0.75,0.87,0.83,0.7,0.79,0.76,0.75,0.69,0.71,0.6,0.57,0.52,0.46,0.47,0.49,0.43,0.39,0.4,0.28,0.31,0.17,0.03,0.01,0.0,0.0,0.0,100.02
08/20/2021,17.09,9.64,10.29,9.48,3.74,3.99,3.85,2.69,2.2,2.6,2.08,1.88,1.64,1.78,1.57,1.44,1.14,1.58,1.27,1.15,1.08,1.04,0.89,1.01,1.06,0.93,1.0,0.76,0.87,0.81,0.7,0.79,0.78,0.74,0.68,0.7,0.6,0.55,0.51,0.44,0.46,0.48,0.44,0.4,0.4,0.28,0.3,0.17,0.02,0.01,0.0,0.0,0.0,100.0
08/23/2021,17.54,9.22,10.52,9.47,3.69,3.94,3.69,2.7,2.21,2.53,2.08,1.85,1.65,1.8,1.6,1.46,1.13,1.56,1.25,1.15,1.07,1.05,0.89,1.01,1.05,0.91,1.03,0.75,0.88,0.81,0.71,0.8,0.78,0.76,0.68,0.71,0.63,0.56,0.5,0.44,0.47,0.49,0.45,0.39,0.39,0.28,0.3,0.17,0.02,0.01,0.0,0.0,0.0,100.03
08/24/2021,17.91,9.05,10.36,9.46,3.69,3.98,3.72,2.69,2.2,2.52,2.06,1.88,1.65,1.81,1.59,1.43,1.14,1.57,1.25,1.14,1.09,1.03,0.89,1.01,1.04,0.91,1.01,0.77,0.87,0.82,0.7,0.81,0.79,0.74,0.68,0.71,0.62,0.56,0.5,0.43,0.46,0.49,0.44,0.39,0.39,0.28,0.29,0.17,0.03,0.01,0.0,0.0,0.0,100.03
08/25/2021,17.91,9.05,10.36,9.46,3.69,3.98,3.72,2.69,2.2,2.52,2.06,1.88,1.65,1.81,1.59,1.43,1.14,1.57,1.25,1.14,1.09,1.03,0.89,1.01,1.04,0.91,1.01,0.77,0.87,0.82,0.7,0.81,0.79,0.74,0.68,0.71,0.62,0.56,0.5,0.43,0.46,0.49,0.44,0.39,0.39,0.28,0.29,0.17,0.03,0.01,0.0,0.0,0.0,100.03
08/26/2021,17.84,9.16,10.38,9.41,3.77,4.04,3.72,2.66,2.22,2.49,2.06,1.89,1.62,1.8,1.58,1.4,1.13,1.57,1.26,1.14,1.11,1.02,0.92,1.02,1.04,0.91,1.0,0.8,0.86,0.83,0.69,0.8,0.78,0.73,0.68,0.7,0.6,0.57,0.49,0.42,0.46,0.48,0.43,0.39,0.39,0.27,0.29,0.17,0.03,0.01,0.0,0.0,0.0,100.03
08/27/2021,17.82,9.02,10.52,9.37,3.8,4.1,3.71,2.7,2.29,2.47,2.05,1.86,1.61,1.79,1.58,1.4,1.14,1.56,1.26,1.14,1.13,1.03,0.9,1.02,1.03,0.89,0.99,0.8,0.86,0.83,0.67,0.79,0.77,0.73,0.68,0.7,0.61,0.57,0.5,0.43,0.47,0.48,0.43,0.38,0.39,0.27,0.29,0.17,0.03,0.01,0.0,0.0,0.0,100.04
08/30/2021,18.03,9.21,10.45,9.31,3.69,4.07,3.72,2.71,2.26,2.47,2.07,1.88,1.63,1.79,1.57,1.38,1.13,1.54,1.26,1.13,1.12,1.02,0.93,1.01,1.0,0.89,0.98,0.81,0.84,0.82,0.66,0.78,0.76,0.72,0.67,0.69,0.61,0.56,0.5,0.43,0.46,0.47,0.43,0.38,0.39,0.28,0.29,0.24,0.03,0.0,0.0,0.0,0.0,100.07
08/31/2021,18.01,9.13,10.23,9.25,3.73,4.14,3.76,2.79,2.28,2.46,2.09,1.89,1.64,1.79,1.57,1.39,1.14,1.52,1.27,1.13,1.19,1.03,0.93,0.99,1.01,0.88,0.98,0.81,0.84,0.83,0.66,0.78,0.75,0.72,0.67,0.69,0.6,0.56,0.5,0.44,0.47,0.47,0.43,0.38,0.39,0.29,0.3,0.23,0.02,0.0,0.0,0.0,0.0,100.05
09/01/2021,18.01,9.13,10.23,9.25,3.73,4.14,3.76,2.79,2.28,2.46,2.09,1.89,1.64,1.79,1.57,1.39,1.14,1.52,1.27,1.13,1.19,1.03,0.93,0.99,1.01,0.88,0.98,0.81,0.84,0.83,0.66,0.78,0.75,0.72,0.67,0.69,0.6,0.56,0.5,0.44,0.47,0.47,0.43,0.38,0.39,0.29,0.3,0.23,0.02,0.0,0.0,0.0,0.0,100.05
09/02/2021,18.24,9.1,10.1,9.2,3.72,4.06,3.85,2.73,2.26,2.46,2.11,1.89,1.64,1.79,1.55,1.4,1.13,1.52,1.27,1.13,1.18,1.03,0.92,0.99,1.01,0.88,0.99,0.83,0.86,0.83,0.66,0.79,0.75,0.73,0.67,0.69,0.6,0.56,0.5,0.44,0.47,0.47,0.43,0.39,0.39,0.3,0.29,0.23,0.02,0.0,0.0,0.0,0.0,100.05
09/06/2021,17.43,8.3,9.37,8.46,3.74,4.57,4.6,2.8,2.41,2.5,2.22,1.99,1.73,1.79,1.62,1.46,1.25,0.77,1.37,1.22,1.23,1.06,1.03,0.99,1.04,0.94,1.02,0.93,0.95,0.92,0.75,0.85,0.83,0.8,0.76,0.7,0.67,0.58,0.53,0.49,0.52,0.48,0.43,0.46,0.46,0.36,0.36,0.2,0.01,0.01,0.0,0.0,0.0,99.96000000000002
09/07/2021,17.3,8.33,9.43,8.46,3.66,4.59,4.68,2.83,2.42,2.47,2.26,2.01,1.72,1.79,1.63,1.46,1.26,0.77,1.39,1.23,1.27,1.09,1.05,1.0,1.04,0.94,1.02,1.0,0.97,0.9,0.75,0.86,0.83,0.8,0.78,0.7,0.67,0.58,0.53,0.51,0.53,0.48,0.44,0.46,0.46,0.38,0.36,0.17,0.04,0.01,0.0,0.0,0.0,100.31000000000002
09/08/2021,17.3,8.33,9.43,8.46,3.66,4.59,4.68,2.83,2.42,2.47,2.26,2.01,1.72,1.79,1.63,1.46,1.26,0.77,1.39,1.23,1.27,1.09,1.05,1.0,1.04,0.94,1.02,1.0,0.97,0.9,0.75,0.86,0.83,0.8,0.78,0.7,0.67,0.58,0.53,0.51,0.53,0.48,0.44,0.46,0.46,0.38,0.0,0.17,0.04,0.01,0.0,0.36,0.0,100.31000000000002
09/09/2021,17.39,8.33,9.45,8.51,3.65,4.56,4.6,2.85,2.39,2.47,2.22,1.97,1.69,1.78,1.61,1.44,1.23,0.77,1.36,1.21,1.33,1.12,1.05,0.99,1.05,0.93,1.0,0.99,0.94,0.91,0.73,0.84,0.81,0.78,0.77,0.7,0.67,0.57,0.53,0.0,0.55,0.48,0.43,0.46,0.46,0.38,0.0,0.17,0.03,0.01,0.0,0.86,0.0,100.02
09/10/2021,17.41,8.47,9.47,8.37,3.68,4.47,4.49,2.88,2.47,2.46,2.19,1.94,1.7,1.81,1.62,1.43,1.25,0.76,1.33,1.22,1.28,1.12,1.06,0.99,1.06,0.91,1.01,0.95,0.95,0.91,0.73,0.83,0.81,0.8,0.78,0.72,0.75,0.58,0.53,0.0,0.54,0.48,0.43,0.46,0.46,0.38,0.0,0.17,0.03,0.01,0.0,0.88,0.0,100.03000000000002
09/13/2021,17.31,8.39,9.81,8.47,3.7,4.38,4.42,2.85,2.41,2.52,2.19,1.93,1.71,1.8,1.66,1.39,1.27,0.77,1.29,1.24,1.3,1.13,1.05,0.99,1.04,0.92,1.0,0.9,0.93,0.9,0.72,0.85,0.83,0.82,0.78,0.72,0.75,0.58,0.51,0.0,0.55,0.48,0.42,0.47,0.46,0.4,0.0,0.17,0.05,0.01,0.0,0.83,0.0,100.07
09/14/2021,17.4,8.47,9.66,8.55,3.59,4.39,4.52,2.89,2.42,2.53,2.19,1.93,1.72,1.77,1.68,1.39,1.26,0.77,1.29,1.2,1.29,1.14,1.03,0.98,1.06,0.91,1.01,0.89,0.93,0.88,0.71,0.84,0.83,0.81,0.78,0.71,0.74,0.58,0.51,0.0,0.54,0.48,0.42,0.46,0.46,0.39,0.0,0.18,0.05,0.01,0.0,0.82,0.0,100.06
09/15/2021,17.4,8.47,9.66,8.55,3.59,4.39,4.52,2.89,2.42,2.53,2.19,1.93,1.72,1.77,1.68,1.39,1.26,0.77,1.29,1.2,1.29,1.14,1.03,0.98,1.06,0.91,1.01,0.89,0.93,0.88,0.71,0.84,0.83,0.81,0.78,0.71,0.74,0.58,0.51,0.0,0.54,0.48,0.42,0.46,0.46,0.39,0.0,0.18,0.05,0.01,0.0,0.82,0.0,100.06
09/16/2021,17.42,8.46,9.73,8.54,3.59,4.34,4.43,2.85,2.4,2.57,2.23,1.9,1.75,1.78,1.69,1.36,1.26,0.77,1.3,1.21,1.31,1.12,1.02,0.98,1.05,0.92,1.02,0.89,0.93,0.89,0.71,0.84,0.82,0.82,0.78,0.72,0.73,0.59,0.51,0.0,0.55,0.49,0.41,0.46,0.46,0.43,0.0,0.17,0.05,0.01,0.0,0.81,0.0,100.07
09/17/2021,17.31,8.47,9.66,8.66,3.55,4.34,4.45,2.82,2.38,2.76,2.21,1.87,1.77,1.79,1.7,1.35,1.23,0.77,1.29,1.19,1.32,1.16,1.02,0.97,1.05,0.92,1.0,0.89,0.92,0.89,0.71,0.83,0.82,0.81,0.79,0.71,0.73,0.58,0.51,0.0,0.55,0.49,0.4,0.46,0.46,0.42,0.0,0.17,0.0,0.01,0.0,0.8,0.0,99.96
09/20/2021,17.16,8.56,9.58,8.73,3.61,4.27,4.51,2.82,2.35,2.77,2.25,1.87,1.79,1.78,1.69,1.36,1.23,0.77,1.29,1.19,1.33,1.24,0.96,0.96,1.05,0.92,1.0,0.92,0.94,0.89,0.71,0.83,0.81,0.81,0.78,0.71,0.71,0.59,0.51,0.0,0.54,0.48,0.41,0.47,0.46,0.45,0.0,0.17,0.0,0.01,0.0,0.81,0.0,100.05
