,MSFT,AMZN,NVDA,WMT,INTC,JPM,CSCO,PEP,ABBV,PM,C,LOW,GS,TGT,MMM,CVS,LMT,SPGI,ANTM,Us Dollars,PLD,MO,ADP,COF,CL,ADSK,WM,NOC,HUM,FCX,NEM,A,KMI,WBA,HPQ,IFF,MSI,XEL,ADM,STT,CBRE,KR,CCL,K,VTR,HBAN,PEAK,CPB,GPS,OC,Jones Lang LaSalle Inc,JLL,n/a,JNJ,ADBE,ABT,MRK,CVX,TXN,BMY,GILD,GM,F,HSY,EIX,HAS,HST,SUM
07/23/2021,13.31,13.27,7.35,6.52,3.56,3.46,3.61,3.51,3.34,2.5,2.21,2.27,1.97,2.05,1.88,1.74,1.69,1.61,1.53,1.76,1.53,1.42,1.4,1.14,1.17,1.02,0.99,0.93,0.98,0.78,0.79,0.74,0.64,0.64,0.56,0.58,0.59,0.6,0.53,0.46,0.45,0.51,0.36,0.36,0.36,0.31,0.31,0.23,0.17,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,13.45,13.31,7.5,6.38,3.57,3.48,3.63,3.43,3.33,2.43,2.22,2.27,2.02,2.05,1.86,1.74,1.69,1.61,1.5,1.72,1.5,1.4,1.38,1.17,1.11,1.07,0.98,0.92,0.96,0.82,0.77,0.73,0.63,0.64,0.56,0.59,0.59,0.58,0.52,0.48,0.47,0.48,0.4,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,13.55,13.32,7.45,6.41,3.36,3.46,3.66,3.45,3.33,2.45,2.2,2.3,2.02,2.08,1.86,1.75,1.69,1.6,1.48,1.72,1.51,1.41,1.39,1.16,1.13,1.08,0.99,0.92,0.97,0.82,0.77,0.74,0.63,0.64,0.56,0.59,0.59,0.59,0.52,0.48,0.47,0.48,0.39,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,13.55,13.32,7.45,6.41,3.36,3.46,3.66,3.45,3.33,2.45,2.2,2.3,2.02,2.08,1.86,1.75,1.69,1.6,1.48,1.72,1.51,1.41,1.39,1.16,1.13,1.08,0.99,0.92,0.97,0.82,0.77,0.74,0.63,0.64,0.56,0.59,0.59,0.59,0.52,0.48,0.47,0.48,0.39,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,13.5,13.44,7.34,6.4,3.44,3.47,3.67,3.44,3.31,2.46,2.23,2.26,2.03,2.07,1.87,1.74,1.63,1.58,1.47,1.71,1.5,1.41,1.39,1.17,1.14,1.08,0.99,0.91,0.96,0.85,0.77,0.73,0.64,0.65,0.57,0.59,0.59,0.59,0.52,0.48,0.48,0.48,0.41,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,13.5,13.44,7.34,6.4,3.44,3.47,3.67,3.44,3.31,2.46,2.23,2.26,2.03,2.07,1.87,1.74,1.63,1.58,1.47,1.71,1.5,1.41,1.39,1.17,1.14,1.08,0.99,0.91,0.96,0.85,0.77,0.73,0.64,0.65,0.57,0.59,0.59,0.59,0.52,0.48,0.48,0.48,0.41,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,13.46,13.01,7.53,6.41,3.41,3.53,3.66,3.45,3.37,2.5,2.28,2.23,2.05,2.09,1.84,1.75,1.66,1.64,1.5,1.41,1.51,1.44,1.41,1.18,1.13,1.11,0.98,0.94,0.89,0.9,0.8,0.74,0.65,0.65,0.57,0.6,0.6,0.59,0.54,0.49,0.52,0.49,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,13.46,13.01,7.53,6.41,3.41,3.53,3.66,3.45,3.37,2.5,2.28,2.23,2.05,2.09,1.84,1.75,1.66,1.64,1.5,1.41,1.51,1.44,1.41,1.18,1.13,1.11,0.98,0.94,0.89,0.9,0.8,0.74,0.65,0.65,0.57,0.6,0.6,0.59,0.54,0.49,0.52,0.49,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,13.46,13.01,7.53,6.41,3.41,3.53,3.66,3.45,3.37,2.5,2.28,2.23,2.05,2.09,1.84,1.75,1.66,1.64,1.5,1.41,1.51,1.44,1.41,1.18,1.13,1.11,0.98,0.94,0.89,0.9,0.8,0.74,0.65,0.65,0.57,0.6,0.6,0.59,0.54,0.49,0.52,0.49,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,13.46,13.01,7.53,6.41,3.41,3.53,3.66,3.45,3.37,2.5,2.28,2.23,2.05,2.09,1.84,1.75,1.66,1.64,1.5,1.41,1.51,1.44,1.41,1.18,1.13,1.11,0.98,0.94,0.89,0.9,0.8,0.74,0.65,0.65,0.57,0.6,0.6,0.59,0.54,0.49,0.52,0.49,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,13.59,12.25,7.64,6.52,3.46,3.55,3.76,3.47,3.32,2.52,2.29,2.25,2.08,2.11,1.88,1.78,1.65,1.7,1.55,1.26,1.54,1.43,1.45,1.18,1.08,1.14,1.01,0.95,0.89,0.86,0.8,0.75,0.64,0.66,0.59,0.61,0.61,0.6,0.54,0.5,0.52,0.52,0.38,0.35,0.36,0.35,0.32,0.21,0.18,0.16,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,13.68,12.27,7.95,6.59,3.45,3.55,3.72,3.42,3.28,2.5,2.32,2.21,2.1,2.1,1.85,1.69,1.61,1.72,1.48,0.0,1.55,1.41,1.44,1.19,1.07,1.14,1.0,0.93,0.87,0.84,0.79,0.76,0.62,0.65,0.59,0.6,0.6,0.6,0.53,0.49,0.53,0.51,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.2,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/10/2021,13.67,12.15,7.84,6.57,3.44,3.65,3.71,3.41,3.26,2.49,2.36,2.2,2.18,2.08,1.85,1.72,1.62,1.71,1.49,0.0,1.54,1.41,1.44,1.21,1.07,1.15,1.0,0.94,0.88,0.87,0.77,0.76,0.62,0.65,0.59,0.61,0.62,0.6,0.55,0.51,0.53,0.51,0.41,0.34,0.35,0.36,0.32,0.21,0.18,0.16,0.0,0.2,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,13.67,12.15,7.84,6.57,3.44,3.65,3.71,3.41,3.26,2.49,2.36,2.2,2.18,2.08,1.85,1.72,1.62,1.71,1.49,0.0,1.54,1.41,1.44,1.21,1.07,1.15,1.0,0.94,0.88,0.87,0.77,0.76,0.62,0.65,0.59,0.61,0.62,0.6,0.55,0.51,0.53,0.51,0.41,0.34,0.35,0.36,0.32,0.21,0.18,0.16,0.0,0.2,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/13/2021,13.5,12.04,7.66,6.72,3.44,3.68,3.7,3.41,3.26,2.5,2.42,2.19,2.23,2.11,1.86,1.76,1.62,1.68,1.48,0.0,1.53,1.43,1.46,1.24,1.07,1.15,0.99,0.94,0.86,0.9,0.74,0.76,0.62,0.67,0.59,0.63,0.62,0.6,0.56,0.51,0.52,0.52,0.42,0.35,0.34,0.36,0.31,0.21,0.18,0.16,0.0,0.2,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/16/2021,13.65,11.97,7.64,6.73,3.41,3.74,3.75,3.42,3.28,2.5,2.46,2.21,2.26,2.09,1.88,1.79,1.6,1.69,1.44,0.0,1.54,1.43,1.45,1.28,1.07,1.15,1.01,0.94,0.84,0.9,0.75,0.77,0.63,0.68,0.61,0.63,0.62,0.6,0.56,0.51,0.52,0.52,0.41,0.35,0.34,0.37,0.3,0.21,0.18,0.16,0.0,0.2,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/17/2021,13.78,11.92,7.74,6.74,3.4,3.69,3.75,3.45,3.3,2.54,2.42,2.19,2.24,2.09,1.87,1.78,1.59,1.71,1.44,0.0,1.56,1.44,1.45,1.29,1.08,1.15,1.01,0.94,0.85,0.89,0.75,0.77,0.62,0.68,0.58,0.63,0.63,0.6,0.56,0.51,0.52,0.52,0.41,0.35,0.34,0.36,0.31,0.21,0.17,0.16,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/18/2021,13.78,11.92,7.74,6.74,3.4,3.69,3.75,3.45,3.3,2.54,2.42,2.19,2.24,2.09,1.87,1.78,1.59,1.71,1.44,0.0,1.56,1.44,1.45,1.29,1.08,1.15,1.01,0.94,0.85,0.89,0.75,0.77,0.62,0.68,0.58,0.63,0.63,0.6,0.56,0.51,0.52,0.52,0.41,0.35,0.34,0.36,0.31,0.21,0.17,0.16,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/19/2021,13.78,11.92,7.74,6.74,3.4,3.69,3.75,3.45,3.3,2.54,2.42,2.19,2.24,2.09,1.87,1.78,1.59,1.71,1.44,0.0,1.56,1.44,1.45,1.29,1.08,1.15,1.01,0.94,0.85,0.89,0.75,0.77,0.62,0.68,0.58,0.63,0.63,0.6,0.56,0.51,0.52,0.52,0.41,0.35,0.34,0.36,0.31,0.21,0.17,0.16,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/20/2021,13.87,11.81,7.51,6.84,3.37,3.65,3.75,3.5,3.42,2.57,2.39,2.11,2.22,2.05,1.87,1.83,1.62,1.73,1.5,0.0,1.59,1.45,1.46,1.26,1.09,1.13,1.03,0.96,0.87,0.82,0.76,0.79,0.61,0.68,0.58,0.63,0.64,0.61,0.56,0.5,0.51,0.55,0.39,0.36,0.34,0.36,0.31,0.21,0.16,0.16,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/23/2021,14.11,11.66,7.67,6.84,3.37,3.6,3.85,3.54,3.38,2.56,2.34,2.36,2.17,1.98,1.84,1.79,1.59,1.7,1.49,0.0,1.59,1.45,1.44,1.23,1.08,1.15,1.03,0.94,0.87,0.77,0.73,0.82,0.58,0.66,0.56,0.61,0.65,0.61,0.54,0.49,0.5,0.56,0.39,0.36,0.33,0.36,0.31,0.21,0.17,0.15,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/24/2021,14.29,11.56,7.97,6.81,3.3,3.56,3.86,3.48,3.36,2.53,2.32,2.39,2.15,2.02,1.81,1.78,1.59,1.69,1.47,0.0,1.58,1.44,1.42,1.21,1.07,1.15,1.03,0.93,0.86,0.77,0.72,0.82,0.58,0.67,0.56,0.6,0.65,0.61,0.53,0.48,0.5,0.57,0.39,0.36,0.33,0.35,0.3,0.21,0.17,0.15,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,14.29,11.56,7.97,6.81,3.3,3.56,3.86,3.48,3.36,2.53,2.32,2.39,2.15,2.02,1.81,1.78,1.59,1.69,1.47,0.0,1.58,1.44,1.42,1.21,1.07,1.15,1.03,0.93,0.86,0.77,0.72,0.82,0.58,0.67,0.56,0.6,0.65,0.61,0.53,0.48,0.5,0.57,0.39,0.36,0.33,0.35,0.3,0.21,0.17,0.15,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,14.18,11.69,8.33,6.71,3.35,3.58,3.85,3.44,3.35,2.49,2.32,2.35,2.16,1.99,1.79,1.76,1.57,1.68,1.46,0.0,1.56,1.42,1.41,1.21,1.05,1.15,1.01,0.93,0.85,0.79,0.73,0.82,0.58,0.66,0.56,0.6,0.64,0.59,0.53,0.49,0.5,0.56,0.4,0.35,0.32,0.36,0.3,0.2,0.17,0.15,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/27/2021,14.08,11.83,8.27,6.64,3.39,3.6,3.9,3.4,3.36,2.48,2.36,2.32,2.2,1.98,1.79,1.74,1.58,1.67,1.46,0.0,1.53,1.42,1.39,1.22,1.04,1.16,1.02,0.93,0.85,0.82,0.73,0.82,0.59,0.66,0.57,0.6,0.64,0.58,0.53,0.5,0.5,0.55,0.42,0.35,0.33,0.36,0.3,0.2,0.17,0.16,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/30/2021,13.94,11.89,8.38,6.58,3.35,3.7,3.9,3.38,3.38,2.5,2.38,2.35,2.23,1.97,1.8,1.73,1.59,1.68,1.43,0.0,1.53,1.43,1.38,1.23,1.04,1.06,1.03,0.94,0.83,0.8,0.72,0.84,0.58,0.65,0.58,0.6,0.65,0.59,0.53,0.51,0.5,0.54,0.41,0.34,0.33,0.37,0.3,0.19,0.16,0.16,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/31/2021,13.86,11.91,8.53,6.49,3.37,3.7,3.86,3.36,3.33,2.5,2.38,2.33,2.25,1.96,1.79,1.73,1.58,1.67,1.43,0.0,1.52,1.45,1.38,1.25,1.03,1.07,1.02,0.92,0.83,0.84,0.73,0.83,0.59,0.66,0.57,0.6,0.65,0.58,0.54,0.52,0.51,0.54,0.42,0.34,0.33,0.37,0.3,0.2,0.16,0.16,0.0,0.19,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,13.86,11.91,8.53,6.49,3.37,3.7,3.86,3.36,3.33,2.5,2.38,2.33,2.25,1.96,1.79,1.73,1.58,1.67,1.43,0.0,1.52,1.45,1.38,1.25,1.03,1.07,1.02,0.92,0.83,0.84,0.73,0.83,0.59,0.66,0.57,0.6,0.65,0.58,0.54,0.52,0.51,0.54,0.42,0.34,0.33,0.37,0.3,0.2,0.16,0.16,0.0,0.19,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,13.97,12.12,8.51,6.52,3.36,3.62,3.85,3.36,3.35,2.52,2.32,2.31,2.21,1.95,1.79,1.74,1.58,1.68,1.42,0.0,1.55,1.44,1.38,1.17,1.03,1.06,1.02,0.93,0.83,0.84,0.72,0.84,0.58,0.66,0.58,0.6,0.65,0.58,0.53,0.51,0.51,0.55,0.41,0.33,0.33,0.36,0.3,0.2,0.16,0.16,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,13.97,12.12,8.51,6.52,3.36,3.62,3.85,3.36,3.35,2.52,2.32,2.31,2.21,1.95,1.79,1.74,1.58,1.68,1.42,0.0,1.55,1.44,1.38,1.17,1.03,1.06,1.02,0.93,0.83,0.84,0.72,0.84,0.58,0.66,0.58,0.6,0.65,0.58,0.53,0.51,0.51,0.55,0.41,0.33,0.33,0.36,0.3,0.2,0.16,0.16,0.0,0.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/06/2021,12.23,12.94,6.66,4.95,2.6,4.0,2.98,2.59,2.36,1.97,1.73,1.74,1.67,1.44,1.35,1.37,0.0,1.3,1.12,0.0,1.22,1.12,1.05,0.85,0.0,0.0,0.78,0.0,0.64,0.0,0.56,0.65,0.48,0.53,0.0,0.0,0.0,0.45,0.4,0.38,0.39,0.42,0.0,0.26,0.0,0.0,0.24,0.0,0.12,0.0,0.0,0.0,0.58,5.49,3.75,2.71,2.32,2.25,2.08,1.75,1.08,0.84,0.61,0.43,0.27,0.16,0.14,100.0
09/07/2021,12.22,12.98,6.78,4.97,2.58,3.97,2.97,2.59,2.35,1.97,1.72,1.74,1.65,1.43,1.34,1.38,0.0,1.3,1.11,0.0,1.22,1.12,1.05,0.84,0.0,0.0,0.78,0.0,0.64,0.0,0.57,0.65,0.48,0.53,0.0,0.0,0.0,0.45,0.4,0.38,0.4,0.42,0.0,0.26,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.58,5.48,3.76,2.71,2.33,2.24,2.08,1.73,1.07,0.84,0.6,0.43,0.26,0.16,0.14,99.99
09/08/2021,12.22,12.98,6.78,4.97,2.58,3.97,2.97,2.59,2.35,1.97,1.72,1.74,1.65,1.43,1.34,1.38,0.0,1.3,1.11,0.0,1.22,1.12,1.05,0.84,0.0,0.0,0.78,0.0,0.64,0.0,0.57,0.65,0.48,0.53,0.0,0.0,0.0,0.45,0.4,0.38,0.4,0.42,0.0,0.26,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.58,5.48,3.76,2.71,2.33,2.24,2.08,1.73,1.07,0.84,0.6,0.43,0.26,0.16,0.14,99.99
09/09/2021,12.22,12.98,6.78,4.97,2.58,3.97,2.97,2.59,2.35,1.97,1.72,1.74,1.65,1.43,1.34,1.38,0.0,1.3,1.11,0.0,1.22,1.12,1.05,0.84,0.0,0.0,0.78,0.0,0.64,0.0,0.57,0.65,0.48,0.53,0.0,0.0,0.0,0.45,0.4,0.38,0.4,0.42,0.0,0.26,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.58,5.48,3.76,2.71,2.33,2.24,2.08,1.73,1.07,0.84,0.6,0.43,0.26,0.16,0.14,99.99
09/10/2021,12.25,13.18,6.77,4.93,2.61,3.99,2.97,2.56,2.31,1.98,1.72,1.74,1.66,1.43,1.29,1.37,0.0,1.29,1.11,0.0,1.22,1.12,1.03,0.84,0.0,0.0,0.78,0.0,0.64,0.0,0.56,0.65,0.47,0.53,0.0,0.0,0.0,0.44,0.4,0.37,0.4,0.41,0.0,0.25,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.61,5.43,3.75,2.72,2.3,2.25,2.09,1.73,1.07,0.85,0.61,0.43,0.27,0.16,0.14,100.02
09/13/2021,12.24,13.2,6.68,4.95,2.62,4.02,2.98,2.6,2.29,1.93,1.73,1.74,1.65,1.46,1.3,1.36,0.0,1.32,1.1,0.0,1.2,1.13,1.05,0.84,0.0,0.0,0.79,0.0,0.65,0.0,0.55,0.66,0.47,0.53,0.0,0.0,0.0,0.45,0.41,0.37,0.4,0.42,0.0,0.26,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.63,5.34,3.79,2.74,2.26,2.24,2.1,1.7,1.07,0.85,0.6,0.43,0.27,0.16,0.14,100.01
09/14/2021,12.21,13.18,6.8,4.95,2.65,3.99,2.95,2.61,2.28,1.96,1.71,1.76,1.65,1.45,1.3,1.34,0.0,1.32,1.06,0.0,1.2,1.13,1.04,0.84,0.0,0.0,0.79,0.0,0.63,0.0,0.55,0.66,0.47,0.52,0.0,0.0,0.0,0.44,0.41,0.37,0.4,0.39,0.0,0.26,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.65,5.32,3.78,2.76,2.25,2.25,2.13,1.7,1.08,0.87,0.6,0.43,0.27,0.16,0.14,100.0
09/15/2021,12.21,13.18,6.8,4.95,2.65,3.99,2.95,2.61,2.28,1.96,1.71,1.76,1.65,1.45,1.3,1.34,0.0,1.32,1.06,0.0,1.2,1.13,1.04,0.84,0.0,0.0,0.79,0.0,0.63,0.0,0.55,0.66,0.47,0.52,0.0,0.0,0.0,0.44,0.41,0.37,0.4,0.39,0.0,0.26,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.65,5.32,3.78,2.76,2.25,2.25,2.13,1.7,1.08,0.87,0.6,0.43,0.27,0.16,0.14,100.0
