,BRK.B,CMCSA,BAC,JPM,CI,CBRE,CNC,BMY,CSCO,GOOGL,UNH,PG,VZ,ALXN,SO,IPG,TRV,MDLZ,OSK,D,PNC,DFS,TEL,MMM,NEM,NOC,AMGN,EXC,MTB,AMT,ANTM,OC,LHX,CVS,CB,DUK,PVH,DG,EVRG,CTSH,BBY,KR,SNY,COF,PCG,LEA,TT,DD,ITT,PNR,AMG,PPL,TPR,HUM,SWK,JCI,REGN,NXPI,OTIS,RBC,SPG,POR,TSN,NLOK,DOX,LOW,WPP PLC ADR,IFF,USFD,AIG,FB,WHR,IVZ,BLK,LGF/B,ALL,NWL,CFR,FOXA,SPB,STT,BHP,WPP,4308.T,TMUS,n/a,688101.SS,688001.SS,AZN,688226.SS,SUM
07/23/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.62,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.0,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/09/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/10/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/11/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/13/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/16/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.0,1.65,0.01,0.62,0.0,0.0,0.0,0.0,100.04999999999998
08/17/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/18/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/19/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.0,1.65,0.01,0.62,0.0,0.0,0.0,0.0,100.04999999999998
08/20/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/23/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,1.65,0.01,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/24/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,0.0,0.01,0.0,1.65,0.0,0.0,0.0,100.04999999999998
08/25/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.0,0.0,0.01,0.62,1.65,0.0,0.0,0.0,100.04999999999998
08/26/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,0.0,0.01,0.0,1.65,0.0,0.0,0.0,100.04999999999998
08/27/2021,4.46,3.42,2.84,2.5,2.51,2.3,2.34,2.6,2.27,2.38,2.65,2.47,1.87,2.1,1.62,1.61,1.52,1.62,1.52,1.57,1.52,1.52,1.43,1.42,1.2,1.64,1.49,1.29,1.15,1.35,1.31,0.86,0.98,1.19,1.15,1.17,0.62,1.18,1.1,1.04,1.03,1.09,1.25,1.02,1.03,0.81,0.65,0.86,0.87,0.85,0.77,0.81,0.77,1.35,0.7,0.74,1.12,0.71,0.73,0.65,0.71,0.67,0.62,0.64,0.66,0.32,0.0,0.66,0.56,0.53,0.56,0.45,0.36,0.39,0.42,0.33,0.0,0.31,0.34,0.28,0.27,0.1,0.62,0.0,0.01,0.0,1.65,0.0,0.0,0.0,100.04999999999998
