,CE,HUN,STLD,CC,FCX,MOS,OLN,NEM,RS,AVY,WLK,NEU,LYB,NUE,RGLD,IP,ASH,DOW,TKR,SCCO,CF,EMN,FAST,GRA,APD,AA,FMC,UNVR,ESI,ECL,ALB,IFF,VVV,CLF,HXL,SMG,X,US Dollar,MISXX,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
07/23/2021,4.97,4.76,4.95,4.61,4.43,4.64,4.63,3.81,3.94,3.81,3.58,3.83,3.69,3.81,2.66,2.49,2.57,2.43,2.47,2.53,2.39,2.43,2.08,2.01,1.98,1.89,1.91,1.93,1.95,0.91,0.97,0.84,0.83,0.81,0.8,0.83,0.8,0.0,0.06,0.0,0.0,100.03
07/26/2021,4.85,4.79,4.91,4.53,4.64,4.67,4.67,3.76,3.93,3.78,3.62,3.69,3.69,3.87,2.64,2.45,2.58,2.48,2.46,2.54,2.38,2.41,2.05,1.99,1.98,2.0,1.93,1.88,1.94,0.9,0.99,0.85,0.8,0.85,0.8,0.82,0.83,0.0,0.06,0.0,0.0,100.00999999999998
07/27/2021,4.96,4.77,4.88,4.51,4.66,4.6,4.62,3.73,3.95,3.79,3.61,3.71,3.7,3.87,2.64,2.45,2.58,2.45,2.47,2.53,2.37,2.43,2.07,1.98,1.99,1.98,1.93,1.9,1.95,0.91,0.97,0.85,0.8,0.86,0.8,0.82,0.83,0.0,0.06,0.0,0.0,99.97999999999998
07/28/2021,4.96,4.77,4.88,4.51,4.66,4.6,4.62,3.73,3.95,3.79,3.61,3.71,3.7,3.87,2.64,2.45,2.58,2.45,2.47,2.53,2.37,2.43,2.07,1.98,1.99,1.98,1.93,1.9,1.95,0.91,0.97,0.85,0.8,0.86,0.8,0.82,0.83,0.0,0.06,0.0,0.0,99.97999999999998
07/29/2021,4.9,4.8,4.96,4.49,4.78,4.61,4.63,3.69,3.95,3.78,3.58,3.67,3.71,3.95,2.61,2.42,2.55,2.49,2.44,2.56,2.36,2.43,2.02,1.95,1.95,2.05,1.91,1.9,1.95,0.9,0.98,0.84,0.8,0.87,0.81,0.81,0.85,0.0,0.05,0.0,0.0,100.0
07/30/2021,4.93,4.82,4.97,4.5,4.75,4.55,4.64,3.75,3.94,3.78,3.57,3.67,3.73,3.98,2.63,2.44,2.51,2.49,2.47,2.57,2.34,2.42,2.03,1.95,1.95,2.01,1.9,1.89,1.93,0.91,0.95,0.85,0.79,0.88,0.8,0.8,0.84,0.0,0.05,0.0,0.0,99.98
08/02/2021,4.85,4.69,5.13,4.47,4.9,4.61,4.91,3.74,3.98,3.77,3.52,3.72,3.69,4.08,2.64,2.35,2.41,2.45,2.42,2.61,2.3,2.4,1.99,1.9,1.9,2.02,1.87,1.9,1.89,0.88,1.0,0.83,0.79,0.95,0.74,0.77,0.88,0.0,0.05,0.0,0.0,100.0
08/03/2021,4.86,4.71,5.12,4.52,4.86,4.63,4.81,3.75,3.94,3.79,3.48,3.71,3.65,4.1,2.65,2.34,2.41,2.44,2.45,2.53,2.28,2.4,1.99,1.91,1.91,2.06,1.87,1.9,1.89,0.89,1.01,0.83,0.78,0.96,0.72,0.76,0.91,0.12,0.0,0.0,0.0,99.94
08/04/2021,4.86,4.71,5.12,4.52,4.86,4.63,4.81,3.75,3.94,3.79,3.48,3.71,3.65,4.1,2.65,2.34,2.41,2.44,2.45,2.53,2.28,2.4,1.99,1.91,1.91,2.06,1.87,1.9,1.89,0.89,1.01,0.83,0.78,0.96,0.72,0.76,0.91,0.12,0.0,0.0,0.0,99.94
08/05/2021,4.87,4.69,5.06,4.62,4.73,4.5,4.82,3.75,3.93,3.84,3.49,3.82,3.69,4.08,2.66,2.36,2.41,2.44,2.34,2.53,2.25,2.41,2.02,1.93,1.93,2.05,1.89,1.94,1.92,0.89,1.03,0.84,0.8,0.93,0.74,0.76,0.88,0.13,0.0,0.0,0.0,99.96999999999998
08/06/2021,4.88,4.64,5.14,4.65,4.68,4.65,4.81,3.75,3.95,3.86,3.52,3.72,3.69,4.21,2.64,2.38,2.37,2.45,2.35,2.53,2.25,2.38,2.04,1.91,1.91,2.08,1.87,1.87,1.9,0.88,1.02,0.83,0.8,0.94,0.74,0.76,0.89,0.0,0.06,0.0,0.0,100.0
08/09/2021,4.9,4.63,5.02,4.61,4.69,4.67,4.85,3.76,3.87,3.92,3.49,3.86,3.65,4.11,2.61,2.39,2.43,2.46,2.37,2.58,2.24,2.42,2.07,1.95,1.95,2.04,1.67,1.87,1.91,0.9,1.1,0.84,0.82,0.92,0.77,0.72,0.9,0.0,0.01,0.0,0.0,99.97
08/10/2021,4.9,4.63,5.02,4.61,4.69,4.67,4.85,3.76,3.87,3.92,3.49,3.86,3.65,4.11,2.61,2.39,2.43,2.46,2.37,2.58,2.24,2.42,2.07,1.95,1.95,2.04,1.67,1.87,1.91,0.9,1.1,0.84,0.82,0.92,0.77,0.72,0.9,0.0,0.01,0.0,0.0,99.97
08/11/2021,4.91,4.64,5.04,4.63,4.75,4.72,4.8,3.61,3.87,3.88,3.49,3.9,3.7,4.16,2.55,2.37,2.42,2.46,2.37,2.55,2.25,2.43,2.03,1.92,1.93,2.11,1.69,1.88,1.91,0.89,1.13,0.85,0.8,0.93,0.77,0.72,0.9,0.0,0.01,0.0,0.0,99.97
08/12/2021,4.92,4.61,5.15,4.62,4.69,4.87,4.66,3.54,3.88,3.9,3.47,3.91,3.7,4.29,2.51,2.39,2.43,2.45,2.33,2.54,2.29,2.42,2.02,1.91,1.83,2.1,1.69,1.86,1.93,0.89,1.15,0.86,0.78,0.96,0.75,0.71,0.94,0.0,0.05,0.0,0.0,100.0
08/13/2021,4.92,4.57,5.33,4.54,4.79,4.9,4.76,3.41,3.88,3.84,3.51,3.89,3.75,4.58,2.41,2.37,2.38,2.43,2.32,2.52,2.27,2.39,1.96,1.87,1.8,2.21,1.64,1.83,1.88,0.87,1.15,0.85,0.76,0.98,0.74,0.68,0.96,0.0,0.0,0.0,0.05,99.99
08/16/2021,4.93,4.49,5.61,4.54,4.75,4.87,4.77,3.38,3.85,3.77,3.46,3.89,3.75,4.79,2.4,2.35,2.35,2.44,2.36,2.47,2.29,2.4,1.95,1.84,1.77,2.25,1.61,1.8,1.9,0.86,1.13,0.84,0.77,0.96,0.75,0.66,0.94,0.0,0.07,0.0,0.0,100.01
08/17/2021,4.93,4.49,5.61,4.54,4.75,4.87,4.77,3.38,3.85,3.77,3.46,3.89,3.75,4.79,2.4,2.35,2.35,2.44,2.36,2.47,2.29,2.4,1.95,1.84,1.77,2.25,1.61,1.8,1.9,0.86,1.13,0.84,0.77,0.96,0.75,0.66,0.94,0.0,0.07,0.0,0.0,100.01
08/18/2021,4.91,4.42,5.63,4.55,4.71,4.82,4.85,3.41,3.82,3.76,3.44,3.9,3.75,4.83,2.45,2.33,2.39,2.42,2.37,2.52,2.26,2.39,1.95,1.85,1.78,2.25,1.6,1.79,1.9,0.86,1.12,0.84,0.76,0.96,0.74,0.65,0.97,0.0,0.0,0.0,0.07,100.02
08/19/2021,4.89,4.5,5.58,4.52,4.61,4.73,4.79,3.45,3.82,3.88,3.5,3.92,3.74,4.81,2.45,2.37,2.42,2.44,2.38,2.46,2.2,2.4,1.99,1.87,1.82,2.19,1.59,1.8,1.92,0.87,1.09,0.85,0.78,0.96,0.75,0.65,0.98,0.0,0.07,0.0,0.0,100.04
