,CCI,AMT,EQIX,DLR,SBAC,COR,CONE,QTS,788.HK,NXT.AX,GDS,NVDA,WDC,2344.TW,AJBU.SI,UNIT,AMD,MU,TOWR.JK,VNET,MCHP,SWCH,TBIG.JK,RADI,1686.HK,CASH,VTWR.DE,1686 HK,n/a,KDCREIT.SI,SUM
07/27/2021,13.37,13.83,12.63,9.22,5.01,4.49,4.03,3.89,3.76,3.32,2.85,2.59,2.26,2.12,1.94,1.95,1.75,1.66,1.74,1.5,1.62,1.62,1.38,0.72,0.54,0.19,0.0,0.0,0.0,0.0,99.98
07/29/2021,13.37,13.96,12.76,9.2,5.07,4.58,4.11,3.89,3.68,3.38,2.2,2.55,2.3,2.15,1.93,1.93,1.76,1.68,2.11,1.31,1.63,1.61,1.4,0.72,0.53,0.19,0.0,0.0,0.0,0.0,100.0
07/30/2021,13.53,14.07,12.94,9.29,5.11,4.62,4.14,3.89,3.61,3.37,2.03,2.54,2.23,2.14,1.95,1.94,1.74,1.63,2.02,1.2,1.59,1.59,1.38,0.72,0.52,0.18,0.0,0.0,0.0,0.0,99.96999999999998
08/02/2021,13.51,13.98,12.17,9.07,5.11,4.52,4.06,3.91,3.6,3.4,2.33,2.63,2.33,2.13,2.0,2.01,1.99,1.71,1.98,1.43,1.66,1.6,1.42,0.73,0.54,0.18,0.0,0.0,0.0,0.0,100.0
08/03/2021,13.51,13.98,12.17,9.07,5.11,4.52,4.06,3.91,3.6,3.4,2.33,2.63,2.33,2.13,2.0,2.01,1.99,1.71,1.98,1.43,1.66,1.6,1.42,0.73,0.54,0.18,0.0,0.0,0.0,0.0,100.0
08/04/2021,11.61,12.2,11.97,8.92,4.68,4.31,4.35,4.56,4.42,3.62,3.69,1.98,0.0,1.97,2.22,2.35,2.41,1.99,2.09,1.54,2.01,2.01,1.6,0.97,0.0,0.82,1.15,0.56,0.0,0.0,100.0
08/05/2021,11.54,12.17,11.88,8.9,4.67,4.3,4.38,4.53,4.56,3.71,3.71,2.0,0.0,2.02,2.22,2.32,2.45,1.98,1.99,1.57,2.03,2.01,1.58,0.96,0.55,0.21,1.74,0.0,0.0,0.0,99.97999999999998
08/06/2021,11.6,12.16,11.86,8.89,4.7,4.33,4.41,4.52,4.58,3.73,3.51,2.0,0.0,1.94,2.21,2.37,2.53,2.06,2.0,1.55,2.05,2.0,1.58,0.97,0.55,0.21,1.7,0.0,0.0,0.0,100.01
08/10/2021,11.53,12.03,11.95,8.9,4.69,4.31,4.52,4.5,4.61,3.7,3.57,2.07,0.0,2.05,2.22,2.39,2.51,2.07,1.91,1.51,2.08,1.95,1.56,0.95,0.54,0.0,1.68,0.0,0.21,0.0,100.01
08/11/2021,11.49,11.94,11.74,8.91,4.67,4.31,4.54,4.47,4.58,3.67,3.64,2.03,0.0,1.94,2.19,2.6,2.45,2.07,1.89,1.58,2.07,2.32,1.54,0.96,0.54,0.0,1.67,0.0,0.21,0.0,100.02
08/13/2021,11.46,11.85,11.62,8.91,4.67,4.31,4.52,4.55,4.49,3.78,3.67,2.02,0.0,1.94,2.22,2.61,2.41,1.95,1.84,1.68,2.11,2.38,1.48,0.99,0.55,0.0,1.76,0.0,0.21,0.0,99.98
08/16/2021,11.52,11.98,11.74,9.03,4.76,4.38,4.58,4.52,4.46,3.67,3.73,2.0,0.0,1.76,2.18,2.62,2.39,1.79,1.87,1.68,2.11,2.33,1.49,0.99,0.55,0.0,1.71,0.0,0.19,0.0,100.03
08/18/2021,11.58,12.07,11.74,9.1,4.79,4.4,4.56,4.51,4.4,3.68,3.58,2.03,0.0,1.63,2.15,2.61,2.48,1.8,1.86,1.66,2.11,2.31,1.5,0.99,0.54,0.0,1.73,0.0,0.19,0.0,100.0
08/19/2021,11.58,12.08,11.83,9.23,4.77,4.45,4.59,4.51,4.4,3.69,3.45,2.0,0.0,1.66,2.17,2.6,2.41,1.8,1.86,1.6,2.09,2.29,1.47,0.97,0.54,0.0,1.72,0.0,0.22,0.0,99.98000000000002
08/20/2021,11.72,12.25,11.96,9.26,4.88,4.48,4.56,4.52,4.36,3.63,3.29,1.96,0.0,1.64,2.15,2.59,2.42,1.8,1.87,1.45,2.03,2.24,1.47,0.99,0.54,0.0,1.71,0.0,0.23,0.0,100.0
08/23/2021,11.79,12.36,12.05,9.33,4.89,4.5,4.55,4.52,4.36,3.65,3.12,1.99,0.0,1.65,2.15,2.52,2.33,1.79,1.8,1.41,2.01,2.28,1.46,1.0,0.54,0.0,1.7,0.0,0.24,0.0,99.99
08/24/2021,11.79,12.36,12.05,9.33,4.89,4.5,4.55,4.52,4.36,3.65,3.12,1.99,0.0,1.65,2.15,2.52,2.33,1.79,1.8,1.41,2.01,2.28,1.46,1.0,0.54,0.0,1.7,0.0,0.24,0.0,99.99
08/25/2021,11.74,12.37,12.02,9.28,4.89,4.51,4.59,4.5,4.26,3.61,3.08,2.09,0.0,1.61,2.14,2.56,2.34,1.78,1.82,1.4,2.01,2.28,1.57,1.03,0.54,0.0,1.71,0.0,0.24,0.0,99.97
08/26/2021,11.56,12.21,11.96,9.2,4.81,4.45,4.56,4.48,4.28,3.72,3.26,2.19,0.0,1.66,2.13,2.56,2.42,1.81,1.89,1.43,2.04,2.29,1.58,1.08,0.53,0.0,1.67,0.0,0.24,0.0,100.01
08/27/2021,11.42,12.11,11.81,9.22,4.76,4.42,4.54,4.51,4.3,3.79,3.47,2.18,0.0,1.64,2.15,2.53,2.41,1.83,1.86,1.6,2.05,2.32,1.53,1.09,0.54,0.0,1.66,0.0,0.24,0.0,99.98
08/30/2021,11.27,12.07,11.9,9.08,4.75,4.41,4.46,4.52,4.31,3.73,3.51,2.22,0.0,1.66,2.14,2.53,2.4,1.85,1.83,1.76,2.17,2.35,1.46,1.09,0.54,0.0,1.74,0.0,0.24,0.0,99.99
08/31/2021,11.27,12.07,11.9,9.08,4.75,4.41,4.46,4.52,4.31,3.73,3.51,2.22,0.0,1.66,2.14,2.53,2.4,1.85,1.83,1.76,2.17,2.35,1.46,1.09,0.54,0.0,1.74,0.0,0.24,0.0,99.99
09/01/2021,11.36,12.19,11.91,9.16,4.78,4.41,4.53,4.53,4.32,3.56,3.17,2.28,0.0,1.66,2.15,2.55,2.5,1.88,1.84,1.57,2.22,2.35,1.44,1.12,0.54,0.0,1.75,0.0,0.24,0.0,100.01
09/02/2021,11.79,12.83,12.5,9.58,5.01,4.68,4.78,0.0,4.5,3.68,3.57,2.35,0.0,1.75,2.22,2.7,2.57,1.92,1.97,1.71,2.28,2.45,1.56,1.13,0.56,0.0,1.82,0.0,0.06,0.0,99.97
09/03/2021,11.85,12.76,12.46,9.6,4.98,4.69,4.76,0.0,4.43,3.79,3.7,2.31,0.0,1.73,2.19,2.66,2.54,1.92,1.96,1.79,2.24,2.45,1.6,1.15,0.58,0.0,1.81,0.0,0.06,0.0,100.01
09/06/2021,11.76,12.83,12.61,9.6,4.97,4.75,4.8,0.0,4.41,3.88,3.83,2.25,0.0,1.72,2.17,2.61,2.45,1.88,1.96,1.81,2.17,2.5,1.5,1.13,0.56,0.0,1.81,0.0,0.05,0.0,100.01
09/08/2021,11.71,12.78,12.64,9.51,4.93,4.72,4.84,0.0,4.42,3.93,3.86,2.28,0.0,1.76,2.15,2.6,2.45,1.86,1.97,1.91,2.16,2.49,1.52,1.11,0.55,0.0,1.8,0.0,0.05,0.0,100.0
09/09/2021,11.71,12.78,12.64,9.51,4.93,4.72,4.84,0.0,4.42,3.93,3.86,2.28,0.0,1.76,2.15,2.6,2.45,1.86,1.97,1.91,2.16,2.49,1.52,1.11,0.55,0.0,1.8,0.0,0.05,0.0,100.0
09/10/2021,11.61,12.74,12.7,9.5,4.94,4.69,4.79,0.0,4.4,3.93,4.05,2.28,0.0,1.73,2.18,2.58,2.44,1.87,1.92,1.96,2.17,2.51,1.52,1.12,0.55,0.0,1.76,0.0,0.04,0.0,99.98
09/13/2021,11.66,12.9,12.56,9.2,4.97,4.72,4.76,0.0,4.58,3.82,3.99,2.27,0.0,1.72,2.21,2.62,2.42,1.89,2.02,1.93,2.21,2.56,1.53,1.11,0.55,0.0,1.76,0.0,0.04,0.0,100.0
09/14/2021,11.66,12.9,12.56,9.2,4.97,4.72,4.76,0.0,4.58,3.82,3.99,2.27,0.0,1.72,2.21,2.62,2.42,1.89,2.02,1.93,2.21,2.56,1.53,1.11,0.55,0.0,1.76,0.0,0.04,0.0,100.0
09/15/2021,11.52,12.89,12.52,9.14,4.92,4.69,4.79,0.0,4.62,3.91,3.92,2.33,0.0,1.78,2.26,2.6,2.43,1.92,2.01,1.92,2.25,2.58,1.52,1.12,0.57,0.0,1.75,0.0,0.04,0.0,100.0
09/16/2021,11.54,12.95,12.47,9.05,4.93,4.66,4.75,0.0,4.58,3.91,3.93,2.29,0.0,1.76,2.24,2.65,2.42,1.95,2.01,1.91,2.3,2.6,1.5,1.11,0.55,0.0,1.76,0.0,0.18,0.0,100.0
09/17/2021,11.59,13.02,12.4,9.08,4.98,4.7,4.76,0.0,4.58,3.89,3.88,2.3,0.0,1.74,2.24,2.64,2.44,1.92,1.99,1.83,2.3,2.59,1.54,1.11,0.55,0.0,1.74,0.0,0.18,0.0,99.99
09/20/2021,11.56,13.02,12.64,9.19,4.95,4.75,4.81,0.0,4.48,3.9,3.67,2.3,0.0,1.69,2.23,2.61,2.45,1.95,1.97,1.73,2.33,2.64,1.54,1.12,0.54,0.0,1.73,0.0,0.21,0.0,100.01
09/21/2021,11.56,13.02,12.64,9.19,4.95,4.75,4.81,0.0,4.48,3.9,3.67,2.3,0.0,1.69,2.23,2.61,2.45,1.95,1.97,1.73,2.33,2.64,1.54,1.12,0.54,0.0,1.73,0.0,0.21,0.0,100.01
09/22/2021,11.51,12.86,12.92,9.21,4.91,4.74,4.79,0.0,4.52,3.97,3.76,2.26,0.0,1.63,2.22,2.62,2.39,1.94,1.98,1.76,2.3,2.63,1.53,1.07,0.54,0.0,1.73,0.0,0.21,0.0,100.0
09/23/2021,11.59,12.94,12.77,9.37,4.99,4.81,4.88,0.0,4.5,3.91,3.65,2.21,0.0,1.66,2.23,2.64,2.37,1.92,1.98,1.62,2.27,2.59,1.59,1.06,0.53,0.0,1.72,0.0,0.21,0.0,100.01
09/24/2021,11.61,12.94,12.72,9.35,5.0,4.83,4.89,0.0,4.49,3.88,3.68,2.22,0.0,1.65,2.22,2.64,2.4,1.91,1.96,1.62,2.28,2.59,1.57,1.08,0.53,0.0,1.76,0.0,0.21,0.0,100.03
09/27/2021,11.38,12.76,12.68,9.19,4.98,4.77,4.8,0.0,4.44,4.0,3.83,2.34,0.0,1.6,2.25,2.63,2.47,1.96,1.96,1.66,2.39,2.63,1.59,1.13,0.53,0.0,1.77,0.0,0.24,0.0,99.98
09/28/2021,11.38,12.76,12.68,9.19,4.98,4.77,4.8,0.0,4.44,4.0,3.83,2.34,0.0,1.6,2.25,2.63,2.47,1.96,1.96,1.66,2.39,2.63,1.59,1.13,0.53,0.0,1.77,0.0,0.24,0.0,99.98
09/29/2021,11.41,12.62,12.67,9.21,4.93,4.78,4.75,0.0,4.55,3.97,3.72,2.33,0.0,1.65,2.25,2.64,2.5,1.99,1.97,1.64,2.43,2.66,1.58,1.13,0.53,0.0,1.8,0.0,0.3,0.0,100.01
09/30/2021,11.32,12.56,12.49,9.08,4.9,4.7,4.71,0.0,4.64,3.92,3.83,2.33,0.0,1.7,2.3,2.67,2.61,2.06,2.03,1.68,2.49,2.62,1.6,1.12,0.54,0.0,1.79,0.0,0.3,0.0,99.99
10/01/2021,11.36,12.51,12.58,9.12,4.9,4.75,5.1,0.0,4.7,3.75,3.79,2.28,0.0,1.69,2.31,2.7,2.48,2.02,2.03,1.63,2.4,2.63,1.62,1.11,0.55,0.0,1.81,0.0,0.17,0.0,99.99
10/04/2021,11.34,12.46,12.55,9.1,4.92,4.7,5.13,0.0,4.74,3.65,3.84,2.31,0.0,1.66,2.31,2.7,2.53,1.98,2.07,1.68,2.35,2.69,1.61,1.12,0.55,0.0,1.84,0.0,0.17,0.0,100.0
10/05/2021,11.34,12.46,12.55,9.1,4.92,4.7,5.13,0.0,4.74,3.65,3.84,2.31,0.0,1.66,2.31,2.7,2.53,1.98,2.07,1.68,2.35,2.69,1.61,1.12,0.55,0.0,1.84,0.0,0.17,0.0,100.0
10/06/2021,11.33,12.52,12.54,9.14,4.97,4.75,5.18,0.0,4.74,3.61,3.75,2.31,0.0,1.6,2.28,2.7,2.52,1.98,2.04,1.64,2.34,2.72,1.63,1.14,0.55,0.0,1.84,0.0,0.17,0.0,99.99
10/07/2021,11.44,12.54,12.56,9.22,5.01,4.84,5.15,0.0,4.73,3.67,3.66,2.21,0.0,1.58,2.27,2.74,2.49,1.99,2.06,1.56,2.26,2.7,1.66,1.14,0.55,0.0,1.83,0.0,0.17,0.0,100.03
10/08/2021,11.46,12.62,12.26,9.13,5.01,4.79,5.15,0.0,4.77,3.63,3.77,2.31,0.0,1.63,2.25,2.75,2.55,2.0,1.99,1.6,2.3,2.73,1.59,1.17,0.53,0.0,1.85,0.0,0.17,0.0,100.01
10/11/2021,11.34,12.53,12.2,9.08,5.05,4.8,5.15,0.0,4.71,3.59,4.16,2.35,0.0,1.6,2.23,2.72,2.63,1.98,1.95,1.71,2.29,2.7,1.57,1.17,0.54,0.0,1.8,0.0,0.17,0.0,100.02
10/12/2021,11.34,12.53,12.2,9.08,5.05,4.8,5.15,0.0,4.71,3.59,4.16,2.35,0.0,1.6,2.23,2.72,2.63,1.98,1.95,1.71,2.29,2.7,1.57,1.17,0.54,0.0,1.8,0.0,0.17,0.0,100.02
10/13/2021,11.31,12.52,12.13,9.02,5.0,4.78,5.08,0.0,4.82,3.66,4.13,2.36,0.0,1.62,2.27,2.69,2.63,1.99,2.0,1.71,2.28,2.67,1.63,1.19,0.55,0.0,1.81,0.0,0.17,0.0,100.02
10/14/2021,11.3,12.57,12.18,9.0,5.03,4.8,5.14,0.0,4.9,3.69,4.01,2.35,0.0,1.63,2.23,2.64,2.64,1.98,1.99,1.67,2.25,2.66,1.61,1.19,0.56,0.0,1.81,0.0,0.17,0.0,100.0
10/15/2021,11.39,12.67,12.3,9.11,5.07,4.82,5.14,0.0,4.93,3.64,3.92,2.34,0.0,1.58,0.0,2.63,2.64,1.9,1.99,1.57,2.2,2.64,1.59,1.19,0.56,0.0,1.8,0.0,0.16,2.21,99.99
10/18/2021,11.22,12.59,12.23,9.39,4.87,4.8,5.09,0.0,4.72,3.76,3.96,2.42,0.0,1.57,0.0,2.6,2.76,1.9,1.95,1.67,2.22,2.67,1.56,1.16,0.54,0.0,1.82,0.0,0.29,2.24,100.0
10/19/2021,11.22,12.59,12.23,9.39,4.87,4.8,5.09,0.0,4.72,3.76,3.96,2.42,0.0,1.57,0.0,2.6,2.76,1.9,1.95,1.67,2.22,2.67,1.56,1.16,0.54,0.0,1.82,0.0,0.29,2.24,100.0
10/21/2021,11.01,12.61,12.21,9.32,4.83,4.79,5.13,0.0,4.8,3.77,4.01,2.48,0.0,1.59,0.0,2.64,2.87,1.88,1.88,1.69,2.27,2.64,1.61,1.18,0.55,0.0,1.85,0.0,0.16,2.23,100.0
10/22/2021,11.17,12.65,12.22,9.32,4.89,4.71,5.06,0.0,4.82,3.67,4.23,2.45,0.0,1.52,0.0,2.61,2.83,1.86,1.85,1.79,2.26,2.61,1.57,1.18,0.55,0.0,1.85,0.0,0.15,2.19,100.01000000000002
10/25/2021,11.19,12.59,12.36,9.37,4.87,4.75,5.3,0.0,4.65,3.57,4.09,2.43,0.0,1.5,2.14,3.02,2.82,1.84,1.8,1.72,2.24,2.6,1.52,1.15,0.53,0.0,1.8,0.0,0.14,0.0,99.99
10/26/2021,11.19,12.59,12.36,9.37,4.87,4.75,5.3,0.0,4.65,3.57,4.09,2.43,0.0,1.5,0.0,3.02,2.82,1.84,1.8,1.72,2.24,2.6,1.52,1.15,0.53,0.0,1.8,0.0,0.14,2.14,99.99
10/27/2021,11.2,12.76,12.45,9.44,4.92,4.7,5.17,0.0,4.63,3.55,4.06,2.41,0.0,1.5,0.0,2.99,2.82,1.8,1.79,1.7,2.2,2.59,1.55,1.15,0.52,0.0,1.81,0.0,0.14,2.13,99.98
10/28/2021,11.1,12.76,12.47,9.43,4.97,4.72,5.17,0.0,4.62,3.53,4.03,2.46,0.0,1.54,0.0,3.0,2.88,1.84,1.79,1.69,2.22,2.55,1.51,1.14,0.52,0.0,1.78,0.0,0.14,2.15,100.01
10/29/2021,11.22,12.82,12.57,9.43,5.02,4.72,5.14,0.0,4.61,3.55,3.86,2.62,0.0,1.56,0.0,2.96,2.88,1.83,1.77,1.55,2.15,2.56,1.5,1.14,0.52,0.0,1.78,0.0,0.13,2.12,100.01
11/01/2021,11.28,12.73,12.73,9.56,4.99,4.67,5.16,0.0,4.5,3.55,3.96,2.62,0.0,1.55,2.12,2.95,2.83,1.84,1.71,1.53,2.16,2.51,1.47,1.13,0.51,0.0,1.78,0.0,0.14,0.0,99.98
11/02/2021,11.28,12.73,12.73,9.56,4.99,4.67,5.16,0.0,4.5,3.55,3.96,2.62,0.0,1.55,2.12,2.95,2.83,1.84,1.71,1.53,2.16,2.51,1.47,1.13,0.51,0.0,1.78,0.0,0.14,0.0,99.98
11/03/2021,11.29,12.66,12.69,9.51,4.93,4.63,5.21,0.0,4.5,3.54,3.86,2.71,0.0,1.58,2.14,2.99,2.83,1.85,1.75,1.45,2.17,2.56,1.55,1.14,0.52,0.0,1.79,0.0,0.14,0.0,99.99
11/04/2021,11.28,12.57,12.49,9.45,4.92,4.75,5.23,0.0,4.5,3.55,3.95,2.72,0.0,1.57,2.12,3.0,2.93,1.88,1.71,1.58,2.24,2.57,1.47,1.12,0.5,0.0,1.76,0.0,0.15,0.0,100.01000000000002
11/05/2021,11.33,12.57,12.57,9.43,5.06,4.75,5.24,0.0,4.45,3.52,3.77,2.77,0.0,1.56,2.1,2.95,2.98,1.87,1.7,1.55,2.29,2.57,1.45,1.12,0.5,0.0,1.75,0.0,0.15,0.0,100.0
11/09/2021,11.25,12.44,12.1,9.34,4.91,4.93,5.2,0.0,4.51,3.56,3.7,3.14,0.0,1.58,2.11,2.88,3.21,1.92,1.7,1.5,2.42,2.64,1.42,1.12,0.51,0.0,1.76,0.0,0.15,0.0,100.0
11/10/2021,11.28,12.48,11.86,9.37,4.91,4.99,5.21,0.0,4.49,3.54,3.79,3.16,0.0,1.61,2.12,2.9,3.21,1.95,1.79,1.51,2.52,2.34,1.45,1.11,0.51,0.0,1.76,0.0,0.15,0.0,100.01
11/11/2021,11.17,12.41,11.83,9.33,4.92,5.07,5.14,0.0,4.45,3.44,3.76,3.24,0.0,1.63,2.1,2.83,3.51,1.98,1.78,1.55,2.45,2.41,1.46,1.14,0.5,0.0,1.76,0.0,0.14,0.0,100.0
11/12/2021,11.17,12.4,11.93,9.34,4.92,5.15,5.1,0.0,4.43,3.43,3.78,3.21,0.0,1.67,2.08,2.83,3.46,1.99,1.76,1.52,2.4,2.4,1.44,1.18,0.5,0.0,1.77,0.0,0.14,0.0,100.0
11/15/2021,11.27,12.19,11.7,9.23,4.87,5.27,5.23,0.0,4.47,3.37,3.97,3.21,0.0,1.69,2.09,2.82,3.43,1.99,1.75,1.6,2.44,2.39,1.48,1.13,0.51,0.0,1.75,0.0,0.14,0.0,99.99
11/16/2021,11.18,12.07,11.61,9.3,4.84,5.34,5.36,0.0,4.43,3.4,3.96,3.19,0.0,1.74,2.06,2.77,3.44,2.04,1.74,1.64,2.42,2.41,1.48,1.2,0.5,0.0,1.72,0.0,0.14,0.0,99.98
11/17/2021,11.18,12.07,11.61,9.3,4.84,5.34,5.36,0.0,4.43,3.4,3.96,3.19,0.0,1.74,2.06,2.77,3.44,2.04,1.74,1.64,2.42,2.41,1.48,1.2,0.5,0.0,1.72,0.0,0.14,0.0,99.98
11/18/2021,11.22,11.47,11.81,9.52,4.87,5.49,5.57,0.0,4.4,3.53,3.75,3.12,0.0,1.78,2.06,2.86,3.38,2.01,1.7,1.59,2.39,2.47,1.46,1.18,0.49,0.0,1.7,0.0,0.17,0.0,99.99
11/19/2021,11.02,11.36,11.78,9.52,4.83,5.44,5.52,0.0,4.43,3.56,3.81,3.13,0.0,1.8,2.05,2.85,3.51,2.01,1.73,1.56,2.42,2.58,1.49,1.2,0.5,0.0,1.73,0.0,0.18,0.0,100.01
11/22/2021,11.27,11.27,11.79,9.64,4.87,5.43,5.53,0.0,4.42,3.63,3.77,3.03,0.0,1.77,2.04,2.87,3.47,1.97,1.74,1.48,2.36,2.64,1.47,1.17,0.5,0.0,1.7,0.0,0.19,0.0,100.02
11/23/2021,11.27,11.27,11.79,9.64,4.87,5.43,5.53,0.0,4.42,3.63,3.77,3.03,0.0,1.77,2.04,2.87,3.47,1.97,1.74,1.48,2.36,2.64,1.47,1.17,0.5,0.0,1.7,0.0,0.19,0.0,100.02
11/24/2021,11.21,11.42,11.65,9.72,4.79,5.42,5.53,0.0,4.42,3.6,3.48,3.41,0.0,1.74,2.03,2.84,3.56,2.16,1.73,1.17,2.36,2.68,1.49,1.15,0.49,0.0,1.75,0.0,0.19,0.0,99.99
11/25/2021,11.18,11.35,11.56,9.65,4.81,5.45,5.57,0.0,4.41,3.56,3.58,3.33,0.0,1.87,2.04,2.81,3.52,2.2,1.78,1.24,2.38,2.71,1.47,1.11,0.49,0.0,1.74,0.0,0.18,0.0,99.99
11/26/2021,11.27,11.53,11.58,9.75,4.88,5.43,5.56,0.0,4.44,3.36,3.57,3.3,0.0,1.84,2.03,2.82,3.46,2.24,1.76,1.09,2.4,2.64,1.54,1.11,0.49,0.0,1.74,0.0,0.18,0.0,100.01
11/29/2021,11.33,11.56,11.72,9.71,4.9,5.39,5.5,0.0,4.35,3.32,3.55,3.36,0.0,1.82,2.02,2.8,3.6,2.24,1.73,1.05,2.39,2.65,1.56,1.11,0.48,0.0,1.69,0.0,0.18,0.0,100.01
11/30/2021,11.33,11.56,11.72,9.71,4.9,5.39,5.5,0.0,4.35,3.32,3.55,3.36,0.0,1.82,2.02,2.8,3.6,2.24,1.73,1.05,2.39,2.65,1.56,1.11,0.48,0.0,1.69,0.0,0.18,0.0,100.01
12/06/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,99.98
12/07/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,99.97999999999999
