,Us Dollars,ORCL,GOOGL,AAPL,IT,CRUS,AYI,MSCI,TGT,MTD,HCA,ORLY,BRKR,WAT,TPX,WH,CHTR,CHDN,AN,FICO,QCOM,HPQ,TMO,QRVO,A,AMED,ANTM,CE,WSM,NSC,VOYA,GWW,UNP,WMT,PII,HD,MOH,KR,LB,STT,DG,TTC,DECK,HON,FB,CDW,DD,FCN,CMI,SHW,TXT,HSY,LOW,NVR,EBAY,ODFL,ATUS,LII,KSU,CI,LKQ,ALL,DVA,AMP,BRK.B,SEE,MAS,MET,BWA,CSL,EQH,KEYS,LPX,SPOT,NUE,NXST,JEF,LRCX,GS,RHI,L,KLAC,ARW,FL,KSS,BBY,GNTX,BEN,SLM,VVV,MAN,PHM,FNF,OC,TOL,QRTEA,MHK,BOKF,AOS,ACM,AFG,VSCO WI,n/a,SUM
07/23/2021,0.55,1.13,1.05,1.08,1.06,1.01,0.95,1.08,1.07,1.07,1.06,1.07,1.06,1.07,0.94,0.94,1.02,0.92,1.12,1.07,1.02,0.94,1.06,1.0,1.03,1.01,1.04,1.0,1.0,0.98,1.0,1.05,0.99,1.05,0.98,1.03,1.01,1.11,0.98,0.98,1.07,1.03,0.99,1.03,0.99,1.01,0.96,1.02,1.0,1.06,0.95,1.07,1.02,0.95,1.01,1.0,0.99,0.94,0.95,0.99,1.0,0.99,0.99,0.98,1.01,0.96,1.04,0.95,0.95,1.03,0.94,1.04,0.88,0.93,0.96,0.93,0.98,0.96,0.97,0.98,0.97,0.97,0.97,0.9,0.89,0.96,0.95,0.92,0.96,0.95,0.96,0.94,0.99,0.94,0.93,0.92,0.94,0.93,0.99,0.95,1.01,0.0,0.0,100.02
07/26/2021,0.54,1.15,1.05,1.08,1.04,1.01,0.95,1.08,1.06,1.06,1.17,1.07,1.07,1.08,0.95,0.95,1.0,0.97,1.19,1.1,1.01,0.92,1.04,0.99,1.02,0.99,1.01,0.98,0.97,0.99,1.0,1.03,0.99,1.02,1.0,1.02,1.01,1.05,1.04,1.02,1.04,1.0,1.02,1.06,1.0,1.01,0.95,0.99,0.99,1.03,0.99,1.02,1.01,0.97,1.03,0.99,0.98,0.91,0.95,0.98,1.0,0.97,0.98,0.99,1.0,0.92,1.01,0.96,0.95,1.03,0.96,1.04,0.89,0.91,0.97,0.95,0.98,1.0,0.99,0.97,0.97,1.01,0.98,0.93,0.91,0.95,0.95,0.92,0.91,0.91,0.91,0.94,1.0,0.93,0.94,0.91,0.95,0.93,0.96,0.98,1.02,0.0,0.0,99.97
07/27/2021,0.53,1.1,1.08,1.08,1.04,1.0,0.94,1.08,1.07,1.06,1.17,1.08,1.07,1.09,0.95,0.95,1.0,0.95,1.18,1.09,1.02,0.92,1.04,0.99,1.03,1.0,0.99,0.99,0.97,0.98,1.0,1.03,0.98,1.02,0.99,1.03,1.02,1.04,1.05,1.01,1.05,1.01,1.03,1.03,1.04,1.02,0.94,1.0,0.98,1.03,0.98,1.03,1.02,0.98,1.04,1.01,0.99,0.92,0.95,0.97,1.0,0.97,0.98,0.98,0.99,0.92,1.01,0.95,0.95,1.03,0.95,1.03,0.88,0.9,0.97,0.95,0.95,1.0,0.99,1.03,0.96,1.01,0.98,0.93,0.89,0.97,0.95,0.9,0.9,0.92,0.94,0.96,1.0,0.94,0.96,0.91,0.97,0.93,0.96,0.98,1.0,0.0,0.0,100.02
07/28/2021,0.53,1.1,1.08,1.08,1.04,1.0,0.94,1.08,1.07,1.06,1.17,1.08,1.07,1.09,0.95,0.95,1.0,0.95,1.18,1.09,1.02,0.92,1.04,0.99,1.03,1.0,0.99,0.99,0.97,0.98,1.0,1.03,0.98,1.02,0.99,1.03,1.02,1.04,1.05,1.01,1.05,1.01,1.03,1.03,1.04,1.02,0.94,1.0,0.98,1.03,0.98,1.03,1.02,0.98,1.04,1.01,0.99,0.92,0.95,0.97,1.0,0.97,0.98,0.98,0.99,0.92,1.01,0.95,0.95,1.03,0.95,1.03,0.88,0.9,0.97,0.95,0.95,1.0,0.99,1.03,0.96,1.01,0.98,0.93,0.89,0.97,0.95,0.9,0.9,0.92,0.94,0.96,1.0,0.94,0.96,0.91,0.97,0.93,0.96,0.98,1.0,0.0,0.0,100.02
07/29/2021,0.54,1.1,1.09,1.08,1.05,0.99,0.96,1.07,1.07,1.05,1.15,1.07,1.05,1.08,0.95,0.95,1.0,0.95,1.17,1.07,1.01,0.93,1.03,0.98,1.01,0.97,0.98,1.0,0.97,0.98,1.0,1.02,0.98,1.02,1.03,1.02,1.0,1.03,1.05,1.02,1.05,1.0,1.04,1.03,1.05,1.02,0.94,1.0,0.97,1.03,0.98,1.02,1.0,0.96,1.04,1.0,1.01,0.94,0.93,0.95,1.01,0.97,0.97,0.99,0.99,0.93,1.0,0.95,0.96,1.03,0.96,1.03,0.89,0.89,1.0,0.95,0.96,1.0,0.99,1.04,0.97,1.01,0.99,0.93,0.92,0.98,0.95,0.92,0.88,0.92,0.94,0.95,1.01,0.93,0.95,0.92,0.96,0.94,0.96,0.97,1.0,0.0,0.0,99.94
07/30/2021,0.54,1.1,1.07,1.07,1.07,0.99,0.96,1.09,1.06,1.07,1.17,1.07,1.05,1.08,0.92,0.97,1.0,0.95,1.2,1.05,1.0,0.93,1.04,0.96,1.01,0.97,0.99,1.0,0.96,0.98,1.01,1.02,0.98,1.02,0.97,1.02,1.02,1.05,1.05,1.02,1.06,1.0,1.02,1.04,1.04,1.03,0.94,1.01,0.97,1.04,0.99,1.03,0.99,0.98,1.03,1.0,0.99,0.95,0.92,0.96,0.99,0.98,0.98,0.99,1.0,0.93,1.01,0.95,0.96,1.04,0.95,1.03,0.9,0.88,1.01,0.96,0.97,0.98,0.99,1.06,0.97,0.98,0.99,0.91,0.91,0.98,0.97,0.91,0.89,0.92,0.95,0.95,1.02,0.92,0.95,0.91,0.96,0.94,0.97,0.97,1.0,0.0,0.0,100.0
08/02/2021,0.56,1.09,1.09,1.05,1.05,0.96,0.96,1.1,1.06,1.07,1.16,1.02,1.06,1.1,1.03,0.99,0.97,0.92,1.21,1.03,1.05,0.93,1.04,0.99,1.02,0.96,0.99,1.0,0.97,0.94,1.02,1.02,0.96,1.01,0.95,1.01,0.98,1.05,1.06,1.03,1.06,1.0,1.03,1.04,1.0,1.02,0.94,1.03,0.95,1.04,0.99,1.01,0.97,0.99,1.03,1.02,0.89,0.95,0.91,0.95,1.01,0.98,0.96,1.02,0.99,0.93,0.98,0.95,0.98,1.04,0.99,1.04,0.92,0.82,1.05,0.96,0.97,0.96,0.99,1.08,0.96,1.0,1.01,0.89,0.89,0.97,0.99,0.91,0.89,0.93,0.98,0.97,1.0,0.95,0.99,0.9,0.98,0.96,0.96,0.98,1.0,0.0,0.0,100.01
08/03/2021,0.56,1.09,1.09,1.05,1.05,0.96,0.96,1.1,1.06,1.07,1.16,1.02,1.06,1.1,1.03,0.99,0.97,0.92,1.21,1.03,1.05,0.93,1.04,0.99,1.02,0.96,0.99,1.0,0.97,0.94,1.02,1.02,0.96,1.01,0.95,1.01,0.98,1.05,1.06,1.03,1.06,1.0,1.03,1.04,1.0,1.02,0.94,1.03,0.95,1.04,0.99,1.01,0.97,0.99,1.03,1.02,0.89,0.95,0.91,0.95,1.01,0.98,0.96,1.02,0.99,0.93,0.98,0.95,0.98,1.04,0.99,1.04,0.92,0.82,1.05,0.96,0.97,0.96,0.99,1.08,0.96,1.0,1.01,0.89,0.89,0.97,0.99,0.91,0.89,0.93,0.98,0.97,1.0,0.95,0.99,0.9,0.98,0.96,0.96,0.98,1.0,0.0,0.0,100.01
08/04/2021,0.56,1.09,1.09,1.05,1.05,0.96,0.96,1.1,1.06,1.07,1.16,1.02,1.06,1.1,1.03,0.99,0.97,0.92,1.21,1.03,1.05,0.93,1.04,0.99,1.02,0.96,0.99,1.0,0.97,0.94,1.02,1.02,0.96,1.01,0.95,1.01,0.98,1.05,1.06,1.03,1.06,1.0,1.03,1.04,1.0,1.02,0.94,1.03,0.95,1.04,0.99,1.01,0.97,0.99,1.03,1.02,0.89,0.95,0.91,0.95,1.01,0.98,0.96,1.02,0.99,0.93,0.98,0.95,0.98,1.04,0.99,1.04,0.92,0.82,1.05,0.96,0.97,0.96,0.99,1.08,0.96,1.0,1.01,0.89,0.89,0.97,0.99,0.91,0.89,0.93,0.98,0.97,1.0,0.95,0.99,0.9,0.98,0.96,0.96,0.98,1.0,0.0,0.0,100.01
08/05/2021,0.56,1.09,1.09,1.05,1.05,0.96,0.96,1.1,1.06,1.07,1.16,1.02,1.06,1.1,1.03,0.99,0.97,0.92,1.21,1.03,1.05,0.93,1.04,0.99,1.02,0.96,0.99,1.0,0.97,0.94,1.02,1.02,0.96,1.01,0.95,1.01,0.98,1.05,1.06,1.03,1.06,1.0,1.03,1.04,1.0,1.02,0.94,1.03,0.95,1.04,0.99,1.01,0.97,0.99,1.03,1.02,0.89,0.95,0.91,0.95,1.01,0.98,0.96,1.02,0.99,0.93,0.98,0.95,0.98,1.04,0.99,1.04,0.92,0.82,1.05,0.96,0.97,0.96,0.99,1.08,0.96,1.0,1.01,0.89,0.89,0.97,0.99,0.91,0.89,0.93,0.98,0.97,1.0,0.95,0.99,0.9,0.98,0.96,0.96,0.98,1.0,0.0,0.0,100.01
08/06/2021,0.57,1.1,1.08,1.05,1.16,0.91,0.97,1.13,1.05,1.05,1.17,1.04,1.03,1.09,1.0,0.94,1.04,0.89,1.19,0.99,1.02,0.95,1.03,0.98,1.02,0.97,1.0,1.0,0.97,0.94,1.03,0.98,0.96,1.01,0.97,1.01,1.06,1.09,0.88,1.02,1.05,1.01,1.07,1.03,0.97,1.02,0.92,1.03,0.94,1.05,1.01,1.01,0.97,0.99,0.95,1.03,0.85,0.93,0.91,0.96,1.01,0.96,0.98,1.01,0.98,0.96,1.0,0.94,0.98,1.03,0.99,1.06,0.89,0.79,1.07,0.95,0.97,0.99,0.98,1.08,0.95,1.08,1.01,0.87,0.9,0.96,0.98,0.93,0.88,0.93,0.96,0.97,0.96,0.94,0.99,0.9,0.98,0.96,0.97,0.96,0.99,0.26,0.0,99.99
08/09/2021,0.0,1.1,1.09,1.05,1.17,0.93,0.98,1.15,1.06,1.08,1.16,1.03,1.04,1.11,1.01,0.95,1.04,0.94,1.18,0.95,1.02,0.94,1.05,0.98,1.03,0.75,0.96,0.98,0.97,0.93,1.03,0.97,0.96,1.03,0.97,1.02,1.03,1.07,0.83,1.02,1.06,1.01,1.09,1.02,1.01,1.06,0.93,1.03,0.93,1.05,1.02,1.01,0.96,1.0,0.94,1.03,0.83,0.93,0.94,0.85,0.98,0.94,1.04,1.02,0.98,0.96,1.01,0.95,0.93,1.04,1.01,1.06,0.9,0.8,1.03,0.98,0.99,0.99,1.0,1.09,0.96,1.1,1.0,0.85,0.92,0.97,0.95,0.95,0.88,0.93,0.95,0.94,1.03,0.94,0.97,0.88,0.99,0.97,0.97,0.96,1.03,0.26,0.58,99.93999999999998
08/10/2021,0.0,1.1,1.08,1.04,1.16,0.92,0.99,1.15,1.05,1.07,1.16,1.03,1.06,1.1,0.99,0.95,1.04,0.96,1.17,0.93,1.01,0.94,1.04,0.98,1.03,0.71,0.97,0.99,0.94,0.93,1.06,0.97,0.97,1.02,0.95,1.0,1.01,1.07,0.82,1.05,1.06,1.01,1.09,1.02,1.01,1.05,0.95,1.03,0.93,1.06,1.03,1.0,0.95,0.98,0.91,1.03,0.84,0.94,0.93,0.86,0.99,0.96,1.06,1.03,1.0,0.97,1.0,0.98,0.9,1.05,1.02,1.06,0.92,0.81,1.05,0.98,1.01,0.99,1.03,1.09,0.97,1.1,1.0,0.85,0.94,0.96,0.95,0.96,0.89,0.93,0.96,0.93,1.03,0.94,0.96,0.85,1.0,1.0,0.97,0.96,1.03,0.26,0.53,99.96
08/11/2021,0.0,1.1,1.08,1.04,1.16,0.92,0.99,1.15,1.05,1.07,1.16,1.03,1.06,1.1,0.99,0.95,1.04,0.96,1.17,0.93,1.01,0.94,1.04,0.98,1.03,0.71,0.97,0.99,0.94,0.93,1.06,0.97,0.97,1.02,0.95,1.0,1.01,1.07,0.82,1.05,1.06,1.01,1.09,1.02,1.01,1.05,0.95,1.03,0.93,1.06,1.03,1.0,0.95,0.98,0.91,1.03,0.84,0.94,0.93,0.86,0.99,0.96,1.06,1.03,1.0,0.97,1.0,0.98,0.9,1.05,1.02,1.06,0.92,0.81,1.05,0.98,1.01,0.99,1.03,1.09,0.97,1.1,1.0,0.85,0.94,0.96,0.95,0.96,0.89,0.93,0.96,0.93,1.03,0.94,0.96,0.85,1.0,1.0,0.97,0.96,1.03,0.26,0.53,99.96
08/12/2021,0.0,1.11,1.09,1.05,1.14,0.92,0.97,1.15,1.06,1.07,1.15,1.02,1.06,1.1,1.01,0.95,1.04,0.95,1.17,0.91,1.02,0.95,1.04,0.98,1.04,0.75,0.96,1.0,0.93,0.93,1.06,0.97,0.97,1.02,0.94,1.0,1.0,1.08,0.82,1.06,1.06,1.01,1.09,1.01,1.0,1.05,0.94,1.02,0.93,1.06,1.03,1.01,0.94,0.97,0.91,1.03,0.84,0.94,0.93,0.87,0.98,0.98,1.06,1.03,1.01,0.97,0.99,0.98,0.91,1.04,1.01,1.06,0.91,0.82,1.09,0.97,1.01,0.99,1.04,1.09,0.98,1.1,1.01,0.86,0.95,0.95,0.95,0.98,0.87,0.91,0.97,0.92,1.05,0.93,0.96,0.82,0.97,0.99,0.97,0.97,1.04,0.31,0.53,100.00999999999999
