,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,2330.TW,NVDA,TSLA,JPM,JNJ,700.HK,9988.HK,V,UNH,BRK.B,NESN.SW,005930.KS,HD,MA,PG,PYPL,DIS,BAC,ASML.AS,ADBE,ROG.SW,CMCSA,XOM,NFLX,VZ,CRM,INTC,KO,PFE,MC.PA,CSCO,ABT,ABBV,TMO,T,PEP,NKE,WMT,CVX,NOVN.SW,MRK,LLY,AVGO,ACN,7203.T,COST,DHR,TXN,MCD,WFC,SHOP,MDT,AZN.L,ORCL,QCOM,ULVR.L,PM,LIN,HON,1299.HK,BMY,UPS,NOVO B.CO,SAP.DE,UNP,NEE,LOW,RY.TO,AMGN,C,SBUX,BLK,3690.HK,INTU,RTX,MS,IBM,AMAT,TGT,TD.TO,BA,6758.T,CBA.AX,AMT,GS,SIE.DE,CAT,HSBA.L,ISRG,OR.PA,TTE.PA,AXP,AMD,GE,MMM,SAN.PA,SCHW,XTSLA,BHP.AX,DE,CVS,NOW,DGE.L,SPGI,CHTR,GSK.L,ALV.DE,RIO.L,6861.T,FIS,SYK,MU,BKNG,PLD,SU.PA,ANTM,LMT,ZTS,CSL.AX,SQ,GILD,BATS.L,9984.T,CCI,COP,MO,BP.L,NPN.JO,ADP,LRCX,MDLZ,RYDBF,ENB.TO,AIR.PA,ZM,PNC,TMUS,RELIANCE.NS,CI,VALE3.SA,TJX,AI.PA,CNR.TO,EL,CB,INFY.NS,COF,ILMN,MRNA,MELI,DTE.DE,DUK,ITW,ADS.DE,MMC,BDX,CSX,FDX,RDSA.AS,EQIX,ENEL.MI,GM,ATVI,CME,USB,TFC,IBE.MC,939.HK,BNS.TO,DAI.DE,MCO,ICE,KER.PA,WBC.AX,NIO,APD,SO,BHP.L,SNAP,ADI,CL,BMO.TO,DPW.DE,ADSK,BNP.PA,EW,SHW,388.HK,BAS.DE,8306.T,7974.T,BAM.A.TO,NSC,BX,ABBN.SW,6098.T,000660.KS,JD,RITN.,FISV,RKT.L,WM,HCA,ETN,BSX,UBSG.SW,GE.,EMR,REGN,ZURN.SW,AON,PRX.AS,HDFC.NS,D,LONN.SW,BAM,JPY,8035.T,NAB.AX,4063.T,6367.T,7741.T,KLAC,ADYEN.AS,IDXX,REL.L,SNOW,NXPI,NOC,SAN.MC,SUM
07/23/2021,3.71,3.02,2.31,1.24,1.18,1.13,0.77,0.7,0.77,0.69,0.67,0.61,0.6,0.61,0.59,0.57,0.54,0.49,0.53,0.5,0.51,0.51,0.49,0.44,0.44,0.45,0.41,0.4,0.36,0.36,0.34,0.33,0.34,0.34,0.35,0.32,0.34,0.32,0.31,0.31,0.3,0.32,0.31,0.31,0.28,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.25,0.23,0.26,0.24,0.23,0.23,0.24,0.25,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.18,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.16,0.17,0.18,0.17,0.15,0.0,0.16,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.14,0.11,0.11,0.11,0.11,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.1,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.67000000000001
07/26/2021,3.66,3.02,2.3,1.25,1.19,1.14,0.77,0.72,0.75,0.7,0.66,0.6,0.59,0.61,0.59,0.57,0.54,0.49,0.53,0.5,0.51,0.51,0.48,0.45,0.45,0.44,0.41,0.4,0.37,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.34,0.31,0.31,0.31,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.27,0.26,0.24,0.23,0.23,0.24,0.25,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.17,0.17,0.17,0.15,0.0,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.14,0.13,0.14,0.14,0.11,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.11,0.11,0.12,0.11,0.11,0.11,0.15,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.1,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.72
07/27/2021,3.68,3.06,2.32,1.26,1.19,1.14,0.78,0.73,0.74,0.68,0.66,0.6,0.6,0.61,0.59,0.57,0.53,0.49,0.52,0.51,0.5,0.51,0.48,0.44,0.46,0.45,0.39,0.4,0.36,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.34,0.31,0.31,0.31,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.25,0.26,0.26,0.27,0.25,0.27,0.26,0.24,0.22,0.23,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.15,0.0,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.14,0.13,0.14,0.14,0.11,0.12,0.12,0.11,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.12,0.1,0.1,0.0,0.1,0.1,0.12,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73000000000001
07/28/2021,3.7,3.08,2.32,1.32,1.22,1.17,0.76,0.72,0.73,0.68,0.67,0.59,0.59,0.62,0.59,0.57,0.53,0.49,0.53,0.52,0.5,0.52,0.48,0.44,0.47,0.45,0.39,0.4,0.36,0.34,0.34,0.35,0.32,0.34,0.34,0.33,0.34,0.32,0.31,0.31,0.29,0.32,0.31,0.31,0.28,0.3,0.29,0.3,0.29,0.3,0.28,0.28,0.28,0.25,0.27,0.26,0.27,0.25,0.27,0.25,0.24,0.22,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.21,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.15,0.0,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.13,0.14,0.14,0.11,0.11,0.12,0.11,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.12,0.1,0.1,0.0,0.1,0.1,0.12,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.84
07/29/2021,3.71,3.07,2.35,1.33,1.24,1.18,0.75,0.71,0.75,0.68,0.67,0.54,0.56,0.62,0.58,0.57,0.53,0.48,0.53,0.52,0.51,0.51,0.48,0.44,0.48,0.45,0.39,0.4,0.37,0.34,0.34,0.35,0.33,0.34,0.35,0.33,0.35,0.31,0.31,0.31,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.29,0.3,0.28,0.28,0.28,0.26,0.27,0.26,0.26,0.25,0.27,0.25,0.24,0.22,0.23,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.2,0.16,0.21,0.19,0.2,0.19,0.19,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.15,0.12,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.14,0.14,0.11,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.12,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.900000000000006
07/30/2021,3.68,3.06,2.32,1.32,1.22,1.17,0.76,0.71,0.74,0.69,0.67,0.49,0.52,0.63,0.59,0.57,0.53,0.49,0.53,0.52,0.51,0.51,0.49,0.44,0.47,0.45,0.4,0.4,0.37,0.34,0.34,0.35,0.32,0.35,0.35,0.33,0.35,0.32,0.32,0.31,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.29,0.3,0.28,0.28,0.28,0.25,0.27,0.26,0.26,0.26,0.27,0.25,0.24,0.22,0.23,0.24,0.24,0.21,0.23,0.21,0.23,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.23,0.2,0.14,0.21,0.2,0.2,0.19,0.18,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.17,0.17,0.17,0.15,0.15,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.14,0.14,0.14,0.11,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.11,0.1,0.0,0.0,0.1,0.1,0.11,0.0,0.1,0.11,0.1,0.11,0.0,0.0,0.11,0.1,0.12,0.1,0.11,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78
08/02/2021,3.61,3.03,2.28,1.27,1.2,1.19,0.76,0.72,0.77,0.69,0.67,0.54,0.57,0.61,0.58,0.57,0.53,0.48,0.52,0.51,0.5,0.47,0.48,0.45,0.48,0.45,0.4,0.39,0.37,0.34,0.34,0.35,0.32,0.34,0.35,0.34,0.34,0.32,0.31,0.31,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.26,0.27,0.27,0.25,0.26,0.27,0.25,0.25,0.22,0.23,0.24,0.24,0.22,0.23,0.2,0.24,0.22,0.21,0.23,0.21,0.21,0.21,0.21,0.22,0.2,0.16,0.21,0.2,0.2,0.19,0.19,0.2,0.18,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.11,0.0,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.0,0.11,0.11,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.11,0.1,0.12,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.690000000000005
08/03/2021,3.65,3.04,2.12,1.28,1.2,1.19,0.76,0.72,0.79,0.69,0.67,0.53,0.55,0.61,0.58,0.57,0.54,0.48,0.53,0.51,0.52,0.46,0.48,0.45,0.48,0.45,0.4,0.4,0.36,0.34,0.34,0.34,0.32,0.34,0.36,0.34,0.35,0.32,0.31,0.32,0.29,0.32,0.32,0.31,0.29,0.3,0.29,0.3,0.29,0.3,0.28,0.29,0.29,0.26,0.27,0.27,0.25,0.26,0.27,0.25,0.25,0.23,0.23,0.25,0.25,0.22,0.23,0.2,0.24,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.22,0.2,0.15,0.21,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.19,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.11,0.1,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.11,0.1,0.12,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.72
08/04/2021,3.65,3.04,2.12,1.28,1.2,1.19,0.76,0.72,0.79,0.69,0.67,0.53,0.55,0.61,0.58,0.57,0.54,0.48,0.53,0.51,0.52,0.46,0.48,0.45,0.48,0.45,0.4,0.4,0.36,0.34,0.34,0.34,0.32,0.34,0.36,0.34,0.35,0.32,0.31,0.32,0.29,0.32,0.32,0.31,0.29,0.3,0.29,0.3,0.29,0.3,0.28,0.29,0.29,0.26,0.27,0.27,0.25,0.26,0.27,0.25,0.25,0.23,0.23,0.25,0.25,0.22,0.23,0.2,0.24,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.22,0.2,0.15,0.21,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.19,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.11,0.1,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.11,0.1,0.12,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.72
08/05/2021,3.65,3.04,2.12,1.28,1.2,1.19,0.76,0.72,0.79,0.69,0.67,0.53,0.55,0.61,0.58,0.57,0.54,0.48,0.53,0.51,0.52,0.46,0.48,0.45,0.48,0.45,0.4,0.4,0.36,0.34,0.34,0.34,0.32,0.34,0.36,0.34,0.35,0.32,0.31,0.32,0.29,0.32,0.32,0.31,0.29,0.3,0.29,0.3,0.29,0.3,0.28,0.29,0.29,0.26,0.27,0.27,0.25,0.26,0.27,0.25,0.25,0.23,0.23,0.25,0.25,0.22,0.23,0.2,0.24,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.22,0.2,0.15,0.21,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.19,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.11,0.1,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.11,0.1,0.12,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.72
08/06/2021,3.65,3.04,2.13,1.25,1.2,1.19,0.77,0.73,0.8,0.69,0.67,0.49,0.56,0.59,0.59,0.57,0.53,0.5,0.53,0.48,0.52,0.45,0.47,0.44,0.49,0.44,0.4,0.39,0.37,0.34,0.34,0.34,0.32,0.34,0.38,0.34,0.35,0.32,0.31,0.31,0.29,0.32,0.32,0.31,0.29,0.3,0.28,0.31,0.29,0.29,0.29,0.29,0.29,0.26,0.26,0.27,0.25,0.26,0.27,0.26,0.25,0.23,0.23,0.24,0.24,0.22,0.23,0.21,0.24,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.2,0.15,0.21,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.2,0.0,0.17,0.17,0.15,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.13,0.16,0.16,0.12,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.18,0.11,0.1,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.11,0.1,0.12,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70000000000001
08/10/2021,3.62,3.06,2.11,1.29,1.21,1.19,0.77,0.75,0.79,0.71,0.67,0.5,0.56,0.6,0.58,0.58,0.52,0.5,0.52,0.49,0.51,0.46,0.48,0.46,0.49,0.45,0.4,0.4,0.36,0.34,0.33,0.35,0.32,0.34,0.37,0.34,0.35,0.32,0.3,0.32,0.29,0.31,0.32,0.31,0.29,0.3,0.28,0.32,0.29,0.3,0.28,0.29,0.29,0.26,0.26,0.28,0.25,0.25,0.26,0.25,0.25,0.22,0.23,0.24,0.24,0.21,0.23,0.2,0.25,0.23,0.22,0.24,0.21,0.21,0.2,0.22,0.21,0.21,0.15,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.18,0.16,0.17,0.2,0.0,0.17,0.17,0.16,0.19,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.14,0.15,0.14,0.13,0.15,0.15,0.15,0.13,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.19,0.12,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.0,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.11,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.0,0.11,0.1,0.12,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.79000000000001
08/11/2021,3.62,3.06,2.11,1.29,1.21,1.19,0.77,0.75,0.79,0.71,0.67,0.5,0.56,0.6,0.58,0.58,0.52,0.5,0.52,0.49,0.51,0.46,0.48,0.46,0.49,0.45,0.4,0.4,0.36,0.34,0.33,0.35,0.32,0.34,0.37,0.34,0.35,0.32,0.3,0.32,0.29,0.31,0.32,0.31,0.29,0.3,0.28,0.32,0.29,0.3,0.28,0.29,0.29,0.26,0.26,0.28,0.25,0.25,0.26,0.25,0.25,0.22,0.23,0.24,0.24,0.21,0.23,0.2,0.25,0.23,0.22,0.24,0.21,0.21,0.2,0.22,0.21,0.21,0.15,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.18,0.16,0.17,0.2,0.0,0.17,0.17,0.16,0.19,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.14,0.15,0.14,0.13,0.15,0.15,0.15,0.13,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.19,0.12,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.0,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.11,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.0,0.11,0.1,0.12,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.79000000000001
