,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,UNH,NVDA,V,HD,PG,BAC,DIS,MA,PYPL,CMCSA,XOM,ADBE,INTC,VZ,CSCO,PFE,NFLX,KO,T,CRM,PEP,ABT,CVX,ABBV,WMT,MRK,AVGO,TMO,ACN,WFC,TXN,MCD,MDT,NKE,LLY,COST,C,HON,DHR,LIN,UPS,QCOM,UNP,PM,BMY,ORCL,NEE,LOW,AMGN,SBUX,BA,CAT,BLK,IBM,MS,AMAT,RTX,GS,GE,AMT,MMM,TGT,CVS,INTU,AXP,DE,SCHW,ANTM,CHTR,ISRG,BKNG,AMD,LMT,MU,LRCX,FIS,NOW,MO,SPGI,CI,MDLZ,SYK,PLD,ADP,ZTS,TFC,GILD,SQ,PNC,USB,TJX,CCI,CME,TMUS,FDX,CSX,CB,COP,ATVI,GM,DUK,COF,ITW,CL,NSC,SHW,UBER,MMC,BDX,EL,FISV,SO,APD,EQIX,ADSK,ICE,D,FCX,ADI,BSX,ILMN,WM,EW,NEM,ETN,PGR,ZM,GPN,AON,NOC,HCA,EMR,F,HUM,MCO,VRTX,ECL,MRNA,DOW,DG,MET,KLAC,REGN,TWLO,JCI,GD,IDXX,ROP,EOG,INTO.BR,IQV,ALGN,LHX,AIG,DD,TWTR,KMB,TT,ROST,EXC,SLB,TROW,AEP,PRU,PSA,DLR,PPG,CNC,A,SPG,BAX,INFO,BK,ALL,WDAY,EA,SRE,BIIB,APTV,TRV,MPC,CARR,PH,VEEV,EBAY,SYY,SNPS,APH,MCHP,STZ,4338.SR,BX,NXPI,DOCU,ROKU,MRVL,CMG,MTCH,PINS,PLTR,MSCI,LULU,DXCM,ALXN,SUM
07/23/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
07/26/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
07/27/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
07/28/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
07/29/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
07/30/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/02/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/03/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/04/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/05/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/06/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/09/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/10/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/11/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
08/13/2021,4.88,4.63,3.39,1.89,1.67,1.61,1.18,1.06,1.2,0.98,0.85,1.09,0.9,0.78,0.74,0.7,0.72,0.72,0.78,0.59,0.61,0.63,0.51,0.53,0.51,0.5,0.52,0.48,0.47,0.49,0.46,0.46,0.46,0.45,0.46,0.45,0.43,0.45,0.42,0.42,0.4,0.39,0.38,0.43,0.44,0.4,0.33,0.35,0.39,0.0,0.34,0.37,0.33,0.35,0.34,0.31,0.33,0.32,0.32,0.3,0.29,0.27,0.28,0.3,0.29,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.25,0.28,0.24,0.23,0.26,0.21,0.22,0.25,0.2,0.26,0.21,0.22,0.21,0.2,0.25,0.2,0.22,0.18,0.2,0.21,0.2,0.19,0.2,0.17,0.2,0.22,0.18,0.17,0.18,0.19,0.17,0.19,0.17,0.16,0.16,0.19,0.17,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.13,0.12,0.14,0.14,0.16,0.13,0.15,0.12,0.13,0.13,0.19,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.18,0.11,0.12,0.1,0.11,0.13,0.15,0.11,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.1,0.09,0.09,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,69.12
