,DDD,ROK,AZPN,CGNX,ADSK,AMBA,EMR,PTC,ABB,HOLI,QADA,SSYS,ALGM,ON,TSEM,KLAC,DOV,SAP,J,SANM,FARO,AI,PATH,PCTI,n/a,OUST,SUM
11/04/2021,6.91,6.0,5.38,5.92,5.69,6.25,5.09,4.93,4.65,4.41,3.88,4.81,3.8,4.32,3.68,3.66,3.26,3.05,2.9,2.64,2.99,2.4,2.23,0.94,0.23,0.0,100.02
11/05/2021,6.91,6.0,5.38,5.92,5.69,6.25,5.09,4.93,4.65,4.41,3.88,4.81,3.8,4.32,3.68,3.66,3.26,3.05,2.9,2.64,2.99,2.4,2.23,0.94,0.23,0.0,100.02
11/08/2021,6.81,6.28,5.41,5.99,5.64,6.3,4.95,4.61,4.75,3.32,3.8,5.02,3.79,4.61,3.78,3.86,3.24,3.05,2.86,2.77,3.04,2.58,2.38,0.95,0.23,0.0,100.02
11/09/2021,6.98,6.27,5.49,5.22,5.78,6.27,5.02,4.83,4.75,3.19,0.0,4.84,3.85,4.58,3.83,3.96,3.25,3.08,2.9,2.89,3.18,2.57,2.34,0.89,4.05,0.0,100.01
11/10/2021,6.98,6.27,5.49,5.22,5.78,6.27,5.02,4.83,4.75,3.19,0.0,4.84,3.85,4.58,3.83,3.96,3.25,3.08,2.9,2.89,3.18,2.57,2.34,0.89,4.05,0.0,100.01
11/11/2021,7.47,6.33,5.59,5.53,5.99,6.72,5.12,4.96,4.9,3.28,0.0,5.32,3.99,4.65,4.11,4.03,3.36,3.15,3.03,2.95,3.27,2.69,2.42,0.95,0.18,0.0,99.99
11/12/2021,6.49,6.44,5.56,5.71,6.09,6.77,5.19,4.87,5.0,3.32,0.0,5.27,4.05,4.68,4.17,4.14,3.45,3.19,3.07,2.77,3.27,2.82,2.5,0.96,0.21,0.0,99.99
11/15/2021,5.8,6.5,5.53,5.66,6.18,6.66,5.32,4.9,5.1,3.49,0.0,5.01,4.18,4.81,4.24,4.21,3.46,3.21,3.16,2.87,3.31,2.61,2.57,0.98,0.24,0.0,100.0
11/16/2021,5.87,6.55,5.37,5.82,6.23,6.7,5.3,4.96,5.12,3.54,0.0,4.95,4.18,4.82,4.24,4.19,3.47,3.13,3.16,2.87,3.25,2.68,2.38,0.99,0.24,0.0,100.01
11/17/2021,5.87,6.55,5.37,5.82,6.23,6.7,5.3,4.96,5.12,3.54,0.0,4.95,4.18,4.82,4.24,4.19,3.47,3.13,3.16,2.87,3.25,2.68,2.38,0.99,0.24,0.0,100.01
11/18/2021,4.75,5.69,5.32,5.29,5.94,3.56,5.76,5.76,5.21,4.0,0.0,3.35,3.81,3.63,3.86,3.71,3.7,3.49,3.77,3.57,3.61,3.63,3.42,0.0,0.15,5.01,99.99
11/19/2021,4.68,5.73,5.46,5.18,6.02,3.65,5.7,5.84,5.2,3.99,0.0,3.29,3.82,3.78,3.85,3.76,3.74,3.48,3.78,3.47,3.56,3.61,3.54,0.0,0.15,4.73,100.01
11/22/2021,4.7,5.84,5.51,5.21,6.05,3.56,5.67,5.78,5.36,4.05,0.0,3.13,3.81,3.85,3.87,3.79,3.77,3.52,3.79,3.53,3.55,3.49,3.55,0.0,0.15,4.46,99.99
11/23/2021,4.7,5.84,5.51,5.21,6.05,3.56,5.67,5.78,5.36,4.05,0.0,3.13,3.81,3.85,3.87,3.79,3.77,3.52,3.79,3.53,3.55,3.49,3.55,0.0,0.15,4.46,99.99
11/24/2021,4.51,6.01,5.7,5.18,5.97,3.62,5.67,5.73,5.43,3.92,0.0,3.08,3.87,3.98,3.91,3.88,3.85,3.56,3.88,3.5,3.61,3.07,3.44,0.0,0.16,4.45,99.98
11/25/2021,4.51,6.01,5.7,5.18,5.97,3.62,5.67,5.73,5.43,3.92,0.0,3.08,3.87,3.98,3.91,3.88,3.85,3.56,3.88,3.5,3.61,3.07,3.44,0.0,0.16,4.45,99.98
11/26/2021,4.39,6.14,5.92,5.23,5.79,3.55,5.91,5.51,5.56,4.06,0.0,2.95,3.77,3.98,3.99,3.89,3.95,3.52,3.93,3.65,3.69,2.95,3.22,0.0,0.16,4.29,100.0
11/29/2021,4.52,6.17,5.71,5.26,4.92,3.6,5.93,5.56,5.53,4.08,0.0,3.01,3.85,4.06,4.01,3.93,3.99,3.49,4.08,3.65,3.72,3.03,3.33,0.0,0.16,4.4,99.99
11/30/2021,4.47,6.22,5.69,5.23,5.0,3.51,5.83,5.49,5.52,4.02,0.0,2.97,3.87,4.02,3.99,3.89,3.97,3.5,4.1,3.6,3.63,3.14,3.45,0.0,0.17,4.71,99.99
12/01/2021,4.47,6.22,5.69,5.23,5.0,3.51,5.83,5.49,5.52,4.02,0.0,2.97,3.87,4.02,3.99,3.89,3.97,3.5,4.1,3.6,3.63,3.14,3.45,0.0,0.17,4.71,99.99
12/02/2021,4.42,6.14,5.63,5.32,5.05,3.64,5.77,5.63,5.51,3.99,0.0,2.93,3.91,4.13,4.03,3.97,3.92,3.51,4.05,3.55,3.55,3.04,3.38,0.0,0.17,4.76,100.0
12/06/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/07/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/08/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/09/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/10/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/13/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/14/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/15/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/16/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/17/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/20/2021,4.26,6.17,5.74,5.21,4.97,4.22,5.67,5.72,5.58,4.04,0.0,2.82,3.99,4.17,4.18,4.07,3.83,3.53,3.96,3.6,3.51,2.8,3.09,0.0,0.17,4.72,100.02
12/21/2021,4.34,6.32,5.88,5.26,5.51,3.7,5.9,6.32,5.98,3.23,0.0,2.72,4.18,4.17,4.2,3.85,3.99,3.75,3.85,3.73,3.44,2.62,2.89,0.0,0.14,4.01,99.98
12/22/2021,4.34,6.32,5.88,5.26,5.51,3.7,5.9,6.32,5.98,3.23,0.0,2.72,4.18,4.17,4.2,3.85,3.99,3.75,3.85,3.73,3.44,2.62,2.89,0.0,0.14,4.01,99.98
12/23/2021,4.29,6.29,5.95,5.26,5.51,3.83,5.89,6.34,6.02,3.34,0.0,2.61,4.18,4.14,4.24,3.83,3.98,3.73,3.81,3.73,3.42,2.65,2.94,0.0,0.14,3.87,99.99
12/24/2021,4.38,6.2,5.81,5.25,5.48,3.97,5.84,6.23,5.94,3.26,0.0,2.63,4.21,4.3,4.22,3.97,3.95,3.67,3.76,3.78,3.43,2.74,3.0,0.0,0.13,3.85,100.0
12/27/2021,4.25,6.11,5.76,5.23,5.41,4.0,5.77,6.13,5.97,3.5,0.0,2.59,4.23,4.36,4.29,4.02,3.95,3.68,3.79,3.82,3.48,2.74,3.02,0.0,0.12,3.77,99.99
12/28/2021,4.25,6.11,5.76,5.23,5.41,4.0,5.77,6.13,5.97,3.5,0.0,2.59,4.23,4.36,4.29,4.02,3.95,3.68,3.79,3.82,3.48,2.74,3.02,0.0,0.12,3.77,99.99
12/29/2021,4.25,6.11,5.76,5.23,5.41,4.0,5.77,6.13,5.97,3.5,0.0,2.59,4.23,4.36,4.29,4.02,3.95,3.68,3.79,3.82,3.48,2.74,3.02,0.0,0.12,3.77,99.99
12/30/2021,4.25,6.11,5.76,5.23,5.41,4.0,5.77,6.13,5.97,3.5,0.0,2.59,4.23,4.36,4.29,4.02,3.95,3.68,3.79,3.82,3.48,2.74,3.02,0.0,0.12,3.77,99.99
12/31/2021,4.25,6.11,5.76,5.23,5.41,4.0,5.77,6.13,5.97,3.5,0.0,2.59,4.23,4.36,4.29,4.02,3.95,3.68,3.79,3.82,3.48,2.74,3.02,0.0,0.12,3.77,99.99
01/03/2022,4.16,6.16,5.77,5.19,5.37,3.97,5.79,6.13,5.96,3.61,0.0,2.64,4.37,4.37,4.33,4.04,4.06,3.65,3.79,3.87,3.42,2.58,2.99,0.0,0.12,3.66,100.0
01/03/2022,4.12,6.21,5.79,5.19,5.37,4.01,5.83,6.1,5.98,3.58,0.0,2.62,4.39,4.4,4.4,4.07,4.09,3.65,3.81,3.87,3.43,2.48,2.91,0.0,0.11,3.61,100.02
01/03/2022,4.12,6.21,5.79,5.19,5.37,4.01,5.83,6.1,5.98,3.58,0.0,2.62,4.39,4.4,4.4,4.07,4.09,3.65,3.81,3.87,3.43,2.48,2.91,0.0,0.11,3.61,100.02
