,BRK.B,JPM,DIS,BAC,JNJ,XOM,VZ,INTC,CSCO,PFE,T,CVX,WFC,UNH,PG,MDT,WMT,C,HON,V,PM,CMCSA,KO,MS,BA,RTX,IBM,GS,GE,PEP,MMM,CVS,SCHW,MCD,AXP,MA,MRK,ANTM,HD,MU,FIS,MO,CI,MDLZ,PLD,ABT,TFC,GILD,USB,PNC,TXN,NEE,TJX,ACN,COST,CME,UNP,DUK,CB,COP,GM,COF,BMY,BDX,CAT,AMGN,SO,LIN,ORCL,NKE,LLY,AVGO,D,BSX,BKNG,ETN,GPN,HCA,AMT,F,NOC,SBUX,NXPI,ABBV,DHR,LMT,MET,JCI,EOG,UPS,AIG,DD,ROST,EXC,GD,SLB,ADP,CNC,AEP,SRE,SYK,DLR,PPG,PRU,SPG,BK,BAX,ALL,SYY,LOW,STZ,TRV,MPC,NSC,TGT,GIS,MAR,XEL,WBA,ITW,BLK,ADM,PSX,CSX,HPQ,LUV,AFL,DFS,MMC,APD,KMI,IFF,ZBH,SWK,ADI,EMR,CL,CTVA,WLTW,WM,VLO,CCI,WMB,PCAR,PEG,PXD,WELL,EL,ATVI,MCK,STT,NUE,DAL,AMP,FITB,ISRG,WEC,ILMN,CBRE,ICE,LYB,ECL,AVB,WY,DE,KHC,KR,ES,TEL,EQIX,FDX,AON,KMB,HUM,LEN,LH,DTE,EQR,NEM,ED,DOW,EW,SYF,TMUS,VFC,O,NTRS,VIAC,IP,FTV,PSA,TT,FCX,CCL,OKE,TSN,HIG,WDC,RSG,DLTR,OXY,ARE,BIIB,ZTS,ROP,MRNA,DOV,HLT,SUM
07/23/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
07/26/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
07/27/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
07/28/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
07/29/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
07/30/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/02/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/03/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/04/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/05/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/06/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/09/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/10/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/11/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
08/13/2021,3.08,2.75,1.87,1.82,1.52,1.56,1.35,1.32,1.3,1.28,1.2,1.18,1.09,1.06,1.0,0.98,0.96,0.85,0.89,0.92,0.9,0.86,0.8,0.8,0.77,0.75,0.77,0.75,0.69,0.69,0.67,0.64,0.64,0.6,0.63,0.6,0.6,0.55,0.55,0.56,0.51,0.52,0.48,0.51,0.52,0.49,0.44,0.5,0.45,0.47,0.49,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.42,0.48,0.44,0.41,0.42,0.41,0.37,0.41,0.37,0.37,0.37,0.41,0.42,0.36,0.35,0.35,0.33,0.34,0.32,0.32,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.29,0.26,0.29,0.28,0.26,0.24,0.24,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.22,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.19,0.16,0.2,0.17,0.18,0.15,0.16,0.17,0.15,0.16,0.15,0.17,0.16,0.16,0.18,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.15,0.14,0.14,0.13,0.0,0.0,0.0,82.49000000000001
