,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,V,PYPL,HD,MA,ADBE,NFLX,ABBV,NKE,AVGO,PEP,COST,QCOM,LLY,ACN,UPS,KO,LOW,SBUX,ORCL,INTU,AMAT,AMT,AMGN,AMD,ISRG,NOW,TXN,ABT,CAT,DE,SQ,UNP,BKNG,CHTR,LRCX,ZTS,CCI,ZM,TJX,LMT,MRNA,ADP,EL,SPGI,AXP,UBER,ILMN,EW,BX,SHW,ADSK,ITW,MCO,HCA,TGT,EQIX,MO,KLAC,ALGN,EBAY,ECL,ROST,WDAY,SYK,MAR,SYY,CL,PSA,TEAM,CRM,HON,FDX,AON,MNST,MCD,SNOW,UNH,DG,KMB,XTSLA,VRTX,TMO,TWLO,NXPI,LVS,MMM,DIS,FCX,DELL,MU,MMC,ADI,DHR,WM,GS,REGN,EOG,NOC,SCCO,VMW,FISV,DOW,JPFFT,USD,ESU1,MARGIN_AUD,SUM
07/29/2021,13.03,12.13,8.94,4.97,3.87,3.8,2.84,2.57,2.36,2.01,1.98,1.91,1.65,1.24,1.16,1.14,1.07,1.0,0.97,0.9,0.91,0.91,0.85,0.87,0.79,0.83,0.79,0.75,0.71,0.72,0.65,0.62,0.64,0.64,0.6,0.58,0.56,0.56,0.57,0.51,0.51,0.51,0.51,0.5,0.46,0.44,0.46,0.44,0.63,0.45,0.42,0.39,0.4,0.36,0.4,0.37,0.43,0.39,0.38,0.36,0.33,0.36,0.33,0.29,0.27,0.27,0.28,0.28,0.27,0.24,0.24,0.22,0.22,0.2,0.21,0.2,0.2,0.24,0.19,0.18,0.18,0.18,0.18,0.17,0.15,0.13,0.13,0.08,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,99.99
07/30/2021,12.97,12.15,8.86,4.95,3.85,3.76,2.82,2.59,2.39,1.99,1.98,1.92,1.66,1.26,1.17,1.15,1.07,1.02,0.99,0.89,0.92,0.92,0.8,0.88,0.78,0.84,0.8,0.75,0.7,0.73,0.65,0.62,0.65,0.65,0.6,0.59,0.56,0.56,0.55,0.52,0.52,0.51,0.5,0.51,0.47,0.44,0.46,0.46,0.63,0.46,0.42,0.4,0.4,0.36,0.4,0.38,0.44,0.39,0.38,0.36,0.33,0.36,0.33,0.3,0.28,0.27,0.28,0.28,0.27,0.24,0.24,0.22,0.22,0.2,0.21,0.2,0.2,0.24,0.19,0.17,0.19,0.18,0.18,0.17,0.15,0.13,0.13,0.08,0.12,0.11,0.1,0.09,0.08,0.1,0.09,0.09,0.07,0.06,0.05,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,100.04
08/02/2021,12.84,12.13,8.78,4.82,3.95,3.75,2.95,2.64,2.36,1.87,1.98,1.91,1.67,1.25,1.18,1.16,1.09,1.01,0.99,0.96,0.92,0.91,0.78,0.88,0.78,0.81,0.8,0.75,0.71,0.72,0.64,0.7,0.65,0.65,0.61,0.59,0.56,0.57,0.56,0.51,0.51,0.5,0.5,0.52,0.47,0.46,0.47,0.45,0.66,0.46,0.43,0.41,0.4,0.35,0.4,0.39,0.45,0.4,0.4,0.36,0.33,0.36,0.33,0.28,0.28,0.28,0.3,0.28,0.27,0.24,0.24,0.22,0.23,0.2,0.21,0.2,0.2,0.24,0.2,0.17,0.19,0.18,0.18,0.17,0.15,0.13,0.13,0.08,0.12,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,100.07
08/03/2021,12.97,12.16,8.18,4.83,3.95,3.74,3.02,2.64,2.36,1.83,2.0,1.91,1.68,1.27,1.16,1.18,1.1,1.02,1.01,0.96,0.92,0.92,0.78,0.89,0.78,0.81,0.8,0.77,0.73,0.72,0.65,0.73,0.66,0.66,0.62,0.59,0.55,0.58,0.55,0.52,0.51,0.52,0.51,0.52,0.47,0.46,0.47,0.46,0.68,0.46,0.43,0.41,0.4,0.34,0.41,0.39,0.44,0.4,0.4,0.36,0.33,0.37,0.33,0.29,0.28,0.3,0.31,0.26,0.27,0.24,0.24,0.23,0.22,0.2,0.2,0.2,0.24,0.24,0.2,0.17,0.19,0.18,0.18,0.17,0.15,0.13,0.13,0.09,0.12,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,99.99
08/04/2021,12.97,12.16,8.18,4.83,3.95,3.74,3.02,2.64,2.36,1.83,2.0,1.91,1.68,1.27,1.16,1.18,1.1,1.02,1.01,0.96,0.92,0.92,0.78,0.89,0.78,0.81,0.8,0.77,0.73,0.72,0.65,0.73,0.66,0.66,0.62,0.59,0.55,0.58,0.55,0.52,0.51,0.52,0.51,0.52,0.47,0.46,0.47,0.46,0.68,0.46,0.43,0.41,0.4,0.34,0.41,0.39,0.44,0.4,0.4,0.36,0.33,0.37,0.33,0.29,0.28,0.3,0.31,0.26,0.27,0.24,0.24,0.23,0.22,0.2,0.2,0.2,0.24,0.24,0.2,0.17,0.19,0.18,0.18,0.17,0.15,0.13,0.13,0.09,0.12,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,99.99
08/05/2021,12.97,12.16,8.18,4.83,3.95,3.74,3.02,2.64,2.36,1.83,2.0,1.91,1.68,1.27,1.16,1.18,1.1,1.02,1.01,0.96,0.92,0.92,0.78,0.89,0.78,0.81,0.8,0.77,0.73,0.72,0.65,0.73,0.66,0.66,0.62,0.59,0.55,0.58,0.55,0.52,0.51,0.52,0.51,0.52,0.47,0.46,0.47,0.46,0.68,0.46,0.43,0.41,0.4,0.34,0.41,0.39,0.44,0.4,0.4,0.36,0.33,0.37,0.33,0.29,0.28,0.3,0.31,0.26,0.27,0.24,0.24,0.23,0.22,0.2,0.2,0.2,0.24,0.24,0.2,0.17,0.19,0.18,0.18,0.17,0.15,0.13,0.13,0.09,0.12,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,99.99
08/06/2021,13.02,12.18,8.22,4.73,3.95,3.75,3.1,2.67,2.26,1.81,2.01,1.81,1.67,1.24,1.16,1.19,1.09,1.01,1.01,0.94,0.96,0.92,0.79,0.88,0.78,0.79,0.82,0.76,0.73,0.72,0.65,0.77,0.66,0.65,0.61,0.6,0.55,0.58,0.59,0.52,0.49,0.54,0.52,0.52,0.47,0.45,0.47,0.45,0.74,0.47,0.42,0.42,0.39,0.33,0.41,0.4,0.44,0.41,0.41,0.37,0.33,0.37,0.33,0.29,0.28,0.3,0.31,0.26,0.27,0.24,0.24,0.22,0.22,0.2,0.2,0.2,0.24,0.24,0.2,0.17,0.2,0.18,0.18,0.18,0.15,0.14,0.13,0.09,0.12,0.11,0.09,0.1,0.07,0.1,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.0,0.0,100.03
08/10/2021,12.86,12.23,8.14,4.88,3.94,3.75,3.04,2.73,2.29,1.84,1.99,1.84,1.69,1.26,1.13,1.2,1.09,0.99,1.02,0.92,0.99,0.92,0.78,0.87,0.77,0.79,0.81,0.76,0.73,0.71,0.61,0.75,0.68,0.65,0.62,0.59,0.55,0.58,0.6,0.52,0.5,0.54,0.52,0.51,0.47,0.46,0.47,0.44,0.78,0.47,0.42,0.42,0.4,0.34,0.41,0.4,0.44,0.41,0.41,0.36,0.33,0.37,0.33,0.29,0.27,0.31,0.31,0.25,0.27,0.24,0.24,0.22,0.22,0.2,0.19,0.2,0.25,0.25,0.19,0.16,0.19,0.19,0.18,0.17,0.15,0.14,0.13,0.06,0.12,0.11,0.09,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.07,0.0,0.0,100.04
08/11/2021,12.86,12.23,8.14,4.88,3.94,3.75,3.04,2.73,2.29,1.84,1.99,1.84,1.69,1.26,1.13,1.2,1.09,0.99,1.02,0.92,0.99,0.92,0.78,0.87,0.77,0.79,0.81,0.76,0.73,0.71,0.61,0.75,0.68,0.65,0.62,0.59,0.55,0.58,0.6,0.52,0.5,0.54,0.52,0.51,0.47,0.46,0.47,0.44,0.78,0.47,0.42,0.42,0.4,0.34,0.41,0.4,0.44,0.41,0.41,0.36,0.33,0.37,0.33,0.29,0.27,0.31,0.31,0.25,0.27,0.24,0.24,0.22,0.22,0.2,0.19,0.2,0.25,0.25,0.19,0.16,0.19,0.19,0.18,0.17,0.15,0.14,0.13,0.06,0.12,0.11,0.09,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.07,0.0,0.0,100.04
08/13/2021,12.87,12.16,8.12,4.87,3.99,3.8,3.1,2.69,2.27,1.82,2.01,1.81,1.67,1.25,1.14,1.2,1.08,1.0,1.03,0.93,1.02,0.92,0.78,0.88,0.77,0.77,0.82,0.76,0.71,0.7,0.61,0.73,0.66,0.64,0.61,0.6,0.57,0.6,0.6,0.52,0.51,0.54,0.49,0.5,0.46,0.45,0.48,0.44,0.87,0.48,0.42,0.42,0.4,0.34,0.42,0.39,0.44,0.41,0.41,0.37,0.33,0.35,0.33,0.28,0.28,0.3,0.31,0.26,0.27,0.25,0.24,0.21,0.21,0.21,0.2,0.2,0.24,0.24,0.2,0.16,0.2,0.19,0.17,0.17,0.15,0.14,0.13,0.08,0.11,0.11,0.09,0.1,0.08,0.09,0.09,0.09,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.04,0.0,0.0,100.04
08/16/2021,13.11,12.25,8.04,4.87,3.99,3.79,3.14,2.67,2.2,1.81,2.01,1.78,1.7,1.24,1.15,1.19,1.08,1.0,1.03,0.93,0.99,0.92,0.79,0.87,0.77,0.77,0.82,0.77,0.66,0.71,0.61,0.72,0.66,0.64,0.6,0.6,0.58,0.61,0.59,0.54,0.5,0.54,0.47,0.5,0.47,0.43,0.48,0.44,0.74,0.47,0.42,0.42,0.39,0.33,0.42,0.39,0.43,0.42,0.41,0.37,0.33,0.36,0.33,0.29,0.28,0.28,0.31,0.26,0.27,0.25,0.24,0.22,0.21,0.21,0.2,0.2,0.25,0.25,0.19,0.16,0.2,0.19,0.18,0.18,0.15,0.14,0.13,0.1,0.11,0.11,0.09,0.1,0.08,0.1,0.09,0.09,0.08,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.0,0.0,100.02
08/17/2021,13.09,12.34,7.99,4.86,3.99,3.78,3.11,2.7,2.2,1.81,1.99,1.77,1.7,1.25,1.15,1.19,1.09,1.0,1.03,0.94,0.99,0.92,0.78,0.88,0.76,0.77,0.82,0.77,0.66,0.71,0.61,0.75,0.66,0.65,0.6,0.6,0.58,0.61,0.58,0.53,0.5,0.54,0.46,0.51,0.47,0.42,0.48,0.43,0.74,0.47,0.42,0.42,0.38,0.33,0.42,0.39,0.44,0.42,0.41,0.37,0.33,0.35,0.33,0.29,0.28,0.28,0.31,0.28,0.27,0.24,0.24,0.22,0.2,0.22,0.2,0.2,0.25,0.25,0.19,0.16,0.2,0.19,0.18,0.18,0.15,0.14,0.13,0.11,0.11,0.11,0.09,0.1,0.07,0.09,0.09,0.09,0.07,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.0,0.0,99.99
08/19/2021,13.22,12.37,7.98,4.89,3.99,3.78,2.97,2.66,2.22,1.82,2.01,1.77,1.69,1.25,1.17,1.19,1.09,1.01,1.04,0.93,1.01,0.93,0.79,0.88,0.77,0.77,0.82,0.77,0.67,0.71,0.61,0.72,0.67,0.64,0.61,0.6,0.57,0.6,0.57,0.53,0.49,0.54,0.47,0.51,0.47,0.41,0.47,0.43,0.7,0.47,0.42,0.42,0.38,0.32,0.43,0.39,0.44,0.42,0.4,0.37,0.33,0.36,0.33,0.29,0.28,0.28,0.3,0.29,0.27,0.24,0.24,0.22,0.2,0.21,0.2,0.2,0.25,0.25,0.2,0.17,0.2,0.19,0.18,0.18,0.15,0.14,0.13,0.11,0.11,0.11,0.09,0.1,0.07,0.09,0.09,0.09,0.07,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.0,0.0,100.01999999999998
08/20/2021,13.26,12.42,7.91,4.82,3.98,3.77,2.9,2.62,2.23,1.79,1.94,1.79,1.71,1.26,1.19,1.19,1.07,1.02,1.05,0.92,1.03,0.95,0.8,0.88,0.74,0.77,0.83,0.77,0.66,0.73,0.62,0.73,0.69,0.65,0.6,0.61,0.57,0.6,0.57,0.53,0.49,0.55,0.46,0.52,0.48,0.41,0.47,0.44,0.76,0.47,0.42,0.43,0.38,0.32,0.43,0.41,0.43,0.42,0.4,0.37,0.33,0.36,0.32,0.29,0.28,0.28,0.3,0.28,0.27,0.24,0.24,0.22,0.2,0.22,0.2,0.21,0.25,0.25,0.2,0.17,0.21,0.19,0.18,0.18,0.15,0.13,0.13,0.12,0.12,0.11,0.09,0.1,0.07,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,100.01
08/23/2021,13.03,12.65,7.83,4.81,3.98,3.78,2.96,2.68,2.22,1.8,1.96,1.77,1.72,1.33,1.18,1.16,1.07,1.03,1.06,0.9,1.02,0.95,0.79,0.88,0.82,0.76,0.81,0.78,0.67,0.74,0.6,0.71,0.71,0.65,0.6,0.62,0.55,0.57,0.57,0.53,0.48,0.55,0.46,0.53,0.48,0.4,0.5,0.43,0.72,0.47,0.42,0.42,0.37,0.31,0.39,0.41,0.43,0.42,0.41,0.37,0.33,0.36,0.31,0.3,0.28,0.28,0.3,0.28,0.27,0.25,0.24,0.22,0.2,0.21,0.2,0.21,0.25,0.25,0.19,0.16,0.21,0.19,0.18,0.18,0.16,0.13,0.13,0.12,0.11,0.11,0.09,0.1,0.07,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.04,0.0,0.0,100.0
08/24/2021,13.02,12.83,7.77,4.81,3.98,3.78,2.95,2.79,2.19,1.79,1.98,1.74,1.73,1.32,1.17,1.16,1.06,1.02,1.06,0.9,1.02,0.95,0.78,0.87,0.84,0.76,0.81,0.78,0.65,0.73,0.59,0.71,0.69,0.66,0.59,0.61,0.54,0.55,0.57,0.53,0.48,0.55,0.45,0.52,0.48,0.4,0.5,0.43,0.72,0.46,0.42,0.42,0.37,0.31,0.4,0.41,0.43,0.42,0.41,0.36,0.33,0.36,0.32,0.3,0.28,0.28,0.3,0.28,0.27,0.24,0.24,0.22,0.2,0.21,0.19,0.21,0.25,0.25,0.19,0.16,0.21,0.19,0.18,0.17,0.16,0.13,0.13,0.12,0.11,0.11,0.09,0.1,0.07,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.02,0.03,0.03,0.03,0.03,0.02,0.01,0.04,0.0,0.0,99.96999999999998
08/25/2021,13.02,12.83,7.77,4.81,3.98,3.78,2.95,2.79,2.19,1.79,1.98,1.74,1.73,1.32,1.17,1.16,1.06,1.02,1.06,0.9,1.02,0.95,0.78,0.87,0.84,0.76,0.81,0.78,0.65,0.73,0.59,0.71,0.69,0.66,0.59,0.61,0.54,0.55,0.57,0.53,0.48,0.55,0.45,0.52,0.48,0.4,0.5,0.43,0.72,0.46,0.42,0.42,0.37,0.31,0.4,0.41,0.43,0.42,0.41,0.36,0.33,0.36,0.32,0.3,0.28,0.28,0.3,0.28,0.27,0.24,0.24,0.22,0.2,0.21,0.19,0.21,0.25,0.25,0.19,0.16,0.21,0.19,0.18,0.17,0.16,0.13,0.13,0.12,0.11,0.11,0.09,0.1,0.07,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.02,0.03,0.03,0.03,0.03,0.02,0.01,0.04,0.0,0.0,99.96999999999998
