,D05.SI,O39.SI,U11.SI,S68.SI,A17U.SI,BN4.SI,Z74.SI,F34.SI,C6L.SI,M44U.SI,S63.SI,SE,V03.SI,G13.SI,N2IU.SI,U14.SI,C31.SI,C09.SI,C38U.SI,SGD,XTSLA,UBFUT,QZN1,MARGIN_SGD,QZQ1,QZU1,USD,CLI SP Equity,SUM
08/02/2021,19.75,14.34,10.19,5.05,4.61,4.25,4.09,3.84,3.97,3.75,3.65,3.54,3.24,3.09,3.0,2.45,2.6,2.2,2.07,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/03/2021,19.78,14.38,10.23,5.05,4.6,4.35,4.09,3.83,3.92,3.72,3.67,3.45,3.24,3.07,3.01,2.45,2.6,2.17,2.09,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/04/2021,19.78,14.38,10.23,5.05,4.6,4.35,4.09,3.83,3.92,3.72,3.67,3.45,3.24,3.07,3.01,2.45,2.6,2.17,2.09,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/05/2021,19.78,14.38,10.23,5.05,4.6,4.35,4.09,3.83,3.92,3.72,3.67,3.45,3.24,3.07,3.01,2.45,2.6,2.17,2.09,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/06/2021,19.74,14.38,10.11,5.1,4.62,4.34,4.11,3.92,3.87,3.73,3.67,3.55,3.23,3.04,2.99,2.43,2.63,2.15,2.09,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
08/10/2021,20.03,14.42,10.3,4.62,4.59,4.31,4.08,3.89,3.88,3.7,3.63,3.75,3.27,2.97,2.96,2.42,2.6,2.13,2.07,0.33,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,20.03,14.42,10.3,4.62,4.59,4.31,4.08,3.89,3.88,3.7,3.63,3.75,3.27,2.97,2.96,2.42,2.6,2.13,2.07,0.33,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/13/2021,20.26,14.32,10.32,4.59,4.55,4.25,4.13,3.89,3.87,3.7,3.66,3.65,3.29,2.99,2.93,2.42,2.58,2.09,2.07,0.39,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/17/2021,19.96,13.86,10.37,4.53,4.51,4.23,4.27,3.87,3.9,3.64,3.7,3.79,3.28,3.0,2.9,2.4,2.62,2.15,2.06,0.92,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/19/2021,19.88,13.85,10.2,4.56,4.52,4.23,4.31,3.85,3.9,3.66,3.67,3.61,3.3,3.07,2.93,2.41,2.6,2.23,2.05,1.13,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,19.89,13.82,10.16,4.51,4.57,4.2,4.31,3.84,3.89,3.67,3.62,3.88,3.27,3.08,2.92,2.37,2.56,2.22,2.05,1.11,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,19.68,13.78,10.11,4.6,4.6,4.18,4.32,3.78,3.86,3.68,3.56,4.08,3.27,3.06,2.92,2.4,2.58,2.22,2.05,1.2,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,19.95,13.73,10.14,4.31,4.59,4.22,4.29,3.76,3.99,3.64,3.49,4.14,3.27,3.0,2.92,2.39,2.64,2.23,2.04,1.17,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,19.97,14.09,10.77,4.19,4.49,4.04,4.5,3.73,3.77,3.58,3.39,4.85,3.17,2.96,2.91,2.41,2.46,2.22,2.06,0.44,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/08/2021,19.97,14.09,10.77,4.19,4.49,4.04,4.5,3.73,3.77,3.58,3.39,4.85,3.17,2.96,2.91,2.41,2.46,2.22,2.06,0.44,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/09/2021,20.08,14.14,10.84,4.22,4.49,4.07,4.48,3.76,3.78,3.6,3.43,4.83,3.17,2.97,2.9,2.42,2.49,2.21,2.05,0.44,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.43999999999998
09/10/2021,20.05,14.11,10.81,4.12,4.47,4.06,4.47,3.75,3.74,3.59,3.4,4.8,3.15,2.96,2.88,2.41,2.46,2.19,2.03,0.43,0.05,0.02,0.0,0.0,0.0,0.0,0.04,0.0,99.99
09/14/2021,20.2,14.28,10.85,4.14,4.47,4.08,4.54,3.76,3.73,3.58,3.42,4.46,3.15,2.98,2.91,2.42,2.45,2.16,2.02,0.36,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
09/15/2021,20.2,14.28,10.85,4.14,4.47,4.08,4.54,3.76,3.73,3.58,3.42,4.46,3.15,2.98,2.91,2.42,2.45,2.16,2.02,0.36,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
09/16/2021,20.26,14.23,10.86,4.09,4.46,4.09,4.56,3.73,3.71,3.54,3.41,4.47,3.13,2.96,2.92,2.43,2.47,2.29,2.01,0.36,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.07000000000002
09/17/2021,20.19,14.18,10.92,4.08,4.47,4.1,4.55,3.7,3.69,3.54,3.44,4.59,3.15,2.95,2.92,2.4,2.45,2.31,2.0,0.36,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,100.02
09/20/2021,20.08,14.17,10.84,4.09,4.5,4.13,4.57,3.67,3.7,3.58,3.43,4.75,3.13,2.83,2.94,2.39,0.0,2.35,2.2,0.94,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.68,100.00999999999999
