,MSTR,PYPL,SQ,HUT.TO,MARA,4819.T,NVDA,VYGR.CN,GLXY.TO,HIVE.V,COIN,SI,8473.T,ARB.L,9449.T,OSTK,RIOT,BITF.V,CLSK,NB2.DE,MOGO.TO,IBM,CME,ORCL,ACN,4689.T,CAN,GBTC,EBON,BABA,MUDS,AMD,ICE,VIH,EQOS,TSM,WETF,Cash&Other,9984.T,VONN.SW,BIGG.CN,BIDU,700.HK,4755.T,005930.KS,MBTCU,EBIT.U.TO,BTCC.U.TO,BTCQ/U CN,XPDI,SUM
07/23/2021,5.47,5.69,5.37,3.18,3.32,4.12,3.83,2.83,2.78,3.14,3.81,3.56,3.66,2.37,3.35,3.16,2.88,2.38,2.37,2.34,2.04,2.29,2.12,2.14,1.98,1.96,1.35,1.93,1.13,1.22,1.15,1.12,0.0,1.14,1.03,1.06,0.96,0.67,0.85,0.83,0.47,0.67,0.65,0.67,0.55,0.39,0.0,0.0,0.0,0.0,99.98
07/26/2021,5.75,5.5,5.39,3.28,3.51,3.95,3.82,3.05,3.05,3.05,3.63,3.6,3.46,3.04,3.13,3.02,3.05,2.37,2.36,2.51,1.99,2.19,2.02,2.07,1.89,1.86,1.41,2.06,1.03,1.18,1.13,1.12,0.0,1.08,0.93,1.01,0.92,0.63,0.81,0.8,0.58,0.64,0.61,0.64,0.53,0.37,0.0,0.0,0.0,0.0,100.02
07/27/2021,5.62,5.63,5.5,3.24,3.45,3.96,3.84,3.32,3.06,2.98,3.64,3.62,3.48,2.94,3.14,3.03,2.99,2.35,2.25,2.51,1.95,2.21,2.06,2.02,1.93,1.86,1.33,2.09,1.03,1.14,1.11,1.14,0.0,1.09,0.94,1.02,0.92,0.64,0.81,0.8,0.6,0.62,0.6,0.64,0.53,0.37,0.0,0.0,0.0,0.0,100.0
07/28/2021,5.62,5.63,5.5,3.24,3.45,3.96,3.84,3.32,3.06,2.98,3.64,3.62,3.48,2.94,3.14,3.03,2.99,2.35,2.25,2.51,1.95,2.21,2.06,2.02,1.93,1.86,1.33,2.09,1.03,1.14,1.11,1.14,0.0,1.09,0.94,1.02,0.92,0.64,0.81,0.8,0.6,0.62,0.6,0.64,0.53,0.37,0.0,0.0,0.0,0.0,100.0
07/29/2021,6.59,5.19,5.06,3.64,3.84,3.64,3.51,3.36,3.2,3.23,3.68,3.59,3.28,3.39,2.99,2.81,3.35,2.85,2.22,2.25,1.96,2.07,1.9,1.88,1.79,1.77,1.43,2.41,1.1,0.98,1.02,1.05,0.0,1.01,0.93,0.93,0.88,0.59,0.74,0.75,0.65,0.54,0.52,0.6,0.49,0.34,0.0,0.0,0.0,0.0,100.0
07/30/2021,6.36,5.31,5.08,3.48,3.67,3.9,3.65,3.24,3.19,3.1,3.68,3.51,3.46,3.46,3.16,2.77,3.26,2.59,2.18,2.24,1.86,2.16,1.99,1.96,1.88,1.9,1.33,2.46,0.99,1.0,1.06,1.09,0.0,1.05,0.86,0.96,0.92,0.61,0.77,0.79,0.59,0.55,0.49,0.59,0.51,0.36,0.0,0.0,0.0,0.0,100.02
08/02/2021,6.25,4.96,5.1,3.46,3.7,3.49,3.71,3.36,3.29,3.11,3.66,3.52,3.54,3.42,3.13,2.56,3.26,2.64,2.2,2.28,1.8,2.13,2.0,1.94,1.85,1.78,1.51,2.52,1.0,1.05,1.04,1.22,0.0,1.04,0.91,0.97,0.94,0.83,0.76,0.8,0.72,0.58,0.54,0.59,0.51,0.35,0.0,0.0,0.0,0.0,100.02
08/03/2021,6.26,4.82,4.94,3.68,3.72,3.22,3.68,3.19,3.56,3.41,3.67,3.4,3.44,3.46,3.06,2.45,3.37,2.83,2.17,2.17,1.87,2.12,1.98,1.93,1.85,1.73,1.52,2.56,1.01,1.04,1.04,1.26,0.0,1.04,0.91,0.97,0.93,0.99,0.74,0.81,0.69,0.57,0.52,0.57,0.51,0.36,0.0,0.0,0.0,0.0,100.01999999999998
08/04/2021,6.26,4.82,4.94,3.68,3.72,3.22,3.68,3.19,3.56,3.41,3.67,3.4,3.44,3.46,3.06,2.45,3.37,2.83,2.17,2.17,1.87,2.12,1.98,1.93,1.85,1.73,1.52,2.56,1.01,1.04,1.04,1.26,0.0,1.04,0.91,0.97,0.93,0.99,0.74,0.81,0.69,0.57,0.52,0.57,0.51,0.36,0.0,0.0,0.0,0.0,100.01999999999998
08/05/2021,6.32,4.7,5.4,3.64,3.76,3.35,3.69,3.15,3.52,3.37,3.62,3.34,3.44,3.45,3.1,2.36,3.39,2.8,2.15,1.89,1.81,2.11,1.95,1.92,1.82,1.76,1.7,2.45,1.05,1.05,1.07,1.27,0.0,1.03,0.92,0.97,0.95,0.98,0.75,0.79,0.68,0.57,0.51,0.58,0.51,0.35,0.0,0.0,0.0,0.0,99.99
08/06/2021,6.22,4.78,5.37,3.69,3.64,3.45,3.73,3.23,3.46,3.49,3.57,3.32,3.45,3.45,3.08,2.39,3.2,3.01,2.12,1.66,1.82,2.16,1.94,1.98,1.85,1.8,1.72,2.34,1.02,1.05,1.04,1.33,0.0,1.04,0.88,0.99,0.97,1.06,0.75,0.8,0.65,0.57,0.49,0.58,0.52,0.36,0.0,0.0,0.0,0.0,100.01999999999998
08/10/2021,6.85,4.49,5.03,4.12,4.23,2.91,3.52,3.61,3.7,3.64,3.68,3.51,3.27,3.09,2.79,2.2,3.27,3.73,2.01,1.74,1.83,1.96,1.8,1.82,1.72,1.79,1.82,2.43,1.08,0.52,0.95,1.2,0.0,0.96,0.97,0.91,0.91,1.55,0.67,0.75,0.62,0.52,0.45,0.58,0.48,0.33,0.0,0.0,0.0,0.0,100.01
08/11/2021,6.85,4.49,5.03,4.12,4.23,2.91,3.52,3.61,3.7,3.64,3.68,3.51,3.27,3.09,2.79,2.2,3.27,3.73,2.01,1.74,1.83,1.96,1.8,1.82,1.72,1.79,1.82,2.43,1.08,0.52,0.95,1.2,0.0,0.96,0.97,0.91,0.91,1.55,0.67,0.75,0.62,0.52,0.45,0.58,0.48,0.33,0.0,0.0,0.0,0.0,100.01
08/13/2021,6.71,4.33,4.88,4.33,4.33,2.71,3.39,3.46,3.82,3.65,3.77,3.44,3.21,2.82,2.81,2.19,3.51,4.09,2.21,1.85,1.75,1.91,1.76,1.79,1.68,1.74,1.86,2.49,1.09,0.51,0.95,1.14,0.0,0.95,0.94,0.88,0.89,1.88,0.66,0.73,0.59,0.52,0.48,0.57,0.46,0.31,0.0,0.0,0.0,0.0,100.04
08/16/2021,6.47,4.39,4.82,4.57,4.16,2.56,3.43,3.18,3.7,3.67,3.63,3.44,3.33,2.88,2.66,2.35,3.38,4.06,2.13,2.01,1.92,1.96,1.77,1.81,1.71,1.78,1.83,2.44,1.04,0.5,0.94,1.15,0.0,0.96,0.9,0.88,0.88,2.47,0.65,0.75,0.54,0.5,0.48,0.54,0.44,0.31,0.0,0.0,0.0,0.0,99.97
08/17/2021,6.53,4.39,4.81,4.56,4.03,2.59,3.47,3.29,3.67,3.6,3.7,3.37,3.3,2.98,2.66,2.33,3.28,4.27,2.04,2.02,1.81,1.96,1.76,1.82,1.72,1.81,1.84,2.54,1.01,0.49,0.94,1.19,0.0,0.96,0.83,0.88,0.87,2.47,0.65,0.76,0.55,0.48,0.47,0.53,0.42,0.32,0.0,0.0,0.0,0.0,99.96999999999998
08/18/2021,6.53,4.39,4.81,4.56,4.03,2.59,3.47,3.29,3.67,3.6,3.7,3.37,3.3,2.98,2.66,2.33,3.28,4.27,2.04,2.02,1.81,1.96,1.76,1.82,1.72,1.81,1.84,2.54,1.01,0.49,0.94,1.19,0.0,0.96,0.83,0.88,0.87,2.47,0.65,0.76,0.55,0.48,0.47,0.53,0.42,0.32,0.0,0.0,0.0,0.0,99.96999999999998
08/19/2021,6.4,4.55,4.84,4.71,4.15,2.46,3.51,3.24,3.47,3.56,3.72,3.38,3.34,2.94,2.69,2.28,3.36,4.11,2.06,2.02,1.74,2.01,1.8,1.87,1.78,1.85,1.74,2.57,0.96,0.49,0.93,1.19,0.0,0.98,0.79,0.89,0.89,2.52,0.66,0.78,0.52,0.47,0.46,0.53,0.43,0.33,0.0,0.0,0.0,0.0,99.96999999999998
08/20/2021,6.26,4.55,4.92,4.31,3.95,2.48,3.52,3.14,3.13,3.3,3.73,3.1,3.41,2.64,2.72,2.34,3.16,3.53,1.79,2.04,1.69,2.05,1.84,1.93,1.84,1.92,1.71,2.55,0.95,0.48,0.93,1.22,0.0,1.0,0.77,0.89,0.89,5.13,0.66,0.79,0.5,0.47,0.45,0.54,0.44,0.33,0.0,0.0,0.0,0.0,99.99
08/23/2021,6.51,4.63,4.95,4.6,4.19,2.65,3.65,3.09,3.53,3.85,3.77,3.06,3.4,2.93,2.82,2.32,3.15,3.86,1.26,2.04,1.6,2.03,1.81,1.92,1.87,2.02,1.65,0.0,0.96,0.45,0.95,1.2,0.0,1.02,0.76,0.9,0.88,2.78,0.67,0.81,0.57,0.47,0.45,0.5,0.44,0.35,0.89,0.88,0.87,0.06,100.02
08/24/2021,6.68,4.53,4.9,4.76,4.5,2.58,3.72,3.08,3.56,3.96,3.78,3.16,3.2,3.53,2.7,2.32,3.27,3.84,0.82,2.03,1.63,1.98,1.75,1.86,1.84,1.95,1.66,0.0,0.96,0.43,0.9,1.17,0.0,0.99,0.69,0.86,0.87,2.56,0.63,0.79,0.56,0.45,0.44,0.47,0.43,0.33,0.9,0.9,0.89,0.19,100.0
08/25/2021,6.68,4.53,4.9,4.76,4.5,2.58,3.72,3.08,3.56,3.96,3.78,3.16,3.2,3.53,2.7,2.32,3.27,3.84,0.82,2.03,1.63,1.98,1.75,1.86,1.84,1.95,1.66,0.0,0.96,0.43,0.9,1.17,0.0,0.99,0.69,0.86,0.87,2.56,0.63,0.79,0.56,0.45,0.44,0.47,0.43,0.33,0.9,0.9,0.89,0.19,100.0
08/26/2021,6.54,4.49,4.93,4.88,4.58,2.56,3.83,3.12,3.42,3.91,3.68,3.31,3.13,3.66,2.71,2.31,3.32,3.66,0.94,2.03,1.65,1.94,1.74,1.82,1.79,1.96,1.85,0.0,1.01,0.43,0.88,1.19,0.0,0.97,0.7,0.86,0.87,2.26,0.61,0.79,0.56,0.46,0.44,0.45,0.42,0.33,0.88,0.88,0.88,0.34,99.97
08/27/2021,6.5,4.52,4.9,4.7,4.71,2.61,3.79,3.15,3.44,3.95,3.71,3.34,3.16,3.4,2.71,2.36,3.49,3.54,1.0,2.01,1.64,1.94,1.73,1.81,1.78,1.97,1.84,0.0,1.05,0.45,0.88,1.18,0.0,0.96,0.75,0.86,0.88,2.25,0.62,0.78,0.53,0.5,0.47,0.47,0.44,0.32,0.86,0.86,0.86,0.34,100.01
08/30/2021,6.37,4.49,4.81,4.83,4.56,2.69,3.9,3.05,3.22,3.86,3.61,3.38,3.2,3.52,2.77,2.37,3.4,3.52,0.98,2.01,1.63,1.95,1.74,1.84,1.82,2.04,1.88,0.0,1.01,0.44,0.89,1.19,0.0,0.99,0.79,0.92,0.87,2.41,0.63,0.79,0.49,0.5,0.48,0.5,0.43,0.33,0.85,0.85,0.85,0.34,99.99
08/31/2021,6.29,4.42,4.77,5.35,4.91,2.63,3.87,2.97,3.3,3.88,3.65,3.43,3.08,3.4,2.68,2.35,3.5,3.68,1.03,1.92,1.6,1.9,1.69,1.79,1.77,1.97,1.94,0.0,1.03,0.42,0.86,1.2,0.0,0.96,0.76,0.9,0.87,2.34,0.6,0.78,0.46,0.48,0.46,0.48,0.42,0.32,0.85,0.85,0.85,0.33,99.99
09/01/2021,6.29,4.42,4.77,5.35,4.91,2.63,3.87,2.97,3.3,3.88,3.65,3.43,3.08,3.4,2.68,2.35,3.5,3.68,1.03,1.92,1.6,1.9,1.69,1.79,1.77,1.97,1.94,0.0,1.03,0.42,0.86,1.2,0.0,0.96,0.76,0.9,0.87,2.34,0.6,0.78,0.46,0.48,0.46,0.48,0.42,0.32,0.85,0.85,0.85,0.33,99.99
09/02/2021,6.16,4.56,4.77,5.69,4.92,2.61,3.86,2.87,3.29,3.9,3.68,3.3,3.11,3.35,2.68,2.31,3.38,3.68,0.99,1.99,1.6,1.88,1.68,1.78,1.77,1.98,1.83,0.0,1.02,0.42,0.86,1.19,0.0,0.95,0.77,0.9,0.85,2.58,0.6,0.77,0.46,0.48,0.46,0.47,0.42,0.32,0.85,0.85,0.85,0.32,100.01
