,FB,GOOGL,V,700.HK,AAPL,AMZN,600519.SS,MC.PA,BABA,MA,DIS,NESN.SW,OR.PA,3690.HK,KO,NFLX,PEP,000858.SZ,PRX.AS,MCD,PDD,ULVR.L,PM,ABI.BR,RMS.PA,SBUX,JD,1024.HK,EL,DGE.L,9988.HK,SNAP,601888.SS,NPN.JO,MDLZ,NTES,MO,603288.SS,BATS.L,7974.T,TJX,MELI,9633.HK,CL,HEIA.AS,ADS.DE,000568.SZ,002714.SZ,600809.SS,2020.HK,MNST,KDP,002304.SZ,KHC,6618.HK,BN.PA,TWTR,ROKU,STZ,PINS,ROST,LULU,KMB,RACE.MI,CMG,VIV.PA,MTCH,BF.B,2313.HK,6969.HK,GIS,YUM,PAH3.DE,CHWY,HSY,DHER.DE,6862.HK,Z,4452.T,Zillow Group Inc C,SNA,n/a,603087.SS,NKE,9983.T,DASH,UMG.AS,SUM
07/23/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/12/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/16/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
08/26/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
08/30/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
08/31/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
09/01/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
09/03/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
09/06/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.0,0.28,0.0,0.0,0.27,0.02,0.0,0.0,0.0,0.0,100.03
09/07/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.27,0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.03
09/08/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.27,0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.03
09/09/2021,5.09,5.3,4.9,3.59,5.2,4.58,2.96,3.7,0.0,3.73,3.21,3.3,2.25,1.76,2.23,2.21,1.97,1.18,1.41,1.7,1.17,1.35,1.4,1.11,1.44,1.36,1.15,0.63,1.18,1.02,4.19,1.17,0.65,0.81,0.81,0.7,0.78,0.67,0.74,0.62,0.75,0.84,0.58,0.61,0.6,0.58,0.35,0.36,0.45,0.53,0.49,0.46,0.37,0.41,0.35,0.46,0.54,0.55,0.41,0.38,0.41,0.51,0.42,0.42,0.54,0.36,0.43,0.3,0.3,0.23,0.32,0.37,0.31,0.36,0.33,0.35,0.21,0.27,0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.03
