,ICF,MTUM,GLD,VIG,MGK,IOO,QQQ,RSP,IJH,IWD,MSFT,AAPL,VHT,IJJ,AMAT,SMH,NEAR,ICSH,MINT,STIP,V,ITB,XHB,XLF,MS,TPX,IGSB,n/a,URI,HD,HON,DE,DIS,LMT,CAT,CMI,TXN,MGM,FCX,FGXXX,VZ,PEP,JPST,PLLDA.AX,IYT,EWW,ROK,FDX,NKE,REGN,AN,SUM
09/08/2021,7.8,7.46,7.22,5.11,5.12,5.03,5.06,4.99,4.84,3.19,2.58,2.59,2.55,2.45,2.17,2.03,1.91,1.91,1.91,1.9,1.77,1.61,1.5,1.24,1.13,1.13,1.07,0.74,1.07,0.99,0.99,1.03,0.97,0.92,0.94,0.93,0.92,0.83,0.82,0.0,0.52,0.01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/09/2021,7.8,7.47,7.29,5.1,5.13,5.03,5.07,4.97,4.81,3.17,2.58,2.6,2.54,2.43,2.19,2.04,1.91,1.91,1.91,1.9,1.77,1.6,1.49,1.23,1.12,1.13,1.07,0.75,1.06,0.99,0.98,1.04,0.96,0.92,0.94,0.93,0.92,0.83,0.82,0.0,0.52,0.01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,7.75,7.51,7.19,5.08,5.18,5.05,5.11,4.96,4.79,3.17,2.59,2.66,2.55,2.42,2.21,2.05,1.92,1.92,1.92,1.91,1.79,1.59,1.47,1.23,1.13,1.13,1.08,0.68,1.05,0.99,0.96,1.0,0.99,0.9,0.93,0.92,0.93,0.85,0.83,0.0,0.52,0.01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,7.83,7.47,7.19,5.11,5.18,5.05,5.11,4.97,4.78,3.17,2.59,2.64,2.55,2.41,2.17,2.03,1.93,1.93,1.92,1.92,1.82,1.56,1.47,1.23,1.13,1.14,1.08,0.7,1.04,1.01,0.97,1.0,0.99,0.91,0.93,0.92,0.93,0.83,0.79,0.0,0.52,0.01,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,7.76,7.64,7.07,5.3,5.09,5.07,4.97,4.96,4.67,3.28,2.47,2.51,2.63,2.33,2.11,2.05,1.97,1.97,1.97,1.98,1.74,1.6,1.44,1.4,1.13,1.15,1.15,0.67,1.05,1.0,0.96,0.99,0.97,0.91,0.93,0.94,0.93,0.79,0.75,0.0,0.52,0.01,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,10.27,6.04,6.91,6.19,4.2,4.3,3.96,4.35,3.98,3.22,1.78,1.58,3.05,2.14,1.57,2.42,2.32,0.0,2.31,5.71,1.5,1.68,1.5,1.64,1.18,0.57,1.34,3.46,1.11,1.06,1.07,0.84,0.53,0.55,1.04,1.04,0.49,0.72,0.45,0.0,0.54,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,10.27,6.04,6.91,6.19,4.2,4.3,3.96,4.35,3.98,3.22,1.78,1.58,3.05,2.14,1.57,2.42,2.32,0.0,2.31,5.71,1.5,1.68,1.5,1.64,1.18,0.57,1.34,3.46,1.11,1.06,1.07,0.84,0.53,0.55,1.04,1.04,0.49,0.72,0.45,0.0,0.54,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,9.39,5.51,6.31,5.64,3.82,3.94,3.61,3.97,3.65,2.95,1.63,1.45,2.76,1.97,1.46,2.22,2.11,0.0,2.11,5.2,1.36,1.53,1.36,1.51,1.08,0.52,1.22,11.82,1.02,0.98,0.98,0.76,0.49,0.5,0.95,0.96,0.45,0.67,0.41,0.0,0.5,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/20/2021,9.33,5.5,6.26,5.59,3.81,3.92,3.59,4.69,3.62,2.93,1.66,1.43,2.75,1.95,1.46,2.21,2.09,0.0,2.09,5.16,1.35,1.5,1.34,1.49,1.06,0.52,1.21,11.72,1.01,0.96,0.96,0.75,0.48,0.49,0.94,0.94,0.45,0.62,0.42,0.0,0.49,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/21/2021,9.37,5.51,6.13,5.58,3.82,3.92,3.6,4.69,3.62,2.92,1.66,1.43,2.75,1.95,1.5,2.22,2.1,0.0,2.09,5.17,1.35,1.52,1.35,1.49,1.06,0.52,1.22,11.74,1.02,0.97,0.95,0.74,0.48,0.49,0.93,0.93,0.45,0.63,0.4,0.0,0.49,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,9.37,5.51,6.13,5.58,3.82,3.92,3.6,4.69,3.62,2.92,1.66,1.43,2.75,1.95,1.5,2.22,2.1,0.0,2.09,5.17,1.35,1.52,1.35,1.49,1.06,0.52,1.22,11.74,1.02,0.97,0.95,0.74,0.48,0.49,0.93,0.93,0.45,0.63,0.4,0.0,0.49,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,9.37,5.51,6.13,5.58,3.82,3.92,3.6,4.69,3.62,2.92,1.66,1.43,2.75,1.95,1.5,2.22,2.1,0.0,2.09,5.17,1.35,1.52,1.35,1.49,1.06,0.52,1.22,11.74,1.02,0.97,0.95,0.74,0.48,0.49,0.93,0.93,0.45,0.63,0.4,0.0,0.49,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/24/2021,9.58,5.52,4.01,5.64,3.86,5.01,3.62,5.08,4.95,2.96,1.67,1.43,2.83,1.96,1.46,2.21,2.18,0.0,2.17,5.35,1.38,1.54,1.36,2.03,1.05,0.55,1.26,4.5,1.01,1.0,0.97,0.73,0.46,0.5,0.9,0.92,0.46,0.65,0.37,0.0,0.0,0.0,1.29,0.0,3.91,0.96,0.73,0.0,0.0,0.0,0.0,100.02
09/27/2021,9.49,5.52,3.92,5.57,3.82,4.97,3.58,5.05,4.92,2.94,1.66,1.43,2.79,1.96,1.46,2.21,2.14,0.0,2.13,5.25,1.37,1.52,1.35,2.02,1.06,0.55,1.24,5.32,1.04,0.99,0.96,0.72,0.46,0.5,0.89,0.91,0.46,0.67,0.37,0.0,0.0,0.0,1.27,0.0,3.83,0.95,0.73,0.0,0.0,0.0,0.0,99.99
09/28/2021,9.29,5.54,3.82,5.54,3.8,4.95,3.56,5.04,4.92,2.93,1.64,1.41,2.77,1.96,1.47,2.2,2.1,0.0,2.1,5.17,1.38,1.5,1.34,2.04,1.07,0.54,1.22,5.27,1.05,0.97,0.96,0.73,0.46,0.49,0.9,0.92,0.46,0.53,0.37,0.0,0.0,0.0,1.25,0.0,3.83,0.94,0.72,0.81,0.0,0.0,0.0,99.96
09/29/2021,9.22,5.59,3.84,5.6,3.84,4.98,3.59,5.09,4.93,2.95,1.65,1.43,2.78,1.97,1.49,2.21,2.12,0.0,2.12,5.21,1.41,1.51,1.34,2.07,1.07,0.54,1.23,4.65,1.06,0.99,0.96,0.74,0.46,0.5,0.91,0.93,0.47,0.53,0.38,0.0,0.0,0.0,1.26,0.0,3.89,0.94,0.72,0.81,0.0,0.0,0.0,99.98
09/30/2021,9.22,5.59,3.84,5.6,3.84,4.98,3.59,5.09,4.93,2.95,1.65,1.43,2.78,1.97,1.49,2.21,2.12,0.0,2.12,5.21,1.41,1.51,1.34,2.07,1.07,0.54,1.23,4.65,1.06,0.99,0.96,0.74,0.46,0.5,0.91,0.93,0.47,0.53,0.38,0.0,0.0,0.0,1.26,0.0,3.89,0.94,0.72,0.81,0.0,0.0,0.0,99.98
10/01/2021,9.15,5.55,3.87,5.58,3.75,4.95,3.52,5.11,4.98,2.97,1.59,1.4,2.73,2.0,1.42,2.15,2.15,0.0,2.15,5.3,1.39,1.5,1.34,2.1,1.08,0.54,1.25,4.23,1.1,0.99,0.96,0.76,0.47,0.51,0.94,0.95,0.46,0.54,0.4,0.0,0.0,0.0,1.28,0.0,3.92,0.94,0.72,0.81,0.51,0.0,0.0,100.01
10/04/2021,9.17,5.48,3.84,5.57,3.73,4.93,3.49,5.1,4.95,2.96,1.58,1.4,2.72,1.99,1.66,2.1,2.14,0.0,2.14,5.27,1.39,1.5,1.34,2.36,1.05,0.54,1.24,4.21,1.09,0.99,0.95,0.75,0.46,0.51,0.92,0.95,0.46,0.53,0.39,0.0,0.0,0.0,1.28,0.0,3.87,0.93,0.72,0.8,0.51,0.0,0.0,99.95999999999998
10/05/2021,9.17,5.51,3.97,5.58,3.76,4.96,3.53,5.09,4.95,2.96,1.6,1.41,2.73,1.99,1.7,2.13,2.18,0.0,2.17,5.35,1.39,1.48,1.32,2.35,1.04,0.52,1.26,3.8,1.07,0.98,0.96,0.72,0.46,0.51,0.91,0.94,0.46,0.53,0.39,0.0,0.0,0.0,1.29,0.0,3.87,0.95,0.72,0.81,0.52,0.0,0.0,99.99
10/06/2021,9.11,5.47,3.91,5.53,3.74,4.93,3.5,5.07,4.95,2.95,1.61,1.4,2.69,1.99,1.67,2.1,2.14,0.0,2.14,5.25,1.42,1.46,1.3,2.35,1.04,0.52,1.24,3.73,1.07,0.97,0.95,0.73,0.47,0.5,0.91,0.94,0.46,0.54,0.48,0.0,0.0,0.0,1.27,0.0,3.89,0.93,0.71,0.8,0.52,0.67,0.0,100.02
10/07/2021,9.11,5.47,3.91,5.53,3.74,4.93,3.5,5.07,4.95,2.95,1.61,1.4,2.69,1.99,1.67,2.1,2.14,0.0,2.14,5.25,1.42,1.46,1.3,2.35,1.04,0.52,1.24,3.73,1.07,0.97,0.95,0.73,0.47,0.5,0.91,0.94,0.46,0.54,0.48,0.0,0.0,0.0,1.27,0.0,3.89,0.93,0.71,0.8,0.52,0.67,0.0,100.02
10/08/2021,9.27,5.48,3.99,5.58,3.72,4.95,3.48,5.13,5.0,2.98,1.6,1.38,2.7,2.03,1.65,2.08,2.17,0.0,2.17,5.34,1.4,1.48,1.32,2.37,1.04,0.51,1.26,2.99,1.06,0.98,0.96,0.73,0.47,0.51,0.91,0.95,0.46,0.54,0.49,0.0,0.0,0.0,1.29,0.0,3.93,0.94,0.72,0.8,0.52,0.66,0.0,99.99
10/11/2021,9.27,5.51,3.88,5.6,3.75,4.95,3.51,5.11,4.97,2.97,1.63,1.4,2.68,3.72,1.65,2.1,2.13,0.0,2.13,5.24,1.41,1.49,1.32,2.39,1.03,0.51,1.23,1.56,1.05,0.99,0.96,0.73,0.47,0.5,0.91,0.96,0.46,0.54,0.5,0.0,0.0,0.0,1.27,0.0,3.93,0.92,0.73,0.8,0.53,0.64,0.0,100.03
10/12/2021,9.27,5.51,3.88,5.6,3.75,4.95,3.51,5.11,4.97,2.97,1.63,1.4,2.68,3.72,1.65,2.1,2.13,0.0,2.13,5.24,1.41,1.49,1.32,2.39,1.03,0.51,1.23,1.56,1.05,0.99,0.96,0.73,0.47,0.5,0.91,0.96,0.46,0.54,0.5,0.0,0.0,0.0,1.27,0.0,3.93,0.92,0.73,0.8,0.53,0.64,0.0,100.03
10/13/2021,9.27,5.51,3.88,5.6,3.75,4.95,3.51,5.11,4.97,2.97,1.63,1.4,2.68,3.72,1.65,2.1,2.13,0.0,2.13,5.24,1.41,1.49,1.32,2.39,1.03,0.51,1.23,1.56,1.05,0.99,0.96,0.73,0.47,0.5,0.91,0.96,0.46,0.54,0.5,0.0,0.0,0.0,1.27,0.0,3.93,0.92,0.73,0.8,0.53,0.64,0.0,100.03
10/14/2021,9.24,5.54,3.91,5.63,3.76,5.0,3.52,5.14,4.98,3.0,1.65,1.4,2.68,3.74,1.64,2.09,2.15,0.0,2.14,5.28,1.42,1.48,1.32,2.42,1.06,0.5,1.24,1.11,1.03,0.99,0.97,0.73,0.47,0.51,0.91,0.97,0.46,0.54,0.5,0.0,0.0,0.0,1.28,0.0,3.98,0.93,0.73,0.81,0.53,0.64,0.0,100.02
10/15/2021,9.42,5.52,3.94,5.6,3.75,4.97,3.49,5.13,5.0,2.98,1.64,1.39,2.67,3.75,1.65,2.07,2.15,0.0,2.15,5.3,1.38,1.5,1.32,2.39,1.04,0.5,1.24,1.11,1.03,1.0,0.95,0.7,0.46,0.52,0.89,0.95,0.45,0.59,0.51,0.0,0.0,0.0,1.28,0.0,3.96,0.94,0.72,0.8,0.54,0.63,0.0,99.97
10/18/2021,9.45,5.53,3.99,5.6,3.76,4.97,3.51,5.12,5.0,2.97,1.66,1.38,2.66,3.74,1.67,2.08,2.15,0.0,2.14,5.28,1.37,1.5,1.32,2.37,1.04,0.49,1.24,1.11,1.02,1.0,0.96,0.7,0.46,0.52,0.88,0.95,0.44,0.58,0.53,0.0,0.0,0.0,1.28,0.0,3.95,0.94,0.72,0.81,0.55,0.63,0.0,100.01999999999998
10/19/2021,9.43,5.55,3.94,5.61,3.76,4.96,3.52,5.13,5.01,2.97,1.67,1.39,2.66,3.74,1.69,2.11,2.11,0.0,2.11,5.21,1.37,1.52,1.34,2.37,1.05,0.49,1.22,1.09,1.04,1.0,0.96,0.69,0.46,0.52,0.89,0.97,0.45,0.58,0.54,0.0,0.0,0.0,1.26,0.0,3.97,0.93,0.74,0.81,0.54,0.63,0.0,100.0
10/20/2021,9.38,5.58,3.86,5.63,3.78,4.98,3.52,5.12,4.99,2.98,1.67,1.39,2.66,3.73,1.68,2.11,2.1,0.0,2.1,5.18,1.4,1.5,1.33,2.4,1.06,0.49,1.21,1.09,1.03,1.01,0.96,0.69,0.46,0.52,0.91,0.96,0.45,0.57,0.56,0.0,0.0,0.0,1.25,0.0,4.0,0.95,0.74,0.81,0.54,0.63,0.0,99.96
10/21/2021,9.38,5.61,3.85,5.62,3.81,4.98,3.55,5.12,4.99,2.96,1.68,1.41,2.63,3.72,1.69,2.13,2.1,0.0,2.1,5.17,1.39,1.52,1.35,2.39,1.05,0.51,1.21,1.08,1.03,1.02,0.96,0.69,0.44,0.52,0.9,0.96,0.45,0.57,0.55,0.0,0.0,0.0,1.25,0.0,4.0,0.94,0.74,0.81,0.55,0.62,0.0,100.0
10/22/2021,9.37,5.61,3.84,5.64,3.82,4.99,3.56,5.12,4.98,2.97,1.68,1.42,2.65,3.7,1.7,2.14,2.09,0.0,2.09,5.14,1.4,1.51,1.34,2.41,1.05,0.5,1.2,1.08,1.03,1.03,0.96,0.71,0.44,0.52,0.91,0.96,0.46,0.56,0.56,0.0,0.0,0.0,1.24,0.0,3.97,0.94,0.74,0.81,0.54,0.62,0.0,100.0
10/25/2021,9.46,5.59,3.85,5.63,3.78,4.97,3.54,5.13,4.99,2.98,1.66,1.42,2.67,3.72,1.68,2.12,2.08,0.0,2.07,5.12,1.38,1.53,1.35,2.41,1.03,0.51,1.2,1.07,1.06,1.02,0.96,0.71,0.44,0.52,0.92,0.97,0.46,0.55,0.55,0.0,0.0,0.0,1.23,0.0,3.98,0.94,0.75,0.81,0.54,0.63,0.0,99.98
10/26/2021,9.47,5.59,3.84,5.64,3.8,4.96,3.55,5.12,4.99,2.97,1.68,1.42,2.68,3.71,1.67,2.14,2.07,0.0,2.07,5.12,1.37,1.53,1.35,2.4,1.02,0.51,1.19,1.07,1.06,1.04,0.96,0.7,0.44,0.52,0.91,0.96,0.46,0.56,0.54,0.0,0.0,0.0,1.23,0.0,4.02,0.92,0.74,0.81,0.55,0.64,0.0,99.99
10/27/2021,9.47,5.59,3.84,5.64,3.8,4.96,3.55,5.12,4.99,2.97,1.68,1.42,2.68,3.71,1.67,2.14,2.07,0.0,2.07,5.12,1.37,1.53,1.35,2.4,1.02,0.51,1.19,1.07,1.06,1.04,0.96,0.7,0.44,0.52,0.91,0.96,0.46,0.56,0.54,0.0,0.0,0.0,1.23,0.0,4.02,0.92,0.74,0.81,0.55,0.64,0.0,99.99
10/28/2021,9.51,5.58,3.86,5.67,3.77,4.93,3.51,5.13,5.0,2.98,1.67,1.41,2.68,3.71,1.7,2.12,2.07,0.0,2.07,5.11,1.37,1.52,1.35,2.43,1.04,0.52,1.19,1.07,1.07,1.04,0.93,0.7,0.43,0.52,0.9,0.96,0.45,0.56,0.53,0.0,0.0,0.0,1.23,0.0,4.04,0.92,0.74,0.81,0.55,0.64,0.0,99.99
10/29/2021,9.49,5.65,3.87,5.66,3.78,4.9,3.53,5.12,5.0,2.97,1.65,1.4,2.67,3.71,1.69,2.12,2.06,0.0,2.06,5.1,1.38,1.53,1.35,2.41,1.03,0.51,1.19,1.08,1.06,1.05,0.93,0.72,0.44,0.52,0.91,0.96,0.46,0.56,0.55,0.0,0.0,0.0,1.22,0.0,4.04,0.92,0.73,0.82,0.55,0.64,0.0,99.99
11/01/2021,9.55,5.62,3.88,5.65,3.84,4.99,3.58,5.09,4.93,2.95,1.75,1.42,2.68,3.64,1.66,2.13,2.08,0.0,2.08,5.15,1.29,1.53,1.35,2.4,1.04,0.5,1.2,1.09,1.01,1.06,0.93,0.7,0.44,0.46,0.89,0.94,0.43,0.55,0.53,0.0,0.0,0.0,1.24,0.0,4.07,0.92,0.73,0.83,0.55,0.66,0.0,100.01
11/02/2021,9.59,5.65,3.84,5.63,3.83,4.99,3.59,5.09,4.96,2.95,1.74,1.44,2.68,3.65,1.69,2.15,2.06,0.0,2.05,5.08,1.24,1.53,1.36,2.4,1.04,0.48,1.18,1.08,1.06,1.05,0.93,0.71,0.43,0.46,0.91,0.96,0.43,0.54,0.54,0.0,0.0,0.0,1.22,0.0,4.08,0.9,0.74,0.82,0.55,0.69,0.0,99.99000000000002
11/03/2021,9.5,5.66,3.81,5.64,3.85,4.99,3.61,5.08,4.97,2.95,1.78,1.41,2.7,3.64,1.7,2.15,2.06,0.0,2.06,5.09,1.25,1.53,1.35,2.39,1.04,0.48,1.19,1.08,1.09,1.05,0.93,0.7,0.43,0.46,0.91,0.95,0.43,0.55,0.53,0.0,0.0,0.0,1.22,0.0,4.08,0.9,0.74,0.82,0.56,0.71,0.0,100.02
11/04/2021,9.5,5.66,3.81,5.64,3.85,4.99,3.61,5.08,4.97,2.95,1.78,1.41,2.7,3.64,1.7,2.15,2.06,0.0,2.06,5.09,1.25,1.53,1.35,2.39,1.04,0.48,1.19,1.08,1.09,1.05,0.93,0.7,0.43,0.46,0.91,0.95,0.43,0.55,0.53,0.0,0.0,0.0,1.22,0.0,4.08,0.9,0.74,0.82,0.56,0.71,0.0,100.02
11/05/2021,9.47,5.69,3.81,5.61,3.83,4.96,3.6,5.09,5.04,2.95,1.76,1.39,2.7,3.7,1.73,2.17,2.05,0.0,2.04,5.05,1.25,1.54,1.36,2.38,1.05,0.48,1.18,1.08,1.1,1.03,0.93,0.73,0.43,0.46,0.91,0.96,0.42,0.56,0.54,0.0,0.0,0.0,1.22,0.0,4.07,0.89,0.74,0.81,0.56,0.7,0.0,100.02
11/08/2021,9.39,5.65,3.78,5.64,3.89,4.98,3.67,5.08,5.05,2.93,1.78,1.4,2.69,3.72,1.84,2.28,2.03,0.0,2.03,5.02,1.22,1.53,1.36,2.34,1.0,0.47,1.17,1.0,1.1,1.04,0.93,0.7,0.43,0.46,0.9,0.92,0.43,0.54,0.51,0.0,0.0,0.0,1.21,0.0,4.09,0.9,0.78,0.84,0.58,0.71,0.0,100.01
11/09/2021,9.39,5.65,3.78,5.64,3.89,4.98,3.67,5.08,5.05,2.93,1.78,1.4,2.69,3.72,1.84,2.28,2.03,0.0,2.03,5.02,1.22,1.53,1.36,2.34,1.0,0.47,1.17,1.0,1.1,1.04,0.93,0.7,0.43,0.46,0.9,0.92,0.43,0.54,0.51,0.0,0.0,0.0,1.21,0.0,4.09,0.9,0.78,0.84,0.58,0.71,0.0,100.01
11/10/2021,9.39,5.65,3.78,5.64,3.89,4.98,3.67,5.08,5.05,2.93,1.78,1.4,2.69,3.72,1.84,2.28,2.03,0.0,2.03,5.02,1.22,1.53,1.36,2.34,1.0,0.47,1.17,1.0,1.1,1.04,0.93,0.7,0.43,0.46,0.9,0.92,0.43,0.54,0.51,0.0,0.0,0.0,1.21,0.0,4.09,0.9,0.78,0.84,0.58,0.71,0.0,100.01
11/11/2021,9.36,5.62,3.81,5.64,3.87,4.97,3.65,5.09,5.07,2.93,1.77,1.4,2.65,3.76,1.87,2.29,2.02,0.0,2.02,5.0,1.26,1.55,1.37,2.33,0.99,0.47,1.17,1.0,1.11,1.02,0.94,0.71,0.44,0.46,0.9,0.92,0.43,0.57,0.51,0.0,0.0,0.0,1.2,0.0,4.11,0.9,0.77,0.83,0.59,0.67,0.0,100.01
11/12/2021,9.34,5.62,3.81,5.63,3.86,4.96,3.64,5.09,5.06,2.93,1.77,1.39,2.66,3.75,1.87,2.33,2.01,0.0,2.01,4.99,1.27,1.55,1.37,2.34,0.99,0.47,1.16,1.0,1.11,1.02,0.94,0.72,0.44,0.46,0.94,0.92,0.43,0.55,0.54,0.0,0.0,0.0,1.2,0.0,4.12,0.91,0.76,0.85,0.57,0.68,0.0,100.03
11/15/2021,9.42,5.53,3.92,5.64,3.81,4.95,3.6,5.11,5.07,2.94,1.76,1.37,2.66,3.76,1.89,2.31,2.03,0.0,2.03,5.04,1.22,1.58,1.39,2.35,0.99,0.46,1.17,0.99,1.08,1.02,0.93,0.71,0.41,0.46,0.92,0.92,0.42,0.52,0.57,0.0,0.0,0.0,1.2,0.0,4.11,0.89,0.75,0.86,0.55,0.68,0.0,99.98999999999998
11/16/2021,9.42,5.53,3.92,5.64,3.81,4.95,3.6,5.11,5.07,2.94,1.76,1.37,2.66,3.76,1.89,2.31,2.03,0.0,2.03,5.04,1.22,1.58,1.39,2.35,0.99,0.46,1.17,0.99,1.08,1.02,0.93,0.71,0.41,0.46,0.92,0.92,0.42,0.52,0.57,0.0,0.0,0.0,1.2,0.0,4.11,0.89,0.75,0.86,0.55,0.68,0.0,99.98999999999998
11/17/2021,9.42,5.53,3.92,5.64,3.81,4.95,3.6,5.11,5.07,2.94,1.76,1.37,2.66,3.76,1.89,2.31,2.03,0.0,2.03,5.04,1.22,1.58,1.39,2.35,0.99,0.46,1.17,0.99,1.08,1.02,0.93,0.71,0.41,0.46,0.92,0.92,0.42,0.52,0.57,0.0,0.0,0.0,1.2,0.0,4.11,0.89,0.75,0.86,0.55,0.68,0.0,99.98999999999998
11/18/2021,9.37,5.53,3.91,5.64,3.84,4.96,3.61,5.1,5.06,2.93,1.77,1.38,2.65,3.75,1.91,2.32,2.02,0.0,2.01,5.01,1.23,1.6,1.41,2.34,0.99,0.47,1.16,1.02,1.08,1.03,0.93,0.72,0.4,0.46,0.92,0.92,0.42,0.51,0.57,0.0,0.0,0.0,1.2,0.0,4.1,0.89,0.76,0.86,0.56,0.68,0.0,100.0
