,NPN.JO,FSR.JO,IMP.JO,MTN.JO,SSW.JO,SBK.JO,CPI.JO,SOL.JO,ANG.JO,GFI.JO,SLM.JO,BID.JO,AMS.JO,ABG.JO,NHM.JO,SHP.JO,VOD.JO,BVT.JO,APN.JO,CLS.JO,OMU.JO,NED.JO,REM.JO,MRP.JO,GRT.JO,MCG.JO,DSY.JO,TFG.JO,WHL.JO,NRP.JO,REIN.,EXX.JO,KIO.JO,SPP.JO,TBS.JO,LHC.JO,HAR.JO,ARI.JO,RDF.JO,AVI.JO,PPH.JO,RMI.JO,TRU.JO,SAP.JO,NTC.JO,MTM.JO,BAW.JO,PIK.JO,RES.JO,FFA.JO,INL.JO,DGH.JO,TKG.JO,PSG.JO,CML.JO,DCP.JO,SNT.JO,LBH.JO,NY1.JO,FFB.JO,—,FFB,SUM
07/29/2021,19.26,6.06,4.61,4.41,4.22,3.6,3.07,2.88,2.81,2.79,2.35,2.45,2.53,2.16,1.84,1.76,1.79,1.5,1.51,1.49,1.36,1.34,1.28,1.23,1.14,1.22,1.13,1.13,1.09,0.99,0.99,1.04,0.92,0.8,0.75,0.75,0.74,0.7,0.52,0.56,0.56,0.54,0.57,0.54,0.5,0.46,0.48,0.41,0.39,0.38,0.36,0.31,0.29,0.27,0.28,0.26,0.24,0.22,0.15,0.06,-0.01,0.0,100.03
07/30/2021,18.05,6.19,4.62,4.48,4.23,3.66,3.16,2.82,2.85,2.83,2.39,2.5,2.53,2.2,1.83,1.8,1.82,1.55,1.55,1.53,1.39,1.38,1.32,1.27,1.17,1.23,1.14,1.16,1.12,1.01,0.99,1.05,0.92,0.83,0.77,0.76,0.74,0.71,0.53,0.57,0.56,0.55,0.58,0.53,0.52,0.46,0.48,0.41,0.4,0.38,0.36,0.32,0.29,0.28,0.29,0.26,0.25,0.22,0.15,0.06,-0.01,0.0,99.99
08/02/2021,19.56,5.95,4.78,4.25,4.28,3.57,3.04,2.81,2.83,2.87,2.31,2.42,2.58,2.14,1.81,1.75,1.75,1.51,1.56,1.48,1.34,1.35,1.29,1.25,1.12,1.19,1.1,1.14,1.09,0.96,0.95,1.04,0.95,0.81,0.74,0.74,0.75,0.72,0.51,0.54,0.55,0.53,0.57,0.53,0.5,0.44,0.49,0.4,0.39,0.37,0.36,0.31,0.28,0.27,0.28,0.25,0.23,0.21,0.15,0.06,-0.01,0.0,99.99
08/03/2021,19.56,5.95,4.78,4.25,4.28,3.57,3.04,2.81,2.83,2.87,2.31,2.42,2.58,2.14,1.81,1.75,1.75,1.51,1.56,1.48,1.34,1.35,1.29,1.25,1.12,1.19,1.1,1.14,1.09,0.96,0.95,1.04,0.95,0.81,0.74,0.74,0.75,0.72,0.51,0.54,0.55,0.53,0.57,0.53,0.5,0.44,0.49,0.4,0.39,0.37,0.36,0.31,0.28,0.27,0.28,0.25,0.23,0.21,0.15,0.06,-0.01,0.0,99.99
08/04/2021,19.35,6.06,4.75,4.31,4.24,3.6,3.07,2.77,2.78,2.84,2.31,2.43,2.57,2.18,1.81,1.78,1.77,1.54,1.56,1.48,1.34,1.37,1.29,1.27,1.13,1.19,1.09,1.13,1.11,0.97,0.96,1.03,0.95,0.8,0.73,0.74,0.73,0.72,0.52,0.54,0.56,0.53,0.58,0.52,0.5,0.44,0.48,0.41,0.39,0.37,0.35,0.31,0.28,0.27,0.28,0.25,0.23,0.21,0.15,0.06,-0.01,0.0,99.97
08/05/2021,19.23,6.11,4.72,4.57,4.2,3.62,3.09,2.77,2.74,2.82,2.32,2.4,2.55,2.18,1.79,1.78,1.8,1.54,1.54,1.49,1.35,1.37,1.29,1.25,1.13,1.21,1.11,1.13,1.1,0.96,0.95,1.03,0.96,0.8,0.73,0.75,0.72,0.73,0.51,0.55,0.57,0.54,0.56,0.51,0.5,0.45,0.48,0.41,0.39,0.37,0.35,0.31,0.28,0.27,0.28,0.25,0.23,0.21,0.15,0.06,-0.01,0.0,100.05
08/06/2021,17.94,6.22,4.76,4.68,4.24,3.7,3.19,2.79,2.78,2.87,2.36,2.44,2.58,2.22,1.79,1.82,1.87,1.57,1.56,1.53,1.36,1.4,1.31,1.28,1.13,1.23,1.11,1.14,1.13,0.97,0.98,1.03,0.97,0.82,0.74,0.76,0.73,0.73,0.5,0.55,0.58,0.54,0.57,0.51,0.5,0.45,0.47,0.41,0.39,0.38,0.36,0.32,0.28,0.27,0.29,0.25,0.24,0.22,0.15,0.06,-0.01,0.0,100.01
08/11/2021,18.42,6.42,4.48,4.68,4.04,3.89,3.24,2.81,2.35,2.61,2.42,2.4,2.51,2.4,1.75,1.85,1.81,1.58,1.56,1.54,1.4,1.52,1.32,1.31,1.17,1.21,1.12,1.11,1.18,0.97,0.97,1.03,0.96,0.82,0.72,0.76,0.67,0.71,0.54,0.54,0.58,0.55,0.57,0.48,0.5,0.47,0.47,0.41,0.4,0.4,0.36,0.32,0.28,0.27,0.28,0.24,0.23,0.22,0.15,0.06,-0.02,0.0,100.01000000000002
08/12/2021,18.42,6.42,4.48,4.68,4.04,3.89,3.24,2.81,2.35,2.61,2.42,2.4,2.51,2.4,1.75,1.85,1.81,1.58,1.56,1.54,1.4,1.52,1.32,1.31,1.17,1.21,1.12,1.11,1.18,0.97,0.97,1.03,0.96,0.82,0.72,0.76,0.67,0.71,0.54,0.54,0.58,0.55,0.57,0.48,0.5,0.47,0.47,0.41,0.4,0.4,0.36,0.32,0.28,0.27,0.28,0.24,0.23,0.22,0.15,0.06,-0.02,0.0,100.01000000000002
08/13/2021,20.21,6.35,4.31,4.62,3.91,3.85,3.25,2.72,2.15,2.47,2.37,2.39,2.28,2.35,1.67,1.79,1.78,1.52,1.54,1.55,1.39,1.48,1.28,1.28,1.17,1.19,1.12,1.1,1.15,0.96,0.96,1.0,0.91,0.82,0.7,0.75,0.62,0.69,0.54,0.52,0.58,0.52,0.56,0.49,0.5,0.45,0.46,0.41,0.4,0.39,0.36,0.31,0.27,0.26,0.28,0.25,0.23,0.22,0.15,0.0,0.12,0.06,99.98000000000002
08/16/2021,19.42,6.34,4.35,4.9,4.04,3.81,3.23,2.76,2.17,2.52,2.38,2.4,2.21,2.35,1.7,1.82,1.81,1.52,1.55,1.56,1.4,1.41,1.29,1.31,1.17,1.2,1.14,1.11,1.15,0.96,0.97,1.0,0.93,0.85,0.71,0.75,0.62,0.71,0.52,0.53,0.59,0.54,0.57,0.51,0.5,0.46,0.47,0.44,0.4,0.4,0.37,0.31,0.27,0.27,0.28,0.25,0.23,0.22,0.15,0.0,0.18,0.06,100.04
08/18/2021,19.21,6.41,4.35,4.89,4.1,3.81,3.22,2.75,2.22,2.6,2.38,2.42,2.2,2.34,1.69,1.84,1.81,1.5,1.55,1.58,1.39,1.41,1.29,1.35,1.16,1.18,1.14,1.1,1.14,0.96,0.96,1.0,0.92,0.85,0.69,0.75,0.64,0.71,0.52,0.53,0.59,0.54,0.57,0.51,0.5,0.45,0.47,0.44,0.4,0.4,0.37,0.31,0.26,0.26,0.28,0.24,0.23,0.22,0.15,0.0,0.18,0.06,99.99000000000002
08/19/2021,17.76,6.62,4.31,5.3,4.13,3.9,3.33,2.61,2.25,2.63,2.47,2.44,2.22,2.37,1.69,1.86,1.86,1.55,1.6,1.61,1.42,1.43,1.31,1.38,1.16,1.21,1.19,1.12,1.17,0.96,0.96,1.0,0.9,0.86,0.71,0.77,0.65,0.7,0.51,0.54,0.61,0.55,0.59,0.51,0.52,0.46,0.48,0.44,0.4,0.4,0.38,0.31,0.27,0.27,0.28,0.25,0.23,0.22,0.15,0.0,0.18,0.06,100.02000000000002
08/20/2021,9.33,7.27,4.84,6.0,4.69,4.37,3.79,2.95,2.58,2.97,2.77,2.74,2.52,2.64,1.92,2.08,2.11,1.73,1.78,1.8,1.57,1.57,1.48,1.52,1.3,1.33,1.32,1.24,1.34,1.06,1.09,1.15,0.94,0.97,0.79,0.85,0.75,0.79,0.57,0.62,0.66,0.62,0.68,0.57,0.58,0.51,0.53,0.5,0.44,0.45,0.41,0.34,0.29,0.3,0.32,0.28,0.27,0.25,0.17,0.07,-1.37,0.0,100.0
08/23/2021,9.36,7.33,4.43,6.03,4.3,4.4,3.82,2.77,2.54,2.95,2.81,2.69,2.35,2.67,1.75,2.06,2.09,1.73,1.81,1.83,1.62,1.55,1.46,1.51,1.31,1.29,1.32,1.24,1.32,1.11,1.06,1.09,0.84,0.97,0.78,0.84,0.72,0.74,0.57,0.63,0.68,0.61,0.69,0.56,0.58,0.5,0.53,0.5,0.46,0.45,0.42,0.34,0.29,0.3,0.32,0.28,0.26,0.25,0.17,0.06,0.06,0.0,100.0
08/25/2021,9.53,7.38,4.17,5.97,4.2,4.44,3.87,2.78,2.59,3.06,2.82,2.69,2.29,2.68,1.67,2.11,2.1,1.72,1.8,1.86,1.62,1.55,1.47,1.43,1.31,1.28,1.32,1.25,1.32,1.14,1.07,1.08,0.84,0.98,0.78,0.85,0.75,0.7,0.58,0.63,0.68,0.61,0.69,0.56,0.58,0.5,0.53,0.5,0.46,0.46,0.43,0.34,0.29,0.3,0.31,0.28,0.26,0.25,0.18,0.06,0.04,0.0,99.99000000000002
08/26/2021,8.95,7.37,4.41,5.93,4.35,4.51,3.86,2.92,2.56,3.02,2.79,2.68,2.4,2.69,1.77,2.17,2.09,1.73,1.78,1.81,1.63,1.57,1.48,1.44,1.29,1.24,1.32,1.25,1.31,1.13,1.05,1.09,0.85,0.98,0.78,0.84,0.76,0.7,0.58,0.62,0.67,0.61,0.69,0.57,0.58,0.5,0.53,0.5,0.46,0.46,0.43,0.34,0.29,0.29,0.31,0.28,0.26,0.26,0.18,0.06,0.06,0.0,100.03000000000004
08/27/2021,9.17,7.25,4.39,5.92,4.33,4.59,3.89,3.09,2.55,3.06,2.76,2.66,2.37,2.68,1.74,2.21,2.07,1.71,1.78,1.8,1.65,1.58,1.48,1.42,1.27,1.22,1.31,1.24,1.3,1.12,1.03,1.08,0.86,0.97,0.77,0.83,0.74,0.69,0.57,0.62,0.66,0.6,0.68,0.58,0.57,0.5,0.52,0.5,0.45,0.46,0.43,0.34,0.28,0.29,0.31,0.27,0.26,0.26,0.17,0.06,0.06,0.0,100.02
08/30/2021,9.35,7.33,4.35,5.84,4.23,4.68,3.87,3.07,2.53,2.98,2.8,2.66,2.33,2.73,1.69,2.19,2.08,1.72,1.8,1.82,1.66,1.6,1.51,1.43,1.27,1.22,1.32,1.2,1.3,1.12,1.05,1.09,0.86,0.97,0.76,0.82,0.71,0.68,0.58,0.62,0.65,0.59,0.68,0.57,0.57,0.49,0.52,0.5,0.45,0.46,0.43,0.34,0.28,0.29,0.31,0.27,0.26,0.26,0.18,0.06,0.06,0.0,100.04000000000002
09/01/2021,9.25,7.38,4.42,5.8,4.33,4.62,3.87,3.1,2.55,3.01,2.76,2.63,2.43,2.74,1.73,2.15,2.05,1.68,1.81,1.83,1.64,1.59,1.5,1.38,1.25,1.22,1.28,1.17,1.37,1.11,1.03,1.12,0.87,0.96,0.75,0.83,0.74,0.68,0.57,0.61,0.65,0.58,0.66,0.58,0.58,0.49,0.52,0.5,0.44,0.47,0.43,0.34,0.28,0.29,0.31,0.26,0.25,0.26,0.17,0.0,0.06,0.06,99.99
09/02/2021,9.03,7.38,4.37,5.84,4.27,4.66,3.86,3.12,2.53,2.94,2.79,2.62,2.39,2.69,1.71,2.19,2.09,1.69,1.81,1.84,1.65,1.59,1.51,1.4,1.27,1.23,1.29,1.19,1.35,1.12,1.03,1.14,0.89,0.98,0.77,0.84,0.73,0.69,0.59,0.63,0.67,0.59,0.67,0.59,0.59,0.49,0.52,0.51,0.45,0.47,0.43,0.34,0.28,0.29,0.32,0.26,0.25,0.26,0.18,0.06,0.06,0.0,99.99
09/03/2021,9.45,7.42,4.31,5.87,4.21,4.66,3.85,3.05,2.49,2.9,2.76,2.6,2.38,2.72,1.68,2.2,2.09,1.7,1.83,1.82,1.71,1.61,1.5,1.36,1.27,1.21,1.29,1.17,1.35,1.1,1.01,1.13,0.86,0.98,0.75,0.84,0.69,0.68,0.61,0.61,0.67,0.58,0.68,0.59,0.59,0.49,0.51,0.5,0.45,0.47,0.43,0.35,0.27,0.29,0.32,0.26,0.25,0.26,0.18,0.06,0.06,0.0,99.98
09/06/2021,10.07,7.65,4.03,5.75,4.1,4.59,3.83,3.06,2.49,2.82,2.79,2.59,2.23,2.66,1.59,2.2,2.07,1.67,1.9,1.85,1.83,1.61,1.51,1.34,1.28,1.22,1.23,1.17,1.35,1.12,1.03,1.14,0.86,0.98,0.76,0.86,0.66,0.65,0.6,0.62,0.65,0.58,0.65,0.61,0.61,0.49,0.5,0.51,0.47,0.46,0.42,0.36,0.28,0.29,0.31,0.26,0.25,0.26,0.19,0.06,0.06,0.0,100.03000000000002
09/09/2021,9.97,7.54,4.1,5.82,4.13,4.61,3.8,3.07,2.56,2.92,2.77,2.59,2.31,2.65,1.63,2.22,2.07,1.68,1.86,1.85,1.8,1.6,1.5,1.33,1.26,1.22,1.24,1.14,1.34,1.11,1.02,1.16,0.86,0.98,0.77,0.85,0.67,0.65,0.58,0.62,0.65,0.58,0.57,0.61,0.6,0.49,0.5,0.5,0.46,0.46,0.41,0.36,0.29,0.28,0.31,0.26,0.26,0.26,0.19,0.06,0.06,0.0,100.01000000000002
09/10/2021,10.52,7.49,3.96,5.79,4.01,4.63,3.96,3.0,2.44,2.79,2.76,2.56,2.27,2.67,1.61,2.26,2.06,1.66,1.9,1.85,1.77,1.62,1.49,1.37,1.24,1.16,1.23,1.16,1.37,1.08,0.99,1.15,0.86,0.98,0.75,0.84,0.63,0.65,0.59,0.62,0.66,0.57,0.57,0.59,0.6,0.48,0.48,0.49,0.46,0.46,0.41,0.36,0.29,0.29,0.32,0.26,0.25,0.26,0.19,0.06,0.21,0.0,100.0
09/13/2021,9.79,7.56,3.74,5.71,3.88,4.72,4.07,3.15,2.36,2.75,2.8,2.59,2.14,2.72,1.55,2.29,2.11,1.69,2.1,1.92,1.81,1.63,1.52,1.36,1.27,1.18,1.29,1.18,1.39,1.1,1.01,1.18,0.86,1.01,0.77,0.87,0.6,0.65,0.61,0.65,0.67,0.59,0.59,0.59,0.61,0.51,0.49,0.5,0.47,0.47,0.42,0.37,0.28,0.3,0.32,0.26,0.26,0.27,0.19,0.05,0.2,0.0,99.99000000000001
