,9104.T,9107.T,HLAG.DE,MAERSK B.CO,MATX,ATCO,DFDS.CO,ZIM,EURN.BR,GOGL,SBLK,CMRE,FRO.OL,CTRM,DAC,TGP,MPCC.OL,GLNG,DNORD.CO,WAWI.OL,STNG,DHT,SFL,INSW,BWLPG.OL,FLNG.OL,GNK,9110.T,GSL,EGLE,KNOP,NMM,LPG,NVGS,SB,DSX,BELCO.OL,AGAS.OL,NAT,TNK,TK,2020.OL,NETI,n/a,HMLP,FGXXX,GLOP,SUM
09/02/2021,10.69,8.66,7.38,5.93,5.78,5.36,4.66,5.29,4.33,3.14,2.85,2.37,1.97,2.02,2.24,1.75,1.59,1.62,1.39,1.68,1.35,1.27,1.35,1.17,1.04,1.09,1.13,1.0,0.94,1.03,0.78,0.81,0.8,0.68,0.61,0.59,0.55,0.52,0.49,0.47,0.42,0.46,0.26,0.27,0.18,0.04,0.0,100.0
09/03/2021,11.13,8.77,7.53,5.96,5.81,5.33,4.57,5.2,4.24,3.11,2.83,2.37,1.93,1.98,2.21,1.72,1.57,1.58,1.36,1.64,1.34,1.24,1.34,1.13,1.03,1.11,1.11,1.03,0.92,1.02,0.77,0.86,0.77,0.67,0.6,0.59,0.57,0.51,0.47,0.46,0.41,0.47,0.25,0.04,0.18,0.0,0.26,99.99
09/06/2021,11.33,8.7,7.14,5.84,5.81,5.46,4.49,5.41,4.4,2.89,2.74,2.5,2.01,2.0,2.26,1.73,1.47,1.59,1.32,1.56,1.46,1.32,1.36,1.19,1.0,1.04,1.08,1.02,0.98,0.97,0.77,0.88,0.8,0.67,0.57,0.57,0.53,0.51,0.52,0.48,0.42,0.43,0.25,0.27,0.18,0.06,0.0,99.98000000000002
09/07/2021,11.14,8.45,7.15,5.84,5.86,5.44,4.52,5.53,4.34,2.99,2.78,2.51,2.01,2.04,2.18,1.87,1.5,1.61,1.34,1.59,1.44,1.3,1.34,1.18,1.01,1.09,1.08,1.0,1.0,0.98,0.76,0.87,0.79,0.66,0.57,0.57,0.54,0.52,0.53,0.49,0.44,0.45,0.24,0.0,0.19,0.02,0.27,100.01999999999998
09/08/2021,11.14,8.45,7.15,5.84,5.86,5.44,4.52,5.53,4.34,2.99,2.78,2.51,2.01,2.04,2.18,1.87,1.5,1.61,1.34,1.59,1.44,1.3,1.34,1.18,1.01,1.09,1.08,1.0,1.0,0.98,0.76,0.87,0.79,0.66,0.57,0.57,0.54,0.52,0.53,0.49,0.44,0.45,0.24,0.0,0.19,0.02,0.27,100.01999999999998
09/09/2021,11.14,8.45,7.08,5.95,5.9,5.41,4.52,5.64,4.31,2.91,2.76,2.56,1.98,1.99,2.2,1.94,1.48,1.61,1.34,1.55,1.42,1.3,1.35,1.2,0.99,1.05,1.08,0.99,1.02,0.97,0.75,0.9,0.78,0.66,0.58,0.56,0.52,0.5,0.52,0.49,0.47,0.44,0.24,0.01,0.2,0.03,0.27,100.01
09/10/2021,11.39,8.99,7.26,5.95,5.78,5.33,4.53,5.57,4.27,2.95,2.7,2.49,1.98,1.91,2.17,1.98,1.48,1.58,1.33,1.56,1.41,1.29,1.32,1.15,0.96,1.03,1.05,1.02,1.01,0.96,0.73,0.86,0.74,0.63,0.55,0.58,0.5,0.49,0.49,0.49,0.47,0.42,0.23,0.0,0.19,0.02,0.25,100.04
09/13/2021,11.51,9.03,7.12,5.87,5.88,5.37,4.57,5.7,4.23,2.91,2.59,2.5,1.96,1.84,2.15,1.97,1.43,1.56,1.3,1.57,1.34,1.29,1.32,1.12,0.94,1.04,1.02,1.02,1.0,0.93,0.74,0.84,0.72,0.63,0.55,0.58,0.49,0.49,0.48,0.48,0.45,0.42,0.23,0.0,0.18,0.39,0.25,100.0
09/14/2021,11.39,8.99,7.26,5.91,5.79,5.28,4.46,5.89,4.14,2.77,2.69,2.54,2.03,1.85,2.1,1.99,1.43,1.55,1.29,1.57,1.35,1.29,1.32,1.12,0.9,1.03,1.04,1.0,1.0,0.94,0.73,0.87,0.72,0.65,0.57,0.59,0.48,0.48,0.48,0.49,0.49,0.41,0.24,0.0,0.18,0.47,0.24,100.0
09/15/2021,11.46,9.48,7.27,5.86,5.91,5.33,4.35,5.94,4.08,2.81,2.66,2.62,1.97,1.81,2.08,1.93,1.44,1.53,1.29,1.53,1.3,1.25,1.31,1.11,0.9,1.05,1.04,1.01,1.0,0.95,0.73,0.88,0.7,0.63,0.58,0.59,0.5,0.48,0.47,0.48,0.48,0.43,0.24,0.0,0.18,0.13,0.24,100.01
09/16/2021,11.46,9.48,7.27,5.86,5.91,5.33,4.35,5.94,4.08,2.81,2.66,2.62,1.97,1.81,2.08,1.93,1.44,1.53,1.29,1.53,1.3,1.25,1.31,1.11,0.9,1.05,1.04,1.01,1.0,0.95,0.73,0.88,0.7,0.63,0.58,0.59,0.5,0.48,0.47,0.48,0.48,0.43,0.24,0.0,0.18,0.13,0.24,100.01
09/17/2021,11.24,9.75,7.19,5.73,5.75,5.33,4.26,5.9,4.1,2.83,2.7,2.57,1.95,2.03,2.03,1.93,1.4,1.55,1.28,1.55,1.32,1.23,1.3,1.12,0.9,1.06,1.09,1.03,0.99,1.0,0.74,0.89,0.7,0.64,0.67,0.63,0.51,0.48,0.47,0.48,0.49,0.45,0.24,0.0,0.18,0.13,0.24,100.05
09/20/2021,11.51,10.65,7.48,5.77,5.54,5.28,4.04,5.84,3.99,2.65,2.66,2.55,1.92,2.13,1.97,1.84,1.36,1.51,1.2,1.48,1.27,1.19,1.23,1.08,0.87,1.04,1.06,1.23,1.02,0.94,0.71,0.84,0.64,0.62,0.69,0.65,0.47,0.46,0.46,0.47,0.46,0.43,0.23,0.0,0.17,0.12,0.24,99.96
09/21/2021,11.23,10.76,7.6,5.72,5.52,5.29,4.1,5.89,4.01,2.75,2.64,2.51,1.92,2.07,1.95,1.83,1.39,1.51,1.21,1.47,1.26,1.17,1.23,1.06,0.87,1.07,1.06,1.3,1.0,0.94,0.71,0.82,0.62,0.61,0.67,0.63,0.51,0.45,0.45,0.46,0.45,0.45,0.23,0.0,0.17,0.18,0.24,99.98
