,ENB.TO,KMI,WMB,TRP.TO,EPD,OKE,TRGP,LNG,ET,PPL.TO,NI,ATO,IPL.TO,KEY.TO,ALA.TO,NFG,MMP,MPLX,OGS,NJR,SWX,SR,ETRN,AM,GEI.TO,SJI,PAA,CPK,NFE,WES,ENLC,NWN,DCP,AROC,CQP,PSXP,PAGP,SUN,NS,SHLX,CEQP,GEL,HEP,USAC,ENBL,GLP,BPMP,HESM,RTLR,ALTM,PBFX,DKL,CAPL,SRLP,Oasis Midstream Partners LP Common Units Representing LP Interest,AGPXX,Canadian Dollar,OMP,Invesco Shrt-Trm Inv Gov&Agcy Instl,SAR.AX,n/a,DTM,SUM
07/23/2021,7.82,7.45,7.15,7.31,6.37,5.58,3.88,4.02,3.78,4.04,4.27,4.25,3.02,2.41,2.47,1.95,1.88,1.73,1.67,1.59,1.73,1.6,1.39,1.16,1.12,1.1,0.83,0.91,0.67,0.67,0.62,0.69,0.46,0.45,0.46,0.41,0.37,0.36,0.31,0.31,0.26,0.22,0.17,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.1,-0.03,0.0,0.0,100.01
07/26/2021,7.74,7.56,7.17,7.27,6.31,5.61,4.03,4.07,3.91,4.18,4.12,4.13,2.92,2.39,2.48,1.95,1.87,1.74,1.65,1.58,1.72,1.54,1.39,1.21,1.13,1.08,0.84,0.9,0.71,0.67,0.62,0.68,0.46,0.47,0.45,0.41,0.38,0.36,0.31,0.31,0.26,0.2,0.17,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,100.01
07/27/2021,7.74,7.56,7.17,7.27,6.31,5.61,4.03,4.07,3.91,4.18,4.12,4.13,2.92,2.39,2.48,1.95,1.87,1.74,1.65,1.58,1.72,1.54,1.39,1.21,1.13,1.08,0.84,0.9,0.71,0.67,0.62,0.68,0.46,0.47,0.45,0.41,0.38,0.36,0.31,0.31,0.26,0.2,0.17,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,100.01
07/28/2021,7.8,7.37,7.14,7.29,6.29,5.56,4.01,4.05,3.92,4.13,4.2,4.19,2.93,2.41,2.5,1.97,1.88,1.77,1.66,1.6,1.73,1.53,1.39,1.2,1.12,1.1,0.85,0.91,0.67,0.68,0.63,0.68,0.46,0.46,0.44,0.4,0.38,0.37,0.3,0.29,0.27,0.21,0.17,0.14,0.14,0.13,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,99.97
07/29/2021,7.7,7.45,7.16,7.23,6.32,5.57,4.04,4.06,3.88,4.25,4.14,4.13,2.86,2.47,2.47,1.96,1.91,1.78,1.64,1.58,1.69,1.52,1.42,1.23,1.12,1.1,0.86,0.9,0.64,0.7,0.65,0.68,0.47,0.47,0.44,0.41,0.39,0.37,0.3,0.29,0.27,0.21,0.18,0.14,0.14,0.13,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,99.97
07/30/2021,7.7,7.45,7.16,7.23,6.32,5.57,4.04,4.06,3.88,4.25,4.14,4.13,2.86,2.47,2.47,1.96,1.91,1.78,1.64,1.58,1.69,1.52,1.42,1.23,1.12,1.1,0.86,0.9,0.64,0.7,0.65,0.68,0.47,0.47,0.44,0.41,0.39,0.37,0.3,0.29,0.27,0.21,0.18,0.14,0.14,0.13,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,99.97
08/02/2021,7.81,7.46,7.11,7.33,6.15,5.54,4.0,4.07,3.86,4.27,4.2,4.18,2.87,2.46,2.46,1.98,1.91,1.78,1.67,1.59,1.7,1.55,1.4,1.16,1.12,1.1,0.83,0.92,0.64,0.69,0.64,0.7,0.47,0.47,0.45,0.41,0.38,0.37,0.3,0.3,0.28,0.21,0.17,0.14,0.13,0.13,0.11,0.11,0.08,0.07,0.06,0.06,0.07,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,100.03
08/03/2021,7.81,7.46,7.11,7.33,6.15,5.54,4.0,4.07,3.86,4.27,4.2,4.18,2.87,2.46,2.46,1.98,1.91,1.78,1.67,1.59,1.7,1.55,1.4,1.16,1.12,1.1,0.83,0.92,0.64,0.69,0.64,0.7,0.47,0.47,0.45,0.41,0.38,0.37,0.3,0.3,0.28,0.21,0.17,0.14,0.13,0.13,0.11,0.11,0.08,0.07,0.06,0.06,0.07,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,100.03
08/04/2021,7.81,7.46,7.11,7.33,6.15,5.54,4.0,4.07,3.86,4.27,4.2,4.18,2.87,2.46,2.46,1.98,1.91,1.78,1.67,1.59,1.7,1.55,1.4,1.16,1.12,1.1,0.83,0.92,0.64,0.69,0.64,0.7,0.47,0.47,0.45,0.41,0.38,0.37,0.3,0.3,0.28,0.21,0.17,0.14,0.13,0.13,0.11,0.11,0.08,0.07,0.06,0.06,0.07,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,100.03
08/05/2021,7.81,7.46,7.11,7.33,6.15,5.54,4.0,4.07,3.86,4.27,4.2,4.18,2.87,2.46,2.46,1.98,1.91,1.78,1.67,1.59,1.7,1.55,1.4,1.16,1.12,1.1,0.83,0.92,0.64,0.69,0.64,0.7,0.47,0.47,0.45,0.41,0.38,0.37,0.3,0.3,0.28,0.21,0.17,0.14,0.13,0.13,0.11,0.11,0.08,0.07,0.06,0.06,0.07,0.05,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,100.03
08/06/2021,7.9,7.39,7.11,7.3,5.99,5.39,3.96,4.15,3.8,4.31,4.2,4.18,2.89,2.5,2.5,2.02,1.95,1.8,1.69,1.59,1.79,1.59,1.41,1.12,1.14,1.1,0.81,0.96,0.65,0.65,0.6,0.71,0.46,0.47,0.44,0.39,0.37,0.39,0.3,0.29,0.27,0.21,0.16,0.14,0.13,0.14,0.11,0.11,0.08,0.07,0.06,0.07,0.06,0.05,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,100.01
08/09/2021,7.99,7.27,7.17,7.37,5.93,5.52,4.03,4.18,3.6,4.32,4.26,4.29,2.93,2.43,2.55,2.03,1.88,1.77,1.7,1.59,1.79,1.61,1.44,1.11,1.12,1.09,0.8,0.98,0.67,0.64,0.59,0.71,0.46,0.46,0.43,0.38,0.37,0.38,0.28,0.28,0.26,0.18,0.15,0.14,0.13,0.13,0.1,0.11,0.08,0.07,0.06,0.06,0.06,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,100.02
08/10/2021,7.99,7.27,7.17,7.37,5.93,5.52,4.03,4.18,3.6,4.32,4.26,4.29,2.93,2.43,2.55,2.03,1.88,1.77,1.7,1.59,1.79,1.61,1.44,1.11,1.12,1.09,0.8,0.98,0.67,0.64,0.59,0.71,0.46,0.46,0.43,0.38,0.37,0.38,0.28,0.28,0.26,0.18,0.15,0.14,0.13,0.13,0.1,0.11,0.08,0.07,0.06,0.06,0.06,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,100.02
08/11/2021,7.99,7.27,7.17,7.37,5.93,5.52,4.03,4.18,3.6,4.32,4.26,4.29,2.93,2.43,2.55,2.03,1.88,1.77,1.7,1.59,1.79,1.61,1.44,1.11,1.12,1.09,0.8,0.98,0.67,0.64,0.59,0.71,0.46,0.46,0.43,0.38,0.37,0.38,0.28,0.28,0.26,0.18,0.15,0.14,0.13,0.13,0.1,0.11,0.08,0.07,0.06,0.06,0.06,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,100.02
08/13/2021,8.0,7.31,7.11,7.28,6.09,5.55,4.2,4.24,3.69,4.25,4.18,4.26,2.9,2.34,2.49,2.05,1.92,1.8,1.68,1.58,1.75,1.56,1.46,1.12,1.1,1.1,0.81,0.97,0.64,0.65,0.61,0.7,0.45,0.45,0.43,0.39,0.37,0.36,0.28,0.28,0.25,0.17,0.15,0.14,0.13,0.1,0.1,0.11,0.08,0.08,0.06,0.06,0.06,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,99.99
08/16/2021,7.88,7.35,7.11,7.23,6.09,5.57,4.15,4.23,3.79,4.23,4.18,4.21,2.88,2.34,2.45,2.04,1.96,1.82,1.64,1.55,1.75,1.55,1.48,1.12,1.11,1.09,0.83,0.96,0.61,0.68,0.62,0.69,0.46,0.45,0.44,0.4,0.38,0.37,0.29,0.28,0.26,0.18,0.15,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.18,0.0,100.01
08/17/2021,7.88,7.35,7.11,7.23,6.09,5.57,4.15,4.23,3.79,4.23,4.18,4.21,2.88,2.34,2.45,2.04,1.96,1.82,1.64,1.55,1.75,1.55,1.48,1.12,1.11,1.09,0.83,0.96,0.61,0.68,0.62,0.69,0.46,0.45,0.44,0.4,0.38,0.37,0.29,0.28,0.26,0.18,0.15,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.18,0.0,100.01
08/18/2021,7.91,7.34,7.09,7.25,6.05,5.55,4.13,4.23,3.72,4.29,4.26,4.3,2.92,2.33,2.45,2.04,1.97,1.79,1.65,1.56,1.76,1.57,1.46,1.1,1.11,1.1,0.83,0.99,0.6,0.67,0.6,0.7,0.46,0.44,0.44,0.4,0.37,0.37,0.29,0.28,0.26,0.17,0.15,0.14,0.13,0.11,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,-0.07,0.12,0.0,99.98
08/19/2021,7.97,7.3,7.07,7.31,6.07,5.51,4.07,4.16,3.75,4.28,4.32,4.31,2.93,2.3,2.45,2.03,1.99,1.8,1.66,1.55,1.79,1.58,1.43,1.1,1.11,1.1,0.81,0.99,0.58,0.67,0.59,0.7,0.46,0.43,0.45,0.4,0.37,0.37,0.29,0.28,0.26,0.17,0.15,0.14,0.13,0.1,0.1,0.1,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.14,0.0,100.01
08/20/2021,7.91,7.24,7.08,7.28,6.05,5.49,4.12,4.24,3.69,4.25,4.36,4.34,2.94,2.29,2.43,2.04,1.99,1.8,1.67,1.54,1.81,1.58,1.44,1.11,1.11,1.1,0.81,1.0,0.57,0.67,0.59,0.7,0.46,0.43,0.46,0.4,0.37,0.37,0.29,0.27,0.26,0.17,0.15,0.14,0.13,0.1,0.1,0.1,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.14,0.0,99.97
08/23/2021,7.9,7.1,7.15,7.23,6.0,5.46,4.09,4.23,3.7,4.18,4.47,4.38,2.99,2.26,2.41,2.04,1.99,1.84,1.71,1.62,1.85,1.6,1.49,1.1,1.09,1.1,0.79,1.0,0.61,0.66,0.57,0.71,0.45,0.42,0.48,0.4,0.36,0.38,0.3,0.27,0.26,0.17,0.15,0.14,0.12,0.1,0.11,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,99.98
08/24/2021,7.9,7.1,7.15,7.23,6.0,5.46,4.09,4.23,3.7,4.18,4.47,4.38,2.99,2.26,2.41,2.04,1.99,1.84,1.71,1.62,1.85,1.6,1.49,1.1,1.09,1.1,0.79,1.0,0.61,0.66,0.57,0.71,0.45,0.42,0.48,0.4,0.36,0.38,0.3,0.27,0.26,0.17,0.15,0.14,0.12,0.1,0.11,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,99.98
08/25/2021,7.94,7.07,7.13,7.18,6.03,5.54,4.13,4.22,3.7,4.14,4.47,4.35,2.96,2.24,2.45,2.03,2.0,1.85,1.7,1.61,1.84,1.6,1.48,1.11,1.09,1.11,0.79,1.0,0.6,0.67,0.58,0.71,0.45,0.42,0.46,0.4,0.36,0.38,0.3,0.27,0.26,0.17,0.15,0.14,0.13,0.1,0.11,0.1,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,99.99
08/26/2021,8.0,7.1,7.15,7.21,6.03,5.62,4.18,4.27,3.71,4.19,4.34,4.24,2.98,2.27,2.46,2.0,1.97,1.84,1.67,1.59,1.78,1.56,1.5,1.11,1.11,1.09,0.8,1.0,0.62,0.66,0.6,0.7,0.47,0.43,0.44,0.4,0.36,0.38,0.3,0.27,0.26,0.17,0.15,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,100.03
08/27/2021,8.0,7.14,7.15,7.19,6.03,5.69,4.23,4.29,3.74,4.19,4.28,4.23,2.97,2.28,2.41,1.98,1.97,1.82,1.67,1.57,1.73,1.54,1.53,1.11,1.11,1.07,0.8,0.97,0.64,0.66,0.61,0.69,0.46,0.43,0.44,0.4,0.36,0.37,0.3,0.27,0.25,0.17,0.15,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.0,99.95000000000002
08/30/2021,8.07,7.07,7.08,7.23,6.06,5.71,4.24,4.39,3.72,4.14,4.26,4.21,2.97,2.3,2.43,2.0,2.0,1.82,1.64,1.55,1.72,1.5,1.56,1.14,1.12,1.06,0.78,0.97,0.64,0.66,0.6,0.68,0.46,0.43,0.44,0.4,0.35,0.38,0.3,0.27,0.25,0.17,0.15,0.14,0.13,0.1,0.11,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,99.98000000000002
08/31/2021,8.07,7.07,7.08,7.23,6.06,5.71,4.24,4.39,3.72,4.14,4.26,4.21,2.97,2.3,2.43,2.0,2.0,1.82,1.64,1.55,1.72,1.5,1.56,1.14,1.12,1.06,0.78,0.97,0.64,0.66,0.6,0.68,0.46,0.43,0.44,0.4,0.35,0.38,0.3,0.27,0.25,0.17,0.15,0.14,0.13,0.1,0.11,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,99.98000000000002
09/01/2021,8.01,7.12,7.07,7.19,6.07,5.73,4.31,4.39,3.76,4.15,4.18,4.15,2.93,2.3,2.41,2.0,2.01,1.83,1.63,1.54,1.71,1.48,1.59,1.18,1.12,1.05,0.79,0.97,0.66,0.68,0.62,0.67,0.46,0.44,0.43,0.39,0.36,0.37,0.31,0.28,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,99.98
09/02/2021,8.01,7.12,7.07,7.19,6.07,5.73,4.31,4.39,3.76,4.15,4.18,4.15,2.93,2.3,2.41,2.0,2.01,1.83,1.63,1.54,1.71,1.48,1.59,1.18,1.12,1.05,0.79,0.97,0.66,0.68,0.62,0.67,0.46,0.44,0.43,0.39,0.36,0.37,0.31,0.28,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.05,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,99.98
09/03/2021,8.07,7.05,7.09,7.25,6.05,5.68,4.24,4.37,3.71,4.16,4.19,4.18,2.94,2.31,2.43,2.02,2.03,1.84,1.64,1.55,1.74,1.49,1.59,1.17,1.13,1.06,0.77,0.98,0.63,0.68,0.6,0.68,0.45,0.43,0.43,0.39,0.35,0.37,0.3,0.28,0.25,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.06,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.07,0.0,99.95
09/06/2021,7.99,6.96,7.12,7.23,6.1,5.6,4.25,4.34,3.79,4.11,4.22,4.14,2.91,2.26,2.37,2.01,2.02,1.86,1.65,1.57,1.76,1.48,1.61,1.2,1.12,1.07,0.79,0.98,0.64,0.7,0.64,0.67,0.47,0.43,0.45,0.39,0.36,0.37,0.3,0.28,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.07,0.06,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.19,0.0,99.98
09/07/2021,7.99,6.96,7.12,7.23,6.1,5.6,4.25,4.34,3.79,4.11,4.22,4.14,2.91,2.26,2.37,2.01,2.02,1.86,1.65,1.57,1.76,1.48,1.61,1.2,1.12,1.07,0.79,0.98,0.64,0.7,0.64,0.67,0.47,0.43,0.45,0.39,0.36,0.37,0.3,0.28,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.07,0.06,0.03,0.0,0.19,0.0,0.04,0.0,0.0,0.0,0.0,99.98
09/08/2021,7.99,6.96,7.12,7.23,6.1,5.6,4.25,4.34,3.79,4.11,4.22,4.14,2.91,2.26,2.37,2.01,2.02,1.86,1.65,1.57,1.76,1.48,1.61,1.2,1.12,1.07,0.79,0.98,0.64,0.7,0.64,0.67,0.47,0.43,0.45,0.39,0.36,0.37,0.3,0.28,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.07,0.06,0.03,0.0,0.19,0.0,0.04,0.0,0.0,0.0,0.0,99.98
09/09/2021,8.05,6.94,7.1,7.26,6.1,5.6,4.26,4.35,3.79,4.11,4.18,4.11,2.91,2.28,2.42,2.04,2.03,1.88,1.62,1.54,1.77,1.45,1.61,1.23,1.14,1.08,0.79,0.98,0.64,0.69,0.64,0.67,0.47,0.43,0.44,0.39,0.36,0.37,0.3,0.27,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.07,0.06,0.03,0.0,0.19,0.0,0.04,0.0,0.0,-0.06,0.0,100.0
09/10/2021,8.12,6.94,7.08,7.33,6.12,5.59,4.24,4.4,3.77,4.12,4.17,4.1,2.92,2.3,2.41,2.02,2.02,1.88,1.6,1.53,1.76,1.43,1.62,1.25,1.15,1.07,0.8,0.98,0.63,0.69,0.64,0.67,0.47,0.43,0.45,0.39,0.36,0.37,0.3,0.27,0.26,0.17,0.16,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.07,0.07,0.03,0.0,0.08,0.0,0.04,0.0,0.0,-0.06,0.0,100.0
09/13/2021,8.18,6.89,6.97,7.35,6.04,5.61,4.22,4.3,3.72,4.13,4.24,4.12,2.94,2.31,2.5,2.05,2.0,1.85,1.62,1.53,1.77,1.46,1.6,1.24,1.17,1.06,0.8,0.99,0.62,0.7,0.66,0.66,0.47,0.41,0.46,0.4,0.36,0.37,0.3,0.27,0.26,0.17,0.16,0.14,0.13,0.1,0.11,0.11,0.09,0.07,0.06,0.07,0.07,0.03,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,100.03
09/14/2021,8.18,6.89,6.97,7.35,6.04,5.61,4.22,4.3,3.72,4.13,4.24,4.12,2.94,2.31,2.5,2.05,2.0,1.85,1.62,1.53,1.77,1.46,1.6,1.24,1.17,1.06,0.8,0.99,0.62,0.7,0.66,0.66,0.47,0.41,0.46,0.4,0.36,0.37,0.3,0.27,0.26,0.17,0.16,0.14,0.13,0.1,0.11,0.11,0.09,0.07,0.06,0.07,0.07,0.03,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,100.03
09/15/2021,8.18,6.93,7.06,7.4,6.05,5.65,4.2,4.36,3.73,4.14,4.19,4.02,2.94,2.34,2.48,2.06,1.98,1.84,1.58,1.53,1.73,1.43,1.6,1.25,1.17,1.05,0.81,0.98,0.59,0.69,0.68,0.66,0.47,0.41,0.45,0.39,0.36,0.37,0.29,0.26,0.26,0.17,0.16,0.14,0.13,0.1,0.11,0.11,0.08,0.07,0.06,0.07,0.07,0.03,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,99.98
09/16/2021,8.18,6.93,7.06,7.4,6.05,5.65,4.2,4.36,3.73,4.14,4.19,4.02,2.94,2.34,2.48,2.06,1.98,1.84,1.58,1.53,1.73,1.43,1.6,1.25,1.17,1.05,0.81,0.98,0.59,0.69,0.68,0.66,0.47,0.41,0.45,0.39,0.36,0.37,0.29,0.26,0.26,0.17,0.16,0.14,0.13,0.1,0.11,0.11,0.08,0.07,0.06,0.07,0.07,0.03,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,99.98
09/17/2021,8.13,6.9,7.1,7.52,6.01,5.67,4.26,4.43,3.69,4.15,4.15,3.92,2.91,2.41,2.48,2.01,1.96,1.84,1.54,1.51,1.72,1.41,1.65,1.26,1.16,1.04,0.82,0.96,0.62,0.68,0.71,0.64,0.47,0.43,0.45,0.39,0.37,0.37,0.29,0.26,0.27,0.17,0.15,0.14,0.13,0.1,0.1,0.11,0.08,0.07,0.06,0.07,0.07,0.03,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,99.96
09/20/2021,8.09,6.95,7.33,7.47,5.96,5.86,4.41,4.45,3.62,4.21,4.03,3.78,2.88,2.46,2.45,2.04,1.92,1.79,1.47,1.49,1.7,1.36,1.69,1.28,1.17,1.01,0.82,0.93,0.6,0.68,0.74,0.63,0.46,0.44,0.44,0.38,0.38,0.37,0.28,0.25,0.27,0.17,0.15,0.14,0.13,0.1,0.1,0.11,0.09,0.07,0.06,0.07,0.06,0.03,0.0,0.07,0.0,0.04,0.0,0.0,0.04,0.0,99.97
