,OPEN,ZG,RKT,REA.AX,EXPI,ABNB,BEKE,CSGP,BKI,RMV.L,G24.DE,ANGI,909.HK,MTTR,RDFN,COMP,APPF,RDN,HYQ.DE,LMND,TCN.TO,SMRT,DHG.AX,HIPO,AIF.TO,DOMA,PXA.AX,PRCH,LDI,MOL.MI,HEM.ST,OPAD,2980.T,FGXXX,FTHM,3491.T,WE,SUM
11/17/2021,5.63,3.51,5.06,5.07,4.19,5.52,6.2,4.51,5.2,3.95,4.0,3.25,3.83,3.52,3.28,2.96,2.96,2.73,2.58,2.65,1.98,1.29,1.49,1.5,1.5,1.59,1.33,1.49,1.44,1.27,1.29,1.12,1.28,0.39,0.28,0.18,0.0,100.02000000000002
11/18/2021,5.69,3.48,5.11,5.13,4.27,5.86,5.91,4.51,5.12,3.99,3.98,3.25,3.91,3.46,3.27,2.91,2.84,2.65,2.56,2.54,1.96,1.33,1.5,1.49,1.56,1.62,1.41,1.48,1.42,1.27,1.27,1.15,1.28,0.38,0.26,0.19,0.0,100.01
11/19/2021,5.52,3.45,5.02,5.18,4.21,5.86,6.02,4.54,5.03,4.03,4.06,3.24,3.73,4.21,3.09,2.83,2.84,2.66,2.54,2.46,1.94,1.37,1.53,1.4,1.54,1.57,1.43,1.48,1.39,1.22,1.31,1.19,1.31,0.38,0.24,0.2,0.0,100.01999999999998
11/22/2021,5.26,3.4,5.01,5.13,4.15,5.84,6.3,4.55,4.95,4.02,4.0,3.32,3.81,4.43,3.0,2.82,2.9,2.64,2.57,2.44,1.91,1.35,1.52,1.38,1.54,1.56,1.43,1.59,1.37,1.18,1.27,1.23,1.3,0.38,0.23,0.2,0.0,99.98000000000002
11/23/2021,5.26,3.4,5.01,5.13,4.15,5.84,6.3,4.55,4.95,4.02,4.0,3.32,3.81,4.43,3.0,2.82,2.9,2.64,2.57,2.44,1.91,1.35,1.52,1.38,1.54,1.56,1.43,1.59,1.37,1.18,1.27,1.23,1.3,0.38,0.23,0.2,0.0,99.98000000000002
11/24/2021,5.02,3.18,4.89,5.36,3.88,5.77,6.45,4.6,5.08,4.36,4.14,3.06,3.66,4.5,3.1,2.75,2.87,2.66,2.7,2.17,1.95,1.31,1.59,1.45,1.57,1.48,1.49,1.58,1.37,1.2,1.3,1.21,1.39,0.39,0.24,0.26,0.0,99.98
11/25/2021,5.02,3.18,4.89,5.36,3.88,5.77,6.45,4.6,5.08,4.36,4.14,3.06,3.66,4.5,3.1,2.75,2.87,2.66,2.7,2.17,1.95,1.31,1.59,1.45,1.57,1.48,1.49,1.58,1.37,1.2,1.3,1.21,1.39,0.39,0.24,0.26,0.0,99.98
11/26/2021,5.02,3.18,4.89,5.36,3.88,5.77,6.45,4.6,5.08,4.36,4.14,3.06,3.66,4.5,3.1,2.75,2.87,2.66,2.7,2.17,1.95,1.31,1.59,1.45,1.57,1.48,1.49,1.58,1.37,1.2,1.3,1.21,1.39,0.39,0.24,0.26,0.0,99.98
11/29/2021,4.52,3.31,5.21,5.34,3.85,5.52,6.28,4.69,5.18,4.48,4.05,3.1,3.63,4.81,3.14,2.62,3.01,2.8,2.47,2.26,2.09,1.33,1.57,1.48,1.59,1.39,1.57,1.52,1.19,1.26,1.27,1.13,1.45,0.41,0.25,0.23,0.0,100.0
11/30/2021,4.52,3.31,5.21,5.34,3.85,5.52,6.28,4.69,5.18,4.48,4.05,3.1,3.63,4.81,3.14,2.62,3.01,2.8,2.47,2.26,2.09,1.33,1.57,1.48,1.59,1.39,1.57,1.52,1.19,1.26,1.27,1.13,1.45,0.41,0.25,0.23,0.0,100.0
12/01/2021,4.52,3.31,5.21,5.34,3.85,5.52,6.28,4.69,5.18,4.48,4.05,3.1,3.63,4.81,3.14,2.62,3.01,2.8,2.47,2.26,2.09,1.33,1.57,1.48,1.59,1.39,1.57,1.52,1.19,1.26,1.27,1.13,1.45,0.41,0.25,0.23,0.0,100.0
12/02/2021,4.46,3.33,5.32,5.33,3.84,5.47,6.08,4.68,5.24,4.44,4.09,3.16,3.59,4.72,3.14,2.68,2.98,2.76,2.54,2.32,2.08,1.29,1.58,1.5,1.61,1.43,1.59,1.5,1.16,1.32,1.28,1.21,1.39,0.42,0.25,0.23,0.0,100.01
12/06/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/07/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/08/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/09/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/10/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/13/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/14/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/15/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/16/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/17/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/20/2021,4.35,3.24,5.28,5.24,3.79,5.6,6.09,4.77,5.27,4.43,4.05,3.08,3.5,5.66,3.01,2.61,2.97,2.69,2.56,2.23,2.08,1.35,1.54,1.45,1.61,1.41,1.54,1.45,1.1,1.3,1.3,1.19,1.38,0.42,0.25,0.22,0.0,100.01
12/21/2021,3.93,3.75,5.49,5.59,3.76,5.49,5.62,4.88,6.0,4.67,4.24,3.2,3.23,4.01,3.13,3.05,3.09,2.81,2.68,2.0,2.34,1.64,1.7,1.18,1.77,1.18,1.54,1.2,0.99,1.4,1.17,1.16,1.33,0.39,0.2,0.2,0.0,100.01
12/22/2021,3.8,3.67,5.53,5.62,3.67,5.15,5.56,4.93,6.19,4.84,4.34,3.14,3.39,4.01,3.06,2.93,3.02,2.85,2.75,1.99,2.3,1.59,1.75,1.11,1.74,1.31,1.56,1.15,1.09,1.42,1.23,1.14,1.34,0.4,0.21,0.24,0.0,100.02
12/24/2021,5.04,5.6,4.66,5.05,3.63,4.87,5.23,4.9,5.5,4.08,3.94,3.27,3.43,3.25,2.97,2.72,3.04,2.49,2.47,1.96,2.6,1.34,1.54,1.13,1.64,1.15,1.43,1.15,0.99,1.3,1.14,1.16,0.69,0.39,0.2,0.27,3.78,100.0
12/27/2021,4.9,5.45,4.62,5.08,3.58,4.85,5.09,4.8,5.38,4.11,3.94,3.11,3.39,3.29,2.84,2.54,2.93,2.46,2.5,1.87,2.6,1.27,1.55,1.12,1.64,1.13,1.49,1.12,1.0,1.31,1.14,1.17,0.68,1.92,0.2,0.29,3.62,99.98000000000002
12/28/2021,4.9,5.45,4.62,5.08,3.58,4.85,5.09,4.8,5.38,4.11,3.94,3.11,3.39,3.29,2.84,2.54,2.93,2.46,2.5,1.87,2.6,1.27,1.55,1.12,1.64,1.13,1.49,1.12,1.0,1.31,1.14,1.17,0.68,1.92,0.2,0.29,3.62,99.98000000000002
12/29/2021,4.97,5.64,4.71,5.16,3.61,4.95,5.04,4.91,5.39,4.17,3.93,3.15,3.19,3.19,2.91,2.55,3.01,2.5,2.53,1.91,2.65,1.33,1.57,1.18,1.67,1.15,1.6,1.19,1.0,1.33,1.16,1.2,0.7,0.62,0.21,0.28,3.72,99.98
12/30/2021,4.9,5.51,4.64,5.24,3.6,4.95,5.18,4.9,5.41,4.19,3.95,3.11,3.18,3.28,2.87,2.55,2.94,2.53,2.53,1.78,2.66,1.34,1.58,1.12,1.67,1.16,1.64,1.16,0.98,1.34,1.17,1.2,0.67,0.62,0.21,0.27,3.98,100.01
12/31/2021,4.91,5.49,4.59,5.3,3.49,4.96,5.3,4.95,5.55,4.24,4.0,3.09,3.01,3.1,2.83,2.56,2.96,2.55,2.54,1.72,2.69,1.27,1.6,1.12,1.69,1.15,1.66,1.13,0.98,1.37,1.19,1.19,0.69,0.62,0.21,0.28,3.99,99.97
01/03/2022,4.94,5.56,4.55,5.32,3.46,4.9,5.38,4.94,5.51,4.29,3.97,3.09,2.94,3.01,2.83,2.54,2.92,2.59,2.56,1.81,2.68,1.31,1.66,1.15,1.7,1.15,1.73,1.1,1.0,1.37,1.21,1.06,0.67,0.62,0.22,0.27,4.0,100.01
01/03/2022,4.94,5.56,4.55,5.32,3.46,4.9,5.38,4.94,5.51,4.29,3.97,3.09,2.94,3.01,2.83,2.54,2.92,2.59,2.56,1.81,2.68,1.31,1.66,1.15,1.7,1.15,1.73,1.1,1.0,1.37,1.21,1.06,0.67,0.62,0.22,0.27,4.0,100.01
01/03/2022,4.94,5.56,4.55,5.32,3.46,4.9,5.38,4.94,5.51,4.29,3.97,3.09,2.94,3.01,2.83,2.54,2.92,2.59,2.56,1.81,2.68,1.31,1.66,1.15,1.7,1.15,1.73,1.1,1.0,1.37,1.21,1.06,0.67,0.62,0.22,0.27,4.0,100.01
01/04/2022,4.94,5.56,4.55,5.32,3.46,4.9,5.38,4.94,5.51,4.29,3.97,3.09,2.94,3.01,2.83,2.54,2.92,2.59,2.56,1.81,2.68,1.31,1.66,1.15,1.7,1.15,1.73,1.1,1.0,1.37,1.21,1.06,0.67,0.62,0.22,0.27,4.0,100.01
01/05/2022,4.94,5.56,4.55,5.32,3.46,4.9,5.38,4.94,5.51,4.29,3.97,3.09,2.94,3.01,2.83,2.54,2.92,2.59,2.56,1.81,2.68,1.31,1.66,1.15,1.7,1.15,1.73,1.1,1.0,1.37,1.21,1.06,0.67,0.62,0.22,0.27,4.0,100.01
01/06/2022,4.94,5.56,4.55,5.32,3.46,4.9,5.38,4.94,5.51,4.29,3.97,3.09,2.94,3.01,2.83,2.54,2.92,2.59,2.56,1.81,2.68,1.31,1.66,1.15,1.7,1.15,1.73,1.1,1.0,1.37,1.21,1.06,0.67,0.62,0.22,0.27,4.0,100.01
01/07/2022,4.84,5.66,4.75,5.49,3.29,5.08,4.8,4.89,5.53,4.35,4.1,3.05,2.93,2.58,2.76,2.64,2.94,2.69,2.56,1.69,2.74,1.24,1.7,1.07,1.76,1.1,1.83,0.99,1.13,1.35,1.24,1.12,0.67,0.57,0.22,0.27,4.39,100.00999999999998
01/10/2022,4.48,5.52,4.69,5.58,3.15,5.03,4.86,4.92,5.65,4.49,4.27,3.06,2.8,2.32,2.68,2.63,3.01,2.8,2.7,1.65,2.84,1.15,1.7,1.07,1.78,1.09,1.88,0.96,1.16,1.4,1.28,1.06,0.64,0.59,0.21,0.27,4.64,100.01
01/11/2022,4.27,5.49,4.68,5.2,3.11,5.0,5.44,4.9,5.69,4.45,4.26,3.03,3.23,2.43,2.69,2.52,3.0,2.91,2.58,1.61,2.95,1.17,1.59,1.07,1.81,1.03,1.84,0.96,1.13,1.38,1.29,1.05,0.58,0.6,0.21,0.27,4.59,100.00999999999996
01/12/2022,4.1,5.39,4.71,5.31,3.08,5.18,5.97,4.76,5.64,4.44,4.29,3.04,3.23,2.32,2.57,2.55,3.03,2.97,2.59,1.68,2.89,1.09,1.57,1.02,1.77,1.02,1.83,0.94,1.11,1.38,1.31,0.98,0.57,0.6,0.21,0.27,4.6,100.00999999999998
01/13/2022,4.1,5.39,4.71,5.31,3.08,5.18,5.97,4.76,5.64,4.44,4.29,3.04,3.23,2.32,2.57,2.55,3.03,2.97,2.59,1.68,2.89,1.09,1.57,1.02,1.77,1.02,1.83,0.94,1.11,1.38,1.31,0.98,0.57,0.6,0.21,0.27,4.6,100.00999999999998
01/14/2022,4.18,5.5,4.6,5.16,3.21,5.13,6.41,4.87,5.53,4.21,4.19,3.04,3.34,2.37,2.59,2.64,3.08,3.02,2.42,1.72,2.84,1.13,1.52,1.0,1.73,1.05,1.74,1.01,1.07,1.34,1.28,0.85,0.53,0.58,0.21,0.25,4.65,99.99
