,CRDL.TO,CYBN.NE,CMPS,ATAI,NUMI.V,BPFH,PCLO.V,AH.TO,CRON.TO,CWEB.TO,TRIP.CN,MMED.NE,SEEL,FTRP.TO,LABS.TO,ZYNE,WLLW.TO,YCBD,CRBP,n/a,FGXXX,NEPT.TO,PLLDA.AX,ACB.TO,GHRS,FORA,TBP.TO,SLHG.V,MYCO.NE,MYCOF,SUM
09/22/2021,10.86,6.57,6.3,5.76,5.19,0.0,5.28,4.97,4.61,3.9,4.39,4.43,4.81,4.8,4.05,4.79,3.76,4.04,3.59,0.0,0.04,2.91,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/23/2021,10.86,6.57,6.3,5.76,5.19,0.0,5.28,4.97,4.61,3.9,4.39,4.43,4.81,4.8,4.05,4.79,3.76,4.04,3.59,0.0,0.04,2.91,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/24/2021,10.86,6.57,6.3,5.76,5.19,0.0,5.28,4.97,4.61,3.9,4.39,4.43,4.81,4.8,4.05,4.79,3.76,4.04,3.59,0.0,0.04,2.91,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/27/2021,5.33,4.57,5.07,4.91,4.7,0.0,4.99,3.75,4.77,4.49,0.0,4.67,5.26,4.95,0.0,5.25,0.0,4.07,4.43,0.25,0.35,4.25,0.0,4.3,4.83,4.79,3.8,3.65,2.57,0.0,100.0
09/28/2021,5.33,4.57,5.07,4.91,4.7,0.0,4.99,3.75,4.77,4.49,0.0,4.67,5.26,4.95,0.0,5.25,0.0,4.07,4.43,0.25,0.35,4.25,0.0,4.3,4.83,4.79,3.8,3.65,2.57,0.0,100.0
09/29/2021,5.79,4.65,5.12,4.93,4.67,0.0,5.04,3.82,4.61,4.51,0.0,4.66,5.13,4.72,0.0,5.29,0.0,4.17,4.28,0.0,0.1,4.49,0.0,4.24,4.94,4.92,3.72,3.52,2.7,0.0,100.01999999999998
09/30/2021,5.79,4.65,5.12,4.93,4.67,0.0,5.04,3.82,4.61,4.51,0.0,4.66,5.13,4.72,0.0,5.29,0.0,4.17,4.28,0.0,0.1,4.49,0.0,4.24,4.94,4.92,3.72,3.52,2.7,0.0,100.01999999999998
10/01/2021,5.66,4.45,4.8,4.75,4.52,0.0,5.83,3.66,4.54,4.39,0.0,4.35,6.28,4.57,0.0,5.27,0.0,3.94,4.33,0.0,0.12,4.55,0.0,4.81,4.91,4.7,3.69,3.26,2.64,0.0,100.02
10/04/2021,5.55,4.49,4.7,4.65,4.51,0.0,5.52,3.69,4.64,4.37,0.0,4.45,6.03,4.7,0.0,5.08,0.0,4.03,4.24,0.0,0.12,4.52,0.0,4.92,5.37,4.75,3.71,3.31,2.66,0.0,100.01
10/05/2021,5.4,4.45,4.82,4.62,4.46,0.0,5.37,3.69,4.65,4.43,0.0,4.39,6.0,4.72,0.0,5.1,0.0,4.32,4.26,0.0,0.12,4.53,0.0,5.01,5.37,4.77,3.71,3.19,2.63,0.0,100.01
10/06/2021,5.16,4.5,5.04,4.38,4.56,0.0,5.3,3.79,4.68,4.39,0.0,4.49,5.99,4.81,0.0,5.13,0.0,4.12,4.31,2.65,0.12,4.49,0.0,5.18,5.31,4.82,3.6,3.16,0.0,0.0,99.98000000000002
10/07/2021,5.16,4.5,5.04,4.38,4.56,0.0,5.3,3.79,4.68,4.39,0.0,4.49,5.99,4.81,0.0,5.13,0.0,4.12,4.31,2.65,0.12,4.49,0.0,5.18,5.31,4.82,3.6,3.16,0.0,0.0,99.98000000000002
10/08/2021,4.82,4.44,5.04,4.31,4.55,0.0,5.16,3.8,4.71,4.21,0.0,4.34,5.77,4.66,0.0,5.23,0.0,4.21,4.69,3.24,0.13,4.52,0.0,5.29,5.36,5.01,3.57,2.96,0.0,0.0,100.01999999999995
10/11/2021,4.63,4.58,4.93,4.28,4.22,0.0,5.07,3.9,4.74,4.16,0.0,4.38,5.95,4.71,0.0,5.16,0.0,4.27,4.44,3.06,0.13,4.5,0.0,5.59,5.4,4.94,4.08,2.88,0.0,0.0,100.0
10/12/2021,4.58,4.45,5.02,4.25,4.23,0.0,4.97,3.85,4.76,5.0,0.0,4.36,5.97,4.73,0.0,5.11,0.0,3.97,4.66,2.99,0.13,4.49,0.0,5.5,5.04,4.94,3.95,3.06,0.0,0.0,100.01
10/13/2021,4.58,4.45,5.02,4.25,4.23,0.0,4.97,3.85,4.76,5.0,0.0,4.36,5.97,4.73,0.0,5.11,0.0,3.97,4.66,2.99,0.13,4.49,0.0,5.5,5.04,4.94,3.95,3.06,0.0,0.0,100.01
10/14/2021,4.45,4.47,5.32,4.11,4.32,0.0,5.16,4.0,4.72,4.61,0.0,4.42,5.84,4.87,0.0,5.1,0.0,3.85,4.51,3.05,0.07,4.5,0.0,5.47,4.65,5.15,3.87,3.51,0.0,0.0,100.02
10/15/2021,4.76,4.43,5.44,4.07,4.26,0.0,4.86,3.87,4.68,4.67,0.0,4.62,5.9,5.15,0.0,5.18,0.0,3.84,4.49,2.92,0.07,4.4,0.0,5.33,4.24,5.17,4.2,3.44,0.0,0.0,99.99
10/18/2021,4.67,4.32,5.33,4.17,4.5,0.0,5.03,3.86,4.69,4.59,0.0,4.51,6.15,5.52,0.0,5.19,0.0,3.85,4.46,3.0,0.07,4.34,0.0,5.38,4.13,4.88,3.95,3.42,0.0,0.0,100.00999999999998
10/19/2021,5.19,4.22,5.35,4.16,4.63,0.0,4.93,3.88,4.71,4.44,0.0,4.56,6.01,5.67,0.0,5.1,0.0,3.73,4.38,2.84,0.07,4.22,0.0,5.4,4.35,4.76,3.62,3.78,0.0,0.0,100.0
10/20/2021,5.29,4.12,5.35,4.34,4.4,0.0,4.86,3.83,4.65,4.3,0.0,4.55,5.79,5.84,0.0,5.03,0.0,4.08,4.39,2.81,0.07,4.22,0.0,5.24,4.26,4.9,3.76,3.92,0.0,0.0,100.0
10/21/2021,5.29,4.12,5.35,4.34,4.4,0.0,4.86,3.83,4.65,4.3,0.0,4.55,5.79,5.84,0.0,5.03,0.0,4.08,4.39,2.81,0.07,4.22,0.0,5.24,4.26,4.9,3.76,3.92,0.0,0.0,100.0
10/22/2021,5.94,3.9,5.45,4.58,4.39,0.0,4.64,3.78,4.81,4.53,0.0,4.35,5.55,6.1,0.0,4.84,0.0,4.15,4.47,2.69,0.07,3.93,0.0,5.4,3.68,4.8,3.57,4.37,0.0,0.0,99.99
10/25/2021,6.31,4.08,5.57,4.55,4.32,0.0,4.62,3.64,4.76,4.48,0.0,4.43,5.49,5.87,0.0,4.81,0.0,4.31,4.19,2.8,0.07,3.97,0.0,5.51,3.57,4.78,3.4,4.47,0.0,0.0,100.0
10/26/2021,6.02,4.0,5.65,4.71,4.31,0.0,4.61,3.7,4.88,4.4,0.0,4.64,5.61,5.75,0.0,4.93,0.0,4.37,4.27,0.0,0.07,4.0,0.0,5.33,3.41,4.73,3.63,4.28,0.0,2.68,99.98
10/27/2021,6.02,4.0,5.65,4.71,4.31,0.0,4.61,3.7,4.88,4.4,0.0,4.64,5.61,5.75,0.0,4.93,0.0,4.37,4.27,0.0,0.07,4.0,0.0,5.33,3.41,4.73,3.63,4.28,0.0,2.68,99.98
10/28/2021,5.85,4.03,6.34,4.82,4.2,0.0,4.56,3.69,4.69,4.21,0.0,4.63,5.92,5.86,0.0,4.71,0.0,4.41,4.02,0.0,0.07,3.92,0.0,5.18,3.57,4.88,3.53,4.34,0.0,2.56,99.98999999999998
10/29/2021,5.79,4.14,6.23,4.45,4.31,0.0,4.59,3.61,4.63,4.16,0.0,4.58,5.93,5.7,0.0,4.67,0.0,4.32,4.26,0.0,0.07,4.46,0.0,5.25,3.69,4.87,3.6,3.96,0.0,2.71,99.97999999999996
11/01/2021,5.55,4.05,6.69,4.7,4.36,0.0,4.48,3.63,4.58,4.03,0.0,4.46,5.43,5.96,0.0,4.68,0.0,4.1,4.38,0.0,0.07,4.09,0.0,5.19,4.22,4.96,3.67,4.04,0.0,2.7,100.02
11/02/2021,5.44,3.91,6.64,4.56,4.34,0.0,4.48,3.56,4.49,3.95,0.0,4.84,5.64,5.65,0.0,4.67,0.0,3.97,4.34,0.0,0.07,4.06,0.0,5.11,5.16,4.82,3.6,3.92,0.0,2.77,99.99
11/03/2021,4.88,3.9,6.98,4.68,4.37,0.0,4.36,3.39,4.38,3.76,0.0,4.87,5.52,5.98,0.0,4.73,0.0,3.77,4.29,0.0,0.06,3.92,0.0,4.92,6.33,4.81,3.57,4.08,0.0,2.47,100.02
11/04/2021,4.88,3.9,6.98,4.68,4.37,0.0,4.36,3.39,4.38,3.76,0.0,4.87,5.52,5.98,0.0,4.73,0.0,3.77,4.29,0.0,0.06,3.92,0.0,4.92,6.33,4.81,3.57,4.08,0.0,2.47,100.02
11/05/2021,4.5,3.87,7.33,5.38,4.54,0.0,4.13,3.14,4.48,3.63,0.0,5.27,5.78,5.72,0.0,4.74,0.0,3.68,4.45,0.0,0.06,4.07,0.0,5.05,5.82,4.78,3.6,3.62,0.0,2.35,99.99
11/08/2021,3.46,4.35,7.63,5.64,4.54,0.0,4.12,3.2,4.53,3.57,0.0,5.35,5.63,5.69,0.0,4.91,0.0,3.69,4.37,0.0,0.06,3.91,0.0,5.01,6.24,4.85,3.51,3.5,0.0,2.22,99.98
11/09/2021,3.46,4.35,7.63,5.64,4.54,0.0,4.12,3.2,4.53,3.57,0.0,5.35,5.63,5.69,0.0,4.91,0.0,3.69,4.37,0.0,0.06,3.91,0.0,5.01,6.24,4.85,3.51,3.5,0.0,2.22,99.98
11/10/2021,3.4,4.76,8.0,5.44,4.6,0.0,4.08,3.14,4.46,3.72,0.0,5.46,5.58,5.57,0.0,4.79,0.0,3.66,4.36,0.0,0.01,3.92,0.0,4.87,6.02,5.01,3.44,3.45,0.0,2.27,100.01
11/11/2021,3.4,4.76,8.0,5.44,4.6,0.0,4.08,3.14,4.46,3.72,0.0,5.46,5.58,5.57,0.0,4.79,0.0,3.66,4.36,0.0,0.01,3.92,0.0,4.87,6.02,5.01,3.44,3.45,0.0,2.27,100.01
11/12/2021,3.35,4.05,6.91,5.19,4.45,0.0,4.17,3.28,5.5,4.26,0.0,5.23,5.67,5.78,0.0,4.92,0.0,3.51,4.53,0.0,0.01,3.98,0.0,5.28,5.94,5.2,3.38,3.31,0.0,2.1,100.0
11/15/2021,3.34,4.08,5.83,5.01,4.51,0.0,4.26,4.13,4.87,4.19,0.0,4.69,5.86,5.64,0.0,5.04,0.0,3.74,4.51,0.0,0.01,4.1,0.0,5.57,6.43,5.3,3.5,3.32,0.0,2.07,100.0
11/16/2021,3.34,4.08,5.83,5.01,4.51,0.0,4.26,4.13,4.87,4.19,0.0,4.69,5.86,5.64,0.0,5.04,0.0,3.74,4.51,0.0,0.01,4.1,0.0,5.57,6.43,5.3,3.5,3.32,0.0,2.07,100.0
11/17/2021,3.55,4.13,6.01,4.92,4.47,0.0,4.39,3.1,5.04,4.54,0.0,4.58,5.81,5.56,0.0,5.1,0.0,3.89,4.74,0.0,0.01,4.05,0.0,5.93,6.04,5.48,3.38,3.4,0.0,1.88,100.0
11/18/2021,3.29,4.13,6.04,4.93,4.5,0.0,4.73,2.48,5.45,4.99,0.0,4.76,5.69,5.48,0.0,5.45,0.0,4.0,4.68,0.0,0.01,3.91,0.0,6.53,5.7,5.18,3.15,3.31,0.0,1.63,100.02000000000002
11/19/2021,3.37,3.96,6.13,4.38,4.59,0.0,4.67,2.43,5.32,4.69,0.0,4.82,5.72,5.63,0.0,5.64,0.0,4.05,5.05,0.0,0.01,3.93,0.0,6.39,5.87,5.04,3.34,3.16,0.0,1.81,100.00000000000004
11/22/2021,3.31,3.9,6.21,4.21,4.48,0.0,4.65,2.44,5.25,4.36,0.0,4.85,5.81,5.36,0.0,5.46,0.0,3.92,4.9,0.0,0.01,4.1,0.0,6.64,6.15,5.18,3.94,2.97,0.0,1.91,100.01
11/23/2021,3.31,3.9,6.21,4.21,4.48,0.0,4.65,2.44,5.25,4.36,0.0,4.85,5.81,5.36,0.0,5.46,0.0,3.92,4.9,0.0,0.01,4.1,0.0,6.64,6.15,5.18,3.94,2.97,0.0,1.91,100.01
11/24/2021,3.25,3.95,5.98,4.35,4.22,0.0,4.78,2.4,4.83,4.05,0.0,4.92,5.67,5.4,0.0,5.41,0.0,4.02,4.65,0.0,0.01,4.83,0.0,6.06,7.5,5.29,3.89,2.62,0.0,1.92,100.00000000000004
11/25/2021,3.25,3.95,5.98,4.35,4.22,0.0,4.78,2.4,4.83,4.05,0.0,4.92,5.67,5.4,0.0,5.41,0.0,4.02,4.65,0.0,0.01,4.83,0.0,6.06,7.5,5.29,3.89,2.62,0.0,1.92,100.00000000000004
11/26/2021,3.25,3.95,5.98,4.35,4.22,0.0,4.78,2.4,4.83,4.05,0.0,4.92,5.67,5.4,0.0,5.41,0.0,4.02,4.65,0.0,0.01,4.83,0.0,6.06,7.5,5.29,3.89,2.62,0.0,1.92,100.00000000000004
11/29/2021,3.54,3.55,6.35,4.34,4.19,0.0,4.66,2.46,4.88,4.12,0.0,4.81,5.75,5.44,0.0,5.44,0.0,4.01,4.68,0.0,0.01,4.79,0.0,6.03,7.41,5.2,3.63,2.78,0.0,1.93,100.0
11/30/2021,3.54,3.55,6.35,4.34,4.19,0.0,4.66,2.46,4.88,4.12,0.0,4.81,5.75,5.44,0.0,5.44,0.0,4.01,4.68,0.0,0.01,4.79,0.0,6.03,7.41,5.2,3.63,2.78,0.0,1.93,100.0
12/01/2021,3.63,3.49,6.72,4.45,4.6,0.0,4.68,2.45,4.82,3.87,0.0,4.84,5.86,5.31,0.0,5.51,0.0,3.94,4.7,0.0,0.01,4.77,0.0,6.09,6.88,5.0,3.68,2.77,0.0,1.93,100.0
12/02/2021,3.63,3.49,6.72,4.45,4.6,0.0,4.68,2.45,4.82,3.87,0.0,4.84,5.86,5.31,0.0,5.51,0.0,3.94,4.7,0.0,0.01,4.77,0.0,6.09,6.88,5.0,3.68,2.77,0.0,1.93,100.0
12/06/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/07/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/08/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/09/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/10/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/13/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/14/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/15/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/16/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/17/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/20/2021,3.56,3.81,6.95,4.7,4.24,0.0,4.79,2.5,4.91,3.88,0.0,5.06,5.85,4.89,0.0,5.42,0.0,4.29,4.64,0.0,0.01,4.5,0.0,5.99,7.12,5.25,3.13,2.6,0.0,1.93,100.02
12/21/2021,3.73,3.75,5.73,3.19,4.93,0.0,5.21,2.09,5.06,3.6,0.0,4.66,6.15,4.49,0.0,5.95,0.0,3.92,4.28,0.0,0.2,4.26,0.0,6.2,8.71,5.74,3.56,2.9,0.0,1.67,99.98
12/22/2021,3.71,3.68,5.48,3.58,4.6,0.0,5.74,2.14,4.97,3.45,0.0,4.69,6.13,4.41,0.0,5.8,0.0,3.55,4.35,0.0,0.2,4.3,0.0,6.22,9.38,5.61,3.18,2.85,0.0,2.0,100.02
12/23/2021,3.91,3.59,5.81,3.79,4.27,0.0,5.29,2.58,5.09,3.71,0.0,4.63,6.2,4.36,0.0,5.88,0.0,3.67,4.12,0.0,0.2,4.18,0.0,6.17,8.96,6.06,3.13,2.62,0.0,1.79,100.01000000000002
