,TECH,CGNX,MOH,FICO,SEDG,XPO,SBNY,CPT,CDAY,MASI,GGG,FDS,BRO,WSM,MPW,LII,TTC,NDSN,STLD,RH,TREX,RPM,AXON,CREE,JAZZ,FIVE,DAR,DECK,WTRG,CABO,RGEN,LAD,OC,TRGP,HUBB,AZPN,CSL,EWBC,JLL,MIDD,CLF,UGI,RS,MANH,WSO,LEA,OLED,PEN,Y,MKSI,SYNH,NBIX,ATR,FHN,SCI,ACM,RUN,LAMR,CIEN,CONE,WEX,AMED,BLDR,STOR,OHI,SAM,LSI,KSS,AFG,OSK,NNN,ARW,UTHR,CPRI,G,DCI,EHC,GNTX,ITT,AGCO,LECO,REXR,AIRC,IIVI,FSLR,RGA,HRC,PII,CBSH,CHE,RGLD,BC,JBL,SMG,IAA,LSCC,TPX,U.S. Dollar,CROX,PCTY,RNR,KRC,SEIC,XEC,THC,WWD,CASY,ORI,HOG,MAT,NVST,AMG,YETI,FR,STAA,SLAB,FFIN,FAF,OGE,SF,TTEK,HQY,CHDN,CNXC,BRKS,BRX,VAC,WH,ACC,EGP,SON,JEF,SKX,SRCL,JHG,ARWR,EME,PNFP,SLM,LHCG,PB,COHR,POST,TOL,DKS,FOXF,LITE,SNV,BJ,MAN,MDU,OLN,NYT,TXRH,BLD,FL,GMED,HALO,INGR,CFR,LFUS,THO,AYI,X,NCR,CACI,MSA,LSTR,CDK,JCOM,EXP,COR,EVR,PRI,MTZ,VVV,KNX,EQT,LPX,EXEL,HELE,NATI,CC,ACHC,AEO,DEI,SYNA,CUZ,SRC,SLG,VNT,CFX,TKR,KBR,MMS,VLY,RBC,AN,JBLU,TDC,FLS,RYN,NYCB,ADS,QDEL,OLLI,IDA,ASGN,NVT,GXO WI,GME,WING,ESNT,VSCO WI,GXO,VSCO,CIT,PRAH,IBKR,SNX,SAIA,IRDM,IART,PFGC,MEDP,SUM
07/23/2021,0.76,0.64,0.66,0.65,0.54,0.62,0.62,0.61,0.54,0.58,0.56,0.56,0.54,0.52,0.52,0.47,0.52,0.52,0.54,0.49,0.48,0.5,0.49,0.44,0.46,0.45,0.48,0.46,0.46,0.44,0.44,0.45,0.42,0.42,0.45,0.42,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.38,0.41,0.4,0.39,0.37,0.4,0.39,0.39,0.38,0.39,0.39,0.41,0.39,0.33,0.39,0.38,0.4,0.37,0.36,0.38,0.38,0.38,0.38,0.38,0.35,0.37,0.36,0.37,0.36,0.36,0.33,0.36,0.36,0.34,0.34,0.35,0.34,0.35,0.34,0.35,0.32,0.32,0.33,0.33,0.32,0.34,0.33,0.34,0.33,0.33,0.31,0.34,0.31,0.31,0.34,0.33,0.31,0.33,0.32,0.32,0.3,0.31,0.3,0.31,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.26,0.28,0.3,0.3,0.29,0.3,0.29,0.27,0.28,0.29,0.28,0.29,0.29,0.28,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.26,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.27,0.25,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.25,0.24,0.27,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.0,0.24,0.23,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.0,0.0,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.03
07/26/2021,0.76,0.64,0.66,0.65,0.54,0.62,0.62,0.61,0.54,0.58,0.56,0.56,0.54,0.52,0.52,0.47,0.52,0.52,0.54,0.49,0.48,0.5,0.49,0.44,0.46,0.45,0.48,0.46,0.46,0.44,0.44,0.45,0.42,0.42,0.45,0.42,0.44,0.44,0.43,0.44,0.43,0.42,0.42,0.38,0.41,0.4,0.39,0.37,0.4,0.39,0.39,0.38,0.39,0.39,0.41,0.39,0.33,0.39,0.38,0.4,0.37,0.36,0.38,0.38,0.38,0.38,0.38,0.35,0.37,0.36,0.37,0.36,0.36,0.33,0.36,0.36,0.34,0.34,0.35,0.34,0.35,0.34,0.35,0.32,0.32,0.33,0.33,0.32,0.34,0.33,0.34,0.33,0.33,0.31,0.34,0.31,0.31,0.34,0.33,0.31,0.33,0.32,0.32,0.3,0.31,0.3,0.31,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.26,0.28,0.3,0.3,0.29,0.3,0.29,0.27,0.28,0.29,0.28,0.29,0.29,0.28,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.26,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.27,0.25,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.25,0.24,0.27,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.0,0.24,0.23,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.0,0.0,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.03
07/27/2021,0.79,0.65,0.65,0.69,0.58,0.62,0.59,0.62,0.56,0.59,0.56,0.56,0.54,0.51,0.53,0.47,0.51,0.52,0.51,0.49,0.49,0.49,0.51,0.46,0.45,0.47,0.48,0.48,0.46,0.44,0.46,0.48,0.42,0.42,0.46,0.43,0.44,0.45,0.45,0.45,0.42,0.41,0.41,0.4,0.41,0.39,0.41,0.39,0.4,0.39,0.39,0.4,0.38,0.37,0.42,0.39,0.37,0.38,0.37,0.38,0.38,0.36,0.4,0.38,0.38,0.38,0.38,0.34,0.38,0.35,0.37,0.36,0.36,0.33,0.37,0.35,0.34,0.33,0.36,0.33,0.35,0.35,0.35,0.32,0.31,0.32,0.34,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.35,0.31,0.31,0.37,0.37,0.33,0.33,0.32,0.31,0.29,0.32,0.3,0.31,0.3,0.27,0.29,0.29,0.3,0.3,0.3,0.27,0.28,0.29,0.31,0.29,0.29,0.3,0.27,0.29,0.29,0.29,0.29,0.29,0.28,0.3,0.3,0.27,0.29,0.3,0.28,0.29,0.31,0.28,0.29,0.27,0.29,0.27,0.27,0.26,0.27,0.29,0.29,0.27,0.26,0.3,0.26,0.27,0.27,0.26,0.27,0.28,0.26,0.27,0.25,0.25,0.25,0.26,0.27,0.26,0.27,0.25,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.26,0.25,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.24,0.0,0.24,0.23,0.23,0.24,0.23,0.0,0.23,0.27,0.0,0.23,0.23,0.0,0.0,0.0,0.25,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.37
07/28/2021,0.79,0.65,0.65,0.69,0.58,0.62,0.59,0.62,0.56,0.59,0.56,0.56,0.54,0.51,0.53,0.47,0.51,0.52,0.51,0.49,0.49,0.49,0.51,0.46,0.45,0.47,0.48,0.48,0.46,0.44,0.46,0.48,0.42,0.42,0.46,0.43,0.44,0.45,0.45,0.45,0.42,0.41,0.41,0.4,0.41,0.39,0.41,0.39,0.4,0.39,0.39,0.4,0.38,0.37,0.42,0.39,0.37,0.38,0.37,0.38,0.38,0.36,0.4,0.38,0.38,0.38,0.38,0.34,0.38,0.35,0.37,0.36,0.36,0.33,0.37,0.35,0.34,0.33,0.36,0.33,0.35,0.35,0.35,0.32,0.31,0.32,0.34,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.35,0.31,0.31,0.37,0.37,0.33,0.33,0.32,0.31,0.29,0.32,0.3,0.31,0.3,0.27,0.29,0.29,0.3,0.3,0.3,0.27,0.28,0.29,0.31,0.29,0.29,0.3,0.27,0.29,0.29,0.29,0.29,0.29,0.28,0.3,0.3,0.27,0.29,0.3,0.28,0.29,0.31,0.28,0.29,0.27,0.29,0.27,0.27,0.26,0.27,0.29,0.29,0.27,0.26,0.3,0.26,0.27,0.27,0.26,0.27,0.28,0.26,0.27,0.25,0.25,0.25,0.26,0.27,0.26,0.27,0.25,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.26,0.25,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.24,0.0,0.24,0.23,0.23,0.24,0.23,0.0,0.23,0.27,0.0,0.23,0.23,0.0,0.0,0.0,0.25,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.37
07/29/2021,0.79,0.65,0.65,0.67,0.55,0.62,0.58,0.61,0.56,0.58,0.55,0.56,0.55,0.51,0.53,0.48,0.51,0.52,0.52,0.49,0.48,0.48,0.5,0.46,0.45,0.47,0.48,0.49,0.47,0.45,0.45,0.47,0.42,0.43,0.45,0.43,0.45,0.44,0.46,0.45,0.43,0.41,0.42,0.4,0.41,0.4,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.37,0.42,0.39,0.35,0.39,0.38,0.38,0.39,0.36,0.39,0.38,0.38,0.29,0.38,0.34,0.37,0.35,0.37,0.36,0.35,0.33,0.37,0.35,0.34,0.33,0.36,0.33,0.35,0.35,0.35,0.3,0.3,0.31,0.35,0.34,0.33,0.33,0.33,0.34,0.33,0.32,0.35,0.31,0.31,0.38,0.37,0.32,0.32,0.31,0.31,0.29,0.33,0.3,0.31,0.3,0.27,0.31,0.29,0.3,0.31,0.3,0.25,0.27,0.29,0.31,0.29,0.3,0.3,0.27,0.28,0.29,0.28,0.29,0.28,0.28,0.3,0.3,0.27,0.28,0.31,0.28,0.3,0.3,0.28,0.29,0.26,0.28,0.27,0.27,0.26,0.27,0.29,0.29,0.27,0.26,0.29,0.26,0.27,0.27,0.27,0.29,0.28,0.26,0.28,0.24,0.25,0.25,0.26,0.27,0.26,0.28,0.25,0.27,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.24,0.26,0.25,0.24,0.0,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.25,0.0,0.24,0.23,0.23,0.24,0.23,0.0,0.23,0.27,0.0,0.24,0.23,0.0,0.0,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17
07/30/2021,0.79,0.65,0.65,0.67,0.55,0.62,0.58,0.61,0.56,0.58,0.55,0.56,0.55,0.51,0.53,0.48,0.51,0.52,0.52,0.49,0.48,0.48,0.5,0.46,0.45,0.47,0.48,0.49,0.47,0.45,0.45,0.47,0.42,0.43,0.45,0.43,0.45,0.44,0.46,0.45,0.43,0.41,0.42,0.4,0.41,0.4,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.37,0.42,0.39,0.35,0.39,0.38,0.38,0.39,0.36,0.39,0.38,0.38,0.29,0.38,0.34,0.37,0.35,0.37,0.36,0.35,0.33,0.37,0.35,0.34,0.33,0.36,0.33,0.35,0.35,0.35,0.3,0.3,0.31,0.35,0.34,0.33,0.33,0.33,0.34,0.33,0.32,0.35,0.31,0.31,0.38,0.37,0.32,0.32,0.31,0.31,0.29,0.33,0.3,0.31,0.3,0.27,0.31,0.29,0.3,0.31,0.3,0.25,0.27,0.29,0.31,0.29,0.3,0.3,0.27,0.28,0.29,0.28,0.29,0.28,0.28,0.3,0.3,0.27,0.28,0.31,0.28,0.3,0.3,0.28,0.29,0.26,0.28,0.27,0.27,0.26,0.27,0.29,0.29,0.27,0.26,0.29,0.26,0.27,0.27,0.27,0.29,0.28,0.26,0.28,0.24,0.25,0.25,0.26,0.27,0.26,0.28,0.25,0.27,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.24,0.26,0.25,0.24,0.0,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.25,0.0,0.24,0.23,0.23,0.24,0.23,0.0,0.23,0.27,0.0,0.24,0.23,0.0,0.0,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17
08/02/2021,0.79,0.65,0.65,0.67,0.55,0.62,0.58,0.61,0.56,0.58,0.55,0.56,0.55,0.51,0.53,0.48,0.51,0.52,0.52,0.49,0.48,0.48,0.5,0.46,0.45,0.47,0.48,0.49,0.47,0.45,0.45,0.47,0.42,0.43,0.45,0.43,0.45,0.44,0.46,0.45,0.43,0.41,0.42,0.4,0.41,0.4,0.4,0.38,0.39,0.39,0.38,0.39,0.38,0.37,0.42,0.39,0.35,0.39,0.38,0.38,0.39,0.36,0.39,0.38,0.38,0.29,0.38,0.34,0.37,0.35,0.37,0.36,0.35,0.33,0.37,0.35,0.34,0.33,0.36,0.33,0.35,0.35,0.35,0.3,0.3,0.31,0.35,0.34,0.33,0.33,0.33,0.34,0.33,0.32,0.35,0.31,0.31,0.38,0.37,0.32,0.32,0.31,0.31,0.29,0.33,0.3,0.31,0.3,0.27,0.31,0.29,0.3,0.31,0.3,0.25,0.27,0.29,0.31,0.29,0.3,0.3,0.27,0.28,0.29,0.28,0.29,0.28,0.28,0.3,0.3,0.27,0.28,0.31,0.28,0.3,0.3,0.28,0.29,0.26,0.28,0.27,0.27,0.26,0.27,0.29,0.29,0.27,0.26,0.29,0.26,0.27,0.27,0.27,0.29,0.28,0.26,0.28,0.24,0.25,0.25,0.26,0.27,0.26,0.28,0.25,0.27,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.24,0.26,0.25,0.24,0.0,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.25,0.0,0.24,0.23,0.23,0.24,0.23,0.0,0.23,0.27,0.0,0.24,0.23,0.0,0.0,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17
08/03/2021,0.8,0.66,0.63,0.64,0.58,0.61,0.56,0.62,0.55,0.58,0.55,0.56,0.54,0.51,0.52,0.49,0.51,0.52,0.55,0.48,0.47,0.47,0.51,0.45,0.43,0.45,0.48,0.48,0.47,0.43,0.52,0.48,0.43,0.42,0.46,0.42,0.45,0.43,0.48,0.45,0.48,0.41,0.43,0.43,0.39,0.41,0.42,0.38,0.39,0.36,0.38,0.37,0.39,0.37,0.44,0.39,0.36,0.39,0.38,0.37,0.37,0.35,0.39,0.38,0.37,0.28,0.38,0.33,0.37,0.35,0.36,0.37,0.35,0.32,0.37,0.35,0.35,0.35,0.36,0.33,0.35,0.35,0.35,0.31,0.3,0.32,0.39,0.32,0.32,0.32,0.34,0.33,0.33,0.31,0.34,0.32,0.34,0.36,0.38,0.33,0.32,0.31,0.31,0.28,0.33,0.31,0.31,0.3,0.26,0.32,0.29,0.28,0.31,0.3,0.25,0.27,0.3,0.31,0.29,0.3,0.3,0.26,0.27,0.28,0.28,0.29,0.27,0.29,0.29,0.3,0.27,0.28,0.31,0.27,0.3,0.3,0.28,0.3,0.26,0.28,0.28,0.26,0.26,0.28,0.29,0.29,0.27,0.26,0.29,0.27,0.27,0.29,0.27,0.27,0.29,0.25,0.27,0.23,0.25,0.26,0.28,0.28,0.26,0.29,0.24,0.27,0.25,0.25,0.25,0.26,0.26,0.25,0.23,0.25,0.24,0.24,0.26,0.0,0.24,0.0,0.24,0.23,0.23,0.23,0.0,0.24,0.0,0.25,0.25,0.0,0.23,0.23,0.23,0.23,0.23,0.22,0.25,0.28,0.0,0.23,0.24,0.0,0.23,0.0,0.23,0.0,0.23,0.23,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.18
08/04/2021,0.8,0.68,0.68,0.64,0.57,0.6,0.56,0.62,0.55,0.59,0.56,0.58,0.54,0.49,0.53,0.48,0.52,0.52,0.55,0.48,0.48,0.48,0.51,0.46,0.43,0.46,0.48,0.49,0.47,0.44,0.53,0.48,0.43,0.41,0.46,0.42,0.45,0.43,0.49,0.45,0.49,0.41,0.43,0.43,0.4,0.41,0.43,0.38,0.39,0.37,0.39,0.37,0.36,0.36,0.45,0.39,0.36,0.39,0.38,0.37,0.36,0.36,0.39,0.37,0.36,0.28,0.38,0.34,0.37,0.35,0.36,0.37,0.35,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.31,0.31,0.32,0.39,0.32,0.32,0.32,0.34,0.35,0.34,0.31,0.35,0.33,0.34,0.0,0.38,0.33,0.32,0.31,0.31,0.29,0.33,0.3,0.31,0.3,0.26,0.32,0.29,0.28,0.31,0.3,0.26,0.28,0.3,0.31,0.29,0.3,0.31,0.26,0.27,0.29,0.28,0.29,0.27,0.29,0.29,0.3,0.27,0.28,0.31,0.28,0.3,0.31,0.28,0.29,0.26,0.29,0.27,0.26,0.26,0.28,0.29,0.29,0.27,0.26,0.3,0.27,0.27,0.29,0.27,0.26,0.28,0.25,0.27,0.24,0.25,0.26,0.28,0.28,0.27,0.3,0.25,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.23,0.25,0.24,0.24,0.26,0.0,0.24,0.0,0.23,0.25,0.23,0.24,0.0,0.23,0.23,0.25,0.25,0.0,0.23,0.23,0.23,0.23,0.23,0.0,0.25,0.28,0.0,0.23,0.23,0.0,0.23,0.0,0.23,0.22,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.41
08/05/2021,0.8,0.68,0.68,0.64,0.57,0.6,0.56,0.62,0.55,0.59,0.56,0.58,0.54,0.49,0.53,0.48,0.52,0.52,0.55,0.48,0.48,0.48,0.51,0.46,0.43,0.46,0.48,0.49,0.47,0.44,0.53,0.48,0.43,0.41,0.46,0.42,0.45,0.43,0.49,0.45,0.49,0.41,0.43,0.43,0.4,0.41,0.43,0.38,0.39,0.37,0.39,0.37,0.36,0.36,0.45,0.39,0.36,0.39,0.38,0.37,0.36,0.36,0.39,0.37,0.36,0.28,0.38,0.34,0.37,0.35,0.36,0.37,0.35,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.31,0.31,0.32,0.39,0.32,0.32,0.32,0.34,0.35,0.34,0.31,0.35,0.33,0.34,0.0,0.38,0.33,0.32,0.31,0.31,0.29,0.33,0.3,0.31,0.3,0.26,0.32,0.29,0.28,0.31,0.3,0.26,0.28,0.3,0.31,0.29,0.3,0.31,0.26,0.27,0.29,0.28,0.29,0.27,0.29,0.29,0.3,0.27,0.28,0.31,0.28,0.3,0.31,0.28,0.29,0.26,0.29,0.27,0.26,0.26,0.28,0.29,0.29,0.27,0.26,0.3,0.27,0.27,0.29,0.27,0.26,0.28,0.25,0.27,0.24,0.25,0.26,0.28,0.28,0.27,0.3,0.25,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.23,0.25,0.24,0.24,0.26,0.0,0.24,0.0,0.23,0.25,0.23,0.24,0.0,0.23,0.23,0.25,0.25,0.0,0.23,0.23,0.23,0.23,0.23,0.0,0.25,0.28,0.0,0.23,0.23,0.0,0.23,0.0,0.23,0.22,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.41
08/06/2021,0.79,0.67,0.69,0.63,0.66,0.37,0.57,0.62,0.54,0.6,0.57,0.58,0.54,0.51,0.51,0.49,0.52,0.52,0.55,0.47,0.48,0.48,0.51,0.46,0.44,0.46,0.48,0.51,0.47,0.45,0.54,0.46,0.43,0.41,0.46,0.42,0.45,0.44,0.48,0.46,0.48,0.41,0.43,0.44,0.4,0.4,0.42,0.38,0.39,0.37,0.38,0.39,0.36,0.37,0.45,0.39,0.37,0.39,0.38,0.38,0.35,0.36,0.4,0.37,0.35,0.27,0.39,0.34,0.37,0.35,0.36,0.38,0.34,0.38,0.37,0.36,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.3,0.33,0.32,0.39,0.33,0.31,0.32,0.34,0.35,0.34,0.31,0.35,0.34,0.33,0.0,0.38,0.32,0.32,0.3,0.31,0.29,0.33,0.28,0.31,0.3,0.26,0.32,0.3,0.29,0.32,0.3,0.25,0.3,0.29,0.31,0.29,0.29,0.31,0.26,0.27,0.29,0.28,0.29,0.25,0.28,0.29,0.3,0.27,0.29,0.31,0.28,0.3,0.3,0.28,0.29,0.26,0.29,0.27,0.25,0.26,0.28,0.3,0.29,0.26,0.26,0.31,0.27,0.28,0.29,0.27,0.25,0.3,0.24,0.27,0.23,0.25,0.26,0.28,0.28,0.27,0.3,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.22,0.25,0.24,0.24,0.26,0.0,0.24,0.23,0.24,0.24,0.24,0.24,0.0,0.23,0.0,0.25,0.24,0.0,0.23,0.23,0.0,0.23,0.23,0.22,0.25,0.27,0.0,0.24,0.24,0.0,0.24,0.0,0.23,0.0,0.23,0.23,0.24,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.42
08/09/2021,0.81,0.68,0.66,0.59,0.63,0.36,0.58,0.62,0.55,0.6,0.57,0.58,0.54,0.51,0.51,0.48,0.52,0.52,0.52,0.48,0.51,0.47,0.53,0.47,0.38,0.48,0.48,0.51,0.48,0.45,0.55,0.47,0.42,0.41,0.46,0.42,0.45,0.45,0.54,0.46,0.45,0.42,0.41,0.44,0.39,0.39,0.42,0.39,0.4,0.36,0.37,0.37,0.36,0.37,0.46,0.38,0.36,0.4,0.37,0.39,0.34,0.28,0.42,0.38,0.35,0.26,0.39,0.34,0.39,0.33,0.36,0.37,0.39,0.38,0.37,0.36,0.34,0.34,0.36,0.35,0.35,0.35,0.35,0.31,0.33,0.35,0.38,0.32,0.31,0.32,0.32,0.34,0.33,0.28,0.32,0.35,0.33,0.0,0.39,0.35,0.32,0.3,0.31,0.28,0.31,0.28,0.31,0.3,0.26,0.32,0.28,0.29,0.33,0.3,0.31,0.3,0.29,0.32,0.29,0.3,0.31,0.26,0.28,0.3,0.28,0.29,0.26,0.28,0.29,0.3,0.27,0.29,0.3,0.27,0.3,0.3,0.28,0.3,0.26,0.25,0.27,0.25,0.25,0.28,0.3,0.28,0.26,0.27,0.3,0.27,0.27,0.28,0.29,0.25,0.3,0.24,0.26,0.23,0.24,0.27,0.27,0.28,0.27,0.29,0.0,0.25,0.25,0.26,0.24,0.26,0.26,0.26,0.23,0.25,0.24,0.24,0.26,0.0,0.24,0.23,0.23,0.24,0.23,0.24,0.0,0.23,0.0,0.25,0.25,0.0,0.23,0.24,0.0,0.23,0.0,0.22,0.25,0.27,0.0,0.24,0.24,0.0,0.24,0.0,0.24,0.0,0.23,0.23,0.23,0.28,0.36,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.31
08/10/2021,0.81,0.68,0.66,0.59,0.63,0.36,0.58,0.62,0.55,0.6,0.57,0.58,0.54,0.51,0.51,0.48,0.52,0.52,0.52,0.48,0.51,0.47,0.53,0.47,0.38,0.48,0.48,0.51,0.48,0.45,0.55,0.47,0.42,0.41,0.46,0.42,0.45,0.45,0.54,0.46,0.45,0.42,0.41,0.44,0.39,0.39,0.42,0.39,0.4,0.36,0.37,0.37,0.36,0.37,0.46,0.38,0.36,0.4,0.37,0.39,0.34,0.28,0.42,0.38,0.35,0.26,0.39,0.34,0.39,0.33,0.36,0.37,0.39,0.38,0.37,0.36,0.34,0.34,0.36,0.35,0.35,0.35,0.35,0.31,0.33,0.35,0.38,0.32,0.31,0.32,0.32,0.34,0.33,0.28,0.32,0.35,0.33,0.0,0.39,0.35,0.32,0.3,0.31,0.28,0.31,0.28,0.31,0.3,0.26,0.32,0.28,0.29,0.33,0.3,0.31,0.3,0.29,0.32,0.29,0.3,0.31,0.26,0.28,0.3,0.28,0.29,0.26,0.28,0.29,0.3,0.27,0.29,0.3,0.27,0.3,0.3,0.28,0.3,0.26,0.25,0.27,0.25,0.25,0.28,0.3,0.28,0.26,0.27,0.3,0.27,0.27,0.28,0.29,0.25,0.3,0.24,0.26,0.23,0.24,0.27,0.27,0.28,0.27,0.29,0.0,0.25,0.25,0.26,0.24,0.26,0.26,0.26,0.23,0.25,0.24,0.24,0.26,0.0,0.24,0.23,0.23,0.24,0.23,0.24,0.0,0.23,0.0,0.25,0.25,0.0,0.23,0.24,0.0,0.23,0.0,0.22,0.25,0.27,0.0,0.24,0.24,0.0,0.24,0.0,0.24,0.0,0.23,0.23,0.23,0.28,0.36,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.31
08/11/2021,0.79,0.64,0.65,0.58,0.65,0.37,0.6,0.61,0.57,0.59,0.56,0.58,0.54,0.5,0.5,0.48,0.52,0.51,0.53,0.48,0.51,0.47,0.53,0.47,0.38,0.48,0.49,0.51,0.48,0.45,0.54,0.46,0.42,0.41,0.46,0.42,0.45,0.45,0.54,0.45,0.47,0.41,0.41,0.45,0.38,0.39,0.38,0.38,0.4,0.37,0.37,0.36,0.36,0.37,0.45,0.39,0.33,0.41,0.37,0.39,0.34,0.26,0.41,0.37,0.35,0.26,0.39,0.35,0.38,0.33,0.36,0.37,0.4,0.38,0.37,0.36,0.34,0.34,0.36,0.35,0.35,0.35,0.34,0.3,0.33,0.35,0.38,0.32,0.31,0.31,0.32,0.34,0.34,0.28,0.31,0.35,0.33,0.0,0.39,0.38,0.33,0.3,0.31,0.29,0.31,0.28,0.3,0.3,0.26,0.32,0.28,0.29,0.32,0.3,0.29,0.3,0.3,0.32,0.3,0.3,0.31,0.26,0.29,0.29,0.27,0.29,0.26,0.28,0.29,0.29,0.27,0.29,0.31,0.26,0.3,0.28,0.28,0.31,0.26,0.25,0.27,0.25,0.27,0.27,0.3,0.28,0.26,0.27,0.3,0.27,0.28,0.28,0.29,0.25,0.31,0.24,0.26,0.23,0.24,0.28,0.27,0.28,0.27,0.29,0.23,0.25,0.25,0.26,0.24,0.25,0.26,0.26,0.23,0.25,0.22,0.24,0.25,0.0,0.25,0.23,0.23,0.23,0.24,0.24,0.0,0.23,0.25,0.25,0.25,0.0,0.24,0.24,0.0,0.23,0.0,0.23,0.25,0.27,0.0,0.22,0.0,0.0,0.24,0.0,0.0,0.0,0.23,0.23,0.24,0.27,0.36,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.13
