,SI,8473.T,NET,PLBY,NB2.DE,COIN,EBAY,MARA,BITF.V,VOYG.TO,HUT.TO,HIVE.V,DEFI.NE,CLSK,RIOT,FNKO,ARB.L,SQ,CAN,DKNG,HOOD,MOGO.TO,BIGG.CN,SOS,ADE.DE,BBIG,DMGI.V,ATA.PA,ARCANE.ST,BNXA.V,EQOS,DGHI.V,DLPN,WIHN.SW,FGXXX,IREN,MIGI,BTCM,ETHC.NE,UCD.,SUM
01/12/2022,4.05,5.1,3.28,3.46,3.58,4.43,5.02,3.55,3.62,0.0,3.69,3.83,2.96,2.22,3.6,3.23,3.44,4.02,3.13,4.58,3.64,1.44,1.35,1.42,1.26,2.23,0.74,0.77,0.79,0.62,0.5,0.52,0.0,0.52,0.73,4.09,2.11,1.58,0.83,4.07,100.0
01/13/2022,3.91,5.28,3.62,3.48,3.5,4.41,5.02,3.62,3.55,0.0,3.72,3.87,2.23,2.22,3.66,3.3,3.54,4.16,3.22,4.81,3.78,1.35,1.38,1.4,1.28,2.29,0.76,0.81,0.74,0.63,0.5,0.52,0.0,0.54,0.72,3.77,1.99,1.63,0.78,4.0,99.98999999999998
01/14/2022,3.9,5.12,3.55,3.44,4.08,4.43,4.93,3.53,3.73,0.0,3.62,3.83,2.46,2.18,3.62,3.1,3.6,4.07,3.3,4.72,3.79,1.33,1.38,1.43,1.24,2.21,0.76,0.78,0.69,0.61,0.57,0.52,0.0,0.55,0.68,3.97,1.85,1.57,0.82,4.04,100.0
01/17/2022,4.12,5.09,3.47,3.33,3.88,4.29,4.67,3.55,3.83,4.06,3.61,3.95,2.61,2.19,3.59,3.12,3.57,3.91,3.45,4.48,3.67,1.35,1.41,1.45,1.3,2.66,0.78,0.77,0.68,0.62,0.55,0.56,0.0,0.53,0.67,3.92,1.93,1.58,0.82,0.0,100.02
01/18/2022,4.19,5.44,3.13,3.22,3.95,4.33,4.77,3.41,3.61,4.02,3.49,3.74,2.53,2.19,3.56,3.18,3.59,3.82,3.43,4.32,3.59,1.32,1.44,1.48,1.31,3.39,0.79,0.79,0.72,0.62,0.54,0.53,0.0,0.56,0.69,3.95,2.05,1.48,0.81,0.0,99.98
01/19/2022,4.19,5.44,3.13,3.22,3.95,4.33,4.77,3.41,3.61,4.02,3.49,3.74,2.53,2.19,3.56,3.18,3.59,3.82,3.43,4.32,3.59,1.32,1.44,1.48,1.31,3.39,0.79,0.79,0.72,0.62,0.54,0.53,0.0,0.56,0.69,3.95,2.05,1.48,0.81,0.0,99.98
01/20/2022,4.19,5.44,3.13,3.22,3.95,4.33,4.77,3.41,3.61,4.02,3.49,3.74,2.53,2.19,3.56,3.18,3.59,3.82,3.43,4.32,3.59,1.32,1.44,1.48,1.31,3.39,0.79,0.79,0.72,0.62,0.54,0.53,0.0,0.56,0.69,3.95,2.05,1.48,0.81,0.0,99.98
01/21/2022,4.22,5.41,3.16,3.12,3.87,4.35,4.76,3.45,3.65,3.94,3.56,3.9,2.43,2.18,3.63,3.12,3.43,3.7,3.8,4.11,3.54,1.28,1.39,1.5,1.28,3.89,0.77,0.78,0.69,0.64,0.54,0.54,0.0,0.52,0.69,4.02,1.94,1.4,0.81,0.0,100.01
01/24/2022,3.62,5.61,3.22,2.86,3.76,4.49,5.06,3.25,3.54,3.84,3.54,3.69,2.49,2.06,3.33,3.29,3.66,3.85,3.72,4.11,3.51,1.23,1.43,1.5,1.33,4.69,0.78,0.8,0.69,0.69,0.55,0.54,0.0,0.53,0.75,4.08,2.08,1.04,0.8,0.0,100.01
01/25/2022,3.62,5.6,3.19,2.67,3.95,4.54,4.95,3.26,3.64,4.02,3.66,3.8,2.49,2.02,3.33,3.23,3.95,3.85,3.66,3.98,3.47,1.23,1.44,1.5,1.38,4.08,0.84,0.79,0.69,0.69,0.55,0.53,0.0,0.53,0.84,4.04,2.11,1.03,0.81,0.0,99.96
01/26/2022,3.49,6.24,3.37,2.77,3.9,4.38,5.4,3.22,3.48,3.8,3.53,3.56,2.31,2.07,3.19,3.48,3.82,3.97,3.52,4.18,3.67,1.25,1.38,1.49,1.46,3.69,0.82,0.88,0.74,0.71,0.58,0.49,0.0,0.56,0.94,3.78,1.98,1.09,0.82,0.0,100.01
01/27/2022,3.49,6.24,3.37,2.77,3.9,4.38,5.4,3.22,3.48,3.8,3.53,3.56,2.31,2.07,3.19,3.48,3.82,3.97,3.52,4.18,3.67,1.25,1.38,1.49,1.46,3.69,0.82,0.88,0.74,0.71,0.58,0.49,0.0,0.56,0.94,3.78,1.98,1.09,0.82,0.0,100.01
01/28/2022,3.49,6.24,3.37,2.77,3.9,4.38,5.4,3.22,3.48,3.8,3.53,3.56,2.31,2.07,3.19,3.48,3.82,3.97,3.52,4.18,3.67,1.25,1.38,1.49,1.46,3.69,0.82,0.88,0.74,0.71,0.58,0.49,0.0,0.56,0.94,3.78,1.98,1.09,0.82,0.0,100.01
01/31/2022,3.74,5.98,3.11,2.58,3.73,4.16,5.34,3.2,3.5,3.61,3.86,3.73,2.53,2.0,3.11,3.53,3.93,3.8,3.31,4.45,3.57,1.25,1.43,1.45,1.49,3.63,0.81,0.83,0.75,0.63,0.56,0.57,0.0,0.57,0.95,4.33,2.08,1.05,0.87,0.0,100.01999999999998
02/01/2022,3.73,6.03,3.31,2.53,3.78,4.21,5.57,3.13,3.29,3.62,3.63,3.68,2.73,1.95,3.09,3.67,3.8,3.84,3.25,4.5,3.55,1.23,1.44,1.44,1.53,3.58,0.71,0.85,0.77,0.67,0.52,0.57,0.0,0.58,1.01,4.34,1.88,1.1,0.9,0.0,100.01
02/02/2022,3.73,6.03,3.31,2.53,3.78,4.21,5.57,3.13,3.29,3.62,3.63,3.68,2.73,1.95,3.09,3.67,3.8,3.84,3.25,4.5,3.55,1.23,1.44,1.44,1.53,3.58,0.71,0.85,0.77,0.67,0.52,0.57,0.0,0.58,1.01,4.34,1.88,1.1,0.9,0.0,100.00999999999998
02/03/2022,3.69,5.78,3.33,2.5,3.68,4.22,5.41,3.33,3.35,3.58,3.73,3.76,2.74,2.03,3.24,3.68,3.63,3.84,3.15,4.59,3.73,1.19,1.42,1.39,1.42,3.5,0.73,0.81,0.73,0.65,0.49,0.58,0.0,0.52,0.96,4.5,2.24,1.05,0.87,0.0,100.04
