,AMD,NVDA,SE,3690.HK,MRVL,QCOM,BILI,GOOG,2330.TW,MSFT,AMZN,FB,TWLO,ESTC,2454.TW,MDB,NOW,NXPI,NFLX,WDAY,PYPL,API,NET,DDOG,700.HK,PDD,SQ,ZS,SPLK,ADYEN.AS,BIDU,SNOW,ZM,COUP,2013.HK,REX,Us Dollars,8083.HK,688101.SS,XLNX,n/a,688617.SS,688001.SS,SUM
08/27/2021,4.84,8.67,8.43,3.99,5.94,5.33,2.82,4.35,3.69,4.02,3.74,3.2,2.76,3.05,2.36,2.4,2.44,2.14,2.05,2.01,1.62,1.22,1.87,1.99,1.22,1.03,1.23,1.28,1.15,1.28,0.64,0.82,0.52,0.29,0.0,0.0,0.0,0.0,-0.05,5.21,0.46,0.0,0.0,100.01
08/30/2021,4.82,8.76,8.68,4.07,5.99,5.25,2.78,4.33,3.82,3.97,3.74,3.18,2.74,2.94,2.3,2.42,2.44,2.21,2.04,2.02,1.58,1.22,1.82,1.92,1.22,1.0,1.19,1.32,1.14,1.23,0.63,0.89,0.52,0.29,0.0,0.0,0.0,0.0,-0.05,5.13,0.46,0.0,0.0,100.01
08/31/2021,4.94,8.88,8.56,3.99,5.74,5.27,2.67,4.35,3.81,3.93,3.73,3.21,2.76,2.94,2.29,2.44,2.44,2.23,2.04,2.17,1.59,1.2,1.83,1.95,1.19,0.97,1.2,1.34,1.14,1.24,0.62,0.86,0.52,0.3,0.0,0.0,0.0,0.0,-0.05,5.24,0.45,0.0,0.0,99.98
09/01/2021,4.94,8.88,8.56,3.99,5.74,5.27,2.67,4.35,3.81,3.93,3.73,3.21,2.76,2.94,2.29,2.44,2.44,2.23,2.04,2.17,1.59,1.2,1.83,1.95,1.19,0.97,1.2,1.34,1.14,1.24,0.62,0.86,0.52,0.3,0.0,0.0,0.0,0.0,0.0,5.24,0.45,0.0,-0.05,99.98
09/02/2021,4.88,8.8,8.74,4.0,5.74,5.25,2.6,4.33,3.82,3.93,3.77,3.25,2.77,2.98,2.32,2.41,2.45,2.21,2.05,2.17,1.63,1.21,1.81,1.96,1.18,0.97,1.21,1.35,1.13,1.24,0.61,0.85,0.52,0.3,0.0,0.0,0.0,0.0,0.0,5.14,0.45,0.0,0.0,100.03
09/03/2021,4.88,8.8,8.74,4.0,5.74,5.25,2.6,4.33,3.82,3.93,3.77,3.25,2.77,2.98,2.32,2.41,2.45,2.21,2.05,2.17,1.63,1.21,1.81,1.96,1.18,0.97,1.21,1.35,1.13,1.24,0.61,0.85,0.52,0.3,0.0,0.0,0.0,0.0,0.0,5.14,0.45,0.0,0.0,100.03
09/06/2021,4.74,8.6,8.84,4.41,5.62,5.17,2.9,4.25,3.8,3.86,3.78,3.17,2.68,3.03,2.35,2.42,2.5,2.04,2.11,2.14,1.6,1.29,1.87,1.94,1.24,1.03,1.17,1.35,1.14,1.21,0.64,0.87,0.44,0.31,0.0,0.0,0.0,0.0,0.0,5.06,0.43,0.0,0.0,100.0
09/07/2021,4.69,8.62,9.06,4.18,5.54,5.06,2.93,4.19,3.82,3.8,3.73,3.12,2.7,3.12,2.28,3.0,2.52,2.02,2.08,2.16,1.59,1.27,1.86,1.92,1.2,1.01,1.16,1.35,1.13,1.18,0.63,0.86,0.43,0.31,0.0,0.0,0.0,0.0,0.0,5.03,0.43,0.0,0.0,99.98000000000002
09/08/2021,4.69,8.62,9.06,4.18,5.54,5.06,2.93,4.19,3.82,3.8,3.73,3.12,2.7,3.12,2.28,3.0,2.52,2.02,2.08,2.16,1.59,1.27,1.86,1.92,1.2,1.01,1.16,1.35,1.13,1.18,0.63,0.86,0.43,0.31,0.0,0.0,0.0,0.0,0.0,5.03,0.43,0.0,0.0,99.98000000000002
09/09/2021,4.69,8.62,9.06,4.18,5.54,5.06,2.93,4.19,3.82,3.8,3.73,3.12,2.7,3.12,2.28,3.0,2.52,2.02,2.08,2.16,1.59,1.27,1.86,1.92,1.2,1.01,1.16,1.35,1.13,1.18,0.63,0.86,0.43,0.31,0.0,0.0,0.0,0.0,0.0,5.03,0.43,0.0,0.0,99.98000000000002
09/10/2021,4.65,8.54,8.99,4.39,5.51,5.03,3.1,4.21,3.84,3.78,3.76,3.17,2.64,3.11,2.24,2.9,2.45,2.01,2.13,2.13,1.61,1.28,1.87,1.91,1.27,1.06,1.15,1.33,1.11,1.18,0.65,0.86,0.44,0.31,0.0,0.0,0.0,0.0,0.0,4.98,0.43,0.0,0.0,100.02
09/13/2021,4.63,8.56,8.46,4.34,5.64,5.07,2.92,4.29,3.9,3.83,3.82,3.21,2.65,3.04,2.28,2.88,2.47,2.04,2.15,2.14,1.61,1.29,1.87,2.01,1.21,1.06,1.11,1.35,1.13,1.2,0.65,0.91,0.44,0.31,0.0,0.0,0.0,0.0,0.0,5.09,0.44,0.0,0.0,100.0
09/14/2021,4.59,8.66,8.52,4.52,5.63,5.1,2.91,4.2,3.92,3.81,3.8,3.21,2.57,2.97,2.35,2.96,2.46,2.05,2.15,2.12,1.6,1.24,1.86,1.95,1.23,1.05,1.09,1.3,1.12,1.21,0.65,0.9,0.45,0.3,0.0,0.0,0.0,0.0,0.0,5.11,0.44,0.0,0.0,100.0
09/15/2021,4.59,8.66,8.52,4.52,5.63,5.1,2.91,4.2,3.92,3.81,3.8,3.21,2.57,2.97,2.35,2.96,2.46,2.05,2.15,2.12,1.6,1.24,1.86,1.95,1.23,1.05,1.09,1.3,1.12,1.21,0.65,0.9,0.45,0.3,0.0,0.0,0.0,0.0,0.0,5.11,0.44,0.0,0.0,100.0
09/16/2021,4.6,8.61,8.53,4.35,5.78,5.17,2.83,4.28,3.9,3.85,3.81,3.22,2.54,2.97,2.37,2.96,2.45,2.09,2.13,2.14,1.59,1.22,1.83,1.94,1.21,1.06,1.1,1.3,1.1,1.2,0.65,0.91,0.43,0.3,0.0,0.0,0.0,0.0,0.0,5.15,0.42,0.0,0.0,99.99
09/17/2021,4.65,8.64,8.8,4.3,5.78,5.09,2.79,4.28,3.85,3.89,3.8,3.22,2.55,3.0,2.43,3.08,2.47,2.06,2.09,2.16,1.6,1.19,1.86,1.98,1.2,1.04,1.1,1.34,1.1,1.21,0.64,0.91,0.42,0.3,0.0,0.0,0.0,0.0,0.0,5.17,0.01,0.0,0.0,100.0
09/20/2021,4.63,8.58,8.98,4.05,5.82,4.95,2.53,4.28,3.74,3.93,3.81,3.16,2.6,3.06,2.38,3.08,2.49,2.06,2.11,2.15,1.59,1.15,1.95,2.05,1.13,1.01,1.13,1.32,1.11,1.23,0.64,0.92,0.41,0.3,0.0,0.0,0.0,0.0,0.0,5.18,0.46,0.0,0.0,99.96999999999998
09/21/2021,4.57,8.52,8.98,4.23,5.76,4.82,2.62,4.23,3.77,3.9,3.82,3.12,2.67,3.08,2.41,3.09,2.49,2.04,2.14,2.15,1.57,1.17,1.93,2.05,1.17,1.03,1.14,1.34,1.11,1.22,0.65,0.92,0.43,0.3,0.0,0.0,0.0,0.0,0.0,5.11,0.47,0.0,0.0,100.02
09/22/2021,4.57,8.52,8.98,4.23,5.76,4.82,2.62,4.23,3.77,3.9,3.82,3.12,2.67,3.08,2.41,3.09,2.49,2.04,2.14,2.15,1.57,1.17,1.93,2.05,1.17,1.03,1.14,1.34,1.11,1.22,0.65,0.92,0.43,0.3,0.0,0.0,0.0,0.0,0.0,5.11,0.47,0.0,0.0,100.02
09/23/2021,4.57,8.52,8.98,4.23,5.76,4.82,2.62,4.23,3.77,3.9,3.82,3.12,2.67,3.08,2.41,3.09,2.49,2.04,2.14,2.15,1.57,1.17,1.93,2.05,1.17,1.03,1.14,1.34,1.11,1.22,0.65,0.92,0.43,0.3,0.0,0.0,0.0,0.0,0.0,5.11,0.47,0.0,0.0,100.02
09/24/2021,4.57,8.52,8.98,4.23,5.76,4.82,2.62,4.23,3.77,3.9,3.82,3.12,2.67,3.08,2.41,3.09,2.49,2.04,2.14,2.15,1.57,1.17,1.93,2.05,1.17,1.03,1.14,1.34,1.11,1.22,0.65,0.92,0.43,0.3,0.0,0.0,0.0,0.0,0.0,5.11,0.47,0.0,0.0,100.02
09/27/2021,4.64,8.68,8.99,4.23,5.85,4.8,2.59,4.21,3.66,3.87,3.74,2.94,2.62,3.11,2.33,3.12,2.53,2.1,2.14,2.15,1.57,1.13,1.98,2.1,1.16,1.0,1.18,1.35,1.11,1.23,0.64,0.91,0.41,0.3,0.0,0.0,0.0,0.0,0.0,5.16,0.47,0.0,0.0,100.0
09/28/2021,4.64,8.57,8.97,4.28,5.89,4.82,2.48,4.25,3.75,3.88,3.77,3.01,2.59,3.12,2.35,3.09,2.55,2.11,2.14,2.14,1.57,1.09,1.91,2.11,1.16,0.96,1.16,1.35,1.1,1.2,0.63,0.9,0.41,0.31,0.0,0.0,0.0,0.0,0.0,5.21,0.5,0.0,0.0,99.97
09/29/2021,4.64,8.57,8.97,4.28,5.89,4.82,2.48,4.25,3.75,3.88,3.77,3.01,2.59,3.12,2.35,3.09,2.55,2.11,2.14,2.14,1.57,1.09,1.91,2.11,1.16,0.96,1.16,1.35,1.1,1.2,0.63,0.9,0.41,0.31,0.0,0.0,0.0,0.0,0.0,5.21,0.5,0.0,0.0,99.97
09/30/2021,4.77,8.45,8.92,4.38,5.88,4.83,2.52,4.24,3.8,3.84,3.77,3.03,2.62,3.08,2.47,2.96,2.5,2.12,2.16,2.12,1.56,1.17,1.81,2.05,1.18,0.99,1.15,1.33,1.09,1.19,0.63,0.89,0.41,0.3,0.0,0.0,0.0,0.0,0.0,5.33,0.49,0.0,0.0,100.03
10/01/2021,4.67,8.43,8.76,4.63,5.9,4.91,2.45,4.26,3.9,3.86,3.83,3.05,2.55,2.98,2.57,2.96,2.45,2.1,2.22,2.11,1.56,1.17,1.74,2.06,1.24,0.95,1.13,1.31,1.07,1.17,0.65,0.89,0.41,0.29,0.0,0.0,0.0,0.0,0.0,5.26,0.51,0.0,0.0,100.0
10/04/2021,4.68,8.45,8.73,4.65,5.92,4.94,2.4,4.26,3.85,3.91,3.86,3.08,2.51,2.94,2.47,2.96,2.51,2.05,2.3,2.12,1.56,1.16,1.75,2.1,1.25,0.96,1.11,1.33,1.07,1.18,0.65,0.89,0.41,0.28,0.0,0.0,0.0,0.0,0.0,5.22,0.51,0.0,0.0,100.02
10/05/2021,4.72,8.46,8.85,4.54,5.82,4.87,2.39,4.28,3.76,3.94,3.8,3.08,2.57,2.97,2.37,3.04,2.54,1.97,2.33,2.14,1.57,1.14,1.77,2.18,1.22,0.94,1.12,1.34,1.11,1.13,0.64,0.91,0.42,0.29,0.0,0.0,0.0,0.0,0.0,5.29,0.49,0.0,0.0,100.0
10/06/2021,4.72,8.46,8.85,4.54,5.82,4.87,2.39,4.28,3.76,3.94,3.8,3.08,2.57,2.97,2.37,3.04,2.54,1.97,2.33,2.14,1.57,1.14,1.77,2.18,1.22,0.94,1.12,1.34,1.11,1.13,0.64,0.91,0.42,0.29,0.0,0.0,0.0,0.0,0.0,5.29,0.49,0.0,0.0,100.0
10/07/2021,4.76,8.28,9.06,4.49,5.77,4.93,2.35,4.32,3.86,3.97,3.8,3.01,2.56,2.88,2.46,2.93,2.55,1.99,2.36,2.16,1.56,1.1,1.84,2.12,1.25,0.94,1.09,1.32,1.11,1.13,0.63,0.91,0.42,0.28,0.0,0.0,0.0,0.0,0.0,5.31,0.5,0.0,0.0,100.0
10/08/2021,4.74,8.43,8.98,4.34,5.84,4.88,2.4,4.31,3.78,3.97,3.76,3.02,2.57,2.87,2.34,2.93,2.57,1.98,2.44,2.14,1.56,1.11,1.96,2.16,1.21,0.94,1.11,1.33,1.11,1.15,0.64,0.91,0.41,0.28,0.0,0.0,0.0,0.0,0.0,5.34,0.49,0.0,0.0,100.0
10/11/2021,4.8,8.4,8.78,4.51,6.2,4.73,2.53,4.26,3.7,3.92,3.73,2.88,2.51,2.93,2.37,2.96,2.5,1.94,2.35,2.11,1.53,1.12,2.06,2.09,1.22,0.99,1.14,1.34,1.13,1.13,0.64,0.94,0.39,0.29,0.0,0.0,0.0,0.0,0.0,5.38,0.48,0.0,0.0,99.98
10/12/2021,4.76,8.35,8.8,4.63,6.18,4.71,2.57,4.31,3.68,3.95,3.74,2.91,2.5,3.0,2.38,2.82,2.44,1.91,2.36,2.11,1.52,1.14,2.12,2.08,1.26,1.01,1.09,1.33,1.14,1.09,0.67,0.92,0.39,0.28,0.0,0.0,0.0,0.0,0.0,5.35,0.48,0.0,0.0,99.98
10/13/2021,4.76,8.35,8.8,4.63,6.18,4.71,2.57,4.31,3.68,3.95,3.74,2.91,2.5,3.0,2.38,2.82,2.44,1.91,2.36,2.11,1.52,1.14,2.12,2.08,1.26,1.01,1.09,1.33,1.14,1.09,0.67,0.92,0.39,0.28,0.0,0.0,0.0,0.0,0.0,5.35,0.48,0.0,0.0,99.98
10/14/2021,4.75,8.31,8.62,5.03,6.08,4.65,2.56,4.28,3.69,3.95,3.69,2.87,2.51,3.09,2.38,2.86,2.43,1.87,2.35,2.1,1.49,1.14,2.19,2.1,1.3,1.0,1.07,1.34,1.14,1.1,0.67,0.91,0.39,0.28,0.0,0.0,0.0,0.0,0.0,5.32,0.48,0.0,0.0,99.99
10/15/2021,4.75,8.27,8.84,4.86,6.08,4.57,2.5,4.21,3.66,3.92,3.69,2.85,2.54,3.14,2.3,2.96,2.48,1.84,2.33,2.12,1.49,1.09,2.29,2.15,1.26,0.98,1.09,1.39,1.17,1.1,0.66,0.92,0.39,0.3,0.0,0.0,0.0,0.0,0.0,5.33,0.48,0.0,0.0,100.0
10/18/2021,4.87,8.37,9.03,4.68,6.0,4.59,2.42,4.18,3.52,3.89,3.6,2.78,2.68,3.22,2.1,2.96,2.47,1.83,2.27,2.15,1.5,1.09,2.41,2.18,1.21,0.95,1.09,1.41,1.19,1.15,0.65,0.94,0.4,0.31,0.0,0.0,0.0,0.0,0.0,5.45,0.47,0.0,0.0,100.01000000000002
10/22/2021,4.88,8.27,9.25,4.79,6.01,4.56,2.71,4.1,3.57,3.82,3.62,2.77,2.64,3.06,2.18,2.96,2.49,1.83,2.21,2.12,1.47,0.99,2.43,2.16,1.21,0.95,1.08,1.38,1.16,1.15,0.69,0.93,0.39,0.3,0.0,0.0,0.0,0.0,0.0,5.4,0.47,0.0,0.0,100.0
10/25/2021,4.97,8.36,9.09,4.8,5.9,4.55,2.75,4.04,3.52,3.82,3.59,2.77,2.65,3.02,2.2,2.94,2.49,1.86,2.24,2.13,1.31,1.06,2.54,2.19,1.21,0.94,1.12,1.4,1.17,1.14,0.69,0.93,0.39,0.3,0.0,0.0,0.0,0.0,0.0,5.47,0.46,0.0,0.0,100.00999999999998
10/26/2021,5.03,8.44,8.97,4.86,5.88,4.54,2.76,3.96,3.58,3.84,3.51,2.65,2.59,3.03,2.25,2.94,2.51,1.86,2.3,2.15,1.3,1.04,2.55,2.23,1.23,0.97,1.07,1.43,1.17,1.14,0.68,0.93,0.4,0.29,0.0,0.0,0.0,0.0,0.0,5.48,0.47,0.0,0.0,100.03000000000002
