,SAVA,ZTS,LLY,CTLT,ELAN,JNJ,BMY,JAZZ,PFE,PRGO,RPRX,MRK,VTRS,ZOM,RETA,PCRX,ARVN,AXSM,NKTR,ITCI,OCUL,ENDP,SUPN,ACRS,PBH,CARA,ZGNX,CORT,RVNC,OMER,TXMD,AERI,PRVB,AMRX,INVA,COLL,NUVB,NGM,OGN,TBPH,MRNS,PHAT,BDSI,ATRS,AMPH,PAHC,RLMD,DURECT Corporation,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,SDA.AX,DRRX,002810.KS,GVMXX,SSIXX,603121.SS,n/a,FULC,SUM
07/27/2021,7.29,5.09,4.96,4.85,4.93,4.74,4.62,4.25,4.73,4.23,4.09,4.17,4.03,3.02,3.05,2.87,3.07,1.74,1.64,1.41,1.44,1.69,1.27,1.22,1.3,1.07,1.22,1.11,1.12,0.94,0.84,0.89,0.71,0.64,0.66,0.73,0.57,0.52,0.46,0.43,0.34,0.34,0.35,0.32,0.32,0.27,0.2,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,7.29,5.09,4.96,4.85,4.93,4.74,4.62,4.25,4.73,4.23,4.09,4.17,4.03,3.02,3.05,2.87,3.07,1.74,1.64,1.41,1.44,1.69,1.27,1.22,1.3,1.07,1.22,1.11,1.12,0.94,0.84,0.89,0.71,0.64,0.66,0.73,0.57,0.52,0.46,0.43,0.34,0.34,0.35,0.32,0.32,0.27,0.2,0.0,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,7.18,5.08,5.0,4.78,4.9,4.8,4.63,4.29,4.8,4.27,4.07,4.2,4.05,2.97,3.01,2.92,3.09,1.7,1.64,1.38,1.33,1.73,1.29,1.19,1.33,1.09,1.15,1.12,1.12,0.96,0.87,0.9,0.7,0.65,0.66,0.73,0.6,0.53,0.46,0.44,0.34,0.34,0.35,0.32,0.32,0.27,0.19,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,7.61,5.09,4.99,4.8,4.94,4.81,4.6,4.29,4.82,4.34,4.01,4.22,4.06,2.91,2.95,2.92,3.05,1.73,1.6,1.35,1.33,1.67,1.28,1.15,1.32,1.07,1.13,1.11,1.09,0.95,0.83,0.91,0.71,0.65,0.66,0.73,0.56,0.53,0.45,0.44,0.32,0.33,0.35,0.32,0.32,0.27,0.2,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,7.89,5.01,4.94,4.8,4.88,4.69,4.58,4.21,4.86,4.26,3.85,4.15,4.06,3.03,2.99,2.89,3.29,1.69,1.59,1.34,1.35,1.73,1.29,1.17,1.29,1.07,1.13,1.1,1.11,0.95,0.84,0.91,0.71,0.65,0.67,0.72,0.57,0.52,0.45,0.42,0.32,0.33,0.35,0.32,0.32,0.26,0.2,0.0,0.0,0.0,0.11,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,6.17,5.15,5.03,5.03,4.99,4.8,4.65,4.21,4.9,4.41,3.92,4.17,4.18,2.96,3.04,2.97,3.5,1.66,1.61,1.39,1.32,1.71,1.29,1.21,1.31,1.1,1.13,1.12,1.1,0.99,0.85,0.92,0.71,0.66,0.71,0.74,0.58,0.53,0.45,0.42,0.32,0.34,0.36,0.33,0.32,0.27,0.2,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,4.27,5.27,5.14,5.2,5.12,4.94,4.77,4.31,5.05,4.56,4.03,4.29,4.23,3.04,3.07,3.0,3.38,1.64,1.63,1.39,1.33,1.78,1.28,1.21,1.35,1.11,1.15,1.18,1.13,1.0,0.84,0.94,0.73,0.68,0.73,0.75,0.6,0.52,0.46,0.43,0.32,0.35,0.37,0.33,0.34,0.27,0.2,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,4.85,5.18,5.14,5.16,5.06,4.88,4.72,4.29,5.12,4.53,3.87,4.2,4.23,3.08,3.08,2.97,3.22,1.68,1.63,1.4,1.34,1.74,1.28,1.2,1.34,1.12,1.15,1.18,1.12,1.02,0.84,0.93,0.74,0.68,0.74,0.75,0.61,0.53,0.47,0.45,0.32,0.35,0.37,0.33,0.34,0.27,0.2,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,5.1,5.19,5.29,5.19,5.05,4.9,4.77,4.27,5.27,4.52,3.89,4.18,4.18,2.97,3.07,3.02,3.28,1.63,1.6,1.37,1.28,1.59,1.27,1.18,1.35,1.06,1.14,1.2,1.15,0.99,0.81,0.89,0.73,0.67,0.77,0.75,0.62,0.51,0.46,0.44,0.29,0.35,0.38,0.32,0.34,0.27,0.19,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/10/2021,5.85,5.17,5.49,5.2,4.9,4.9,4.72,3.76,5.24,4.58,3.85,4.16,4.23,2.91,3.0,3.06,3.13,1.7,1.61,1.34,1.26,1.49,1.26,1.19,1.49,1.17,1.0,1.23,1.11,0.99,0.79,0.89,0.77,0.66,0.78,0.61,0.58,0.64,0.46,0.43,0.28,0.36,0.37,0.31,0.32,0.27,0.18,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,7.47,5.24,5.62,5.27,4.28,5.08,4.75,3.74,5.62,3.95,3.98,4.29,4.54,2.62,2.58,2.99,3.04,0.83,1.49,1.2,1.33,1.47,1.22,1.23,1.55,1.25,0.98,1.18,1.03,1.06,0.76,0.88,0.8,0.71,0.82,0.56,0.62,0.59,0.54,0.45,0.28,0.36,0.36,0.3,0.32,0.28,0.19,0.0,0.0,0.0,0.17,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,7.58,5.27,5.62,5.27,4.38,5.09,4.78,3.64,5.75,3.91,4.11,4.31,4.53,2.4,2.62,2.98,3.07,0.78,1.49,1.19,1.31,1.38,1.21,1.2,1.55,1.3,0.99,1.19,1.02,1.06,0.73,0.88,0.77,0.71,0.85,0.54,0.64,0.59,0.55,0.45,0.27,0.35,0.35,0.3,0.32,0.28,0.18,0.0,0.0,0.0,0.17,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/18/2021,7.58,5.27,5.62,5.27,4.38,5.09,4.78,3.64,5.75,3.91,4.11,4.31,4.53,2.4,2.62,2.98,3.07,0.78,1.49,1.19,1.31,1.38,1.21,1.2,1.55,1.3,0.99,1.19,1.02,1.06,0.73,0.88,0.77,0.71,0.85,0.54,0.64,0.59,0.55,0.45,0.27,0.35,0.35,0.3,0.32,0.28,0.18,0.0,0.0,0.0,0.17,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/24/2021,6.59,5.54,5.9,5.52,4.56,5.3,5.01,3.5,5.92,4.0,4.24,4.53,4.55,2.43,2.55,2.95,2.95,0.75,1.45,1.23,1.25,0.77,1.2,1.15,1.55,1.31,1.01,1.21,1.08,1.04,0.66,0.89,0.74,0.69,0.85,0.63,0.57,0.57,0.55,0.48,0.25,0.36,0.36,0.3,0.31,0.3,0.18,0.0,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,5.11,4.71,4.72,4.57,4.74,4.6,4.57,4.39,4.49,4.23,4.2,4.23,4.18,4.05,3.37,3.0,2.5,2.22,1.73,1.61,1.67,1.6,1.45,1.38,1.31,1.29,1.2,1.22,1.12,0.99,0.98,0.93,0.99,0.69,0.67,0.7,0.63,0.49,0.47,0.47,0.38,0.36,0.34,0.32,0.31,0.32,0.25,0.0,0.0,0.0,0.0,0.16,0.0,6.24,0.1,0.0,0.0,0.0,106.25
08/30/2021,4.53,5.52,5.75,5.89,4.79,5.18,4.9,3.52,5.81,3.94,4.27,4.45,4.48,3.59,2.66,3.04,2.9,0.82,1.53,1.32,1.34,0.88,1.26,1.2,1.5,1.32,1.06,1.25,1.1,1.11,0.71,0.89,0.8,0.74,0.78,0.65,0.71,0.58,0.56,0.28,0.27,0.37,0.39,0.3,0.31,0.27,0.19,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,3.74,5.53,5.73,5.88,4.88,5.18,4.89,3.53,5.73,3.96,4.31,4.45,4.51,3.3,2.76,3.15,2.98,0.85,1.61,1.33,1.39,0.85,1.34,1.32,1.53,1.42,1.08,1.28,1.11,1.13,0.71,0.91,0.82,0.76,0.79,0.65,0.7,0.59,0.57,0.29,0.28,0.39,0.39,0.32,0.32,0.28,0.2,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.14,0.0,0.0,100.01
09/07/2021,3.18,5.62,5.66,6.28,4.95,5.18,4.76,3.59,5.7,4.09,4.28,4.45,4.62,3.1,2.82,2.99,2.96,0.93,1.69,1.45,1.36,0.78,1.37,1.44,1.53,1.46,1.09,1.26,1.09,1.12,0.69,0.88,0.8,0.77,0.82,0.63,0.71,0.56,0.59,0.29,0.27,0.41,0.39,0.31,0.32,0.28,0.2,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,100.0
09/08/2021,3.18,5.62,5.66,6.28,4.95,5.18,4.76,3.59,5.7,4.09,4.28,4.45,4.62,3.1,2.82,2.99,2.96,0.93,1.69,1.45,1.36,0.78,1.37,1.44,1.53,1.46,1.09,1.26,1.09,1.12,0.69,0.88,0.8,0.77,0.82,0.63,0.71,0.56,0.59,0.29,0.27,0.41,0.39,0.31,0.32,0.28,0.2,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,100.0
09/09/2021,3.18,5.62,5.66,6.28,4.95,5.18,4.76,3.59,5.7,4.09,4.28,4.45,4.62,3.1,2.82,2.99,2.96,0.93,1.69,1.45,1.36,0.78,1.37,1.44,1.53,1.46,1.09,1.26,1.09,1.12,0.69,0.88,0.8,0.77,0.82,0.63,0.71,0.56,0.59,0.29,0.27,0.41,0.39,0.31,0.32,0.28,0.2,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,100.0
09/10/2021,3.06,5.61,5.59,6.36,4.96,5.14,4.76,3.57,5.73,4.1,4.27,4.41,4.58,3.03,2.85,2.98,3.12,0.93,1.72,1.43,1.33,0.8,1.37,1.43,1.49,1.51,1.09,1.27,1.1,1.11,0.67,0.88,0.81,0.76,0.82,0.63,0.69,0.57,0.59,0.3,0.28,0.4,0.42,0.31,0.31,0.28,0.21,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.22,0.0,99.99
09/13/2021,3.19,5.59,5.29,6.39,4.92,5.03,4.66,3.57,5.66,4.38,4.21,4.3,4.49,3.03,2.82,2.98,3.32,0.95,1.7,1.45,1.42,0.77,1.38,1.48,1.47,1.51,1.13,1.26,1.13,1.15,0.68,0.99,0.82,0.74,0.84,0.63,0.67,0.57,0.58,0.3,0.28,0.39,0.42,0.3,0.3,0.28,0.21,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.22,0.0,99.98
09/14/2021,3.26,5.63,5.29,6.25,4.91,5.01,4.64,3.58,5.63,4.34,4.25,4.29,4.35,3.12,2.78,2.95,3.39,0.97,1.73,1.41,1.38,1.03,1.35,1.49,1.44,1.49,1.12,1.26,1.1,1.12,0.68,1.04,0.82,0.74,0.84,0.62,0.68,0.63,0.57,0.29,0.28,0.38,0.44,0.29,0.3,0.27,0.21,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.25,0.0,100.02
09/17/2021,2.73,5.63,5.24,6.38,4.92,5.03,4.65,3.65,5.61,4.65,4.45,4.29,4.38,2.89,2.77,2.96,3.41,0.94,1.76,1.42,1.38,1.0,1.39,1.47,1.47,1.45,1.11,1.24,1.07,1.14,0.65,1.0,0.8,0.73,0.83,0.64,0.71,0.72,0.57,0.28,0.26,0.38,0.46,0.29,0.31,0.27,0.23,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.26,0.0,100.0
09/21/2021,3.18,5.49,5.18,6.29,4.85,5.03,4.59,3.61,5.51,4.44,4.32,4.26,4.35,2.79,2.86,3.03,3.43,1.07,1.82,1.49,1.36,1.06,1.41,1.56,1.45,1.51,1.15,1.24,1.15,1.17,0.62,0.82,0.86,0.74,0.86,0.64,0.71,0.63,0.58,0.25,0.28,0.39,0.42,0.3,0.31,0.26,0.23,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.29,0.0,99.98
09/24/2021,4.73,4.4,4.36,4.48,4.31,4.47,4.33,4.35,4.37,4.44,4.32,4.44,4.37,0.0,4.48,2.42,3.81,3.22,1.74,2.1,0.99,2.35,1.37,0.9,1.25,0.88,1.48,1.15,1.29,0.71,0.0,0.52,0.83,0.45,0.99,0.59,0.56,0.62,4.4,0.53,0.4,0.28,0.21,0.36,0.45,0.31,0.43,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.28,0.19,100.01
09/28/2021,5.43,4.39,4.29,4.56,4.34,4.37,4.23,4.46,4.28,4.37,4.28,4.45,4.3,0.0,4.33,2.39,3.55,3.37,1.77,2.03,0.97,2.71,1.37,0.94,1.28,0.87,1.41,1.13,1.32,0.7,0.0,0.49,0.82,0.46,0.97,0.59,0.54,0.6,4.41,0.51,0.38,0.26,0.19,0.36,0.44,0.3,0.42,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.17,99.99
09/29/2021,5.43,4.39,4.29,4.56,4.34,4.37,4.23,4.46,4.28,4.37,4.28,4.45,4.3,0.0,4.33,2.39,3.55,3.37,1.77,2.03,0.97,2.71,1.37,0.94,1.28,0.87,1.41,1.13,1.32,0.7,0.0,0.49,0.82,0.46,0.97,0.59,0.54,0.6,4.41,0.51,0.38,0.26,0.19,0.36,0.44,0.3,0.42,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.17,99.99
09/30/2021,5.96,4.21,4.16,4.36,4.33,4.3,4.17,4.38,4.21,4.37,4.25,4.4,4.41,0.0,4.4,2.42,3.47,3.47,1.79,2.07,1.0,2.81,1.36,0.97,1.25,0.87,1.42,1.14,1.33,0.63,0.0,0.49,0.83,0.46,1.01,0.6,0.56,0.59,4.36,0.53,0.39,0.27,0.19,0.35,0.45,0.29,0.38,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.17,100.02
10/01/2021,5.96,4.21,4.16,4.36,4.33,4.3,4.17,4.38,4.21,4.37,4.25,4.4,4.41,0.0,4.4,2.42,3.47,3.47,1.79,2.07,1.0,2.81,1.36,0.97,1.25,0.87,1.42,1.14,1.33,0.63,0.0,0.49,0.83,0.46,1.01,0.6,0.56,0.59,4.36,0.53,0.39,0.27,0.19,0.35,0.45,0.29,0.38,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.17,100.02
10/05/2021,5.34,4.24,4.29,4.29,4.3,4.3,4.22,4.32,4.21,4.97,4.21,4.96,4.41,0.0,4.14,2.37,3.44,3.48,1.78,2.14,0.97,2.88,1.35,0.91,1.28,0.84,1.43,1.11,1.27,0.38,0.0,0.47,0.81,0.49,1.02,0.58,0.59,0.55,4.4,0.55,0.38,0.27,0.2,0.35,0.46,0.3,0.39,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.17,100.0
10/06/2021,5.34,4.24,4.29,4.29,4.3,4.3,4.22,4.32,4.21,4.97,4.21,4.96,4.41,0.0,4.14,2.37,3.44,3.48,1.78,2.14,0.97,2.88,1.35,0.91,1.28,0.84,1.43,1.11,1.27,0.38,0.0,0.47,0.81,0.49,1.02,0.58,0.59,0.55,4.4,0.55,0.38,0.27,0.2,0.35,0.46,0.3,0.39,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.17,100.0
10/07/2021,4.89,4.27,4.28,4.28,4.39,4.35,4.26,4.31,4.25,5.03,4.17,5.16,4.44,0.0,4.11,2.1,3.5,3.38,1.79,2.24,0.93,2.95,1.35,0.92,1.32,0.82,1.47,1.12,1.25,0.33,0.0,0.48,0.8,0.48,1.06,0.59,0.59,0.6,4.44,0.56,0.39,0.28,0.2,0.35,0.47,0.31,0.4,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.17,100.01
10/11/2021,4.8,4.36,4.41,4.32,4.52,4.38,4.24,4.66,4.25,4.8,4.18,5.06,4.48,0.0,3.94,2.05,3.43,3.27,1.65,2.17,0.95,3.1,1.35,0.98,1.36,0.79,1.48,1.13,1.23,0.33,0.0,0.5,0.79,0.5,1.03,0.6,0.58,0.56,4.4,0.59,0.38,0.28,0.21,0.33,0.47,0.32,0.39,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.13,0.16,99.98
10/12/2021,4.63,4.35,4.45,4.31,4.52,4.39,4.13,4.6,4.24,4.79,4.2,5.0,4.5,0.0,4.01,2.03,3.38,3.33,1.67,2.15,0.93,3.48,1.33,0.96,1.36,0.8,1.46,1.16,1.24,0.3,0.0,0.53,0.77,0.5,1.03,0.61,0.54,0.56,4.38,0.62,0.38,0.27,0.21,0.33,0.47,0.31,0.39,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.13,0.17,99.99
