,BRK.B,JPM,DIS,BAC,JNJ,XOM,VZ,INTC,CSCO,PFE,T,CVX,WMT,UNH,WFC,PG,MDT,V,PM,HON,CMCSA,C,KO,MS,RTX,BA,GS,IBM,PEP,MMM,GE,AXP,CVS,SCHW,MA,MCD,MRK,HD,ANTM,MU,PLD,FIS,MDLZ,MO,ABT,GILD,ACN,NEE,TXN,COST,TJX,COP,CI,PNC,UNP,DUK,USB,CME,NKE,GM,TFC,LLY,BDX,CB,BMY,AMGN,COF,ORCL,SO,LIN,CAT,BSX,AVGO,AMT,D,ETN,SBUX,GPN,F,HCA,BKNG,DHR,NOC,ABBV,NXPI,LMT,JCI,EOG,UPS,ROST,ADP,SYK,MET,EXC,SLB,GD,DLR,CNC,AEP,SRE,SPG,TGT,DD,BAX,AIG,PPG,LOW,BK,ALL,PRU,STZ,SYY,MPC,TRV,BLK,MAR,PXD,NSC,PSX,MMC,IFF,GIS,HPQ,DFS,XEL,KMI,ITW,WELL,CSX,ADI,ILMN,CCI,EMR,WBA,APD,AFL,WM,ZBH,ISRG,CL,SWK,ADM,CTVA,EL,WMB,LUV,EQIX,ICE,VLO,PEG,ATVI,PCAR,MCK,AVB,WLTW,AMP,STT,WEC,KR,EW,CBRE,KMB,ECL,HUM,TEL,DAL,ES,LEN,NUE,DE,EQR,LH,TMUS,PSA,FITB,VFC,VIAC,SYF,AON,FDX,LYB,KHC,ARE,O,OXY,WY,OKE,ED,ZTS,BIIB,NTRS,IP,TT,RSG,DOW,FTV,DLTR,ROP,NEM,HLT,DTE,HIG,STATE STREET INSTITUTIONAL LIQ STATE STR,4970.T,DOV,VTR,MRNA,MLM,GEN.,YUM,TSN,GE.,GVMXX,SUM
07/23/2021,3.09,2.67,1.89,1.68,1.57,1.4,1.36,1.31,1.33,1.35,1.17,1.1,1.15,1.1,1.09,1.05,0.99,0.97,0.87,0.94,0.86,0.81,0.83,0.81,0.76,0.7,0.73,0.74,0.73,0.69,0.66,0.65,0.63,0.6,0.62,0.62,0.59,0.57,0.56,0.5,0.56,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.48,0.51,0.47,0.43,0.47,0.45,0.44,0.47,0.45,0.44,0.43,0.42,0.43,0.43,0.42,0.44,0.42,0.42,0.42,0.43,0.39,0.37,0.36,0.36,0.36,0.37,0.36,0.36,0.34,0.33,0.32,0.39,0.32,0.34,0.32,0.31,0.3,0.3,0.29,0.25,0.27,0.25,0.27,0.25,0.25,0.27,0.22,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.22,0.22,0.21,0.19,0.21,0.18,0.22,0.21,0.22,0.2,0.22,0.22,0.2,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.66999999999999
07/26/2021,3.08,2.67,1.86,1.67,1.57,1.41,1.35,1.32,1.34,1.36,1.17,1.12,1.13,1.1,1.09,1.02,1.0,0.96,0.89,0.95,0.87,0.81,0.83,0.83,0.76,0.71,0.74,0.74,0.73,0.68,0.65,0.65,0.64,0.59,0.63,0.63,0.59,0.57,0.55,0.5,0.55,0.53,0.52,0.51,0.5,0.5,0.51,0.5,0.47,0.51,0.47,0.45,0.47,0.45,0.44,0.46,0.44,0.44,0.44,0.42,0.43,0.43,0.42,0.44,0.43,0.41,0.43,0.43,0.39,0.38,0.36,0.36,0.36,0.37,0.35,0.36,0.36,0.33,0.32,0.38,0.33,0.34,0.31,0.32,0.3,0.29,0.29,0.25,0.27,0.25,0.26,0.25,0.25,0.26,0.23,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.22,0.24,0.23,0.22,0.23,0.22,0.22,0.2,0.22,0.22,0.22,0.2,0.21,0.19,0.22,0.21,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.21,0.19,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.15,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.13,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.15,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,82.66999999999999
07/27/2021,3.07,2.65,1.86,1.65,1.58,1.4,1.34,1.24,1.35,1.36,1.17,1.11,1.14,1.1,1.07,1.03,1.01,0.98,0.89,0.93,0.87,0.8,0.84,0.82,0.76,0.71,0.74,0.74,0.73,0.68,0.65,0.66,0.64,0.59,0.64,0.63,0.59,0.58,0.54,0.5,0.55,0.54,0.53,0.51,0.51,0.5,0.52,0.5,0.47,0.51,0.48,0.44,0.46,0.45,0.44,0.47,0.44,0.44,0.44,0.41,0.43,0.44,0.43,0.44,0.43,0.42,0.42,0.42,0.39,0.38,0.35,0.36,0.37,0.37,0.35,0.36,0.36,0.33,0.32,0.38,0.33,0.35,0.31,0.32,0.3,0.29,0.3,0.25,0.27,0.25,0.27,0.26,0.25,0.27,0.23,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.22,0.24,0.23,0.22,0.23,0.22,0.22,0.2,0.22,0.21,0.22,0.19,0.21,0.18,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.21,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.18,0.18,0.15,0.18,0.17,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,82.69
07/28/2021,3.07,2.65,1.86,1.65,1.58,1.4,1.34,1.24,1.35,1.36,1.17,1.11,1.14,1.1,1.07,1.03,1.01,0.98,0.89,0.93,0.87,0.8,0.84,0.82,0.76,0.71,0.74,0.74,0.73,0.68,0.65,0.66,0.64,0.59,0.64,0.63,0.59,0.58,0.54,0.5,0.55,0.54,0.53,0.51,0.51,0.5,0.52,0.5,0.47,0.51,0.48,0.44,0.46,0.45,0.44,0.47,0.44,0.44,0.44,0.41,0.43,0.44,0.43,0.44,0.43,0.42,0.42,0.42,0.39,0.38,0.35,0.36,0.37,0.37,0.35,0.36,0.36,0.33,0.32,0.38,0.33,0.35,0.31,0.32,0.3,0.29,0.3,0.25,0.27,0.25,0.27,0.26,0.25,0.27,0.23,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.22,0.24,0.23,0.22,0.23,0.22,0.22,0.2,0.22,0.21,0.22,0.19,0.21,0.18,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.21,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.18,0.17,0.18,0.18,0.15,0.18,0.17,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,82.69
07/29/2021,3.06,2.66,1.88,1.66,1.57,1.43,1.34,1.27,1.35,1.35,1.16,1.13,1.13,1.08,1.08,1.03,1.0,0.98,0.9,0.92,0.87,0.81,0.83,0.83,0.76,0.72,0.74,0.74,0.73,0.68,0.66,0.65,0.63,0.59,0.64,0.63,0.59,0.57,0.54,0.5,0.55,0.53,0.53,0.51,0.5,0.5,0.52,0.5,0.47,0.51,0.48,0.45,0.45,0.45,0.44,0.47,0.44,0.44,0.44,0.41,0.43,0.44,0.42,0.44,0.42,0.41,0.42,0.42,0.39,0.38,0.36,0.36,0.37,0.37,0.35,0.36,0.36,0.33,0.32,0.37,0.33,0.34,0.31,0.31,0.3,0.28,0.29,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.2,0.22,0.21,0.22,0.19,0.21,0.19,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.18,0.18,0.18,0.18,0.15,0.18,0.17,0.17,0.19,0.18,0.15,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.13,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,82.62
07/30/2021,3.08,2.65,1.89,1.66,1.58,1.42,1.34,1.24,1.35,1.36,1.16,1.12,1.13,1.09,1.08,1.04,1.01,0.98,0.9,0.93,0.87,0.81,0.84,0.83,0.77,0.71,0.74,0.74,0.73,0.67,0.67,0.65,0.64,0.58,0.63,0.64,0.59,0.56,0.54,0.48,0.55,0.54,0.53,0.51,0.51,0.5,0.52,0.5,0.47,0.51,0.48,0.44,0.45,0.45,0.43,0.47,0.44,0.44,0.44,0.41,0.43,0.44,0.43,0.44,0.42,0.41,0.42,0.42,0.4,0.38,0.35,0.37,0.36,0.37,0.36,0.36,0.36,0.33,0.31,0.37,0.33,0.34,0.31,0.31,0.3,0.28,0.29,0.25,0.25,0.25,0.27,0.26,0.25,0.27,0.24,0.26,0.25,0.24,0.26,0.24,0.24,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.22,0.21,0.22,0.19,0.21,0.19,0.22,0.22,0.21,0.2,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.15,0.18,0.16,0.17,0.19,0.18,0.15,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,82.67
08/02/2021,3.05,2.66,1.88,1.67,1.58,1.43,1.34,1.24,1.34,1.41,1.16,1.13,1.13,1.07,1.09,1.02,1.02,0.97,0.9,0.93,0.86,0.82,0.83,0.83,0.77,0.74,0.74,0.74,0.73,0.67,0.67,0.64,0.64,0.59,0.62,0.63,0.6,0.56,0.54,0.49,0.55,0.54,0.51,0.51,0.51,0.51,0.51,0.51,0.47,0.51,0.47,0.45,0.45,0.45,0.43,0.47,0.44,0.45,0.44,0.41,0.43,0.44,0.43,0.43,0.43,0.41,0.42,0.41,0.39,0.38,0.36,0.37,0.36,0.37,0.35,0.36,0.35,0.33,0.32,0.37,0.33,0.35,0.31,0.32,0.3,0.28,0.29,0.25,0.24,0.25,0.27,0.26,0.25,0.27,0.24,0.26,0.25,0.24,0.26,0.24,0.24,0.25,0.23,0.24,0.24,0.22,0.23,0.24,0.22,0.23,0.22,0.22,0.2,0.21,0.21,0.22,0.19,0.21,0.19,0.22,0.21,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.2,0.18,0.18,0.18,0.18,0.16,0.18,0.16,0.17,0.19,0.18,0.15,0.17,0.18,0.17,0.18,0.17,0.18,0.16,0.17,0.16,0.17,0.15,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.17,0.14,0.15,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.0,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.26,0.13,0.0,0.0,0.0,0.0,0.0,82.69999999999999
08/03/2021,3.05,2.67,1.86,1.68,1.56,1.43,1.33,1.25,1.33,1.38,1.16,1.14,1.12,1.07,1.11,1.02,1.01,0.96,0.9,0.93,0.86,0.82,0.83,0.83,0.77,0.73,0.74,0.73,0.72,0.66,0.67,0.65,0.63,0.59,0.63,0.63,0.58,0.56,0.54,0.5,0.55,0.54,0.51,0.52,0.51,0.5,0.51,0.5,0.47,0.51,0.48,0.44,0.45,0.45,0.43,0.47,0.44,0.45,0.44,0.42,0.43,0.44,0.43,0.43,0.42,0.4,0.43,0.41,0.39,0.38,0.36,0.37,0.37,0.36,0.35,0.36,0.35,0.33,0.33,0.37,0.33,0.35,0.32,0.32,0.31,0.28,0.3,0.25,0.24,0.25,0.27,0.26,0.25,0.27,0.24,0.26,0.24,0.23,0.26,0.24,0.24,0.25,0.23,0.22,0.24,0.22,0.23,0.24,0.23,0.23,0.22,0.22,0.2,0.22,0.21,0.23,0.2,0.2,0.19,0.22,0.21,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.18,0.19,0.19,0.2,0.18,0.18,0.17,0.18,0.16,0.18,0.15,0.17,0.19,0.18,0.15,0.17,0.18,0.17,0.18,0.17,0.18,0.16,0.17,0.15,0.17,0.15,0.17,0.17,0.18,0.16,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.15,0.17,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.25,0.13,0.0,0.0,0.0,0.0,0.0,82.60999999999999
08/04/2021,3.05,2.66,1.85,1.67,1.57,1.41,1.33,1.25,1.35,1.38,1.16,1.14,1.13,1.08,1.1,1.05,1.02,0.96,0.9,0.94,0.88,0.81,0.83,0.83,0.76,0.72,0.74,0.73,0.73,0.66,0.66,0.64,0.63,0.59,0.63,0.63,0.59,0.57,0.54,0.5,0.55,0.54,0.51,0.52,0.51,0.5,0.51,0.5,0.48,0.52,0.48,0.44,0.46,0.45,0.44,0.47,0.43,0.44,0.44,0.42,0.42,0.44,0.43,0.44,0.42,0.4,0.42,0.41,0.39,0.39,0.35,0.37,0.37,0.37,0.35,0.36,0.35,0.33,0.32,0.38,0.32,0.35,0.31,0.31,0.31,0.28,0.3,0.25,0.24,0.25,0.27,0.26,0.25,0.27,0.23,0.26,0.25,0.23,0.25,0.24,0.24,0.25,0.23,0.23,0.24,0.22,0.23,0.24,0.22,0.23,0.22,0.22,0.2,0.22,0.21,0.23,0.19,0.21,0.19,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.2,0.18,0.17,0.18,0.18,0.16,0.18,0.15,0.17,0.19,0.18,0.15,0.17,0.18,0.17,0.18,0.17,0.19,0.16,0.17,0.15,0.17,0.15,0.17,0.17,0.18,0.16,0.17,0.17,0.15,0.16,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.13,0.14,0.0,0.13,0.0,0.13,0.0,0.0,0.14,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,82.61999999999999
08/05/2021,3.05,2.65,1.85,1.66,1.58,1.41,1.34,1.25,1.35,1.42,1.16,1.14,1.13,1.09,1.1,1.05,1.02,0.94,0.91,0.94,0.87,0.81,0.83,0.83,0.76,0.72,0.75,0.73,0.73,0.66,0.0,0.64,0.63,0.59,0.61,0.62,0.58,0.56,0.55,0.5,0.55,0.5,0.51,0.51,0.51,0.5,0.51,0.51,0.48,0.52,0.48,0.43,0.46,0.45,0.43,0.47,0.43,0.44,0.45,0.42,0.42,0.44,0.43,0.44,0.42,0.4,0.42,0.42,0.39,0.38,0.35,0.38,0.37,0.37,0.35,0.36,0.35,0.29,0.32,0.38,0.32,0.35,0.31,0.31,0.32,0.28,0.29,0.24,0.24,0.25,0.27,0.26,0.25,0.27,0.23,0.26,0.25,0.24,0.26,0.24,0.24,0.25,0.23,0.23,0.24,0.22,0.23,0.24,0.22,0.23,0.22,0.22,0.2,0.22,0.22,0.22,0.19,0.21,0.19,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.16,0.18,0.15,0.17,0.19,0.19,0.15,0.17,0.18,0.17,0.18,0.18,0.19,0.16,0.17,0.15,0.18,0.15,0.17,0.17,0.18,0.16,0.17,0.17,0.15,0.16,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.13,0.14,0.0,0.14,0.0,0.0,0.13,0.13,0.18,0.0,0.14,0.0,0.26,0.0,0.64,0.0,0.0,0.0,0.0,82.58
08/06/2021,3.07,2.66,1.81,1.67,1.58,1.42,1.33,1.26,1.36,1.47,1.16,1.14,1.14,1.1,1.11,1.05,1.02,0.92,0.9,0.93,0.86,0.82,0.83,0.83,0.77,0.72,0.74,0.74,0.72,0.67,0.65,0.63,0.64,0.58,0.59,0.61,0.58,0.57,0.56,0.52,0.55,0.47,0.51,0.51,0.51,0.5,0.51,0.51,0.47,0.52,0.48,0.44,0.46,0.46,0.44,0.47,0.44,0.43,0.45,0.42,0.43,0.46,0.43,0.45,0.43,0.4,0.42,0.42,0.39,0.38,0.35,0.37,0.37,0.36,0.35,0.37,0.34,0.29,0.32,0.38,0.31,0.35,0.31,0.31,0.32,0.28,0.3,0.25,0.24,0.25,0.27,0.26,0.25,0.27,0.23,0.26,0.25,0.23,0.26,0.24,0.24,0.25,0.23,0.22,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.21,0.19,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.18,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.16,0.18,0.15,0.16,0.19,0.18,0.16,0.17,0.18,0.17,0.19,0.18,0.18,0.16,0.17,0.15,0.18,0.15,0.17,0.17,0.18,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.13,0.15,0.16,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.15,0.14,0.13,0.13,0.15,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.13,0.17,0.0,0.14,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,82.66999999999999
08/09/2021,3.07,2.68,1.85,1.7,1.58,1.4,1.32,1.26,1.36,1.46,1.15,1.13,1.15,1.08,1.12,1.05,0.99,0.94,0.9,0.92,0.87,0.83,0.82,0.84,0.76,0.73,0.75,0.74,0.71,0.66,0.65,0.64,0.61,0.6,0.6,0.61,0.57,0.57,0.53,0.53,0.56,0.46,0.5,0.51,0.51,0.5,0.52,0.52,0.48,0.53,0.48,0.44,0.41,0.46,0.44,0.48,0.44,0.43,0.46,0.4,0.43,0.47,0.41,0.45,0.42,0.39,0.43,0.42,0.4,0.39,0.35,0.37,0.37,0.36,0.35,0.37,0.34,0.29,0.31,0.38,0.32,0.36,0.31,0.31,0.32,0.28,0.3,0.24,0.24,0.25,0.27,0.25,0.25,0.27,0.22,0.26,0.25,0.23,0.26,0.24,0.25,0.25,0.23,0.22,0.24,0.22,0.23,0.24,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.2,0.2,0.19,0.23,0.21,0.2,0.2,0.22,0.22,0.19,0.21,0.21,0.2,0.21,0.22,0.19,0.21,0.19,0.2,0.2,0.2,0.18,0.21,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.15,0.19,0.15,0.16,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.19,0.16,0.17,0.15,0.18,0.15,0.18,0.17,0.18,0.16,0.17,0.17,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.15,0.14,0.13,0.0,0.15,0.14,0.13,0.14,0.0,0.14,0.0,0.0,0.13,0.13,0.0,0.0,0.14,0.0,0.31,0.0,0.0,0.13,0.0,0.0,0.0,82.64999999999999
08/10/2021,3.1,2.73,1.85,1.74,1.57,1.41,1.31,1.25,1.34,1.45,1.15,1.13,1.14,1.08,1.16,1.03,0.99,0.94,0.89,0.92,0.87,0.84,0.82,0.85,0.76,0.73,0.78,0.74,0.71,0.66,0.66,0.64,0.61,0.62,0.6,0.61,0.57,0.56,0.53,0.53,0.55,0.48,0.5,0.5,0.51,0.49,0.52,0.52,0.48,0.52,0.48,0.44,0.41,0.46,0.44,0.47,0.44,0.43,0.45,0.4,0.44,0.47,0.4,0.45,0.42,0.38,0.43,0.42,0.39,0.38,0.35,0.36,0.36,0.36,0.35,0.37,0.34,0.3,0.31,0.38,0.32,0.36,0.31,0.3,0.32,0.27,0.3,0.24,0.24,0.25,0.27,0.25,0.26,0.27,0.23,0.26,0.25,0.22,0.26,0.24,0.25,0.25,0.23,0.22,0.25,0.22,0.22,0.25,0.22,0.24,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.2,0.19,0.22,0.22,0.2,0.2,0.23,0.21,0.19,0.21,0.2,0.2,0.21,0.21,0.19,0.21,0.19,0.2,0.2,0.2,0.18,0.21,0.18,0.18,0.19,0.19,0.19,0.17,0.17,0.18,0.18,0.16,0.18,0.15,0.16,0.18,0.18,0.16,0.18,0.18,0.17,0.18,0.18,0.19,0.16,0.17,0.15,0.18,0.15,0.18,0.16,0.18,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.13,0.14,0.0,0.14,0.0,0.0,0.13,0.14,0.0,0.0,0.14,0.0,0.3,0.0,0.0,0.13,0.0,0.0,0.0,82.66
08/11/2021,3.1,2.73,1.85,1.74,1.57,1.41,1.31,1.25,1.34,1.45,1.15,1.13,1.14,1.08,1.16,1.03,0.99,0.94,0.89,0.92,0.87,0.84,0.82,0.85,0.76,0.73,0.78,0.74,0.71,0.66,0.66,0.64,0.61,0.62,0.6,0.61,0.57,0.56,0.53,0.53,0.55,0.48,0.5,0.5,0.51,0.49,0.52,0.52,0.48,0.52,0.48,0.44,0.41,0.46,0.44,0.47,0.44,0.43,0.45,0.4,0.44,0.47,0.4,0.45,0.42,0.38,0.43,0.42,0.39,0.38,0.35,0.36,0.36,0.36,0.35,0.37,0.34,0.3,0.31,0.38,0.32,0.36,0.31,0.3,0.32,0.27,0.3,0.24,0.24,0.25,0.27,0.25,0.26,0.27,0.23,0.26,0.25,0.22,0.26,0.24,0.25,0.25,0.23,0.22,0.25,0.22,0.22,0.25,0.22,0.24,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.2,0.19,0.22,0.22,0.2,0.2,0.23,0.21,0.19,0.21,0.2,0.2,0.21,0.21,0.19,0.21,0.19,0.2,0.2,0.2,0.18,0.21,0.18,0.18,0.19,0.19,0.19,0.17,0.17,0.18,0.18,0.16,0.18,0.15,0.16,0.18,0.18,0.16,0.18,0.18,0.17,0.18,0.18,0.19,0.16,0.17,0.15,0.18,0.15,0.18,0.16,0.18,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.13,0.14,0.0,0.14,0.0,0.0,0.13,0.14,0.0,0.0,0.14,0.0,0.3,0.0,0.0,0.13,0.0,0.0,0.0,82.66
08/13/2021,3.12,2.75,1.84,1.78,1.57,1.41,1.31,1.24,1.34,1.54,1.14,1.13,1.16,1.06,1.17,1.03,0.96,0.92,0.89,0.92,0.86,0.86,0.82,0.87,0.76,0.74,0.79,0.72,0.71,0.66,0.66,0.63,0.62,0.64,0.59,0.6,0.56,0.56,0.53,0.49,0.55,0.47,0.5,0.51,0.51,0.5,0.51,0.51,0.47,0.53,0.49,0.44,0.41,0.46,0.44,0.47,0.45,0.43,0.45,0.39,0.44,0.48,0.4,0.46,0.41,0.37,0.44,0.42,0.39,0.38,0.35,0.35,0.36,0.35,0.35,0.38,0.33,0.29,0.31,0.36,0.32,0.36,0.31,0.3,0.32,0.27,0.3,0.23,0.24,0.26,0.27,0.24,0.26,0.27,0.23,0.26,0.25,0.22,0.25,0.24,0.25,0.25,0.23,0.21,0.26,0.23,0.22,0.25,0.23,0.24,0.21,0.23,0.21,0.22,0.22,0.21,0.2,0.2,0.19,0.22,0.22,0.2,0.2,0.23,0.21,0.19,0.21,0.2,0.21,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.2,0.17,0.2,0.18,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.18,0.16,0.18,0.15,0.16,0.18,0.18,0.16,0.18,0.18,0.17,0.19,0.17,0.18,0.16,0.17,0.15,0.17,0.15,0.17,0.17,0.2,0.17,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.14,0.15,0.14,0.16,0.15,0.0,0.15,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.33,0.13,0.0,0.0,0.13,0.0,0.0,82.69999999999999
