,TSLA,INTC,T,AMAT,TGT,BRK.B,GOOG,PYPL,GOOGL,BAC,FB,GM,CSCO,NKE,MSFT,AAPL,MRNA,DE,MU,JNJ,UPS,NVDA,MA,IBM,LRCX,COF,V,UNH,C,F,SCHW,ADBE,HPQ,SQ,LMT,PFE,ABBV,COST,JCI,EOG,CBRE,BMY,CVS,CRWD,PNC,RTX,PGR,MMM,LLY,MRK,SIVB,TXN,NXPI,IDXX,ACN,BX,DHI,DIS,PSA,MO,EL,GS,TROW,AMP,AON,UBER,LNT,SNAP,FIS,ATO,KLAC,A,ITW,BKR,BBY,DELL,HPE,FDX,CI,VIAC,EBAY,MS,GILD,FTNT,WBA,WFC,ANTM,NET,EXC,LULU,BIIB,GNRC,ALGN,MPC,MELI,LEN,PINS,AMGN,URI,TWLO,SHW,TSCO,AFL,ODFL,CARR,KHC,QRVO,INTU,PANW,POOL,KR,PLD,KSU,HUBS,PHM,TT,ETN,EPAM,AJG,ATVI,FITB,PLUG,ROK,ALLY,ZBRA,INFO,MET,ZTS,APD,ROKU,ADM,FCX,ADP,MTD,OXY,IPG,AVY,PRU,TEL,NTAP,LHX,SPG,SWKS,TXT,LYFT,DVN,STX,LB,CFG,GLW,TRMB,MHK,GRMN,CNC,HSY,TSN,GE,FISV,NOC,NUE,WDC,CTSH,EXPE,CMI,MNST,FAST,PLTR,LUMN,EFX,AIG,OMC,GD,ALB,HIG,EA,CRL,TECH,LNG,MKTX,STLD,REGN,PCAR,EW,EXPD,PPL,PPG,GPN,NVR,MOS,ARW,IVZ,CPRT,KMI,NWSA,ADSK,SJM,L,LYB,ALXN,ETSY,XTSLA,GWW,PAYX,CVNA,TAP,FDS,RJF,RHI,VEEV,CLX,CDNS,AVB,BF.B,IAC,CHD,RMD,EQR,BURL,CE,TTWO,MGM,HZNP,AES,WST,AVTR,SEIC,CINF,MLM,GL,MXIM,WMT,TXG,O,XLNX,CHRW,HWM,BG,COO,ESS,DRE,ALLE,NVCR,DT,FICO,TER,AOS,EQH,SNA,MPWR,ROL,Usd Cash,CG,BBWI WI,GE.,NVAX,PAYC,USD,UHAL,ADI,ABMD,CF,BISXX,LBEUR,VMW,SUM
07/23/2021,1.96,0.58,0.12,1.38,1.53,1.65,1.86,1.53,1.77,1.44,1.68,0.46,0.57,1.42,1.3,1.31,0.94,0.81,0.0,1.1,0.74,0.99,1.0,0.0,0.74,0.48,0.92,0.89,0.0,0.0,0.56,0.78,0.3,0.56,0.78,0.0,0.0,0.76,0.36,0.25,0.29,0.0,0.0,0.44,0.45,0.0,0.6,0.65,0.58,0.57,0.48,0.56,0.26,0.48,0.54,0.41,0.31,0.37,0.27,0.0,0.38,0.33,0.53,0.44,0.47,0.32,0.5,0.33,0.0,0.49,0.37,0.36,0.47,0.17,0.28,0.2,0.16,0.0,0.0,0.12,0.46,0.29,0.0,0.35,0.0,0.29,0.0,0.3,0.0,0.44,0.17,0.29,0.33,0.36,0.28,0.0,0.26,0.38,0.18,0.27,0.37,0.32,0.35,0.28,0.26,0.0,0.16,0.33,0.24,0.29,0.0,0.34,0.23,0.22,0.16,0.25,0.0,0.23,0.21,0.28,0.17,0.18,0.31,0.18,0.21,0.23,0.19,0.27,0.28,0.21,0.21,0.18,0.28,0.2,0.16,0.16,0.22,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.18,0.14,0.18,0.21,0.14,0.0,0.19,0.0,0.25,0.0,0.23,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.24,0.25,0.16,0.0,0.19,0.16,0.18,0.0,0.2,0.15,0.21,0.17,0.17,0.16,0.22,0.13,0.21,0.0,0.2,0.19,0.0,0.2,0.0,0.2,0.0,0.0,0.14,0.23,0.14,0.14,0.19,0.0,0.12,0.0,0.0,0.15,0.19,0.19,0.16,0.15,0.0,0.18,0.15,0.16,0.16,0.17,0.15,0.16,0.14,0.13,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.0,0.12,0.12,0.13,0.13,0.13,0.13,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75
07/26/2021,1.93,0.59,0.12,1.43,1.52,1.65,1.86,1.53,1.77,1.45,1.69,0.46,0.57,1.41,1.3,1.29,0.97,0.82,0.0,1.1,0.73,1.03,1.0,0.0,0.77,0.49,0.92,0.89,0.0,0.0,0.57,0.77,0.3,0.58,0.77,0.0,0.0,0.75,0.36,0.26,0.3,0.0,0.0,0.43,0.45,0.0,0.59,0.65,0.58,0.56,0.49,0.57,0.26,0.48,0.53,0.42,0.31,0.36,0.26,0.0,0.38,0.34,0.53,0.45,0.46,0.33,0.49,0.34,0.0,0.48,0.38,0.36,0.46,0.17,0.27,0.2,0.16,0.0,0.0,0.12,0.46,0.3,0.0,0.34,0.0,0.29,0.0,0.3,0.0,0.44,0.17,0.29,0.33,0.37,0.28,0.0,0.26,0.37,0.18,0.27,0.37,0.31,0.36,0.28,0.26,0.0,0.16,0.33,0.24,0.29,0.0,0.34,0.23,0.22,0.16,0.25,0.0,0.23,0.21,0.28,0.17,0.18,0.31,0.18,0.22,0.22,0.19,0.27,0.28,0.21,0.21,0.18,0.28,0.2,0.17,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.14,0.16,0.18,0.14,0.18,0.21,0.14,0.0,0.19,0.0,0.25,0.0,0.23,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.24,0.24,0.16,0.0,0.19,0.17,0.18,0.0,0.2,0.15,0.21,0.17,0.17,0.15,0.22,0.13,0.21,0.0,0.2,0.19,0.0,0.2,0.0,0.2,0.12,0.0,0.14,0.23,0.14,0.14,0.19,0.0,0.12,0.0,0.0,0.15,0.19,0.18,0.16,0.15,0.0,0.18,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.13,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9
07/27/2021,1.91,0.58,0.12,1.42,1.53,1.64,1.87,1.54,1.78,1.43,1.71,0.45,0.58,1.44,1.32,1.3,0.98,0.81,0.0,1.1,0.74,1.04,1.01,0.0,0.77,0.48,0.92,0.89,0.0,0.0,0.55,0.79,0.29,0.59,0.77,0.0,0.0,0.75,0.35,0.26,0.3,0.0,0.0,0.45,0.44,0.0,0.59,0.64,0.59,0.56,0.48,0.54,0.26,0.49,0.53,0.43,0.3,0.36,0.27,0.0,0.38,0.34,0.53,0.44,0.47,0.33,0.49,0.33,0.0,0.48,0.38,0.36,0.46,0.17,0.27,0.2,0.16,0.0,0.0,0.12,0.47,0.3,0.0,0.35,0.0,0.28,0.0,0.31,0.0,0.45,0.17,0.29,0.33,0.37,0.29,0.0,0.26,0.37,0.18,0.28,0.37,0.31,0.35,0.28,0.26,0.0,0.16,0.34,0.24,0.29,0.0,0.34,0.24,0.23,0.16,0.25,0.0,0.23,0.22,0.27,0.17,0.18,0.31,0.18,0.22,0.23,0.18,0.27,0.28,0.21,0.2,0.18,0.28,0.2,0.17,0.17,0.21,0.0,0.0,0.13,0.0,0.0,0.14,0.15,0.18,0.14,0.18,0.21,0.14,0.0,0.19,0.0,0.25,0.0,0.23,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.17,0.0,0.24,0.24,0.16,0.0,0.19,0.16,0.18,0.0,0.2,0.15,0.21,0.17,0.17,0.15,0.22,0.13,0.21,0.0,0.2,0.19,0.0,0.2,0.0,0.2,0.0,0.0,0.14,0.23,0.14,0.14,0.19,0.0,0.12,0.0,0.0,0.15,0.26,0.18,0.16,0.15,0.0,0.18,0.15,0.16,0.16,0.17,0.16,0.16,0.13,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.13,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.94
07/28/2021,1.87,0.55,0.12,1.41,1.53,1.62,1.91,1.55,1.82,1.4,1.78,0.44,0.58,1.44,1.32,1.3,1.04,0.81,0.0,1.1,0.72,1.02,1.03,0.0,0.76,0.47,0.92,0.88,0.0,0.0,0.55,0.78,0.29,0.59,0.76,0.0,0.0,0.75,0.35,0.25,0.3,0.0,0.0,0.45,0.44,0.0,0.59,0.64,0.59,0.56,0.48,0.54,0.25,0.49,0.54,0.43,0.31,0.36,0.27,0.0,0.38,0.33,0.52,0.44,0.46,0.32,0.49,0.41,0.0,0.48,0.38,0.36,0.45,0.17,0.28,0.2,0.16,0.0,0.0,0.12,0.48,0.29,0.0,0.35,0.0,0.28,0.0,0.31,0.0,0.46,0.17,0.29,0.33,0.37,0.29,0.0,0.28,0.37,0.18,0.28,0.37,0.32,0.35,0.28,0.27,0.0,0.16,0.34,0.24,0.29,0.0,0.33,0.23,0.22,0.16,0.25,0.0,0.23,0.21,0.27,0.17,0.17,0.31,0.18,0.22,0.22,0.18,0.27,0.28,0.23,0.2,0.18,0.28,0.2,0.17,0.18,0.21,0.0,0.0,0.13,0.0,0.0,0.14,0.15,0.18,0.13,0.18,0.21,0.14,0.0,0.19,0.0,0.25,0.0,0.23,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.16,0.18,0.0,0.2,0.15,0.21,0.17,0.17,0.15,0.22,0.13,0.21,0.0,0.21,0.19,0.0,0.2,0.0,0.21,0.11,0.0,0.13,0.23,0.13,0.14,0.19,0.0,0.12,0.0,0.0,0.15,0.3,0.18,0.16,0.15,0.0,0.18,0.15,0.17,0.17,0.17,0.16,0.16,0.13,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03
07/29/2021,1.91,0.56,0.12,1.41,1.53,1.63,1.93,1.54,1.83,1.42,1.79,0.45,0.58,1.43,1.32,1.3,1.0,0.81,0.0,1.1,0.72,1.01,1.02,0.0,0.76,0.48,0.93,0.87,0.0,0.0,0.55,0.77,0.3,0.58,0.73,0.0,0.0,0.75,0.35,0.25,0.3,0.0,0.0,0.45,0.44,0.0,0.59,0.64,0.59,0.56,0.47,0.54,0.26,0.48,0.54,0.44,0.31,0.36,0.27,0.0,0.38,0.33,0.52,0.44,0.5,0.32,0.49,0.4,0.0,0.48,0.38,0.36,0.45,0.17,0.28,0.2,0.16,0.0,0.0,0.12,0.47,0.3,0.0,0.35,0.0,0.28,0.0,0.31,0.0,0.45,0.17,0.29,0.33,0.37,0.28,0.0,0.27,0.37,0.18,0.27,0.37,0.32,0.35,0.28,0.26,0.0,0.16,0.34,0.24,0.3,0.0,0.33,0.23,0.23,0.16,0.25,0.0,0.23,0.21,0.27,0.17,0.17,0.31,0.18,0.22,0.22,0.18,0.27,0.28,0.24,0.2,0.19,0.28,0.2,0.17,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.18,0.14,0.18,0.21,0.14,0.0,0.19,0.0,0.25,0.0,0.22,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.16,0.18,0.0,0.2,0.15,0.21,0.17,0.17,0.15,0.22,0.13,0.2,0.0,0.2,0.19,0.0,0.2,0.0,0.2,0.0,0.0,0.14,0.23,0.14,0.14,0.19,0.0,0.12,0.0,0.0,0.15,0.3,0.18,0.16,0.15,0.0,0.18,0.15,0.17,0.16,0.17,0.16,0.15,0.13,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.11,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05
07/30/2021,1.88,0.55,0.12,1.38,1.52,1.65,1.9,1.52,1.81,1.42,1.78,0.44,0.58,1.43,1.31,1.29,0.99,0.81,0.0,1.11,0.67,1.01,1.02,0.0,0.74,0.48,0.94,0.88,0.0,0.0,0.54,0.78,0.3,0.56,0.75,0.0,0.0,0.76,0.35,0.25,0.31,0.0,0.0,0.44,0.44,0.0,0.6,0.64,0.6,0.57,0.47,0.54,0.25,0.48,0.54,0.45,0.31,0.37,0.27,0.0,0.38,0.34,0.52,0.44,0.52,0.31,0.5,0.39,0.0,0.49,0.37,0.36,0.46,0.17,0.28,0.2,0.16,0.0,0.0,0.12,0.47,0.3,0.0,0.35,0.0,0.28,0.0,0.31,0.0,0.44,0.18,0.28,0.33,0.37,0.28,0.0,0.27,0.37,0.18,0.26,0.37,0.31,0.35,0.28,0.27,0.0,0.15,0.34,0.24,0.3,0.0,0.34,0.23,0.22,0.16,0.25,0.0,0.23,0.21,0.25,0.17,0.17,0.31,0.18,0.22,0.22,0.18,0.27,0.28,0.23,0.21,0.19,0.29,0.2,0.16,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.18,0.14,0.18,0.21,0.14,0.0,0.19,0.0,0.25,0.0,0.23,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.16,0.18,0.0,0.2,0.15,0.21,0.17,0.17,0.15,0.22,0.14,0.21,0.0,0.21,0.19,0.0,0.2,0.0,0.21,0.0,0.0,0.13,0.23,0.14,0.14,0.19,0.0,0.12,0.0,0.0,0.15,0.31,0.18,0.16,0.15,0.0,0.18,0.15,0.17,0.16,0.17,0.16,0.16,0.14,0.13,0.14,0.15,0.15,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.94
08/02/2021,1.96,0.55,0.12,1.4,1.53,1.63,1.89,1.42,1.85,1.44,1.72,0.46,0.57,1.44,1.3,1.27,1.03,0.82,0.0,1.1,0.65,1.02,1.01,0.0,0.73,0.48,0.92,0.87,0.0,0.0,0.55,0.77,0.3,0.57,0.74,0.0,0.0,0.75,0.36,0.25,0.32,0.0,0.0,0.44,0.44,0.0,0.6,0.63,0.59,0.56,0.47,0.55,0.26,0.49,0.53,0.45,0.32,0.46,0.26,0.0,0.38,0.34,0.51,0.46,0.52,0.3,0.49,0.39,0.0,0.48,0.38,0.36,0.45,0.18,0.28,0.2,0.16,0.0,0.0,0.12,0.47,0.3,0.0,0.35,0.0,0.29,0.0,0.32,0.0,0.45,0.17,0.27,0.35,0.38,0.29,0.0,0.26,0.36,0.18,0.26,0.37,0.3,0.36,0.29,0.27,0.0,0.16,0.34,0.24,0.3,0.0,0.33,0.23,0.22,0.17,0.25,0.0,0.23,0.21,0.25,0.17,0.17,0.32,0.18,0.22,0.22,0.18,0.27,0.28,0.22,0.21,0.2,0.29,0.2,0.17,0.17,0.22,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.18,0.14,0.18,0.22,0.14,0.0,0.19,0.0,0.26,0.0,0.22,0.0,0.17,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.15,0.18,0.0,0.21,0.15,0.21,0.17,0.17,0.16,0.22,0.14,0.21,0.0,0.21,0.18,0.0,0.2,0.0,0.21,0.12,0.11,0.13,0.23,0.14,0.14,0.2,0.0,0.12,0.0,0.0,0.15,0.26,0.18,0.16,0.15,0.0,0.18,0.15,0.18,0.16,0.16,0.16,0.16,0.13,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.13,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.04
08/03/2021,2.0,0.55,0.12,1.43,1.53,1.62,1.87,1.38,1.84,1.43,1.72,0.46,0.58,1.45,1.3,1.28,1.06,0.82,0.0,1.1,0.65,1.02,1.01,0.0,0.76,0.48,0.92,0.87,0.0,0.0,0.55,0.78,0.3,0.55,0.74,0.0,0.0,0.77,0.36,0.25,0.33,0.0,0.0,0.43,0.44,0.0,0.59,0.63,0.59,0.56,0.46,0.55,0.27,0.48,0.53,0.45,0.32,0.46,0.27,0.0,0.39,0.33,0.52,0.45,0.52,0.3,0.49,0.39,0.0,0.48,0.41,0.36,0.45,0.18,0.27,0.2,0.16,0.0,0.0,0.12,0.44,0.3,0.0,0.35,0.0,0.29,0.0,0.32,0.0,0.45,0.17,0.27,0.36,0.38,0.28,0.0,0.21,0.36,0.18,0.25,0.38,0.31,0.36,0.29,0.28,0.0,0.15,0.34,0.24,0.3,0.0,0.33,0.23,0.23,0.17,0.25,0.0,0.23,0.21,0.25,0.17,0.18,0.32,0.18,0.22,0.22,0.18,0.27,0.28,0.21,0.21,0.2,0.29,0.2,0.16,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.13,0.15,0.18,0.14,0.18,0.22,0.14,0.0,0.19,0.0,0.26,0.0,0.23,0.0,0.17,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.15,0.18,0.0,0.22,0.15,0.21,0.18,0.17,0.15,0.22,0.14,0.2,0.0,0.21,0.19,0.0,0.2,0.0,0.21,0.12,0.11,0.13,0.23,0.13,0.14,0.2,0.0,0.12,0.0,0.0,0.14,0.29,0.18,0.16,0.15,0.0,0.18,0.15,0.18,0.16,0.16,0.16,0.16,0.13,0.13,0.14,0.16,0.14,0.14,0.13,0.12,0.0,0.13,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.15,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
08/04/2021,2.0,0.55,0.12,1.43,1.53,1.62,1.87,1.38,1.84,1.43,1.72,0.46,0.58,1.45,1.3,1.28,1.06,0.82,0.0,1.1,0.65,1.02,1.01,0.0,0.76,0.48,0.92,0.87,0.0,0.0,0.55,0.78,0.3,0.55,0.74,0.0,0.0,0.77,0.36,0.25,0.33,0.0,0.0,0.43,0.44,0.0,0.59,0.63,0.59,0.56,0.46,0.55,0.27,0.48,0.53,0.45,0.32,0.46,0.27,0.0,0.39,0.33,0.52,0.45,0.52,0.3,0.49,0.39,0.0,0.48,0.41,0.36,0.45,0.18,0.27,0.2,0.16,0.0,0.0,0.12,0.44,0.3,0.0,0.35,0.0,0.29,0.0,0.32,0.0,0.45,0.17,0.27,0.36,0.38,0.28,0.0,0.21,0.36,0.18,0.25,0.38,0.31,0.36,0.29,0.28,0.0,0.15,0.34,0.24,0.3,0.0,0.33,0.23,0.23,0.17,0.25,0.0,0.23,0.21,0.25,0.17,0.18,0.32,0.18,0.22,0.22,0.18,0.27,0.28,0.21,0.21,0.2,0.29,0.2,0.16,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.13,0.15,0.18,0.14,0.18,0.22,0.14,0.0,0.19,0.0,0.26,0.0,0.23,0.0,0.17,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.15,0.18,0.0,0.22,0.15,0.21,0.18,0.17,0.15,0.22,0.14,0.2,0.0,0.21,0.19,0.0,0.2,0.0,0.21,0.12,0.11,0.13,0.23,0.13,0.14,0.2,0.0,0.12,0.0,0.0,0.14,0.29,0.18,0.16,0.15,0.0,0.18,0.15,0.18,0.16,0.16,0.16,0.16,0.13,0.13,0.14,0.16,0.14,0.14,0.13,0.12,0.0,0.13,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.15,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
08/05/2021,2.0,0.55,0.12,1.43,1.53,1.62,1.87,1.38,1.84,1.43,1.72,0.46,0.58,1.45,1.3,1.28,1.06,0.82,0.0,1.1,0.65,1.02,1.01,0.0,0.76,0.48,0.92,0.87,0.0,0.0,0.55,0.78,0.3,0.55,0.74,0.0,0.0,0.77,0.36,0.25,0.33,0.0,0.0,0.43,0.44,0.0,0.59,0.63,0.59,0.56,0.46,0.55,0.27,0.48,0.53,0.45,0.32,0.46,0.27,0.0,0.39,0.33,0.52,0.45,0.52,0.3,0.49,0.39,0.0,0.48,0.41,0.36,0.45,0.18,0.27,0.2,0.16,0.0,0.0,0.12,0.44,0.3,0.0,0.35,0.0,0.29,0.0,0.32,0.0,0.45,0.17,0.27,0.36,0.38,0.28,0.0,0.21,0.36,0.18,0.25,0.38,0.31,0.36,0.29,0.28,0.0,0.15,0.34,0.24,0.3,0.0,0.33,0.23,0.23,0.17,0.25,0.0,0.23,0.21,0.25,0.17,0.18,0.32,0.18,0.22,0.22,0.18,0.27,0.28,0.21,0.21,0.2,0.29,0.2,0.16,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.13,0.15,0.18,0.14,0.18,0.22,0.14,0.0,0.19,0.0,0.26,0.0,0.23,0.0,0.17,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.24,0.24,0.15,0.0,0.19,0.15,0.18,0.0,0.22,0.15,0.21,0.18,0.17,0.15,0.22,0.14,0.2,0.0,0.21,0.19,0.0,0.2,0.0,0.21,0.12,0.11,0.13,0.23,0.13,0.14,0.2,0.0,0.12,0.0,0.0,0.14,0.29,0.18,0.16,0.15,0.0,0.18,0.15,0.18,0.16,0.16,0.16,0.16,0.13,0.13,0.14,0.16,0.14,0.14,0.13,0.12,0.0,0.13,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.15,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
08/06/2021,2.05,0.55,0.12,1.44,1.53,1.63,1.87,1.36,1.84,1.42,1.68,0.46,0.58,1.47,1.3,1.28,1.15,0.83,0.0,1.11,0.66,1.03,0.95,0.0,0.76,0.47,0.87,0.88,0.0,0.0,0.54,0.77,0.31,0.6,0.73,0.0,0.0,0.77,0.36,0.25,0.32,0.0,0.0,0.43,0.44,0.0,0.6,0.63,0.62,0.55,0.46,0.54,0.27,0.48,0.53,0.44,0.32,0.45,0.26,0.0,0.38,0.34,0.53,0.45,0.52,0.29,0.5,0.38,0.0,0.48,0.41,0.36,0.46,0.18,0.28,0.2,0.16,0.0,0.0,0.11,0.44,0.3,0.0,0.38,0.0,0.29,0.0,0.32,0.0,0.46,0.18,0.26,0.36,0.38,0.28,0.0,0.21,0.37,0.19,0.25,0.38,0.31,0.36,0.29,0.29,0.0,0.16,0.34,0.23,0.3,0.0,0.34,0.23,0.22,0.17,0.25,0.0,0.24,0.21,0.24,0.17,0.17,0.32,0.18,0.22,0.23,0.18,0.27,0.28,0.2,0.21,0.19,0.29,0.2,0.16,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.13,0.16,0.18,0.14,0.19,0.0,0.14,0.0,0.19,0.0,0.26,0.0,0.22,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.16,0.0,0.23,0.25,0.15,0.0,0.19,0.15,0.18,0.0,0.21,0.16,0.2,0.18,0.17,0.16,0.22,0.14,0.21,0.0,0.21,0.18,0.0,0.2,0.0,0.21,0.12,0.11,0.13,0.23,0.13,0.13,0.2,0.0,0.12,0.0,0.0,0.14,0.13,0.18,0.16,0.15,0.0,0.18,0.15,0.18,0.17,0.15,0.16,0.16,0.13,0.13,0.13,0.16,0.14,0.14,0.13,0.0,0.0,0.13,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.12,0.11,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.97
08/09/2021,2.05,0.55,0.12,1.43,1.52,1.61,1.87,1.39,1.84,1.44,1.73,0.43,0.58,1.49,1.3,1.27,1.23,0.82,0.0,1.1,0.64,1.06,0.96,0.0,0.76,0.48,0.88,0.86,0.0,0.0,0.55,0.78,0.3,0.62,0.71,0.0,0.0,0.78,0.35,0.24,0.33,0.0,0.0,0.44,0.44,0.0,0.59,0.62,0.63,0.54,0.47,0.55,0.27,0.49,0.53,0.44,0.32,0.45,0.26,0.0,0.37,0.34,0.53,0.46,0.52,0.29,0.5,0.4,0.0,0.49,0.42,0.36,0.45,0.17,0.28,0.2,0.16,0.0,0.0,0.12,0.43,0.3,0.0,0.38,0.0,0.29,0.0,0.32,0.0,0.46,0.17,0.26,0.36,0.38,0.32,0.0,0.21,0.35,0.18,0.25,0.38,0.31,0.36,0.29,0.28,0.0,0.16,0.34,0.24,0.31,0.0,0.34,0.23,0.25,0.16,0.24,0.0,0.24,0.21,0.24,0.17,0.17,0.32,0.18,0.23,0.23,0.18,0.27,0.27,0.2,0.2,0.18,0.29,0.21,0.16,0.18,0.22,0.0,0.0,0.14,0.0,0.0,0.13,0.16,0.17,0.14,0.19,0.0,0.14,0.0,0.2,0.0,0.27,0.0,0.22,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.23,0.24,0.15,0.0,0.19,0.16,0.18,0.0,0.23,0.16,0.2,0.17,0.18,0.15,0.23,0.13,0.21,0.0,0.21,0.18,0.0,0.2,0.0,0.21,0.0,0.0,0.13,0.23,0.13,0.14,0.2,0.0,0.12,0.0,0.0,0.13,0.16,0.17,0.16,0.15,0.0,0.18,0.15,0.18,0.17,0.15,0.16,0.15,0.13,0.13,0.13,0.15,0.14,0.14,0.13,0.0,0.12,0.14,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.11,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.11,0.11,0.12,0.11,0.12,0.11,0.0,0.0,0.17,0.17,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.19
