,LQD,MBB,SPIB,VCSH,LMBS,GOVT,PHB,JNK,HYG,IEI,CEMB,BKLN,iShares Convertible Bond ETF,Us Dollars,ICVT,n/a,SUM
09/09/2021,19.35,19.49,0.0,0.0,0.0,25.86,6.31,6.31,6.3,0.0,6.28,6.32,0.0,0.0,3.64,0.15,100.01
09/10/2021,19.3,19.53,0.0,0.0,0.0,25.85,6.31,6.3,6.3,0.0,6.29,6.33,0.0,0.0,3.64,0.14,99.99
09/13/2021,19.4,19.46,0.0,0.0,0.0,25.86,6.29,6.29,6.29,0.0,6.27,6.3,0.0,0.0,3.59,0.27,100.02
09/14/2021,19.38,19.49,0.0,0.0,0.0,25.83,6.3,6.29,6.29,0.0,6.27,6.31,0.0,0.0,3.58,0.27,100.01
09/15/2021,19.38,19.49,0.0,0.0,0.0,25.83,6.3,6.29,6.29,0.0,6.27,6.31,0.0,0.0,3.58,0.27,100.01
09/16/2021,19.4,19.47,0.0,0.0,0.0,25.85,6.29,6.3,6.3,0.0,6.27,6.3,0.0,0.0,3.57,0.27,100.01999999999998
09/17/2021,19.43,19.45,0.0,0.0,0.0,25.89,6.29,6.28,6.28,0.0,6.27,6.29,0.0,0.0,3.55,0.27,100.0
09/20/2021,19.41,19.45,0.0,0.0,0.0,25.84,6.29,6.3,6.3,0.0,6.25,6.31,0.0,0.0,3.58,0.27,100.0
09/21/2021,19.39,19.46,0.0,0.0,0.0,25.82,6.3,6.3,6.3,0.0,6.25,6.31,0.0,0.0,3.59,0.27,99.99
09/22/2021,19.39,19.46,0.0,0.0,0.0,25.82,6.3,6.3,6.3,0.0,6.25,6.31,0.0,0.0,3.59,0.27,99.99
09/23/2021,19.39,19.46,0.0,0.0,0.0,25.82,6.3,6.3,6.3,0.0,6.25,6.31,0.0,0.0,3.59,0.27,99.99
09/24/2021,19.39,19.46,0.0,0.0,0.0,25.82,6.3,6.3,6.3,0.0,6.25,6.31,0.0,0.0,3.59,0.27,99.99
09/27/2021,19.41,19.45,0.0,0.0,0.0,25.82,6.29,6.32,6.32,0.0,6.24,6.31,0.0,0.0,3.62,0.23,100.01
09/28/2021,19.39,19.48,0.0,0.0,0.0,25.78,6.3,6.32,6.31,0.0,6.24,6.32,0.0,0.0,3.63,0.23,100.0
09/29/2021,19.39,19.48,0.0,0.0,0.0,25.78,6.3,6.32,6.31,0.0,6.24,6.32,0.0,0.0,3.63,0.23,100.0
09/30/2021,19.4,19.48,0.0,0.0,0.0,25.76,6.3,6.32,6.32,0.0,6.24,6.32,0.0,0.0,3.63,0.23,100.0
10/01/2021,19.29,19.56,0.0,0.0,0.0,25.79,6.31,6.32,6.32,0.0,6.27,6.35,0.0,0.0,3.57,0.22,100.0
10/04/2021,19.28,19.57,0.0,0.0,0.0,25.8,6.32,6.34,6.33,0.0,6.25,6.36,0.0,0.0,3.54,0.22,100.01
10/05/2021,19.3,19.57,0.0,0.0,0.0,25.83,6.3,6.31,6.3,0.0,6.23,6.34,0.0,0.0,3.57,0.25,100.0
10/06/2021,19.3,19.57,0.0,0.0,0.0,25.83,6.3,6.31,6.3,0.0,6.23,6.34,0.0,0.0,3.57,0.25,100.0
10/07/2021,19.3,19.57,0.0,0.0,0.0,25.83,6.3,6.31,6.3,0.0,6.23,6.34,0.0,0.0,3.57,0.25,100.0
10/08/2021,19.28,19.64,0.0,0.0,0.0,25.86,6.32,6.31,6.31,0.0,6.26,6.37,0.0,0.0,3.55,0.11,100.01
10/11/2021,19.2,19.61,0.0,0.0,0.0,25.81,6.32,6.31,6.31,0.0,6.23,6.38,0.0,0.0,3.6,0.23,100.0
10/12/2021,19.16,19.64,0.0,0.0,0.0,25.83,6.32,6.31,6.3,0.0,6.24,6.4,0.0,0.0,3.59,0.22,100.01
10/13/2021,19.16,19.64,0.0,0.0,0.0,25.83,6.32,6.31,6.3,0.0,6.24,6.4,0.0,0.0,3.59,0.22,100.01
10/14/2021,19.17,19.67,0.0,0.0,0.0,25.81,6.3,6.3,6.3,0.0,6.23,6.41,0.0,0.0,3.58,0.22,99.99
10/15/2021,19.22,19.62,0.0,0.0,0.0,25.85,6.3,6.29,6.29,0.0,6.22,6.38,0.0,0.0,3.59,0.22,99.98
10/18/2021,19.31,19.56,0.0,0.0,0.0,25.8,6.3,6.31,6.31,0.0,6.21,6.35,0.0,0.0,3.63,0.22,100.0
10/19/2021,19.28,19.57,0.0,0.0,0.0,25.78,6.31,6.31,6.31,0.0,6.22,6.36,0.0,0.0,3.64,0.22,100.0
10/20/2021,19.28,19.57,0.0,0.0,0.0,25.78,6.31,6.31,6.31,0.0,6.22,6.36,0.0,0.0,3.64,0.22,100.0
10/21/2021,19.28,19.57,0.0,0.0,0.0,25.78,6.31,6.31,6.31,0.0,6.22,6.36,0.0,0.0,3.64,0.22,100.0
10/22/2021,19.2,19.59,0.0,0.0,0.0,25.76,6.3,6.33,6.33,0.0,6.24,6.37,0.0,0.0,3.67,0.22,100.01
10/25/2021,19.17,19.6,0.0,0.0,0.0,25.75,6.31,6.33,6.33,0.0,6.24,6.39,0.0,0.0,3.7,0.18,100.0
10/26/2021,19.23,19.61,0.0,0.0,0.0,25.79,6.3,6.31,6.31,0.0,6.23,6.38,0.0,0.0,3.66,0.18,100.0
10/27/2021,19.23,19.61,0.0,0.0,0.0,25.79,6.3,6.31,6.31,0.0,6.23,6.38,0.0,0.0,3.66,0.18,100.0
10/28/2021,19.23,19.61,0.0,0.0,0.0,25.79,6.3,6.31,6.31,0.0,6.23,6.38,0.0,0.0,3.66,0.18,100.0
10/29/2021,19.23,19.61,0.0,0.0,0.0,25.79,6.31,6.32,6.32,0.0,6.23,6.37,0.0,0.0,3.67,0.17,100.02
11/01/2021,19.36,19.58,0.0,0.0,0.0,25.86,6.29,6.29,6.29,0.0,6.23,6.34,0.0,0.0,3.61,0.17,100.02
11/02/2021,19.32,19.56,0.0,0.0,0.0,25.83,6.29,6.29,6.29,0.0,6.22,6.34,0.0,0.0,3.65,0.2,99.99
11/03/2021,19.32,19.56,0.0,0.0,0.0,25.83,6.29,6.29,6.29,0.0,6.22,6.34,0.0,0.0,3.65,0.2,99.99
11/04/2021,19.32,19.56,0.0,0.0,0.0,25.83,6.29,6.29,6.29,0.0,6.22,6.34,0.0,0.0,3.65,0.2,99.99
11/05/2021,19.33,19.58,0.0,0.0,0.0,25.83,6.29,6.28,6.28,0.0,6.2,6.35,0.0,0.0,3.67,0.2,100.01
11/08/2021,19.36,19.56,0.0,0.0,0.0,25.84,6.31,6.3,6.3,0.0,6.21,6.35,0.0,0.0,3.67,0.09,99.99
11/09/2021,19.41,19.5,0.0,0.0,0.0,25.81,6.3,6.3,6.29,0.0,6.17,6.33,0.0,0.0,3.67,0.21,99.99
11/10/2021,19.41,19.5,0.0,0.0,0.0,25.81,6.3,6.3,6.29,0.0,6.17,6.33,0.0,0.0,3.67,0.21,99.99
11/11/2021,19.41,19.5,0.0,0.0,0.0,25.81,6.3,6.3,6.29,0.0,6.17,6.33,0.0,0.0,3.67,0.21,99.99
11/12/2021,19.4,19.51,0.0,0.0,0.0,25.8,6.31,6.3,6.3,0.0,6.18,6.34,0.0,0.0,3.7,0.16,100.0
11/15/2021,19.32,19.55,0.0,0.0,0.0,25.84,6.31,6.31,6.3,0.0,6.19,6.38,0.0,0.0,3.68,0.11,99.99
11/16/2021,19.32,19.55,0.0,0.0,0.0,25.84,6.31,6.31,6.3,0.0,6.19,6.38,0.0,0.0,3.68,0.11,99.99
11/17/2021,19.3,19.55,0.0,0.0,0.0,25.84,6.31,6.31,6.3,0.0,6.19,6.37,0.0,0.0,3.7,0.11,99.98
11/18/2021,19.3,19.55,0.0,0.0,0.0,25.84,6.31,6.31,6.3,0.0,6.19,6.37,0.0,0.0,3.7,0.11,99.98
11/19/2021,19.18,19.6,0.0,0.0,0.0,25.82,6.33,6.32,6.32,0.0,6.22,6.4,0.0,0.0,3.71,0.12,100.02
11/22/2021,19.18,19.6,0.0,0.0,0.0,25.82,6.33,6.32,6.32,0.0,6.22,6.4,0.0,0.0,3.71,0.12,100.02
11/23/2021,19.18,19.6,0.0,0.0,0.0,25.82,6.33,6.32,6.32,0.0,6.22,6.4,0.0,0.0,3.71,0.12,100.02
11/24/2021,19.33,19.59,0.0,0.0,0.0,25.91,6.3,6.28,6.28,0.0,6.21,6.37,0.0,0.0,3.61,0.11,99.99
11/25/2021,19.28,19.65,0.0,0.0,0.0,25.94,6.31,6.3,6.3,0.0,6.22,6.38,0.0,0.0,3.58,0.03,99.99
11/26/2021,19.28,19.65,0.0,0.0,0.0,25.94,6.31,6.3,6.3,0.0,6.22,6.38,0.0,0.0,3.58,0.03,99.99
11/29/2021,19.27,19.64,0.0,0.0,0.0,25.97,6.3,6.3,6.3,0.0,6.22,6.38,0.0,0.0,3.6,0.03,100.01
11/30/2021,19.38,19.68,0.0,0.0,0.0,26.16,6.25,6.24,6.24,0.0,6.19,6.33,0.0,0.0,3.52,0.01,100.0
12/01/2021,19.38,19.68,0.0,0.0,0.0,26.16,6.25,6.24,6.24,0.0,6.19,6.33,0.0,0.0,3.52,0.01,100.0
12/02/2021,19.37,19.67,0.0,0.0,0.0,26.09,6.27,6.27,6.27,0.0,6.2,6.33,0.0,0.0,3.53,0.01,100.01
12/06/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/07/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/08/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/09/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/10/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/13/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/14/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
12/15/2021,19.45,19.68,0.0,0.0,0.0,26.21,6.29,6.27,6.28,0.0,6.21,6.35,0.0,0.0,3.22,0.04,100.0
