,EQIX,AMT,CCI,PLD,PSA,DLR,SPG,SBAC,WELL,AVB,EQR,ARE,O,EXR,INVH,VTR,ESS,SUI,PEAK,DRE,VICI,BXP,UDR,ELS,HST,REG,FRT,KRC,ACC,CUZ,USD,XTSLA,MLPFT,DJEU1,SUM
07/27/2021,8.38,8.29,7.63,7.98,5.5,5.06,4.81,4.27,4.27,3.66,3.37,3.12,3.05,2.61,2.64,2.64,2.49,2.44,2.27,2.21,1.98,1.9,1.89,1.62,1.31,1.19,0.95,0.85,0.8,0.69,0.0,0.2,0.01,0.0,100.08
07/29/2021,8.4,8.31,7.58,7.97,5.54,5.02,4.84,4.29,4.24,3.66,3.36,3.12,3.06,2.62,2.65,2.6,2.5,2.45,2.28,2.21,1.97,1.9,1.9,1.62,1.33,1.19,0.94,0.85,0.8,0.68,0.01,0.11,0.01,0.0,100.01
07/30/2021,8.46,8.31,7.61,7.98,5.5,5.03,4.76,4.29,4.24,3.67,3.35,3.17,3.05,2.61,2.66,2.59,2.48,2.47,2.29,2.21,1.96,1.9,1.89,1.62,1.3,1.19,0.95,0.85,0.81,0.68,0.01,0.11,0.01,0.0,100.01
08/02/2021,7.99,8.29,7.62,7.99,5.52,4.92,4.81,4.31,4.26,3.73,3.37,3.19,3.05,2.67,2.68,2.6,2.5,2.54,2.33,2.21,1.94,1.95,1.92,1.64,1.34,1.2,0.95,0.86,0.8,0.69,0.0,0.11,0.01,0.0,99.99
08/03/2021,8.3,8.24,7.6,7.96,5.51,5.02,4.82,4.32,4.2,3.68,3.34,3.2,3.04,2.66,2.67,2.6,2.47,2.54,2.31,2.2,1.94,1.93,1.89,1.65,1.3,1.2,0.95,0.85,0.8,0.68,0.0,0.13,0.01,0.0,100.01
08/04/2021,8.3,8.24,7.6,7.96,5.51,5.02,4.82,4.32,4.2,3.68,3.34,3.2,3.04,2.66,2.67,2.6,2.47,2.54,2.31,2.2,1.94,1.93,1.89,1.65,1.3,1.2,0.95,0.85,0.8,0.68,0.0,0.13,0.01,0.0,100.01
08/05/2021,8.3,8.24,7.6,7.96,5.51,5.02,4.82,4.32,4.2,3.68,3.34,3.2,3.04,2.66,2.67,2.6,2.47,2.54,2.31,2.2,1.94,1.93,1.89,1.65,1.3,1.2,0.95,0.85,0.8,0.68,0.0,0.13,0.01,0.0,100.01
08/06/2021,8.27,8.26,7.64,8.04,5.44,5.04,4.92,4.37,4.2,3.69,3.34,3.25,3.04,2.69,2.65,2.57,2.46,2.53,2.29,2.2,1.88,1.9,1.89,1.64,1.29,1.17,0.94,0.81,0.79,0.67,0.0,0.14,0.01,0.0,100.02
08/10/2021,8.25,8.19,7.63,8.03,5.34,5.09,5.12,4.38,4.1,3.68,3.35,3.29,3.04,2.67,2.62,2.52,2.45,2.53,2.26,2.2,1.88,1.93,1.88,1.63,1.31,1.21,0.98,0.82,0.79,0.68,0.05,0.08,0.01,0.0,99.99
08/11/2021,8.25,8.19,7.63,8.03,5.34,5.09,5.12,4.38,4.1,3.68,3.35,3.29,3.04,2.67,2.62,2.52,2.45,2.53,2.26,2.2,1.88,1.93,1.88,1.63,1.31,1.21,0.98,0.82,0.79,0.68,0.05,0.08,0.01,0.0,99.99
08/13/2021,8.16,8.12,7.6,8.14,5.54,5.09,5.09,4.37,4.16,3.64,3.3,3.29,3.07,2.69,2.59,2.5,2.42,2.53,2.23,2.2,1.87,1.93,1.87,1.61,1.34,1.23,0.98,0.82,0.78,0.68,0.03,0.11,0.01,0.0,99.99
08/16/2021,8.23,8.19,7.63,8.11,5.57,5.15,5.11,4.45,4.06,3.6,3.27,3.26,3.08,2.68,2.59,2.46,2.38,2.54,2.2,2.21,1.88,1.94,1.84,1.62,1.33,1.22,0.97,0.82,0.78,0.68,0.06,0.11,0.01,0.0,100.03
08/17/2021,8.2,8.21,7.63,8.17,5.52,5.16,5.07,4.46,4.1,3.61,3.27,3.25,3.1,2.68,2.59,2.47,2.38,2.55,2.23,2.2,1.86,1.93,1.83,1.62,1.3,1.21,0.97,0.81,0.77,0.67,0.07,0.12,0.01,0.0,100.02
08/18/2021,8.2,8.21,7.63,8.17,5.52,5.16,5.07,4.46,4.1,3.61,3.27,3.25,3.1,2.68,2.59,2.47,2.38,2.55,2.23,2.2,1.86,1.93,1.83,1.62,1.3,1.21,0.97,0.81,0.77,0.67,0.07,0.12,0.01,0.0,100.02
08/19/2021,8.27,8.21,7.63,8.26,5.57,5.23,4.96,4.44,4.1,3.62,3.26,3.25,3.12,2.67,2.59,2.44,2.37,2.54,2.21,2.2,1.86,1.91,1.83,1.62,1.27,1.19,0.95,0.81,0.77,0.67,0.07,0.12,0.01,0.0,100.02
08/20/2021,8.3,8.29,7.68,8.27,5.58,5.22,4.84,4.52,4.11,3.6,3.25,3.26,3.1,2.68,2.58,2.42,2.38,2.52,2.21,2.21,1.84,1.89,1.81,1.61,1.24,1.17,0.94,0.81,0.77,0.67,0.09,0.12,0.01,0.0,99.99
08/23/2021,8.38,8.37,7.74,8.23,5.65,5.27,4.86,4.53,4.04,3.6,3.25,3.24,3.08,2.68,2.63,2.35,2.38,2.54,2.18,2.18,1.81,1.84,1.81,1.63,1.21,1.17,0.93,0.79,0.77,0.66,0.06,0.14,0.01,0.0,100.01
