,NVDA,IT,TGT,BIIB,ADBE,ANET,DHR,SEE,UPS,BLK,FB,GOOGL,AMT,LLY,ORCL,AMZN,COF,COST,CRM,TMO,PYPL,NTAP,AXP,ACN,AKAM,KMI,MSFT,UNH,STX,PRGO,F,CHTR,AIZ,AAPL,FDX,HSIC,ALL,HD,TYL,PM,IPG,SLB,DVA,PEP,NKE,BR,LOW,SPG,FRT,JKHY,LMT,MS,PFE,RTX,BRK.B,UHS,WFC,TXN,DISH,GS,V,MDLZ,QRVO,EA,TAP,IBM,EMR,CVS,CL,BMY,UNP,BK,SLG,QCOM,MDT,MCD,LDOS,GILD,LEG,GD,DUK,COP,CSCO,BAC,MMM,JNPR,PG,WMT,USB,JNJ,KO,PNW,ABBV,SBUX,KHC,GPS,FTI,HON,OMC,NWL,NFLX,XOM,EXC,AMGN,CF,MRK,PVH,VZ,JPM,UNM,SO,MET,NEE,GM,ABT,DD,CMCSA,XRAY,AIG,DOW,FLS,LYV,MA,WDC,GE,T,CVX,IPGP,TSLA,NWS,RL,FFIV,LUMN,MO,CAT,C,NCLH,BKNG,BA,WU,XRX,UAA,HPE,DIS,HBI,INTC,WBA,CTXS,FOXA,US Dollar,DISCA,OGN,Morgan Stanley Instl Lqudty Trs Instl,GE.,n/a,688101.SS,SUM
07/23/2021,0.91,0.87,0.89,0.8,0.85,0.81,0.84,0.78,0.82,0.76,0.77,0.79,0.81,0.79,0.83,0.76,0.76,0.81,0.71,0.76,0.76,0.71,0.73,0.75,0.75,0.69,0.74,0.74,0.72,0.71,0.67,0.71,0.7,0.73,0.72,0.7,0.7,0.72,0.72,0.71,0.68,0.61,0.7,0.74,0.7,0.72,0.7,0.64,0.68,0.72,0.69,0.69,0.72,0.66,0.69,0.68,0.7,0.67,0.65,0.66,0.69,0.7,0.66,0.68,0.67,0.69,0.67,0.69,0.71,0.69,0.65,0.65,0.63,0.66,0.66,0.67,0.7,0.68,0.63,0.67,0.71,0.61,0.68,0.63,0.68,0.67,0.69,0.67,0.65,0.66,0.69,0.68,0.67,0.66,0.65,0.56,0.55,0.66,0.64,0.65,0.65,0.6,0.67,0.66,0.6,0.64,0.57,0.64,0.61,0.6,0.65,0.6,0.65,0.61,0.64,0.6,0.62,0.61,0.61,0.59,0.63,0.55,0.61,0.58,0.58,0.59,0.57,0.6,0.6,0.58,0.55,0.58,0.57,0.6,0.57,0.57,0.47,0.55,0.52,0.58,0.54,0.52,0.55,0.57,0.54,0.54,0.53,0.54,0.5,0.0,0.23,0.03,0.38,0.0,0.0,0.0,100.04999999999998
07/26/2021,0.92,0.85,0.88,0.78,0.84,0.8,0.81,0.75,0.81,0.77,0.77,0.78,0.78,0.78,0.83,0.74,0.79,0.79,0.7,0.73,0.76,0.7,0.75,0.74,0.73,0.69,0.73,0.73,0.68,0.7,0.7,0.7,0.7,0.72,0.71,0.72,0.69,0.72,0.71,0.68,0.74,0.63,0.69,0.72,0.69,0.72,0.69,0.68,0.7,0.71,0.68,0.72,0.71,0.69,0.69,0.69,0.72,0.68,0.67,0.68,0.68,0.69,0.67,0.66,0.65,0.69,0.69,0.69,0.67,0.68,0.64,0.67,0.65,0.66,0.67,0.67,0.69,0.67,0.63,0.68,0.69,0.63,0.68,0.64,0.67,0.66,0.67,0.65,0.66,0.65,0.68,0.65,0.66,0.66,0.63,0.59,0.58,0.68,0.6,0.65,0.61,0.61,0.66,0.64,0.61,0.62,0.6,0.62,0.62,0.62,0.64,0.62,0.62,0.62,0.63,0.6,0.62,0.62,0.64,0.59,0.65,0.57,0.62,0.57,0.62,0.58,0.57,0.62,0.59,0.58,0.57,0.58,0.57,0.59,0.58,0.57,0.54,0.56,0.54,0.58,0.57,0.55,0.56,0.57,0.55,0.54,0.52,0.53,0.51,0.0,0.24,0.03,0.37,0.0,0.0,0.0,100.04
07/27/2021,0.92,0.85,0.88,0.78,0.84,0.8,0.81,0.75,0.81,0.77,0.77,0.78,0.78,0.78,0.83,0.74,0.79,0.79,0.7,0.73,0.76,0.7,0.75,0.74,0.73,0.69,0.73,0.73,0.68,0.7,0.7,0.7,0.7,0.72,0.71,0.72,0.69,0.72,0.71,0.68,0.74,0.63,0.69,0.72,0.69,0.72,0.69,0.68,0.7,0.71,0.68,0.72,0.71,0.69,0.69,0.69,0.72,0.68,0.67,0.68,0.68,0.69,0.67,0.66,0.65,0.69,0.69,0.69,0.67,0.68,0.64,0.67,0.65,0.66,0.67,0.67,0.69,0.67,0.63,0.68,0.69,0.63,0.68,0.64,0.67,0.66,0.67,0.65,0.66,0.65,0.68,0.65,0.66,0.66,0.63,0.59,0.58,0.68,0.6,0.65,0.61,0.61,0.66,0.64,0.61,0.62,0.6,0.62,0.62,0.62,0.64,0.62,0.62,0.62,0.63,0.6,0.62,0.62,0.64,0.59,0.65,0.57,0.62,0.57,0.62,0.58,0.57,0.62,0.59,0.58,0.57,0.58,0.57,0.59,0.58,0.57,0.54,0.56,0.54,0.58,0.57,0.55,0.56,0.57,0.55,0.54,0.52,0.53,0.51,0.0,0.24,0.03,0.37,0.0,0.0,0.0,100.04
07/28/2021,0.67,0.67,0.67,0.65,0.67,0.67,0.66,0.67,0.65,0.66,0.7,0.67,0.67,0.68,0.64,0.68,0.66,0.67,0.66,0.67,0.67,0.66,0.67,0.67,0.67,0.65,0.67,0.66,0.68,0.67,0.65,0.67,0.67,0.66,0.66,0.67,0.67,0.67,0.67,0.67,0.68,0.67,0.66,0.67,0.67,0.67,0.67,0.65,0.66,0.66,0.66,0.65,0.67,0.66,0.66,0.67,0.65,0.67,0.66,0.66,0.67,0.67,0.67,0.68,0.65,0.66,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.67,0.66,0.67,0.66,0.67,0.64,0.67,0.66,0.66,0.67,0.67,0.66,0.66,0.67,0.66,0.67,0.66,0.68,0.66,0.66,0.63,0.65,0.66,0.67,0.67,0.66,0.67,0.67,0.66,0.67,0.66,0.66,0.66,0.66,0.67,0.65,0.67,0.65,0.68,0.66,0.67,0.66,0.66,0.65,0.66,0.65,0.68,0.67,0.66,0.66,0.66,0.67,0.66,0.67,0.66,0.67,0.66,0.67,0.66,0.66,0.64,0.65,0.66,0.66,0.66,0.67,0.66,0.66,0.66,0.63,0.66,0.66,0.67,0.0,0.66,0.0,0.5,0.0,0.0,0.0,100.07
07/29/2021,0.49,0.51,0.5,0.5,0.5,0.5,0.5,0.51,0.49,0.5,0.53,0.51,0.5,0.51,0.48,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.49,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.52,0.52,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.49,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.51,0.5,0.51,0.51,0.49,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.51,0.48,0.5,0.5,0.51,0.0,0.51,0.0,24.72,0.0,0.0,0.0,100.01
07/30/2021,0.49,0.52,0.5,0.51,0.5,0.5,0.5,0.51,0.45,0.49,0.52,0.5,0.51,0.51,0.48,0.51,0.5,0.51,0.49,0.5,0.49,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.49,0.5,0.51,0.49,0.47,0.51,0.51,0.5,0.5,0.51,0.51,0.52,0.5,0.51,0.5,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.51,0.5,0.52,0.5,0.5,0.51,0.5,0.51,0.51,0.49,0.5,0.49,0.5,0.5,0.51,0.51,0.49,0.49,0.5,0.51,0.49,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.49,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.5,0.52,0.5,0.51,0.5,0.5,0.5,0.49,0.5,0.5,0.51,0.5,0.51,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.49,0.51,0.49,0.51,0.49,0.5,0.51,0.5,0.51,0.5,0.5,0.51,0.49,0.51,0.5,0.5,0.47,0.5,0.5,0.5,0.54,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.53,0.5,0.51,0.51,0.51,0.47,0.5,0.5,0.5,0.0,0.51,0.0,24.76,0.0,0.0,0.0,100.03
08/02/2021,0.5,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.45,0.49,0.51,0.51,0.5,0.51,0.48,0.5,0.51,0.5,0.49,0.51,0.46,0.51,0.5,0.5,0.51,0.5,0.5,0.49,0.52,0.52,0.51,0.49,0.51,0.49,0.47,0.52,0.51,0.5,0.49,0.51,0.5,0.52,0.49,0.5,0.51,0.5,0.49,0.5,0.5,0.49,0.49,0.5,0.51,0.51,0.5,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.51,0.5,0.5,0.5,0.49,0.51,0.5,0.52,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.5,0.5,0.51,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.49,0.5,0.49,0.51,0.49,0.5,0.5,0.5,0.51,0.51,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.51,0.51,0.51,0.5,0.5,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.5,0.51,0.5,0.52,0.5,0.5,0.54,0.49,0.51,0.5,0.51,0.49,0.49,0.52,0.5,0.52,0.5,0.51,0.5,0.51,0.48,0.5,0.43,0.5,0.0,0.53,0.0,24.71,0.0,0.0,0.0,99.98
08/03/2021,0.5,0.52,0.51,0.49,0.5,0.51,0.51,0.52,0.45,0.49,0.51,0.51,0.5,0.51,0.48,0.47,0.5,0.51,0.49,0.51,0.45,0.51,0.5,0.5,0.51,0.49,0.5,0.49,0.52,0.52,0.5,0.52,0.51,0.49,0.47,0.52,0.5,0.5,0.5,0.51,0.51,0.51,0.5,0.5,0.51,0.51,0.49,0.5,0.5,0.49,0.49,0.5,0.52,0.5,0.5,0.53,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.51,0.48,0.5,0.51,0.5,0.48,0.5,0.49,0.51,0.5,0.52,0.51,0.51,0.5,0.49,0.5,0.51,0.51,0.49,0.51,0.5,0.49,0.51,0.51,0.5,0.49,0.5,0.5,0.5,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.49,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.49,0.51,0.51,0.51,0.5,0.51,0.52,0.49,0.51,0.5,0.49,0.5,0.51,0.5,0.5,0.51,0.51,0.53,0.5,0.51,0.54,0.49,0.51,0.49,0.5,0.47,0.49,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.48,0.5,0.44,0.49,24.9,0.51,0.0,0.0,0.0,0.0,0.0,99.97
08/04/2021,0.5,0.52,0.51,0.49,0.5,0.51,0.51,0.52,0.45,0.49,0.51,0.51,0.5,0.51,0.48,0.47,0.5,0.51,0.49,0.51,0.45,0.51,0.5,0.5,0.51,0.49,0.5,0.49,0.52,0.52,0.5,0.52,0.51,0.49,0.47,0.52,0.5,0.5,0.5,0.51,0.51,0.51,0.5,0.5,0.51,0.51,0.49,0.5,0.5,0.49,0.49,0.5,0.52,0.5,0.5,0.53,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.51,0.48,0.5,0.51,0.5,0.48,0.5,0.49,0.51,0.5,0.52,0.51,0.51,0.5,0.49,0.5,0.51,0.51,0.49,0.51,0.5,0.49,0.51,0.51,0.5,0.49,0.5,0.5,0.5,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.49,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.49,0.51,0.51,0.51,0.5,0.51,0.52,0.49,0.51,0.5,0.49,0.5,0.51,0.5,0.5,0.51,0.51,0.53,0.5,0.51,0.54,0.49,0.51,0.49,0.5,0.47,0.49,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.48,0.5,0.44,0.49,24.9,0.51,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,0.5,0.52,0.51,0.49,0.5,0.51,0.51,0.52,0.45,0.49,0.51,0.51,0.5,0.51,0.48,0.47,0.5,0.51,0.49,0.51,0.45,0.51,0.5,0.5,0.51,0.49,0.5,0.49,0.52,0.52,0.5,0.52,0.51,0.49,0.47,0.52,0.5,0.5,0.5,0.51,0.51,0.51,0.5,0.5,0.51,0.51,0.49,0.5,0.5,0.49,0.49,0.5,0.52,0.5,0.5,0.53,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.51,0.48,0.5,0.51,0.5,0.48,0.5,0.49,0.51,0.5,0.52,0.51,0.51,0.5,0.49,0.5,0.51,0.51,0.49,0.51,0.5,0.49,0.51,0.51,0.5,0.49,0.5,0.5,0.5,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.49,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.49,0.51,0.51,0.51,0.5,0.51,0.52,0.49,0.51,0.5,0.49,0.5,0.51,0.5,0.5,0.51,0.51,0.53,0.5,0.51,0.54,0.49,0.51,0.49,0.5,0.47,0.49,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.48,0.5,0.44,0.49,24.9,0.51,0.0,0.0,0.0,0.0,0.0,99.97
08/06/2021,0.51,0.57,0.51,0.51,0.5,0.5,0.52,0.53,0.45,0.5,0.5,0.51,0.5,0.53,0.49,0.47,0.5,0.52,0.48,0.51,0.45,0.52,0.49,0.5,0.51,0.49,0.5,0.5,0.54,0.53,0.5,0.53,0.51,0.5,0.47,0.52,0.5,0.5,0.49,0.51,0.52,0.51,0.51,0.5,0.52,0.51,0.49,0.51,0.5,0.5,0.48,0.5,0.55,0.51,0.5,0.53,0.51,0.51,0.5,0.51,0.48,0.49,0.5,0.49,0.48,0.51,0.51,0.51,0.48,0.51,0.49,0.52,0.48,0.51,0.51,0.49,0.45,0.5,0.51,0.51,0.51,0.49,0.51,0.5,0.5,0.53,0.52,0.5,0.49,0.51,0.5,0.48,0.49,0.48,0.49,0.5,0.5,0.49,0.5,0.46,0.5,0.5,0.51,0.49,0.49,0.49,0.53,0.49,0.5,0.49,0.5,0.5,0.52,0.51,0.51,0.49,0.5,0.51,0.5,0.51,0.52,0.49,0.48,0.52,0.5,0.5,0.51,0.41,0.54,0.49,0.56,0.56,0.5,0.5,0.49,0.51,0.45,0.48,0.51,0.49,0.52,0.56,0.52,0.49,0.52,0.48,0.51,0.45,0.48,0.0,0.49,0.0,24.73,0.0,0.0,0.0,100.02
08/09/2021,0.67,0.66,0.66,0.66,0.67,0.66,0.66,0.66,0.65,0.66,0.67,0.67,0.66,0.65,0.66,0.67,0.66,0.67,0.68,0.66,0.67,0.66,0.66,0.67,0.66,0.65,0.67,0.64,0.67,0.66,0.67,0.66,0.67,0.66,0.66,0.65,0.65,0.67,0.67,0.66,0.68,0.66,0.64,0.66,0.67,0.66,0.66,0.68,0.7,0.66,0.66,0.67,0.65,0.67,0.66,0.65,0.67,0.66,0.67,0.67,0.67,0.66,0.66,0.65,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.68,0.65,0.66,0.67,0.65,0.66,0.66,0.66,0.67,0.67,0.66,0.67,0.66,0.65,0.66,0.67,0.67,0.66,0.67,0.68,0.66,0.67,0.66,0.69,0.66,0.66,0.68,0.67,0.67,0.66,0.68,0.68,0.66,0.66,0.67,0.66,0.67,0.67,0.67,0.68,0.67,0.68,0.66,0.66,0.67,0.62,0.68,0.66,0.66,0.7,0.67,0.67,0.0,0.66,0.67,0.68,0.66,0.67,0.66,0.66,0.68,0.67,0.66,0.67,0.71,0.69,0.67,0.66,0.66,0.69,0.66,0.68,0.7,0.66,0.67,0.66,0.71,0.0,0.68,0.0,0.0,0.67,0.16,0.0,100.03
08/10/2021,0.66,0.65,0.65,0.66,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.65,0.65,0.65,0.66,0.67,0.67,0.68,0.66,0.67,0.66,0.67,0.67,0.67,0.65,0.66,0.65,0.68,0.67,0.67,0.66,0.67,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.68,0.67,0.65,0.66,0.66,0.65,0.66,0.69,0.69,0.66,0.65,0.68,0.65,0.67,0.67,0.64,0.69,0.66,0.67,0.69,0.67,0.66,0.66,0.64,0.67,0.66,0.66,0.65,0.66,0.65,0.66,0.67,0.67,0.65,0.65,0.66,0.65,0.65,0.65,0.67,0.66,0.67,0.66,0.69,0.66,0.65,0.65,0.67,0.68,0.65,0.66,0.68,0.65,0.66,0.66,0.7,0.67,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.67,0.65,0.68,0.66,0.68,0.7,0.67,0.7,0.67,0.69,0.66,0.67,0.67,0.62,0.71,0.66,0.62,0.7,0.67,0.69,0.0,0.66,0.67,0.66,0.65,0.67,0.65,0.65,0.68,0.66,0.67,0.68,0.73,0.68,0.67,0.67,0.67,0.69,0.67,0.68,0.71,0.66,0.66,0.66,0.69,0.0,0.67,0.0,0.0,0.67,0.16,0.0,100.02
08/11/2021,0.66,0.65,0.65,0.66,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.65,0.65,0.65,0.66,0.67,0.67,0.68,0.66,0.67,0.66,0.67,0.67,0.67,0.66,0.66,0.65,0.68,0.67,0.67,0.66,0.68,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.68,0.67,0.65,0.66,0.66,0.65,0.66,0.69,0.69,0.66,0.66,0.68,0.65,0.67,0.67,0.64,0.69,0.66,0.67,0.69,0.67,0.66,0.66,0.64,0.67,0.66,0.66,0.65,0.66,0.65,0.66,0.67,0.67,0.65,0.66,0.66,0.65,0.65,0.66,0.67,0.66,0.67,0.66,0.69,0.66,0.65,0.65,0.67,0.68,0.65,0.66,0.68,0.65,0.66,0.66,0.7,0.67,0.66,0.68,0.67,0.67,0.67,0.67,0.66,0.67,0.65,0.68,0.66,0.68,0.7,0.67,0.7,0.67,0.69,0.66,0.67,0.67,0.62,0.71,0.67,0.62,0.7,0.67,0.69,0.67,0.66,0.67,0.66,0.65,0.67,0.65,0.65,0.68,0.66,0.67,0.68,0.73,0.68,0.67,0.67,0.67,0.69,0.67,0.68,0.71,0.66,0.66,0.66,0.69,0.0,0.67,0.0,0.0,0.0,0.08,0.0,100.01
08/12/2021,0.66,0.65,0.66,0.67,0.67,0.65,0.66,0.67,0.66,0.67,0.66,0.68,0.65,0.66,0.66,0.66,0.67,0.67,0.68,0.66,0.67,0.67,0.67,0.66,0.67,0.65,0.66,0.64,0.68,0.67,0.67,0.65,0.68,0.65,0.65,0.65,0.67,0.66,0.66,0.66,0.67,0.66,0.65,0.66,0.66,0.66,0.65,0.68,0.68,0.66,0.66,0.69,0.67,0.67,0.68,0.64,0.69,0.65,0.68,0.69,0.67,0.66,0.66,0.64,0.67,0.65,0.66,0.66,0.66,0.65,0.67,0.68,0.68,0.65,0.65,0.66,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.7,0.66,0.65,0.66,0.67,0.68,0.66,0.67,0.68,0.65,0.66,0.67,0.7,0.66,0.65,0.67,0.67,0.67,0.66,0.67,0.66,0.69,0.66,0.67,0.66,0.68,0.7,0.67,0.7,0.67,0.68,0.67,0.67,0.66,0.61,0.72,0.67,0.61,0.69,0.66,0.68,0.67,0.66,0.66,0.65,0.66,0.67,0.64,0.65,0.69,0.67,0.67,0.69,0.73,0.67,0.68,0.68,0.67,0.69,0.66,0.68,0.69,0.66,0.67,0.66,0.69,0.0,0.68,0.0,0.0,0.0,0.09,0.0,100.04
08/13/2021,0.64,0.65,0.66,0.66,0.66,0.64,0.66,0.68,0.65,0.67,0.66,0.67,0.64,0.66,0.65,0.65,0.69,0.67,0.66,0.66,0.65,0.66,0.66,0.66,0.67,0.66,0.66,0.64,0.68,0.67,0.67,0.65,0.68,0.65,0.64,0.64,0.68,0.66,0.64,0.66,0.68,0.67,0.65,0.66,0.66,0.65,0.65,0.67,0.68,0.65,0.65,0.69,0.69,0.67,0.68,0.62,0.7,0.64,0.69,0.7,0.66,0.66,0.64,0.64,0.69,0.65,0.67,0.67,0.66,0.64,0.67,0.68,0.67,0.64,0.64,0.65,0.65,0.65,0.66,0.67,0.66,0.67,0.65,0.71,0.66,0.64,0.65,0.68,0.68,0.65,0.66,0.68,0.65,0.65,0.67,0.73,0.68,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.69,0.65,0.68,0.66,0.69,0.7,0.67,0.71,0.67,0.68,0.66,0.68,0.66,0.6,0.74,0.68,0.61,0.69,0.66,0.65,0.0,0.66,0.67,0.65,0.66,0.66,0.64,0.64,0.69,0.67,0.68,0.7,0.76,0.68,0.68,0.67,0.67,0.7,0.66,0.67,0.72,0.66,0.68,0.65,0.7,0.0,0.68,0.0,0.0,0.68,0.09,0.0,100.01
08/16/2021,0.64,0.67,0.65,0.66,0.67,0.63,0.67,0.68,0.66,0.67,0.66,0.67,0.64,0.64,0.65,0.64,0.71,0.67,0.67,0.66,0.65,0.67,0.65,0.66,0.68,0.66,0.66,0.63,0.66,0.56,0.67,0.65,0.69,0.66,0.65,0.64,0.68,0.66,0.64,0.66,0.69,0.67,0.64,0.66,0.65,0.65,0.66,0.67,0.68,0.65,0.65,0.71,0.68,0.67,0.68,0.62,0.72,0.64,0.68,0.71,0.64,0.66,0.63,0.65,0.68,0.65,0.67,0.68,0.66,0.64,0.68,0.69,0.67,0.65,0.64,0.66,0.65,0.67,0.67,0.66,0.65,0.67,0.66,0.71,0.66,0.65,0.65,0.68,0.69,0.66,0.66,0.67,0.65,0.64,0.66,0.71,0.67,0.66,0.69,0.66,0.65,0.66,0.67,0.65,0.71,0.65,0.7,0.66,0.69,0.71,0.68,0.71,0.68,0.68,0.66,0.68,0.67,0.6,0.74,0.68,0.62,0.68,0.64,0.62,0.0,0.66,0.67,0.62,0.66,0.65,0.65,0.63,0.7,0.67,0.7,0.7,0.75,0.68,0.69,0.66,0.67,0.71,0.68,0.68,0.73,0.65,0.69,0.66,0.7,0.0,0.67,0.0,0.0,0.68,0.09,0.0,100.00999999999999
