,ENPH,RUN,FSLR,TSLA,PLUG,NEP,NPI CN,OLED,BEP-U CN,AYI,CHPT,HASI,ITRI,BLDP.TO,BLX.TO,NOVA,SHLS,ORA,REGI,SPWR,INE CN,CWEN,CVA,ARRY,AMRC,RNW.TO,TPIC,WKHS,BLNK,EVA,XL,RMO,EOSE,XBC CN,WLDN,AMSC,REX,FUV,AMTX,BEEM,SUNW,GPV.V,IEA,AYRO,GRN CN,OESX,Cash Equivalent,NPI.TO,BEP.UN.TO,INE.TO,XBC.TO,GRN.TO,State Street Instl Trs Pls MMkt Premier,Cash,n/a,SUM
07/27/2021,6.46,5.84,5.34,5.25,4.28,4.99,5.0,5.06,4.8,4.32,2.98,3.89,3.79,3.31,2.74,2.52,2.16,2.75,2.56,1.75,1.94,2.02,2.1,1.52,1.59,1.62,1.18,1.05,1.03,1.09,0.67,0.54,0.5,0.37,0.41,0.32,0.37,0.38,0.23,0.21,0.2,0.22,0.22,0.12,0.12,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,6.46,5.84,5.34,5.25,4.28,4.99,0.0,5.06,0.0,4.32,2.98,3.89,3.79,3.31,2.74,2.52,2.16,2.75,2.56,1.75,0.0,2.02,2.1,1.52,1.59,1.62,1.18,1.05,1.03,1.09,0.67,0.54,0.5,0.0,0.41,0.32,0.37,0.38,0.23,0.21,0.2,0.22,0.22,0.12,0.0,0.12,0.0,5.0,4.8,1.94,0.37,0.12,0.06,-0.01,0.0,99.98
07/29/2021,6.43,5.8,5.26,5.38,4.33,5.01,5.02,4.95,4.73,4.44,3.08,3.83,3.79,3.29,2.74,2.46,2.13,2.74,2.56,1.75,1.93,2.03,2.1,1.46,1.6,1.62,1.18,1.11,1.06,1.12,0.69,0.54,0.5,0.37,0.4,0.32,0.39,0.35,0.23,0.21,0.21,0.22,0.21,0.13,0.12,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/30/2021,6.34,5.79,5.3,5.32,4.28,5.14,5.04,4.89,4.88,4.42,3.04,3.86,3.73,3.3,2.78,2.49,2.16,2.81,2.47,1.72,1.95,2.05,2.12,1.48,1.61,1.63,1.17,1.08,1.07,1.11,0.67,0.52,0.49,0.37,0.4,0.31,0.38,0.33,0.22,0.21,0.2,0.22,0.21,0.12,0.13,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,6.43,5.91,5.25,5.38,4.22,5.06,4.92,5.13,4.82,4.34,3.1,3.82,3.81,3.29,2.71,2.59,2.18,2.74,2.47,1.77,1.93,2.03,2.03,1.47,1.63,1.61,1.17,1.11,1.06,1.06,0.67,0.52,0.47,0.37,0.4,0.31,0.37,0.36,0.22,0.21,0.2,0.21,0.21,0.12,0.13,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,6.64,5.9,5.35,5.41,4.2,5.03,4.91,5.14,4.74,4.38,3.02,3.74,3.79,3.28,2.74,2.67,2.2,2.69,2.44,1.76,1.94,2.0,2.03,1.45,1.63,1.61,1.19,1.08,1.07,1.04,0.68,0.53,0.45,0.37,0.41,0.3,0.37,0.37,0.2,0.21,0.2,0.21,0.22,0.12,0.13,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,6.64,5.9,5.35,5.41,4.2,5.03,4.91,5.14,4.74,4.38,3.02,3.74,3.79,3.28,2.74,2.67,2.2,2.69,2.44,1.76,1.94,2.0,2.03,1.45,1.63,1.61,1.19,1.08,1.07,1.04,0.68,0.53,0.45,0.37,0.41,0.3,0.37,0.37,0.2,0.21,0.2,0.21,0.22,0.12,0.13,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,6.47,5.76,5.54,5.64,4.14,5.17,4.94,5.09,4.77,4.36,3.01,3.75,3.78,3.25,2.76,2.56,2.19,2.77,2.36,1.74,1.96,2.04,2.05,1.41,1.6,1.62,1.18,1.06,1.06,1.02,0.67,0.53,0.44,0.37,0.42,0.3,0.37,0.38,0.2,0.21,0.2,0.21,0.21,0.13,0.13,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
08/06/2021,6.73,5.96,5.73,5.58,4.07,5.17,4.85,5.01,4.66,4.39,2.95,3.79,3.74,3.17,2.72,2.64,2.3,2.75,2.36,1.8,1.91,2.07,2.01,1.44,1.47,1.62,1.18,1.0,1.05,1.04,0.64,0.51,0.45,0.35,0.4,0.29,0.38,0.39,0.2,0.2,0.19,0.21,0.22,0.12,0.12,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,6.44,5.52,5.93,5.64,4.09,5.29,4.89,4.69,4.78,4.58,3.11,3.91,3.03,3.22,2.72,2.58,2.53,2.68,2.45,1.7,1.88,2.17,2.07,1.5,1.57,1.67,1.29,0.97,1.07,1.1,0.69,0.51,0.45,0.35,0.37,0.28,0.38,0.4,0.22,0.21,0.19,0.21,0.23,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0
08/11/2021,6.44,5.52,5.93,5.64,4.09,5.29,4.89,4.69,4.78,4.58,3.11,3.91,3.03,3.22,2.72,2.58,2.53,2.68,2.45,1.7,1.88,2.17,2.07,1.5,1.57,1.67,1.29,0.97,1.07,1.1,0.69,0.51,0.45,0.35,0.37,0.28,0.38,0.4,0.22,0.21,0.19,0.21,0.23,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0
08/13/2021,6.46,5.53,5.96,5.6,4.49,5.17,4.7,4.49,4.64,4.48,3.33,3.95,3.13,3.36,2.58,2.63,2.5,2.61,2.32,1.73,1.79,2.13,2.03,1.63,1.64,1.53,1.31,0.96,1.14,1.07,0.71,0.52,0.45,0.35,0.38,0.31,0.38,0.41,0.22,0.23,0.21,0.21,0.24,0.12,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0
08/16/2021,6.44,5.64,6.11,5.77,4.12,5.22,4.5,4.44,4.72,4.6,3.26,3.96,3.21,3.24,2.54,2.62,2.55,2.68,2.26,1.72,1.78,2.17,2.05,1.88,1.64,1.49,1.3,0.95,1.07,1.07,0.7,0.53,0.43,0.32,0.39,0.29,0.38,0.41,0.25,0.22,0.2,0.19,0.24,0.12,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0
08/18/2021,6.35,5.39,6.22,5.85,3.99,5.37,4.64,4.46,4.79,4.71,3.17,3.99,3.18,3.18,2.62,2.47,2.59,2.71,2.23,1.68,1.83,2.25,2.09,1.93,1.67,1.53,1.28,0.91,1.04,1.1,0.61,0.51,0.43,0.3,0.38,0.28,0.38,0.33,0.23,0.22,0.2,0.19,0.24,0.12,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0
08/19/2021,6.2,5.22,6.36,5.71,4.09,5.44,4.7,4.55,4.86,4.84,3.04,4.02,3.17,3.22,2.69,2.48,2.39,2.74,2.23,1.66,1.87,2.27,2.13,1.95,1.66,1.57,1.24,0.91,1.03,1.1,0.6,0.46,0.42,0.29,0.38,0.28,0.38,0.33,0.22,0.21,0.19,0.18,0.24,0.12,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0
08/20/2021,6.14,5.21,6.24,5.62,4.27,5.47,4.88,4.64,4.91,4.86,2.99,4.03,3.18,3.22,2.74,2.39,2.36,2.79,2.23,1.62,1.9,2.3,2.16,2.0,1.61,1.59,1.21,0.95,1.01,1.09,0.59,0.38,0.37,0.28,0.39,0.27,0.38,0.27,0.21,0.21,0.18,0.18,0.23,0.12,0.13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0
08/23/2021,6.2,4.97,6.29,5.77,3.98,5.53,4.87,4.86,4.98,4.82,2.89,4.01,3.18,3.32,2.74,2.43,2.43,2.83,2.12,1.59,1.85,2.33,2.2,2.1,1.65,1.56,1.19,0.89,1.0,1.11,0.59,0.34,0.35,0.29,0.39,0.27,0.39,0.25,0.21,0.19,0.18,0.16,0.24,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0
08/24/2021,6.23,5.03,6.3,5.74,4.0,5.51,4.88,4.78,5.03,4.85,2.91,4.03,3.16,3.23,2.74,2.43,2.51,2.77,2.01,1.6,1.85,2.32,2.17,2.16,1.66,1.55,1.22,0.89,1.02,1.11,0.61,0.35,0.36,0.3,0.39,0.26,0.39,0.25,0.21,0.19,0.18,0.16,0.23,0.11,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.99999999999999
