,BABA,3690.HK,700.HK,JD,PDD,035420.KS,NTES,035720.KS,MELI,NPN.JO,BILI,BIDU,YNDX,TCOM,TME,EDU,MGLU3.SA,VIPS,WB,036570.KS,STNE,PAGS,241.HK,268.HK,IQ,696.HK,ATHM,1833.HK,3888.HK,FALABELLA.SN,YY,772.HK,VVAR3.SA,2013.HK,CDR.WA,TOTS3.SA,MOMO,LAME3 BZ,HUYA,BZUN,BTOW3.SA,780.HK,DAO,JOBS,MCG.JO,AFYA,ARCE,CASH,1797 HK,AMER3 BZ,AMER3.SA,B 08/12/21,1797.HK,n/a,VIIA3 BZ,VIIA3.SA,OZON,XP,SUM
07/23/2021,8.85,8.06,8.18,7.86,5.96,5.71,5.14,4.61,4.7,4.26,4.24,3.13,3.08,2.11,1.85,1.37,1.78,1.51,1.54,1.38,1.12,1.21,0.98,1.01,0.82,0.68,0.76,0.7,0.67,0.62,0.58,0.55,0.45,0.34,0.44,0.41,0.35,0.16,0.33,0.34,0.0,0.31,0.31,0.3,0.24,0.23,0.15,0.05,0.04,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,8.92,8.13,8.14,8.01,6.07,5.68,5.07,4.44,4.81,4.37,4.08,3.11,3.12,2.07,1.84,1.41,1.77,1.5,1.56,1.33,1.12,1.25,0.98,1.02,0.8,0.69,0.71,0.66,0.65,0.6,0.57,0.55,0.46,0.35,0.44,0.44,0.35,0.15,0.32,0.34,0.0,0.31,0.32,0.32,0.25,0.21,0.15,0.21,0.04,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/27/2021,8.92,8.13,8.14,8.01,6.07,5.68,5.07,4.44,4.81,4.37,4.08,3.11,3.12,2.07,1.84,1.41,1.77,1.5,1.56,1.33,1.12,1.25,0.98,1.02,0.8,0.69,0.71,0.66,0.65,0.6,0.57,0.55,0.46,0.35,0.44,0.44,0.35,0.15,0.32,0.34,0.0,0.31,0.32,0.32,0.25,0.21,0.15,0.21,0.04,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/29/2021,8.92,7.63,8.18,7.78,5.73,6.48,4.5,4.93,5.35,4.41,3.67,3.16,3.47,2.05,1.85,0.48,1.88,1.52,1.59,1.53,1.22,1.36,0.94,1.05,0.8,0.71,0.71,0.67,0.64,0.63,0.6,0.58,0.5,0.33,0.48,0.49,0.35,0.16,0.33,0.29,0.0,0.32,0.14,0.34,0.28,0.23,0.16,0.22,0.02,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,9.09,6.59,7.81,8.01,5.39,6.84,4.67,5.22,5.59,4.29,3.64,3.23,3.56,2.21,1.85,0.56,1.93,1.53,1.54,1.58,1.25,1.36,0.8,0.96,0.83,0.72,0.72,0.67,0.6,0.67,0.63,0.59,0.51,0.3,0.5,0.5,0.36,0.16,0.32,0.3,0.0,0.32,0.12,0.34,0.29,0.24,0.17,0.23,0.02,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
08/02/2021,8.94,7.2,8.0,8.24,5.78,6.18,4.94,4.87,5.38,4.54,3.65,3.16,3.34,2.18,1.83,0.53,1.85,1.51,1.53,1.53,1.23,1.34,0.95,1.08,0.81,0.72,0.69,0.7,0.65,0.62,0.58,0.55,0.48,0.35,0.47,0.46,0.37,0.15,0.32,0.3,0.0,0.33,0.14,0.32,0.27,0.23,0.17,-2.31,0.0,0.32,0.0,2.52,0.03,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,8.94,7.2,8.0,8.24,5.78,6.18,4.94,4.87,5.38,4.54,3.65,3.16,3.34,2.18,1.83,0.53,1.85,1.51,1.53,1.53,1.23,1.34,0.95,1.08,0.81,0.72,0.69,0.7,0.65,0.62,0.58,0.55,0.48,0.35,0.47,0.46,0.37,0.15,0.32,0.3,0.0,0.33,0.14,0.32,0.27,0.23,0.17,-2.31,0.0,0.32,0.0,2.52,0.03,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,9.03,6.93,7.96,8.31,5.88,6.21,5.12,4.91,5.26,4.57,3.57,3.18,3.36,2.09,1.86,0.53,1.76,1.53,1.58,1.53,1.26,1.34,0.91,1.06,0.81,0.73,0.66,0.69,0.66,0.65,0.58,0.55,0.46,0.35,0.49,0.46,0.37,0.14,0.32,0.29,0.0,0.33,0.14,0.32,0.28,0.23,0.17,-2.37,0.0,0.31,0.0,2.58,0.03,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,9.18,6.91,7.83,8.31,5.83,6.15,5.21,4.83,5.25,4.56,3.74,3.2,3.31,2.07,1.9,0.53,1.75,1.55,1.6,1.51,1.24,1.37,0.89,1.05,0.83,0.72,0.68,0.7,0.66,0.64,0.57,0.54,0.46,0.34,0.46,0.48,0.38,0.15,0.33,0.3,0.0,0.31,0.15,0.32,0.28,0.23,0.17,-2.35,0.0,0.32,0.0,2.56,0.03,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/06/2021,9.32,6.96,7.56,8.4,5.83,6.27,4.75,4.92,5.39,4.38,3.58,3.24,3.41,2.02,1.9,0.55,1.75,1.64,1.62,1.54,1.24,1.37,0.92,1.15,0.83,0.74,0.63,0.72,0.67,0.65,0.56,0.54,0.46,0.35,0.47,0.47,0.39,0.14,0.31,0.3,0.0,0.32,0.16,0.32,0.3,0.25,0.17,0.21,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,9.34,6.89,7.39,8.39,5.77,6.46,4.45,5.07,6.07,4.4,3.39,3.25,3.41,2.02,1.87,0.53,1.78,1.63,1.61,1.54,1.24,1.37,0.9,1.09,0.81,0.7,0.65,0.72,0.65,0.65,0.55,0.55,0.45,0.34,0.48,0.49,0.38,0.14,0.3,0.29,0.0,0.29,0.15,0.32,0.3,0.24,0.17,0.0,0.03,0.3,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,100.02
08/11/2021,9.27,7.02,7.68,8.31,5.73,6.54,4.44,4.99,6.01,4.4,3.35,3.24,3.42,2.03,1.88,0.52,1.77,1.63,1.59,1.57,1.24,1.39,0.89,1.07,0.79,0.71,0.63,0.7,0.65,0.65,0.54,0.56,0.45,0.34,0.46,0.48,0.37,0.14,0.28,0.29,0.0,0.29,0.16,0.32,0.29,0.24,0.17,0.0,0.03,0.29,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,100.02
08/13/2021,8.94,7.6,7.97,8.3,5.81,6.32,4.51,4.83,6.22,4.66,3.3,3.16,3.29,1.96,1.85,0.53,1.7,1.59,1.54,1.49,1.18,1.38,0.93,1.08,0.76,0.72,0.61,0.7,0.68,0.64,0.55,0.56,0.45,0.36,0.43,0.46,0.37,0.13,0.28,0.28,0.0,0.29,0.16,0.3,0.27,0.23,0.16,0.0,0.03,0.27,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,100.02
08/16/2021,8.91,7.77,7.75,8.3,5.65,6.3,4.63,4.91,6.3,4.55,3.35,3.11,3.37,1.94,1.78,0.49,1.77,1.55,1.54,1.46,1.18,1.39,0.91,1.13,0.69,0.74,0.59,0.7,0.68,0.68,0.51,0.53,0.43,0.37,0.44,0.45,0.37,0.13,0.26,0.27,0.0,0.29,0.15,0.31,0.28,0.23,0.16,0.0,0.03,0.29,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,99.99
08/18/2021,8.92,7.79,7.69,8.37,5.55,6.31,4.59,4.91,6.45,4.61,3.16,3.02,3.44,2.05,1.77,0.49,1.74,1.54,1.51,1.44,1.16,1.45,0.93,1.14,0.71,0.77,0.58,0.69,0.68,0.7,0.5,0.54,0.41,0.36,0.45,0.47,0.37,0.12,0.26,0.27,0.0,0.3,0.15,0.32,0.28,0.23,0.16,0.0,0.03,0.27,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,100.01
08/19/2021,8.94,7.65,7.68,8.26,5.59,6.53,4.52,5.08,6.46,4.4,3.07,3.01,3.64,2.12,1.66,0.49,1.73,1.51,1.51,1.49,1.15,1.45,0.93,1.13,0.69,0.79,0.59,0.69,0.69,0.69,0.49,0.55,0.0,0.36,0.46,0.47,0.38,0.12,0.25,0.26,0.0,0.31,0.15,0.33,0.3,0.22,0.17,0.0,0.03,0.27,0.0,0.0,0.0,0.36,0.4,0.0,0.0,0.0,100.02
08/20/2021,8.8,7.63,7.61,8.24,5.59,6.59,4.59,5.08,6.59,4.13,3.09,3.02,3.74,2.12,1.51,0.49,1.77,1.48,1.42,1.51,1.17,1.48,0.96,1.15,0.7,0.82,0.6,0.72,0.69,0.71,0.48,0.51,0.0,0.39,0.49,0.48,0.38,0.12,0.26,0.27,0.0,0.31,0.17,0.34,0.3,0.22,0.17,0.0,0.02,0.27,0.0,0.0,0.0,0.4,0.41,0.0,0.0,0.0,99.99
08/23/2021,8.35,7.36,7.8,8.2,5.39,6.69,4.43,5.4,6.64,4.18,3.01,2.99,3.79,2.4,1.43,0.5,1.73,1.36,1.5,1.74,1.19,1.52,0.96,1.2,0.67,0.82,0.61,0.73,0.74,0.73,0.55,0.57,0.0,0.38,0.49,0.5,0.37,0.12,0.27,0.25,0.0,0.31,0.17,0.36,0.29,0.23,0.16,0.0,0.02,0.27,0.0,0.0,0.0,0.16,0.43,0.0,0.0,0.0,99.96
08/24/2021,8.35,7.36,7.8,8.2,5.39,6.69,4.43,5.4,6.64,4.18,3.01,2.99,3.79,2.4,1.43,0.5,1.73,1.36,1.5,1.74,1.19,1.52,0.96,1.2,0.67,0.82,0.61,0.73,0.74,0.73,0.55,0.57,0.0,0.38,0.49,0.5,0.37,0.12,0.27,0.25,0.0,0.31,0.17,0.36,0.29,0.23,0.16,0.0,0.02,0.0,0.27,0.0,0.0,0.16,0.0,0.43,0.0,0.0,99.96
08/25/2021,8.22,7.03,7.88,8.39,5.58,6.65,4.53,5.29,6.74,4.18,3.12,3.0,3.79,2.38,1.48,0.5,1.72,1.37,1.57,1.68,1.2,1.54,0.83,1.23,0.68,0.77,0.62,0.62,0.73,0.73,0.57,0.54,0.0,0.38,0.48,0.52,0.39,0.12,0.28,0.25,0.0,0.32,0.18,0.37,0.28,0.23,0.15,0.0,0.02,0.0,0.27,0.0,0.0,0.16,0.0,0.44,0.0,0.0,100.0
08/26/2021,8.18,6.93,7.84,8.46,5.71,6.63,4.66,5.35,6.67,3.93,3.21,3.03,3.74,2.42,1.56,0.46,1.63,1.42,1.57,1.65,1.23,1.52,0.86,1.29,0.7,0.77,0.63,0.63,0.75,0.72,0.59,0.54,0.0,0.38,0.47,0.5,0.4,0.12,0.28,0.27,0.0,0.31,0.17,0.36,0.28,0.22,0.15,0.0,0.02,0.0,0.26,0.0,0.0,0.15,0.0,0.41,0.0,0.0,100.03
08/27/2021,8.08,7.29,7.91,8.97,6.47,6.3,4.71,5.01,6.33,3.82,3.32,3.05,3.51,2.35,1.63,0.53,1.63,1.45,1.55,1.58,1.19,1.43,0.85,1.28,0.7,0.74,0.62,0.6,0.74,0.66,0.61,0.51,0.0,0.38,0.44,0.48,0.38,0.12,0.28,0.27,0.0,0.31,0.18,0.33,0.26,0.21,0.13,0.0,0.02,0.0,0.27,0.0,0.0,0.14,0.0,0.41,0.0,0.0,100.03
08/30/2021,7.88,7.55,8.01,9.3,6.33,6.15,4.7,5.07,6.35,3.93,3.32,3.08,3.59,2.38,1.58,0.5,1.62,1.4,1.57,1.33,1.1,1.43,0.88,1.27,0.69,0.75,0.6,0.53,0.55,0.67,0.67,0.52,0.0,0.37,0.45,0.51,0.4,0.13,0.28,0.29,0.0,0.32,0.17,0.34,0.26,0.22,0.13,0.0,0.02,0.0,0.27,0.0,0.0,0.13,0.0,0.4,0.0,0.0,99.99
08/31/2021,7.88,7.55,8.01,9.3,6.33,6.15,4.7,5.07,6.35,3.93,3.32,3.08,3.59,2.38,1.58,0.5,1.62,1.4,1.57,1.33,1.1,1.43,0.88,1.27,0.69,0.75,0.6,0.53,0.55,0.67,0.67,0.52,0.0,0.37,0.45,0.51,0.4,0.13,0.28,0.29,0.0,0.32,0.17,0.34,0.26,0.22,0.13,0.0,0.02,0.0,0.27,0.0,0.0,0.13,0.0,0.4,0.0,0.0,99.99
09/01/2021,7.65,7.54,7.97,9.29,6.29,6.14,4.8,5.13,6.49,4.0,3.25,3.07,3.71,2.37,1.56,0.51,1.66,1.38,1.41,1.25,1.14,1.52,0.87,1.28,0.65,0.78,0.61,0.52,0.55,0.67,0.7,0.5,0.0,0.39,0.45,0.52,0.4,0.13,0.27,0.28,0.0,0.32,0.17,0.35,0.27,0.22,0.13,0.0,0.02,0.0,0.27,0.0,0.0,0.13,0.0,0.4,0.0,0.0,99.98
09/02/2021,7.76,7.63,7.93,9.29,6.29,6.25,4.62,5.17,6.52,3.91,3.19,3.06,3.74,2.38,1.55,0.57,1.65,1.36,1.42,1.23,1.09,1.5,0.91,1.27,0.65,0.77,0.62,0.55,0.54,0.67,0.69,0.5,0.0,0.39,0.45,0.53,0.39,0.13,0.26,0.27,0.0,0.33,0.17,0.35,0.27,0.22,0.13,0.0,0.02,0.0,0.28,0.0,0.0,0.12,0.0,0.4,0.0,0.0,99.99
09/03/2021,7.68,8.01,7.89,9.15,6.38,6.21,4.84,5.12,6.23,4.04,3.32,3.02,3.78,2.44,1.54,0.55,1.56,1.36,1.41,1.21,0.98,1.42,0.94,1.25,0.66,0.78,0.64,0.54,0.57,0.65,0.68,0.5,0.0,0.39,0.45,0.51,0.39,0.13,0.27,0.28,0.0,0.33,0.2,0.34,0.26,0.21,0.13,0.0,0.02,0.0,0.26,0.0,0.0,0.11,0.0,0.38,0.0,0.0,100.01
09/06/2021,7.76,8.0,7.98,9.17,6.42,6.12,4.62,5.01,6.32,4.16,3.4,3.06,3.73,2.45,1.51,0.55,1.5,1.41,1.45,1.13,0.92,1.39,0.96,1.25,0.7,0.76,0.67,0.55,0.57,0.63,0.69,0.52,0.0,0.41,0.49,0.49,0.39,0.12,0.28,0.28,0.0,0.33,0.19,0.33,0.26,0.21,0.13,0.0,0.03,0.0,0.25,0.0,0.0,0.11,0.0,0.34,0.0,0.0,100.0
09/08/2021,7.69,7.74,7.87,9.14,6.4,6.3,4.53,5.09,6.37,4.16,3.49,3.08,3.8,2.47,1.53,0.56,1.57,1.39,1.47,1.12,0.92,1.38,0.96,1.23,0.71,0.78,0.65,0.54,0.58,0.63,0.68,0.52,0.0,0.4,0.49,0.49,0.39,0.12,0.28,0.28,0.0,0.33,0.21,0.33,0.26,0.21,0.13,0.0,0.0,0.0,0.25,0.0,0.03,0.11,0.0,0.34,0.0,0.0,100.0
09/09/2021,7.69,7.74,7.87,9.14,6.4,6.3,4.53,5.09,6.37,4.16,3.49,3.08,3.8,2.47,1.53,0.56,1.57,1.39,1.47,1.12,0.92,1.38,0.96,1.23,0.71,0.78,0.65,0.54,0.58,0.63,0.68,0.52,0.0,0.4,0.49,0.49,0.39,0.12,0.28,0.28,0.0,0.33,0.21,0.33,0.26,0.21,0.13,0.0,0.0,0.0,0.25,0.0,0.03,0.11,0.0,0.34,0.0,0.0,100.0
09/10/2021,7.73,7.94,8.11,9.3,6.59,6.04,4.56,4.89,6.25,4.24,3.62,3.07,3.66,2.48,1.51,0.56,1.58,1.37,1.45,1.08,0.91,1.33,0.93,1.19,0.71,0.76,0.66,0.52,0.58,0.6,0.69,0.51,0.0,0.43,0.47,0.48,0.38,0.12,0.28,0.27,0.0,0.32,0.23,0.33,0.24,0.21,0.13,0.0,0.0,0.0,0.26,0.0,0.03,0.11,0.0,0.34,0.0,0.0,100.05
09/13/2021,7.79,8.09,7.97,9.46,6.73,5.66,4.47,4.26,6.36,4.1,3.51,3.18,3.91,2.57,1.54,0.55,1.58,1.39,1.51,1.12,0.94,1.37,0.95,1.19,0.72,0.81,0.68,0.54,0.57,0.6,0.72,0.53,0.0,0.43,0.48,0.48,0.39,0.12,0.25,0.27,0.0,0.34,0.23,0.33,0.25,0.23,0.13,0.0,0.0,0.0,0.25,0.0,0.03,0.12,0.0,0.34,0.0,0.0,100.04
09/14/2021,7.79,8.09,7.97,9.46,6.73,5.66,4.47,4.26,6.36,4.1,3.51,3.18,3.91,2.57,1.54,0.55,1.58,1.39,1.51,1.12,0.94,1.37,0.95,1.19,0.72,0.81,0.68,0.54,0.57,0.6,0.72,0.53,0.0,0.43,0.48,0.48,0.39,0.12,0.25,0.27,0.0,0.34,0.23,0.33,0.25,0.23,0.13,0.0,0.0,0.0,0.25,0.0,0.03,0.12,0.0,0.34,0.0,0.0,100.04
09/15/2021,7.8,8.41,8.11,9.48,6.67,5.8,4.42,4.3,6.22,4.01,3.48,3.18,3.97,2.49,1.52,0.51,1.45,1.35,1.5,1.11,0.92,1.35,0.99,1.18,0.7,0.81,0.66,0.55,0.59,0.61,0.69,0.54,0.0,0.44,0.48,0.49,0.38,0.11,0.26,0.26,0.0,0.35,0.23,0.33,0.24,0.22,0.13,0.0,0.0,0.0,0.24,0.0,0.03,0.13,0.0,0.32,0.0,0.0,100.01
09/16/2021,7.79,8.16,8.03,9.57,6.8,5.83,4.48,4.16,6.33,4.04,3.41,3.22,4.11,2.4,1.48,0.52,1.5,1.32,1.49,1.09,0.94,1.37,0.95,1.18,0.69,0.8,0.67,0.53,0.59,0.61,0.69,0.54,0.0,0.43,0.5,0.49,0.38,0.12,0.26,0.26,0.0,0.33,0.23,0.33,0.25,0.23,0.13,0.0,0.0,0.0,0.26,0.0,0.03,0.12,0.0,0.34,0.0,0.0,99.98
09/17/2021,7.68,8.21,8.08,9.46,6.76,5.87,4.37,4.23,6.45,4.09,3.43,3.22,4.19,2.37,1.47,0.51,1.48,1.29,1.5,1.13,0.92,1.36,0.9,1.17,0.68,0.82,0.68,0.54,0.59,0.62,0.7,0.54,0.0,0.42,0.51,0.51,0.37,0.12,0.25,0.25,0.0,0.34,0.22,0.33,0.26,0.23,0.13,0.0,0.0,0.0,0.26,0.0,0.02,0.12,0.0,0.33,0.0,0.0,99.98
09/20/2021,7.67,7.98,7.89,9.6,6.8,6.01,4.47,4.24,6.7,4.06,3.21,3.28,4.25,2.44,1.47,0.49,1.45,1.25,1.53,1.14,0.92,1.43,0.87,1.15,0.69,0.8,0.65,0.53,0.57,0.65,0.63,0.52,0.0,0.41,0.54,0.52,0.36,0.12,0.25,0.25,0.0,0.33,0.21,0.34,0.26,0.22,0.14,0.0,0.0,0.0,0.25,0.0,0.02,0.12,0.0,0.33,0.0,0.0,100.01
09/21/2021,7.67,7.98,7.89,9.6,6.8,6.01,4.47,4.24,6.7,4.06,3.21,3.28,4.25,2.44,1.47,0.49,1.45,1.25,1.53,1.14,0.92,1.43,0.87,1.15,0.69,0.8,0.65,0.53,0.57,0.65,0.63,0.52,0.0,0.41,0.54,0.52,0.36,0.12,0.25,0.25,0.0,0.33,0.21,0.34,0.26,0.22,0.14,0.0,0.0,0.0,0.25,0.0,0.02,0.12,0.0,0.33,0.0,0.0,100.01
09/22/2021,8.08,8.12,8.14,8.34,8.49,3.81,3.58,3.2,4.26,4.0,3.68,4.35,4.38,2.62,1.84,0.49,1.57,1.37,1.5,1.18,1.25,1.99,1.0,1.08,0.96,0.84,0.74,0.53,0.6,0.64,0.0,0.56,0.0,0.51,0.0,0.48,0.35,0.0,0.27,0.22,0.0,0.42,0.0,0.0,0.3,0.25,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.1,0.0,0.32,1.64,1.34,99.98
09/23/2021,7.92,8.19,8.28,8.24,8.22,3.95,3.58,3.32,4.27,4.0,3.57,4.29,4.46,2.63,1.8,0.49,1.57,1.34,1.5,1.22,1.26,2.02,1.01,1.11,0.96,0.87,0.74,0.55,0.62,0.67,0.0,0.57,0.0,0.51,0.0,0.48,0.35,0.0,0.26,0.21,0.0,0.43,0.0,0.0,0.31,0.25,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.07,0.0,0.31,1.67,1.34,100.0
09/24/2021,7.84,8.04,8.19,8.16,8.29,3.95,3.58,3.31,4.31,4.1,3.61,4.35,4.45,2.66,1.78,0.5,1.6,1.35,1.49,1.22,1.25,2.02,1.0,1.11,0.94,0.9,0.74,0.54,0.62,0.67,0.0,0.56,0.0,0.49,0.0,0.49,0.35,0.0,0.26,0.21,0.0,0.44,0.0,0.0,0.31,0.25,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.07,0.0,0.35,1.66,1.4,100.01999999999998
09/27/2021,7.72,8.27,8.25,8.27,8.38,3.83,3.57,3.12,4.33,4.21,3.72,4.36,4.46,2.69,1.76,0.51,1.53,1.29,1.45,1.18,1.22,2.04,1.01,1.12,0.94,0.87,0.72,0.54,0.61,0.64,0.0,0.55,0.0,0.49,0.0,0.51,0.35,0.0,0.26,0.21,0.0,0.44,0.0,0.0,0.33,0.23,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.07,0.0,0.33,1.67,1.37,100.0
09/28/2021,7.72,8.27,8.25,8.27,8.38,3.83,3.57,3.12,4.33,4.21,3.72,4.36,4.46,2.69,1.76,0.51,1.53,1.29,1.45,1.18,1.22,2.04,1.01,1.12,0.94,0.87,0.72,0.54,0.61,0.64,0.0,0.55,0.0,0.49,0.0,0.51,0.35,0.0,0.26,0.21,0.0,0.44,0.0,0.0,0.33,0.23,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.07,0.0,0.33,1.67,1.37,100.0
09/29/2021,7.54,8.49,8.34,8.18,8.21,3.95,3.62,3.29,4.36,4.19,3.6,4.33,4.5,2.72,1.71,0.49,1.51,1.31,1.42,1.23,1.24,2.06,0.96,1.11,0.9,0.88,0.73,0.53,0.62,0.66,0.0,0.55,0.0,0.49,0.0,0.49,0.34,0.0,0.25,0.2,0.0,0.45,0.0,0.0,0.33,0.24,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.05,0.0,0.33,1.67,1.36,99.99
