,MSFT,NVDA,ACN,DIS,ADBE,ANTM,NDAQ,CRM,BAC,INTU,PYPL,AZN,C,FSS,HUBS,PGR,PLLDA.AX,AAPL,CDW,CI,LLY,AMZN,AME,AXP,MORN,V,NEM,GPS,HOLX,MA,GSK,TMHC,LOW,MDP,MAN,TWLO,WSM,STOR,IPG,MAR,SNAP,ZTS,EL,LDOS,WEX,ULTA,SIG,OTIS,AMD,FB,SBUX,NMIH,KSS,RPD,RUN,ANET,AWK,ELS,ETSY,VRTX,BMBL,GM,TPR,SAIC,BURL,HIG,NVT,SQ,AMN,HSY,RMD,MRK,VIAC,OLED,UPS,KO,ATGE,ABBV,NSIT,ALE,BFAM,G,LUV,ZLAB,TRIP,SCHN,BBY,CABO,PD,VTR,JPM,ONEM,CMC,CDAY,FHN,NEE,LSF,REGI,n/a,CLX,REAL,MSCI,VCYT,VVV,ABNB,ROST,INNV,FUNC,NAPA,MTCH,VMEO,COIN,SRCL,PVH,UL,CURV,SUM
09/15/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/16/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/17/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/20/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/21/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/22/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/23/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/24/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/27/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/28/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/29/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
09/30/2021,3.43,1.94,2.14,1.47,1.91,1.85,1.92,1.73,1.52,1.86,1.63,1.51,1.41,1.49,1.45,1.37,0.0,1.45,1.31,1.24,1.14,1.14,1.25,0.0,1.16,1.12,1.02,0.94,1.26,1.13,1.1,1.06,0.93,0.98,0.87,0.91,0.89,1.02,1.01,0.93,1.0,1.03,0.94,0.98,0.94,0.57,0.0,0.92,0.94,0.83,0.83,0.8,0.68,0.95,0.8,0.82,0.85,0.89,0.66,0.76,0.62,0.67,0.68,0.69,0.72,0.7,0.74,0.69,0.7,0.68,0.78,0.84,0.58,0.67,0.68,0.67,0.65,0.75,0.63,0.62,0.63,0.73,0.0,0.49,0.66,0.63,0.55,0.55,0.53,0.58,0.53,0.44,0.57,0.54,0.55,0.84,0.55,0.54,1.55,0.48,0.37,0.49,0.0,0.37,0.37,0.31,0.47,0.32,0.32,0.31,0.28,0.28,0.27,0.52,0.48,0.43,99.96999999999998
