,IFF,GNRC,HUBS,ENPH,URI,WORK,BURL,ABNB,IT,WDC,CZR,HBAN,CCL,TRMB,STE,NET,ALB,TDY,MDB,TYL,CRL,ALLY,POOL,PODD,NTAP,AVTR,VTRS,FANG,MGM,TECH,PKI,AES,AVY,DVN,LB,ZEN,J,UAL,IEX,VICI,PLUG,ELAN,ON,MPWR,RJF,LYFT,ENTG,EMN,NVCR,NUAN,TXT,PTC,MOH,GDDY,CGNX,NVAX,UDR,SNOW,XPO,PHM,FICO,WAB,BIO,ABMD,SBNY,TXG,LNT,WRK,LKQ,FMC,XRAY,AVLR,WHR,CCK,AAP,AAL,FBHS,LDOS,APO,HWM,CPT,MTN,IPG,PKG,GGG,CDAY,FDS,WYNN,MASI,ELS,ATO,FNF,ALLE,IAC,CBOE,FIVN,BRO,PWR,BKI,NLY,HAS,TPL,IRM,WSM,L,STLD,HST,MPW,SNA,CHGG,LII,TTC,TPR,NDSN,EQH,BWA,UHS,BAH,LW,RPM,RH,BILL,LNC,AXON,MHK,PNR,BG,FFIV,LPLA,PENN,FND,CREE,CF,FIVE,ZNGA,DT,DECK,MRO,JAZZ,DAR,MOS,AMH,HSIC,GH,VER,WRB,DISH,WTRG,CABO,LAD,DXC,RGEN,NWL,EWBC,OC,TRGP,FWONK,REG,GLPI,NRG,TAP,RE,HUBB,NWSA,CMA,IVZ,RHI,CSL,JLL,PFPT,WAL,NI,UGI,AZPN,RS,LEA,MIDD,COLD,AOS,WU,FHN,WSO,AIZ,GWRE,Y,ARMK,CUBE,OLED,MANH,PNW,NTRA,MKSI,NBIX,ESTC,PEN,ATR,ST,VST,ACM,SCI,BFAM,UKCM.L,SYNH,DBX,LAMR,KIM,JNPR,CONE,TW,GL,CRM,WEX,LSI,HRC,CIEN,UTHR,DVA,AFG,PCTY,BBWI WI,SEE,ZION,G,KSS,SMAR,PLLDA.AX,PLAN,BERY,n/a,BRKR,OGN,SITE,FSLR,UPST,BMRN,SEDG,WPC,CTXS,SJM,LUMN,JKHY,ARES,TREX,ZI,CHRW,GME,AFRM,BLDR,NCLH,SOFI,NTLA,CROX,TPX,ASAN,CLF,LSCC,ATH,AA,JBL,XLRN,RUN,COG,RBC,APA,NYT,CTRA,WOLF,RRX,OPEN,KNX,REXR,TTEK,CPRI,GXO,YETI,BJ,BLD,DKS,ARW,FRT,CLVT,SUM
07/23/2021,0.83,0.63,0.57,0.51,0.51,0.53,0.49,0.46,0.5,0.45,0.43,0.47,0.39,0.46,0.47,0.46,0.49,0.47,0.41,0.45,0.45,0.43,0.43,0.41,0.4,0.44,0.38,0.33,0.36,0.41,0.4,0.38,0.39,0.35,0.4,0.37,0.4,0.34,0.4,0.39,0.31,0.37,0.35,0.38,0.36,0.32,0.35,0.34,0.36,0.36,0.35,0.34,0.35,0.33,0.34,0.29,0.37,0.36,0.33,0.31,0.35,0.34,0.34,0.33,0.31,0.29,0.34,0.3,0.32,0.31,0.31,0.29,0.32,0.32,0.31,0.29,0.31,0.33,0.28,0.29,0.33,0.29,0.29,0.3,0.3,0.29,0.3,0.25,0.31,0.31,0.31,0.29,0.29,0.26,0.29,0.28,0.29,0.28,0.29,0.27,0.28,0.25,0.29,0.27,0.28,0.28,0.26,0.28,0.27,0.27,0.25,0.27,0.25,0.28,0.26,0.25,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.27,0.24,0.26,0.24,0.23,0.25,0.23,0.23,0.24,0.24,0.25,0.24,0.21,0.24,0.25,0.24,0.26,0.24,0.23,0.26,0.25,0.23,0.25,0.24,0.23,0.23,0.24,0.24,0.23,0.22,0.22,0.22,0.24,0.24,0.23,0.22,0.23,0.24,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.21,0.24,0.23,0.22,0.22,0.0,0.22,0.22,0.21,0.22,0.0,0.23,0.0,0.0,0.23,0.21,0.0,0.21,0.0,0.0,0.21,0.0,0.21,0.0,0.22,0.21,0.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.60999999999999
07/26/2021,0.82,0.64,0.58,0.55,0.53,0.0,0.49,0.46,0.5,0.45,0.44,0.47,0.42,0.47,0.46,0.48,0.5,0.46,0.42,0.45,0.44,0.44,0.42,0.41,0.39,0.43,0.38,0.32,0.37,0.41,0.4,0.37,0.38,0.35,0.45,0.38,0.39,0.35,0.39,0.39,0.32,0.38,0.36,0.39,0.36,0.32,0.37,0.34,0.37,0.35,0.35,0.35,0.34,0.32,0.34,0.32,0.36,0.36,0.33,0.32,0.35,0.33,0.32,0.33,0.31,0.31,0.32,0.29,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.28,0.29,0.32,0.29,0.31,0.29,0.3,0.29,0.29,0.26,0.31,0.31,0.29,0.29,0.29,0.26,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.27,0.27,0.26,0.28,0.27,0.27,0.25,0.27,0.26,0.27,0.26,0.26,0.27,0.27,0.25,0.25,0.26,0.28,0.25,0.27,0.25,0.26,0.24,0.25,0.25,0.25,0.27,0.24,0.23,0.24,0.24,0.26,0.24,0.21,0.24,0.26,0.24,0.26,0.25,0.23,0.25,0.24,0.23,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.24,0.23,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.24,0.23,0.21,0.21,0.0,0.21,0.21,0.22,0.21,0.0,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.21,0.22,0.21,0.39,0.0,0.2,0.2,0.21,0.0,0.0,0.21,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.51
07/27/2021,0.84,0.64,0.58,0.55,0.53,0.0,0.5,0.46,0.51,0.44,0.43,0.46,0.4,0.47,0.47,0.51,0.5,0.47,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.44,0.38,0.32,0.36,0.42,0.42,0.36,0.38,0.35,0.47,0.39,0.39,0.35,0.39,0.39,0.31,0.39,0.35,0.4,0.36,0.32,0.37,0.34,0.37,0.36,0.35,0.36,0.35,0.33,0.34,0.31,0.37,0.37,0.33,0.32,0.36,0.33,0.33,0.34,0.31,0.31,0.33,0.29,0.32,0.31,0.31,0.32,0.31,0.3,0.32,0.31,0.31,0.32,0.28,0.29,0.33,0.28,0.31,0.29,0.29,0.3,0.3,0.25,0.31,0.32,0.29,0.29,0.28,0.27,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.27,0.27,0.25,0.28,0.27,0.28,0.25,0.27,0.25,0.27,0.26,0.26,0.27,0.27,0.25,0.26,0.26,0.29,0.24,0.27,0.25,0.26,0.24,0.26,0.25,0.24,0.29,0.24,0.23,0.25,0.24,0.26,0.26,0.21,0.24,0.25,0.23,0.26,0.25,0.23,0.25,0.24,0.23,0.25,0.24,0.26,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.23,0.21,0.22,0.24,0.22,0.21,0.21,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.0,0.22,0.21,0.22,0.21,0.0,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.0,0.0,0.21,0.21,0.22,0.21,0.34,0.0,0.21,0.0,0.0,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.77
07/28/2021,0.84,0.64,0.58,0.55,0.53,0.0,0.5,0.46,0.51,0.44,0.43,0.46,0.4,0.47,0.47,0.51,0.5,0.47,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.44,0.38,0.32,0.36,0.42,0.42,0.36,0.38,0.35,0.47,0.39,0.39,0.35,0.39,0.39,0.31,0.39,0.35,0.4,0.36,0.32,0.37,0.34,0.37,0.36,0.35,0.36,0.35,0.33,0.34,0.31,0.37,0.37,0.33,0.32,0.36,0.33,0.33,0.34,0.31,0.31,0.33,0.29,0.32,0.31,0.31,0.32,0.31,0.3,0.32,0.31,0.31,0.32,0.28,0.29,0.33,0.28,0.31,0.29,0.29,0.3,0.3,0.25,0.31,0.32,0.29,0.29,0.28,0.27,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.27,0.27,0.25,0.28,0.27,0.28,0.25,0.27,0.25,0.27,0.26,0.26,0.27,0.27,0.25,0.26,0.26,0.29,0.24,0.27,0.25,0.26,0.24,0.26,0.25,0.24,0.29,0.24,0.23,0.25,0.24,0.26,0.26,0.21,0.24,0.25,0.23,0.26,0.25,0.23,0.25,0.24,0.23,0.25,0.24,0.26,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.23,0.21,0.22,0.24,0.22,0.21,0.21,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.0,0.22,0.21,0.22,0.21,0.0,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.0,0.0,0.21,0.21,0.22,0.21,0.34,0.0,0.21,0.0,0.0,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.77
07/29/2021,0.84,0.63,0.59,0.54,0.54,0.0,0.5,0.47,0.51,0.44,0.44,0.46,0.42,0.47,0.47,0.51,0.51,0.47,0.43,0.45,0.45,0.43,0.42,0.39,0.39,0.43,0.38,0.33,0.36,0.41,0.44,0.36,0.38,0.36,0.46,0.4,0.39,0.36,0.39,0.38,0.31,0.38,0.35,0.4,0.36,0.31,0.36,0.34,0.36,0.35,0.35,0.36,0.34,0.32,0.34,0.3,0.37,0.38,0.33,0.32,0.35,0.33,0.33,0.33,0.31,0.3,0.33,0.3,0.32,0.31,0.31,0.33,0.31,0.3,0.32,0.32,0.3,0.32,0.28,0.29,0.32,0.29,0.32,0.29,0.29,0.3,0.29,0.25,0.3,0.32,0.29,0.29,0.28,0.26,0.28,0.3,0.29,0.28,0.28,0.27,0.3,0.26,0.28,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.26,0.26,0.27,0.27,0.25,0.26,0.26,0.29,0.25,0.27,0.25,0.26,0.24,0.26,0.25,0.24,0.28,0.24,0.23,0.25,0.24,0.26,0.26,0.21,0.24,0.25,0.24,0.26,0.25,0.22,0.25,0.24,0.24,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.23,0.21,0.22,0.24,0.22,0.21,0.21,0.24,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.22,0.0,0.21,0.21,0.22,0.21,0.0,0.22,0.21,0.21,0.22,0.21,0.0,0.2,0.21,0.0,0.0,0.0,0.21,0.21,0.22,0.21,0.32,0.0,0.21,0.2,0.2,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7
07/30/2021,0.85,0.63,0.59,0.53,0.54,0.0,0.49,0.47,0.52,0.44,0.44,0.47,0.41,0.47,0.48,0.51,0.5,0.47,0.44,0.46,0.45,0.43,0.43,0.4,0.4,0.44,0.38,0.32,0.35,0.42,0.43,0.37,0.39,0.35,0.47,0.4,0.4,0.36,0.39,0.39,0.31,0.39,0.35,0.4,0.36,0.31,0.36,0.34,0.35,0.36,0.35,0.34,0.35,0.32,0.34,0.28,0.37,0.37,0.32,0.32,0.35,0.33,0.34,0.33,0.3,0.3,0.34,0.3,0.32,0.31,0.32,0.33,0.31,0.31,0.32,0.31,0.31,0.32,0.29,0.29,0.33,0.29,0.32,0.3,0.29,0.29,0.3,0.24,0.31,0.32,0.3,0.3,0.28,0.26,0.28,0.3,0.29,0.28,0.29,0.27,0.3,0.25,0.29,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.22,0.25,0.26,0.29,0.25,0.27,0.25,0.27,0.24,0.28,0.25,0.24,0.28,0.23,0.23,0.24,0.23,0.26,0.25,0.0,0.24,0.25,0.24,0.26,0.25,0.21,0.26,0.24,0.24,0.25,0.23,0.25,0.23,0.26,0.24,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.21,0.22,0.24,0.22,0.22,0.21,0.24,0.24,0.25,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.22,0.0,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.0,0.0,0.21,0.0,0.2,0.0,0.21,0.21,0.22,0.21,0.0,0.0,0.21,0.21,0.0,0.21,0.21,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8
08/02/2021,0.84,0.61,0.58,0.56,0.53,0.0,0.49,0.48,0.51,0.44,0.44,0.47,0.41,0.48,0.47,0.52,0.51,0.48,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.44,0.39,0.33,0.35,0.42,0.44,0.36,0.39,0.36,0.46,0.4,0.4,0.36,0.38,0.38,0.32,0.39,0.36,0.42,0.36,0.32,0.37,0.34,0.35,0.35,0.35,0.35,0.34,0.32,0.34,0.29,0.37,0.38,0.32,0.31,0.34,0.33,0.34,0.33,0.3,0.31,0.34,0.3,0.31,0.31,0.32,0.34,0.31,0.3,0.31,0.31,0.3,0.32,0.28,0.29,0.32,0.28,0.31,0.3,0.29,0.29,0.3,0.24,0.3,0.32,0.3,0.29,0.28,0.26,0.28,0.3,0.29,0.28,0.29,0.27,0.29,0.26,0.28,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.22,0.25,0.26,0.29,0.25,0.27,0.25,0.27,0.25,0.27,0.25,0.24,0.29,0.24,0.23,0.24,0.23,0.26,0.25,0.21,0.24,0.26,0.24,0.26,0.25,0.22,0.25,0.23,0.24,0.25,0.24,0.25,0.23,0.27,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.21,0.22,0.24,0.22,0.22,0.21,0.24,0.24,0.25,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.21,0.0,0.22,0.21,0.22,0.22,0.21,0.0,0.0,0.21,0.0,0.2,0.0,0.21,0.21,0.22,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.21,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.75
08/03/2021,0.84,0.61,0.58,0.56,0.53,0.0,0.49,0.48,0.51,0.44,0.44,0.47,0.41,0.48,0.47,0.52,0.51,0.48,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.44,0.39,0.33,0.35,0.42,0.44,0.36,0.39,0.36,0.46,0.4,0.4,0.36,0.38,0.38,0.32,0.39,0.36,0.42,0.36,0.32,0.37,0.34,0.35,0.35,0.35,0.35,0.34,0.32,0.34,0.29,0.37,0.38,0.32,0.31,0.34,0.33,0.34,0.33,0.3,0.31,0.34,0.3,0.31,0.31,0.32,0.34,0.31,0.3,0.31,0.31,0.3,0.32,0.28,0.29,0.32,0.28,0.31,0.3,0.29,0.29,0.3,0.24,0.3,0.32,0.3,0.29,0.28,0.26,0.28,0.3,0.29,0.28,0.29,0.27,0.29,0.26,0.28,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.22,0.25,0.26,0.29,0.25,0.27,0.25,0.27,0.25,0.27,0.25,0.24,0.29,0.24,0.23,0.24,0.23,0.26,0.25,0.21,0.24,0.26,0.24,0.26,0.25,0.22,0.25,0.23,0.24,0.25,0.24,0.25,0.23,0.27,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.21,0.22,0.24,0.22,0.22,0.21,0.24,0.24,0.25,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.21,0.0,0.22,0.21,0.22,0.22,0.21,0.0,0.0,0.21,0.0,0.2,0.0,0.21,0.21,0.22,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.21,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.75
08/04/2021,0.84,0.61,0.58,0.56,0.53,0.0,0.49,0.48,0.51,0.44,0.44,0.47,0.41,0.48,0.47,0.52,0.51,0.48,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.44,0.39,0.33,0.35,0.42,0.44,0.36,0.39,0.36,0.46,0.4,0.4,0.36,0.38,0.38,0.32,0.39,0.36,0.42,0.36,0.32,0.37,0.34,0.35,0.35,0.35,0.35,0.34,0.32,0.34,0.29,0.37,0.38,0.32,0.31,0.34,0.33,0.34,0.33,0.3,0.31,0.34,0.3,0.31,0.31,0.32,0.34,0.31,0.3,0.31,0.31,0.3,0.32,0.28,0.29,0.32,0.28,0.31,0.3,0.29,0.29,0.3,0.24,0.3,0.32,0.3,0.29,0.28,0.26,0.28,0.3,0.29,0.28,0.29,0.27,0.29,0.26,0.28,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.22,0.25,0.26,0.29,0.25,0.27,0.25,0.27,0.25,0.27,0.25,0.24,0.29,0.24,0.23,0.24,0.23,0.26,0.25,0.21,0.24,0.26,0.24,0.26,0.25,0.22,0.25,0.23,0.24,0.25,0.24,0.25,0.23,0.27,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.21,0.22,0.24,0.22,0.22,0.21,0.24,0.24,0.25,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.21,0.0,0.22,0.21,0.22,0.22,0.21,0.0,0.0,0.21,0.0,0.2,0.0,0.21,0.21,0.22,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.21,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.75
08/05/2021,0.84,0.61,0.58,0.56,0.53,0.0,0.49,0.48,0.51,0.44,0.44,0.47,0.41,0.48,0.47,0.52,0.51,0.48,0.44,0.46,0.45,0.43,0.42,0.41,0.39,0.44,0.39,0.33,0.35,0.42,0.44,0.36,0.39,0.36,0.46,0.4,0.4,0.36,0.38,0.38,0.32,0.39,0.36,0.42,0.36,0.32,0.37,0.34,0.35,0.35,0.35,0.35,0.34,0.32,0.34,0.29,0.37,0.38,0.32,0.31,0.34,0.33,0.34,0.33,0.3,0.31,0.34,0.3,0.31,0.31,0.32,0.34,0.31,0.3,0.31,0.31,0.3,0.32,0.28,0.29,0.32,0.28,0.31,0.3,0.29,0.29,0.3,0.24,0.3,0.32,0.3,0.29,0.28,0.26,0.28,0.3,0.29,0.28,0.29,0.27,0.29,0.26,0.28,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.22,0.25,0.26,0.29,0.25,0.27,0.25,0.27,0.25,0.27,0.25,0.24,0.29,0.24,0.23,0.24,0.23,0.26,0.25,0.21,0.24,0.26,0.24,0.26,0.25,0.22,0.25,0.23,0.24,0.25,0.24,0.25,0.23,0.27,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.21,0.22,0.24,0.22,0.22,0.21,0.24,0.24,0.25,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.21,0.0,0.22,0.21,0.22,0.22,0.21,0.0,0.0,0.21,0.0,0.2,0.0,0.21,0.21,0.22,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.21,0.21,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.75
08/06/2021,0.84,0.57,0.58,0.59,0.55,0.0,0.51,0.48,0.57,0.46,0.41,0.48,0.38,0.48,0.48,0.52,0.54,0.47,0.43,0.45,0.46,0.42,0.43,0.41,0.41,0.44,0.39,0.33,0.34,0.42,0.47,0.36,0.4,0.35,0.39,0.34,0.38,0.34,0.39,0.36,0.3,0.39,0.43,0.44,0.36,0.32,0.37,0.34,0.29,0.35,0.36,0.31,0.36,0.32,0.35,0.29,0.37,0.4,0.0,0.33,0.33,0.34,0.36,0.33,0.3,0.3,0.34,0.3,0.33,0.31,0.32,0.32,0.32,0.3,0.32,0.29,0.31,0.28,0.29,0.29,0.33,0.27,0.32,0.3,0.3,0.29,0.3,0.22,0.31,0.32,0.29,0.28,0.28,0.25,0.29,0.3,0.28,0.29,0.29,0.26,0.29,0.26,0.28,0.27,0.27,0.29,0.25,0.27,0.27,0.28,0.26,0.28,0.27,0.28,0.27,0.27,0.28,0.25,0.22,0.25,0.25,0.29,0.25,0.27,0.26,0.29,0.25,0.29,0.25,0.22,0.29,0.24,0.22,0.24,0.22,0.27,0.27,0.2,0.23,0.25,0.24,0.26,0.25,0.21,0.25,0.23,0.23,0.25,0.24,0.24,0.25,0.29,0.21,0.23,0.23,0.22,0.21,0.23,0.23,0.23,0.21,0.23,0.25,0.21,0.22,0.21,0.25,0.24,0.25,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.24,0.22,0.22,0.21,0.0,0.21,0.21,0.22,0.21,0.0,0.23,0.22,0.23,0.21,0.21,0.0,0.21,0.21,0.0,0.0,0.21,0.21,0.21,0.24,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.690000000000005
