,TSM,BABA,HDB,INFY,VALE,NIO,JD,BIDU,IBN,NTES,PDD,ITUB,PBR/A,PKX,BILI,BBD,UMC,PBR,KB,SHG,AMX,TCOM,FMX,CHT,ABEV,ASX,LFC,ZTO,BGNE,SNP,CX,ZLAB,EDU,SBSW,WIT,PTR,TLK,SKM,NTCO,RDY,SSL,GDS,TAL,GFI,SUZ,AU,HTHT,TTM,VIPS,BEKE,BVXB.,PJX.,POSCO ADR,KBIA.,America Movil SAB de CV ADR,Chunghwa Telecom Co Ltd ADR,Fomento Economico Mexicano SAB de CV ADR,ASE Technology Holding Co Ltd ADR,Interest/Overdraft,China Life Insurance Co Ltd ADR repr Class H,Cemex SAB de CV ADR,China Petroleum & Chemical Corp ADR,Sibanye Stillwater Ltd ADR,PT Telkom Indonesia (Persero) Tbk ADR,PetroChina Co Ltd ADR,Sasol Ltd ADR,Suzano SA ADR,Gold Fields Ltd ADR,EDG.,Vale SA ADR,Itau Unibanco Holding SA ADR,Petroleo Brasileiro SA Petrobras ADR,Shinhan Financial Group Co Ltd ADR,Ambev SA ADR,Natura &Co Holding SA ADR,Anglogold Ashanti Ltd ADR,New Oriental Education & Technology Group Inc ADR,SK Telecom Co Ltd ADR,TAL Education Group ADR,SUM
07/23/2021,20.73,20.31,4.93,4.28,4.14,3.35,3.69,2.7,2.48,2.53,2.0,1.5,1.3,1.29,1.36,1.24,1.2,1.09,0.97,0.95,1.02,0.74,0.85,0.86,0.79,0.82,0.73,0.76,0.7,0.66,0.66,0.66,0.52,0.61,0.65,0.5,0.58,0.56,0.53,0.48,0.47,0.47,0.43,0.46,0.43,0.46,0.4,0.43,0.4,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,20.38,20.27,4.86,4.28,0.0,3.43,3.73,2.66,2.47,2.47,2.02,0.0,0.0,0.0,1.29,1.22,1.19,1.09,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.74,0.69,0.0,0.0,0.65,0.53,0.0,0.65,0.0,0.0,0.52,0.0,0.48,0.0,0.45,0.45,0.0,0.0,0.0,0.39,0.41,0.39,0.33,0.0,0.0,1.3,0.96,1.01,0.86,0.83,0.79,0.83,0.72,0.67,0.66,0.62,0.58,0.5,0.47,0.42,0.45,0.0,4.12,1.47,1.29,0.94,0.77,0.53,0.44,0.0,0.0,0.0,99.99
07/28/2021,20.9,20.02,5.0,4.46,4.22,3.36,3.63,2.64,2.62,2.32,1.91,0.0,0.0,0.0,1.16,1.24,1.22,1.1,0.0,0.96,0.0,0.7,0.0,0.0,0.79,0.0,0.0,0.74,0.7,0.0,0.0,0.62,0.0,0.0,0.68,0.0,0.0,0.53,0.54,0.5,0.0,0.41,0.13,0.0,0.0,0.45,0.39,0.42,0.38,0.3,1.5,1.31,1.37,0.99,1.03,0.88,0.86,0.79,0.85,0.72,0.69,0.67,0.63,0.58,0.5,0.48,0.43,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,100.02
07/29/2021,21.32,19.14,5.18,4.59,4.47,3.39,3.42,2.55,2.71,2.07,1.8,0.0,0.0,0.0,1.1,1.3,1.26,1.17,0.0,0.99,0.0,0.68,0.0,0.0,0.83,0.0,0.0,0.72,0.63,0.0,0.0,0.56,0.0,0.0,0.69,0.0,0.0,0.54,0.56,0.51,0.0,0.37,0.1,0.0,0.0,0.47,0.35,0.43,0.38,0.23,1.59,1.4,1.43,1.01,1.09,0.9,0.9,0.82,0.89,0.73,0.72,0.68,0.67,0.61,0.51,0.5,0.45,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,100.04999999999998
07/30/2021,21.36,18.96,5.25,4.68,4.48,3.16,3.42,2.53,2.74,2.08,1.64,0.0,0.0,0.0,1.06,1.33,1.26,1.19,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.72,0.63,0.0,0.0,0.5,0.19,0.0,0.7,0.0,0.0,0.0,0.0,0.45,0.0,0.35,0.0,0.0,0.0,0.0,0.35,0.43,0.37,0.23,0.0,0.0,1.48,1.03,1.13,0.92,0.91,0.82,0.91,0.72,0.71,0.69,0.68,0.62,0.52,0.49,0.45,0.49,0.0,0.0,1.64,1.42,1.01,0.84,0.56,0.49,0.0,0.55,0.13,99.98
08/03/2021,21.37,19.37,5.17,4.65,4.14,3.49,3.65,2.56,2.73,2.35,1.84,1.6,1.35,1.45,1.07,1.3,1.4,1.14,0.99,1.0,1.12,0.69,0.93,0.9,0.8,0.87,0.71,0.73,0.72,0.67,0.71,0.61,0.19,0.69,0.68,0.51,0.61,0.53,0.49,0.44,0.5,0.39,0.14,0.5,0.42,0.48,0.38,0.43,0.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/04/2021,21.37,19.37,5.17,4.65,4.14,3.49,3.65,2.56,2.73,2.35,1.84,1.6,1.35,1.45,1.07,1.3,1.4,1.14,0.99,1.0,1.12,0.69,0.93,0.9,0.8,0.87,0.71,0.73,0.72,0.67,0.71,0.61,0.19,0.69,0.68,0.51,0.61,0.53,0.49,0.44,0.5,0.39,0.14,0.5,0.42,0.48,0.38,0.43,0.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/05/2021,21.22,19.68,5.13,4.64,4.14,3.55,3.65,2.58,2.68,2.39,1.82,1.62,1.34,1.41,1.12,1.3,1.35,1.13,0.97,0.98,1.12,0.68,0.91,0.91,0.81,0.88,0.72,0.73,0.73,0.67,0.69,0.61,0.19,0.68,0.68,0.5,0.61,0.53,0.49,0.43,0.49,0.39,0.13,0.49,0.43,0.47,0.37,0.43,0.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/09/2021,21.55,19.51,5.33,4.68,4.08,3.51,3.59,2.56,2.79,1.99,1.76,1.57,1.41,1.37,0.99,1.23,1.51,1.19,1.02,0.99,1.14,0.65,0.91,0.92,0.79,0.93,0.71,0.74,0.75,0.67,0.69,0.62,0.18,0.67,0.69,0.5,0.62,0.53,0.5,0.44,0.49,0.37,0.13,0.49,0.42,0.45,0.37,0.43,0.39,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,21.25,19.36,5.5,4.77,4.16,3.44,3.68,2.58,2.79,2.09,1.84,1.63,1.41,1.37,1.0,1.25,1.43,1.18,1.02,1.0,1.12,0.65,0.92,0.93,0.81,0.9,0.72,0.75,0.71,0.67,0.69,0.63,0.19,0.64,0.7,0.51,0.62,0.53,0.49,0.44,0.48,0.38,0.14,0.43,0.44,0.37,0.37,0.43,0.4,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,21.32,19.13,5.53,4.93,4.14,3.34,3.65,2.51,2.87,2.13,1.77,1.62,1.46,1.34,1.0,1.24,1.46,1.21,1.03,1.02,1.15,0.64,0.94,0.93,0.79,0.9,0.72,0.75,0.66,0.69,0.7,0.63,0.18,0.67,0.72,0.53,0.64,0.54,0.48,0.44,0.49,0.4,0.13,0.44,0.43,0.38,0.36,0.45,0.38,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
08/19/2021,21.69,18.73,5.69,5.08,4.2,3.12,3.54,2.37,2.89,2.03,1.71,1.63,1.47,1.36,0.89,1.25,1.41,1.23,1.05,1.03,1.2,0.68,0.97,0.96,0.8,0.9,0.75,0.74,0.66,0.71,0.72,0.63,0.17,0.69,0.75,0.53,0.65,0.55,0.5,0.45,0.48,0.38,0.12,0.46,0.45,0.4,0.38,0.45,0.36,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,21.54,18.24,5.92,5.24,4.24,3.15,3.5,2.36,2.93,2.04,1.69,1.68,1.42,1.35,0.89,1.28,1.41,1.19,1.06,1.03,1.26,0.67,0.98,0.98,0.82,0.87,0.76,0.75,0.67,0.71,0.72,0.63,0.17,0.71,0.77,0.52,0.67,0.54,0.5,0.46,0.49,0.37,0.13,0.48,0.47,0.41,0.38,0.45,0.35,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/23/2021,22.15,17.43,6.04,5.41,3.89,3.1,3.5,2.35,2.98,1.99,1.64,1.67,1.41,1.34,0.88,1.29,1.48,1.18,1.07,1.05,1.32,0.77,1.0,1.0,0.86,0.91,0.78,0.76,0.68,0.72,0.73,0.6,0.17,0.65,0.79,0.52,0.7,0.55,0.52,0.48,0.47,0.36,0.13,0.49,0.46,0.41,0.4,0.45,0.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/26/2021,21.84,17.17,6.08,5.44,3.79,3.2,3.63,2.4,2.94,2.1,1.75,1.67,1.43,1.31,0.94,1.27,1.51,1.19,1.06,1.04,1.33,0.78,0.99,0.99,0.86,0.93,0.77,0.76,0.67,0.72,0.74,0.65,0.16,0.68,0.8,0.53,0.69,0.54,0.5,0.46,0.49,0.37,0.12,0.5,0.47,0.42,0.41,0.44,0.34,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/27/2021,21.26,17.64,5.9,5.19,3.86,3.15,4.01,2.51,2.87,2.2,2.07,1.68,1.43,1.3,1.01,1.29,1.47,1.19,1.04,1.02,1.29,0.79,0.95,0.91,0.86,0.89,0.75,0.73,0.67,0.69,0.72,0.63,0.19,0.66,0.76,0.51,0.66,0.53,0.5,0.44,0.52,0.38,0.13,0.49,0.47,0.41,0.4,0.43,0.36,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,22.42,16.57,5.89,5.13,3.91,3.04,4.06,2.46,2.91,2.12,1.97,1.67,1.47,1.34,0.95,1.27,1.55,1.21,1.03,1.0,1.33,0.78,0.94,0.9,0.85,0.94,0.74,0.77,0.7,0.71,0.73,0.6,0.2,0.65,0.77,0.53,0.67,0.52,0.5,0.45,0.52,0.38,0.12,0.0,0.5,0.41,0.4,0.44,0.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,22.1,16.8,5.81,5.07,3.81,3.11,4.1,2.49,2.92,2.27,2.04,1.67,1.4,1.33,1.01,1.26,1.53,1.17,1.03,1.0,1.34,0.82,0.94,0.9,0.84,0.92,0.73,0.77,0.71,0.71,0.72,0.62,0.2,0.66,0.77,0.54,0.66,0.53,0.49,0.45,0.52,0.39,0.12,0.49,0.48,0.41,0.41,0.43,0.34,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,22.17,17.1,5.74,4.99,3.76,3.16,4.14,2.54,2.91,2.19,2.07,1.6,1.35,1.36,1.05,1.2,1.56,1.13,1.03,0.99,1.28,0.83,0.92,0.88,0.8,0.91,0.74,0.82,0.76,0.72,0.7,0.62,0.2,0.62,0.78,0.54,0.64,0.54,0.47,0.47,0.5,0.41,0.12,0.46,0.48,0.4,0.42,0.43,0.36,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000001
