,PAH3.DE,HFG.DE,1U1.DE,HEI.DE,JUN3.DE,ZAL.DE,WCH.DE,VOW3.DE,DAI.DE,BMW.DE,MRK.DE,FRE.DE,LXS.DE,IFX.DE,LEG.DE,BNR.DE,DHER.DE,EVT.DE,PUM.DE,TEG.DE,GYC.DE,UTDI.DE,CON.DE,RWE.DE,RTL Group S.A.,DWNI.DE,CBK.DE,Covestro AG,Aroundtown S.A.,FME.DE,O2D.DE,Vonovia SE,DPW.DE,DBK.DE,DTE.DE,UN01.DE,HLE.DE,ALV.DE,EVK.DE,BC8.DE,US Dollar,RRTL.,1COV.DE,AT1.DE,VNA.DE,Us Dollars,AFX.DE,SRT3.,PSM.DE,KGX.DE,VAR1.DE,TLX.DE,FPE3.DE,HEN3.DE,SHA.DE,BLA.BK,Sartorius AG (Preference),n/a,SUM
07/23/2021,4.14,4.27,3.18,0.0,0.86,4.05,2.29,3.24,3.9,3.9,2.65,2.51,4.25,0.0,4.54,2.63,0.0,2.29,1.68,2.65,2.47,1.64,0.0,2.4,0.0,0.0,2.98,3.35,0.0,1.65,3.65,3.55,4.2,1.52,3.34,1.7,0.82,0.0,0.85,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,3.61,0.0,1.69,1.61,0.87,0.84,0.82,0.81,0.77,0.0,1.88,0.0,100.00999999999998
07/26/2021,4.18,4.21,3.21,0.0,0.87,4.06,2.33,3.26,3.91,3.87,2.6,2.56,4.28,0.0,4.56,2.64,0.0,2.31,1.72,2.6,2.44,1.69,0.0,2.41,0.0,0.0,3.01,0.0,0.0,1.63,3.64,0.0,4.22,1.57,3.28,1.71,0.83,0.0,0.84,0.0,0.0,0.0,3.37,0.0,3.59,-0.08,3.7,1.87,1.64,1.61,0.89,0.85,0.82,0.8,0.78,-0.27,0.0,0.0,100.01
07/27/2021,4.18,4.2,3.19,0.0,0.88,4.04,2.32,3.23,4.08,3.91,2.63,2.55,4.22,0.0,4.48,2.63,0.0,2.31,1.72,2.57,2.41,1.68,0.0,2.42,0.0,0.0,2.97,0.0,0.0,1.62,3.62,0.0,4.23,1.57,3.28,1.71,0.82,0.0,0.84,0.0,0.0,0.0,3.37,0.0,3.45,-0.01,3.69,1.86,1.64,1.63,0.9,0.85,0.82,0.79,0.78,-0.08,0.0,0.0,100.0
07/28/2021,4.18,4.2,3.19,0.0,0.88,4.04,2.32,3.23,4.08,3.91,2.63,2.55,4.22,0.0,4.48,2.63,0.0,2.31,1.72,2.57,2.41,1.68,0.0,2.42,0.0,0.0,2.97,0.0,0.0,1.62,3.62,0.0,4.23,1.57,3.28,1.71,0.82,0.0,0.84,0.0,0.0,0.0,3.37,0.0,3.45,-0.01,3.69,1.86,1.64,1.63,0.9,0.85,0.82,0.79,0.78,-0.08,0.0,0.0,100.0
07/29/2021,4.11,4.2,3.17,0.0,0.89,4.02,2.36,3.21,4.1,3.92,2.61,2.54,4.28,0.0,4.42,2.65,0.0,2.26,1.71,2.56,2.41,1.68,0.0,2.4,0.0,0.0,3.02,0.0,0.0,1.61,3.67,0.0,4.22,1.59,3.28,1.74,0.84,0.0,0.84,0.0,0.0,0.0,3.4,0.0,3.37,0.04,3.67,1.84,1.65,1.64,0.9,0.86,0.81,0.79,0.79,-0.05,0.0,0.0,100.02
07/30/2021,4.07,4.19,3.18,0.0,0.93,3.95,2.35,3.17,4.06,3.88,2.64,2.54,4.32,0.0,4.47,2.67,0.0,2.22,1.71,2.57,2.43,1.69,0.0,2.42,0.0,0.0,2.97,0.0,0.0,1.61,3.63,0.0,4.19,1.6,3.31,1.74,0.84,0.0,0.86,0.0,0.0,0.0,3.39,0.0,3.39,0.04,3.7,1.86,1.64,1.63,0.9,0.86,0.83,0.79,0.78,0.0,0.0,0.0,100.02
08/02/2021,4.2,4.04,3.13,0.0,0.93,3.92,2.39,3.22,4.16,3.91,2.63,2.59,4.35,0.0,4.47,2.64,0.0,2.23,1.7,2.55,2.4,1.67,0.0,2.42,0.0,0.0,2.99,0.0,0.0,1.64,3.34,0.0,4.18,1.62,3.26,1.75,0.85,0.0,0.85,0.0,0.0,0.0,3.29,0.0,3.38,0.04,3.78,1.89,1.59,1.66,0.9,0.87,0.83,0.8,0.78,0.15,0.0,0.0,99.99
08/03/2021,4.18,3.98,3.2,0.0,0.93,3.82,2.36,3.23,4.14,3.88,2.65,2.5,4.36,0.0,4.54,2.66,0.0,2.26,1.69,2.59,2.43,1.67,0.0,2.44,0.0,0.0,3.03,3.3,0.0,1.58,3.38,3.41,4.13,1.59,3.25,1.75,0.84,0.0,0.85,0.0,0.19,0.0,0.0,0.0,0.0,0.0,3.84,0.0,1.58,1.65,0.92,0.86,0.85,0.79,0.78,0.0,1.92,0.0,100.0
08/04/2021,4.18,3.98,3.2,0.0,0.93,3.82,2.36,3.23,4.14,3.88,2.65,2.5,4.36,0.0,4.54,2.66,0.0,2.26,1.69,2.59,2.43,1.67,0.0,2.44,0.0,0.0,3.03,3.3,0.0,1.58,3.38,3.41,4.13,1.59,3.25,1.75,0.84,0.0,0.85,0.0,0.19,0.0,0.0,0.0,0.0,0.0,3.84,0.0,1.58,1.65,0.92,0.86,0.85,0.79,0.78,0.0,1.92,0.0,100.0
08/05/2021,4.18,3.98,3.2,0.0,0.93,3.82,2.36,3.23,4.14,3.88,2.65,2.5,4.36,0.0,4.54,2.66,0.0,2.26,1.69,2.59,2.43,1.67,0.0,2.44,0.0,0.0,3.03,3.3,0.0,1.58,3.38,3.41,4.13,1.59,3.25,1.75,0.84,0.0,0.85,0.0,0.19,0.0,0.0,0.0,0.0,0.0,3.84,0.0,1.58,1.65,0.92,0.86,0.85,0.79,0.78,0.0,1.92,0.0,100.0
08/06/2021,4.09,3.9,3.21,0.0,0.94,3.86,2.39,3.19,4.13,3.7,2.66,2.53,4.43,0.0,4.56,2.67,0.0,2.3,1.73,2.61,2.47,1.68,0.0,2.43,0.0,0.0,2.99,0.0,0.0,1.57,3.39,0.0,4.12,1.56,3.24,1.74,0.85,0.0,0.86,0.0,0.0,0.0,3.29,0.0,3.47,0.19,3.86,1.97,1.57,1.62,0.95,0.85,0.87,0.8,0.76,0.0,0.0,0.0,100.0
08/10/2021,4.12,3.8,3.28,0.0,0.92,3.71,2.43,3.21,4.13,3.76,2.74,2.5,4.4,0.0,4.49,2.68,0.0,2.36,1.74,2.62,2.49,1.64,0.0,2.45,0.0,0.0,2.91,0.0,0.0,1.57,3.36,0.0,4.12,1.61,3.25,1.75,0.86,0.0,0.84,0.0,0.0,0.0,3.25,0.0,3.53,0.0,3.86,1.97,1.55,1.62,1.01,0.88,0.87,0.81,0.8,0.0,0.0,0.12,100.01
08/11/2021,4.12,3.8,3.28,0.0,0.92,3.71,2.43,3.21,4.13,3.76,2.74,2.5,4.4,0.0,4.49,2.68,0.0,2.36,1.74,2.62,2.49,1.64,0.0,2.45,0.0,0.0,2.91,0.0,0.0,1.57,3.36,0.0,4.12,1.61,3.25,1.75,0.86,0.0,0.84,0.0,0.0,0.0,3.25,0.0,3.53,0.0,3.86,1.97,1.55,1.62,1.01,0.88,0.87,0.81,0.8,0.0,0.0,0.12,100.01
08/12/2021,4.06,3.82,3.22,0.0,0.91,3.64,2.48,3.17,4.04,3.73,2.78,2.5,4.38,0.0,4.48,2.68,0.0,2.42,1.73,2.61,2.47,1.67,0.0,2.48,0.0,0.0,2.97,0.0,0.0,1.56,3.42,0.0,4.08,1.62,3.27,1.75,0.95,0.0,0.83,0.0,0.0,0.0,3.28,0.0,3.49,0.0,3.89,2.0,1.52,1.62,1.03,0.88,0.86,0.81,0.79,0.0,0.0,0.12,100.01000000000002
08/13/2021,4.02,4.15,3.22,0.0,0.91,3.61,2.49,3.16,4.01,3.72,2.8,2.49,4.39,0.0,4.44,2.67,0.0,2.41,1.73,2.58,2.46,1.68,0.0,2.49,0.0,0.0,2.93,0.0,0.0,1.58,3.42,0.0,4.04,1.61,3.26,1.75,0.94,0.0,0.84,0.0,0.0,0.0,3.32,0.0,3.45,0.0,3.82,2.01,1.51,1.62,1.02,0.88,0.86,0.81,0.78,0.0,0.0,0.12,100.0
08/16/2021,4.07,4.01,3.21,0.0,0.87,3.64,2.47,3.19,4.05,3.76,2.87,2.51,4.21,0.0,4.53,2.64,0.0,2.56,1.72,2.63,2.5,1.65,0.0,2.45,0.0,0.0,2.94,0.0,0.0,1.57,3.43,0.0,4.1,1.6,3.33,1.73,0.88,0.0,0.84,0.0,0.0,0.0,3.31,0.0,3.47,0.0,3.72,1.98,1.51,1.64,0.94,0.9,0.86,0.79,0.77,0.0,0.0,0.12,99.97000000000001
