,VACN.SW,LOGN.SW,ABBN.SW,KNIN.SW,SIGN.SW,SCMN.SW,SPSN.SW,DUFN.SW,Sika AG (Registered),SFSN.SW,BKW.SW,BAER.SW,BUCN.SW,UBSG.SW,Holcim Ltd.,BANB.SW,PGHN.SW,ROG.SW,CSGN.SW,SLHN.SW,Helvetia Holding AG,VONN.SW,PSPN.SW,Compagnie Financiere Richemont S.A.,SWON.SW,NESN.SW,TECN.SW,EMMN.SW,SREN.SW,CLN.SW,ZURN.SW,BALN.SW,STMN.SW,FI-N.SW,LONN.SW,Chocoladefabriken Lindt & Spruengli AG (Participation Certificates),BARN.SW,NOVN.SW,Vifor Pharma AG,BCVN.SW,US Dollar,SIKA.SW,HOLN.SW,HELN.SW,RITN.,LISP.SW,VIFN.SW,Us Dollars,SUN.SW,GEBN.SW,SOON.SW,DAE.SW,UHR.SW,GIVN.SW,018000.KQ,n/a,CFR.SW,MEDX.SW,SUM
07/23/2021,3.62,4.06,3.38,4.11,3.35,4.28,4.26,0.0,2.57,2.45,4.18,1.55,0.0,3.16,3.07,4.43,0.86,1.72,3.04,2.43,2.39,1.76,3.45,3.21,0.0,0.84,0.86,0.88,0.0,4.19,1.6,2.44,2.76,0.84,0.0,0.0,0.87,1.65,0.85,0.8,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,2.6,2.49,1.71,1.57,1.73,0.0,0.0,0.0,0.0,99.97
07/26/2021,3.64,4.05,3.45,3.9,3.27,4.22,4.25,0.0,0.0,2.5,4.2,1.6,0.0,3.33,0.0,4.39,0.88,1.61,3.09,2.52,0.0,1.76,3.35,0.0,0.0,0.81,0.86,0.85,0.0,4.2,1.61,2.47,2.75,0.85,0.0,0.0,0.86,1.62,0.0,0.79,0.0,2.54,3.12,2.43,3.3,0.0,0.85,-0.04,4.17,2.59,2.46,1.67,1.55,1.69,0.0,0.0,0.0,0.0,100.01
07/27/2021,3.65,4.0,3.48,3.94,3.28,4.18,4.2,0.0,0.0,2.49,4.22,1.6,0.0,3.35,0.0,4.37,0.88,1.61,3.1,2.52,0.0,1.75,3.33,0.0,0.0,0.81,0.88,0.85,0.0,4.19,1.6,2.44,2.72,0.85,0.0,0.0,0.86,1.63,0.0,0.78,0.0,2.57,3.11,2.43,3.36,0.0,0.86,-0.04,4.16,2.6,2.46,1.69,1.57,1.69,0.0,0.0,0.0,0.0,100.02
07/28/2021,3.65,4.0,3.48,3.94,3.28,4.18,4.2,0.0,0.0,2.49,4.22,1.6,0.0,3.35,0.0,4.37,0.88,1.61,3.1,2.52,0.0,1.75,3.33,0.0,0.0,0.81,0.88,0.85,0.0,4.19,1.6,2.44,2.72,0.85,0.0,0.0,0.86,1.63,0.0,0.78,0.0,2.57,3.11,2.43,3.36,0.0,0.86,-0.04,4.16,2.6,2.46,1.69,1.57,1.69,0.0,0.0,0.0,0.0,100.02
07/29/2021,3.66,4.01,3.48,3.94,3.24,4.17,4.22,0.0,0.0,2.49,4.22,1.59,0.0,3.4,0.0,4.31,0.88,1.6,3.15,2.53,0.0,1.75,3.37,0.0,0.0,0.8,0.9,0.84,0.0,4.21,1.61,2.45,2.68,0.84,0.0,0.0,0.86,1.6,0.0,0.78,0.0,2.54,3.13,2.44,3.39,0.0,0.85,-0.04,4.2,2.57,2.43,1.67,1.58,1.66,0.0,0.0,0.0,0.0,100.0
07/30/2021,3.66,3.64,3.49,3.93,3.28,4.21,4.27,0.0,0.0,2.48,4.24,1.56,0.0,3.41,0.0,4.34,0.88,1.61,3.15,2.54,0.0,1.78,3.42,0.0,0.0,0.81,0.9,0.85,0.0,4.27,1.61,2.45,2.7,0.85,0.0,0.0,0.87,1.61,0.0,0.79,0.0,2.53,3.13,2.45,3.33,0.0,0.86,-0.04,4.22,2.58,2.43,1.68,1.55,1.69,0.0,0.0,0.0,0.0,100.01
08/02/2021,3.74,3.53,3.45,3.87,3.41,4.16,4.24,0.0,0.0,2.47,4.22,1.61,0.0,3.43,0.0,4.36,0.9,1.61,3.04,2.53,0.0,1.79,3.39,0.0,0.0,0.8,0.92,0.84,0.0,4.18,1.6,2.43,2.75,0.87,0.0,0.0,0.86,1.6,0.0,0.78,0.0,2.56,3.13,2.43,3.38,0.0,0.85,-0.04,4.27,2.61,2.47,1.71,1.56,1.68,0.0,0.0,0.0,0.0,99.99
08/03/2021,3.74,3.58,3.42,3.91,3.44,4.18,4.26,0.0,2.56,2.46,4.2,1.61,0.0,3.42,3.1,4.43,0.89,1.63,3.04,2.53,2.41,1.79,3.38,3.35,0.0,0.81,0.92,0.85,0.0,4.14,1.6,2.41,2.77,0.86,0.0,0.0,0.87,1.61,0.86,0.79,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,2.6,2.48,1.7,1.54,1.7,0.0,0.0,0.0,0.0,100.01
08/04/2021,3.74,3.58,3.42,3.91,3.44,4.18,4.26,0.0,2.56,2.46,4.2,1.61,0.0,3.42,3.1,4.43,0.89,1.63,3.04,2.53,2.41,1.79,3.38,3.35,0.0,0.81,0.92,0.85,0.0,4.14,1.6,2.41,2.77,0.86,0.0,0.0,0.87,1.61,0.86,0.79,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,2.6,2.48,1.7,1.54,1.7,0.0,0.0,0.0,0.0,100.01
08/05/2021,3.75,3.53,3.39,3.89,3.48,4.16,4.27,0.0,2.55,2.44,4.17,1.61,0.0,3.43,3.1,4.53,0.9,1.62,3.1,2.52,2.42,1.77,3.4,3.39,0.0,0.8,0.94,0.84,0.0,4.13,1.6,2.41,2.79,0.86,0.0,0.0,0.87,1.6,0.85,0.78,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,2.6,2.49,1.72,1.55,1.69,0.0,0.0,0.0,0.0,100.0
08/06/2021,3.68,3.51,3.41,3.88,3.48,4.18,4.27,0.0,0.0,2.41,4.15,1.6,0.0,3.41,0.0,4.63,0.9,1.63,3.1,2.53,0.0,1.77,3.38,0.0,0.0,0.8,0.93,0.84,0.0,4.14,1.6,2.42,2.77,0.86,0.0,0.0,0.87,1.59,0.0,0.79,0.0,2.55,3.08,2.43,3.39,0.0,0.86,-0.04,4.17,2.59,2.5,1.71,1.55,1.69,0.0,0.0,0.0,0.0,100.01
08/10/2021,3.69,3.55,3.45,3.84,3.41,4.13,4.26,0.0,0.0,2.39,4.13,1.64,0.0,3.49,0.0,4.41,0.91,1.63,3.19,2.56,0.0,1.82,3.37,0.0,0.0,0.79,0.92,0.85,0.0,4.2,1.65,2.46,2.78,0.87,0.0,0.0,0.86,1.59,0.0,0.79,0.0,2.56,3.06,2.48,3.32,0.0,0.84,0.0,4.18,2.61,2.53,1.7,1.54,1.68,0.0,-0.11,0.0,0.0,100.02
08/11/2021,3.69,3.55,3.45,3.84,3.41,4.13,4.26,0.0,0.0,2.39,4.13,1.64,0.0,3.49,0.0,4.41,0.91,1.63,3.19,2.56,0.0,1.82,3.37,0.0,0.0,0.79,0.92,0.85,0.0,4.2,1.65,2.46,2.78,0.87,0.0,0.0,0.86,1.59,0.0,0.79,0.0,2.56,3.06,2.48,3.32,0.0,0.84,0.0,4.18,2.61,2.53,1.7,1.54,1.68,0.0,-0.11,0.0,0.0,100.02
08/13/2021,3.7,3.54,3.46,3.83,3.48,4.13,4.23,0.0,0.0,2.32,4.17,1.64,0.0,3.51,0.0,4.43,0.92,1.67,3.18,2.59,0.0,1.8,3.34,0.0,0.0,0.79,0.92,0.85,0.0,4.25,1.66,2.47,2.66,0.87,0.0,0.0,0.86,1.6,0.0,0.79,0.0,2.59,3.05,2.49,3.29,0.0,0.84,0.0,4.19,2.63,2.48,1.71,1.5,1.68,0.0,-0.11,0.0,0.0,100.0
08/16/2021,3.67,3.56,3.48,3.93,3.37,4.11,4.25,0.0,0.0,2.35,4.18,1.64,0.0,3.5,0.0,4.34,0.9,1.67,3.14,2.59,0.0,1.82,3.34,0.0,0.0,0.78,0.9,0.86,0.0,4.21,1.73,2.47,2.72,0.87,0.0,0.0,0.86,1.61,0.0,0.78,0.0,2.59,3.08,2.48,3.26,0.0,0.86,0.0,4.28,2.65,2.46,1.68,1.47,1.68,0.0,-0.11,0.0,0.0,100.01
08/17/2021,3.67,3.56,3.48,3.93,3.37,4.11,4.25,0.0,0.0,2.35,4.18,1.64,0.0,3.5,0.0,4.34,0.9,1.67,3.14,2.59,0.0,1.82,3.34,0.0,0.0,0.78,0.9,0.86,0.0,4.21,1.73,2.47,2.72,0.87,0.0,0.0,0.86,1.61,0.0,0.78,0.0,2.59,3.08,2.48,3.26,0.0,0.86,0.0,4.28,2.65,2.46,1.68,1.47,1.68,0.0,-0.11,0.0,0.0,100.01
08/18/2021,3.66,3.48,3.49,3.93,3.36,4.1,4.25,0.0,0.0,2.34,4.19,1.65,0.0,3.5,0.0,4.33,0.91,1.67,3.11,2.61,0.0,1.84,3.36,0.0,0.0,0.79,0.89,0.86,0.0,4.24,1.74,2.48,2.68,0.88,0.0,0.0,0.86,1.61,0.0,0.79,0.0,2.6,3.08,2.51,3.24,0.0,0.87,0.0,4.3,2.63,2.45,1.7,1.45,1.69,0.0,-0.11,0.0,0.0,100.01
08/19/2021,3.67,3.48,3.49,3.95,3.36,4.11,4.27,0.0,0.0,2.32,4.22,1.65,0.0,3.48,0.0,4.4,0.91,1.68,3.09,2.62,0.0,1.84,3.37,0.0,0.0,0.79,0.9,0.0,0.0,4.22,1.73,2.49,2.73,0.88,0.0,0.0,0.86,1.62,0.0,0.79,0.0,2.59,3.04,2.51,3.17,0.0,0.86,0.0,4.24,2.64,2.46,1.71,1.43,1.69,0.86,-0.11,0.0,0.0,100.01
08/20/2021,3.7,3.49,3.47,4.12,3.39,4.1,4.22,0.0,0.0,2.33,4.23,1.65,0.0,3.46,0.0,4.48,0.92,1.68,3.08,2.57,0.0,1.82,3.29,0.0,0.0,0.8,0.91,0.87,0.0,4.19,1.72,2.47,2.76,0.88,0.0,0.0,0.87,1.63,0.0,0.77,0.0,2.58,3.01,2.5,3.1,0.0,0.84,0.0,4.22,2.63,2.45,1.68,1.41,1.7,0.0,0.0,0.0,0.0,99.99
08/23/2021,3.77,3.4,3.49,4.11,3.39,4.12,4.28,0.0,0.0,2.32,4.33,1.65,0.0,3.43,0.0,4.58,0.91,1.71,3.09,2.55,0.0,1.85,3.31,0.0,0.0,0.81,0.96,0.92,0.0,4.18,1.74,2.47,2.76,0.87,0.0,0.0,0.88,1.62,0.0,0.79,0.0,2.58,2.96,2.52,2.84,0.0,0.86,0.0,4.24,2.6,2.44,1.69,1.28,1.71,0.0,0.0,0.0,0.0,100.01
08/24/2021,3.8,3.42,3.49,4.04,3.43,4.12,4.26,0.0,0.0,2.31,4.32,1.65,0.0,3.42,0.0,4.7,0.92,1.68,3.07,2.54,0.0,1.85,3.27,0.0,0.0,0.8,0.99,0.92,0.0,4.13,1.74,2.48,2.77,0.86,0.0,0.0,0.87,1.61,0.0,0.78,0.0,2.59,2.94,2.52,2.81,0.0,0.88,0.0,4.25,2.62,2.46,1.69,1.29,1.71,0.0,0.0,0.0,0.0,100.0
08/25/2021,3.8,3.42,3.49,4.04,3.43,4.12,4.26,0.0,0.0,2.31,4.32,1.65,0.0,3.42,0.0,4.7,0.92,1.68,3.07,2.54,0.0,1.85,3.27,0.0,0.0,0.8,0.99,0.92,0.0,4.13,1.74,2.48,2.77,0.86,0.0,0.0,0.87,1.61,0.0,0.78,0.0,2.59,2.94,2.52,0.0,0.0,0.88,0.0,4.25,2.62,2.46,1.69,1.29,1.71,0.0,0.0,2.81,0.0,100.0
08/26/2021,5.0,4.68,4.56,4.53,4.39,3.97,3.79,3.54,0.0,3.64,3.48,3.4,3.42,3.26,0.0,2.98,2.9,2.43,2.44,2.35,0.0,2.21,2.14,0.0,1.8,1.59,1.52,1.49,1.44,1.4,1.43,1.31,1.02,0.86,0.83,0.0,0.73,0.72,0.0,0.62,0.0,3.59,3.28,2.29,0.0,0.76,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,98.42
08/27/2021,3.78,3.43,3.48,4.1,3.46,4.05,4.23,0.0,0.0,2.26,4.27,1.63,0.0,3.42,0.0,4.86,0.92,1.66,3.1,2.55,0.0,1.86,3.25,0.0,0.0,0.79,1.0,0.92,0.0,4.16,1.73,2.48,2.72,0.86,0.0,0.0,0.87,1.58,0.0,0.76,0.0,2.6,2.97,2.53,0.0,0.0,0.86,0.0,4.28,2.6,2.39,1.67,1.29,1.7,0.0,0.0,2.92,0.0,99.98999999999998
08/30/2021,3.83,3.39,3.45,4.07,3.5,4.03,4.2,0.0,0.0,2.32,4.25,1.65,0.0,3.44,0.0,4.82,0.92,1.66,3.17,2.55,0.0,1.87,3.27,0.0,0.0,0.79,0.98,0.9,0.0,4.15,1.71,2.46,2.79,0.86,0.0,0.0,0.86,1.58,0.0,0.75,0.0,2.59,2.98,2.52,0.0,0.0,0.86,0.0,4.25,2.61,2.39,1.67,1.31,1.69,0.0,0.0,2.92,0.0,100.01
08/31/2021,3.86,3.33,3.42,4.12,3.51,4.01,4.22,0.0,0.0,2.32,4.27,1.65,0.0,3.42,0.0,4.82,0.91,1.65,3.15,2.54,0.0,1.86,3.33,0.0,0.0,0.79,0.98,0.9,0.0,4.17,1.7,2.45,2.8,0.86,0.0,0.0,0.87,1.57,0.0,0.74,0.0,2.59,2.98,2.51,0.0,0.0,0.87,0.0,4.26,2.61,2.42,1.66,1.3,1.69,0.0,0.0,2.9,0.0,100.01
09/01/2021,3.86,3.33,3.42,4.12,3.51,4.01,4.22,0.0,0.0,2.32,4.27,1.65,0.0,3.42,0.0,4.82,0.91,1.65,3.15,2.54,0.0,1.86,3.33,0.0,0.0,0.79,0.98,0.9,0.0,4.17,1.7,2.45,2.8,0.86,0.0,0.0,0.87,1.57,0.0,0.74,0.0,2.59,2.98,2.51,0.0,0.0,0.87,0.0,4.26,2.61,2.42,1.66,1.3,1.69,0.0,0.0,2.9,0.0,100.01
09/02/2021,3.99,3.37,3.43,4.17,3.49,4.0,4.23,0.0,0.0,2.35,4.3,1.64,0.0,3.39,0.0,4.78,0.91,1.64,3.14,2.53,0.0,1.86,3.34,0.0,0.0,0.79,0.98,0.9,0.0,4.18,1.69,2.41,2.81,0.86,0.0,0.0,0.86,1.56,0.0,0.73,0.0,2.59,2.97,2.49,0.0,0.0,0.86,0.0,4.24,2.6,2.42,1.66,1.29,1.69,0.0,0.0,2.86,0.0,100.0
09/06/2021,4.0,3.24,3.42,4.19,3.46,3.95,4.19,0.0,0.0,2.36,4.34,1.64,0.0,3.39,0.0,4.85,0.91,1.64,3.14,2.52,0.0,1.91,3.27,0.0,0.0,0.78,1.0,0.88,0.0,4.13,1.7,2.42,2.88,0.87,0.0,0.0,0.85,1.56,0.0,0.73,0.0,2.58,2.94,2.48,0.0,0.0,0.87,0.0,4.33,2.6,2.45,1.64,1.3,1.67,0.0,0.0,2.91,0.0,99.99
09/07/2021,4.04,3.31,3.45,4.19,3.48,3.98,4.18,0.0,0.0,2.37,4.38,1.63,0.0,3.4,0.0,4.82,0.91,1.65,3.14,2.51,0.0,1.93,3.25,0.0,0.0,0.79,0.98,0.89,0.0,4.12,1.69,2.41,2.85,0.88,0.0,0.0,0.85,1.55,0.0,0.74,0.0,2.57,2.94,2.48,0.0,0.0,0.87,0.0,4.27,2.59,2.43,1.66,1.28,1.68,0.0,0.0,2.85,0.0,99.99
09/08/2021,4.04,3.31,3.45,4.19,3.48,3.98,4.18,0.0,0.0,2.37,4.38,1.63,0.0,3.4,0.0,4.82,0.91,1.65,3.14,2.51,0.0,1.93,3.25,0.0,0.0,0.79,0.98,0.89,0.0,4.12,1.69,2.41,2.85,0.88,0.0,0.0,0.85,1.55,0.0,0.74,0.0,2.57,2.94,2.48,0.0,0.0,0.87,0.0,4.27,2.59,2.43,1.66,1.28,1.68,0.0,0.0,2.85,0.0,99.99
09/09/2021,4.04,3.31,3.45,4.19,3.48,3.98,4.18,0.0,0.0,2.37,4.38,1.63,0.0,3.4,0.0,4.82,0.91,1.65,3.14,2.51,0.0,1.93,3.25,0.0,0.0,0.79,0.98,0.89,0.0,4.12,1.69,2.41,2.85,0.88,0.0,0.0,0.85,1.55,0.0,0.74,0.0,2.57,2.94,2.48,0.0,0.0,0.87,0.0,4.27,2.59,2.43,1.66,1.28,1.68,0.0,0.0,2.85,0.0,99.99
09/10/2021,4.16,3.33,3.39,4.29,3.53,3.98,4.13,0.0,0.0,2.36,4.34,1.65,0.0,3.41,0.0,4.85,0.91,1.63,3.15,2.52,0.0,1.92,3.16,0.0,0.0,0.79,0.99,0.88,0.0,4.11,1.68,2.39,2.87,0.88,0.0,0.0,0.84,1.53,0.0,0.73,0.0,2.56,2.73,2.46,0.0,0.0,0.87,0.0,4.33,2.6,2.48,1.63,1.33,1.66,0.0,0.0,2.95,0.0,100.0
09/13/2021,4.06,3.28,3.39,4.32,3.48,4.01,4.1,0.0,0.0,2.35,4.26,1.66,0.0,3.41,0.0,5.09,0.89,1.58,3.2,2.52,0.0,1.91,3.21,0.0,0.0,0.79,1.01,0.88,0.0,4.11,1.71,2.38,2.89,0.88,0.0,0.0,0.84,1.5,0.0,0.72,0.0,2.55,2.73,2.48,0.0,0.0,0.86,0.0,4.3,2.61,2.46,1.6,1.33,1.67,0.0,0.01,2.97,0.0,100.0
09/14/2021,4.13,3.3,3.41,4.28,3.52,3.97,4.03,0.0,0.0,2.34,4.2,1.65,0.0,3.42,0.0,5.18,0.9,1.57,3.16,2.5,0.0,1.9,3.19,0.0,0.0,0.79,1.02,0.86,0.0,4.1,1.7,2.37,2.93,0.88,0.0,0.0,0.82,1.48,0.0,0.72,0.0,2.55,2.74,2.47,0.0,0.0,0.85,0.0,4.27,2.61,2.48,1.6,1.34,1.67,0.0,0.01,3.06,0.0,99.97
09/15/2021,4.13,3.3,3.41,4.28,3.52,3.97,4.03,0.0,0.0,2.34,4.2,1.65,0.0,3.42,0.0,5.18,0.9,1.57,3.16,2.5,0.0,1.9,3.19,0.0,0.0,0.79,1.02,0.86,0.0,4.1,1.7,2.37,2.93,0.88,0.0,0.0,0.82,1.48,0.0,0.72,0.0,2.55,2.74,2.47,0.0,0.0,0.85,0.0,4.27,2.61,2.48,1.6,1.34,1.67,0.0,0.01,3.06,0.0,99.97
09/16/2021,4.13,3.21,3.41,4.25,3.54,3.98,4.1,0.0,0.0,2.33,4.25,1.67,0.0,3.45,0.0,5.14,0.89,1.55,3.2,2.53,0.0,1.9,3.23,0.0,0.0,0.79,0.99,0.86,0.0,4.12,1.71,2.39,2.89,0.88,0.0,0.0,0.82,1.48,0.0,0.72,0.0,2.55,2.76,2.52,0.0,0.0,0.84,0.0,4.24,2.61,2.45,1.6,1.32,1.67,0.0,0.01,3.03,0.0,100.01
09/17/2021,4.13,3.21,3.41,4.25,3.54,3.98,4.1,0.0,0.0,2.33,4.25,1.67,0.0,3.45,0.0,5.14,0.89,1.55,3.2,2.53,0.0,1.9,3.23,0.0,0.0,0.79,0.99,0.86,0.0,4.12,1.71,2.39,2.89,0.88,0.0,0.0,0.82,1.48,0.0,0.72,0.0,2.55,2.76,2.52,0.0,0.0,0.84,0.0,4.24,2.61,2.45,1.6,1.32,1.67,0.0,0.01,3.03,0.0,100.01
09/20/2021,4.24,3.18,3.41,4.48,3.55,4.02,4.03,0.0,0.0,2.3,4.2,1.67,0.0,3.46,0.0,5.41,0.9,1.57,3.1,2.52,0.0,1.88,3.16,0.0,0.0,0.79,1.02,0.85,0.0,4.05,1.7,2.37,2.99,0.88,0.0,0.0,0.81,1.48,0.0,0.69,0.0,2.56,2.75,2.39,0.0,0.0,0.83,0.0,4.21,2.59,2.56,1.66,1.27,1.68,0.0,0.01,2.82,0.0,100.04
09/21/2021,4.36,3.12,3.37,4.47,3.48,4.04,4.03,0.0,0.0,2.3,4.26,1.65,0.0,3.45,0.0,5.65,0.91,1.57,3.12,2.53,0.0,1.89,3.09,0.0,0.0,0.79,1.0,0.84,0.0,3.92,1.67,2.35,3.04,0.86,0.0,0.0,0.82,1.47,0.0,0.69,0.0,2.56,2.69,2.4,0.0,0.0,0.81,0.0,4.16,2.57,2.61,1.65,1.31,1.66,0.0,0.01,2.83,0.0,100.0
09/22/2021,4.36,3.12,3.37,4.47,3.48,4.04,4.03,0.0,0.0,2.3,4.26,1.65,0.0,3.45,0.0,5.65,0.91,1.57,3.12,2.53,0.0,1.89,3.09,0.0,0.0,0.79,1.0,0.84,0.0,3.92,1.67,2.35,3.04,0.86,0.0,0.0,0.82,1.47,0.0,0.69,0.0,2.56,2.69,2.4,0.0,0.0,0.81,0.0,4.16,2.57,2.61,1.65,1.31,1.66,0.0,0.01,2.83,0.0,100.0
09/27/2021,4.38,3.24,3.33,4.47,3.46,4.04,4.04,0.0,0.0,2.35,4.29,1.6,0.0,3.28,0.0,5.75,0.93,1.57,2.96,2.5,0.0,1.79,3.09,0.0,0.0,0.8,0.99,0.87,0.0,3.95,1.67,2.34,3.09,0.86,0.0,0.0,0.82,1.46,0.0,0.68,0.0,2.59,2.63,2.42,0.0,0.0,0.8,0.0,4.22,2.58,2.64,1.77,1.28,1.66,0.0,0.01,2.8,0.0,100.0
10/01/2021,3.93,3.1,3.32,4.28,3.35,4.16,4.13,0.0,0.0,2.4,4.39,1.71,0.0,3.5,0.0,5.31,0.86,1.59,3.21,2.59,0.0,1.84,3.2,0.0,0.0,0.8,0.92,0.85,0.0,4.03,1.72,2.45,2.88,0.85,0.0,0.0,0.81,1.51,0.0,0.72,0.0,2.47,2.75,2.58,0.0,0.0,0.82,0.0,4.31,2.47,2.54,1.79,1.3,1.63,0.0,0.07,2.88,0.0,100.02
