,688202.SS,Cash,688202.SS.1,688202.SS.2,688202.SS.3,XOM,CVX,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,COP,EOG,SLB,MPC,PXD,PSX,KMI,WMB,VLO,OXY,OKE,HES,HAL,LNG,DVN,FANG,BKR,TPL,MRO,TRGP,OVV,APA,FSLR,XEC,COG,OGE,EQT,NOV,HFC,FTI,ETRN,CLR,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,688202.SS.14,688202.SS.15,688202.SS.16,688202.SS.17,Dj U.S. Oil & Gas Index Swap Goldman Sachs International,Dj U.S. Oil & Gas Index Swap Societe Generale,Dj U.S. Oil & Gas Index Swap Ubs Ag,Dj U.S. Oil & Gas Index Swap Citibank Na,Ishares U.S. Energy (Iye) Swap Bank Of America Na,Ishares U.S. Energy (Iye) Swap Morgan Stanley & Co. International Plc,Ishares U.S. Energy (Iye) Swap Goldman Sachs International,Dj U.S. Oil & Gas Index Swap Bank Of America Na,Dj U.S. Oil & Gas Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Oil & Gas Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Oil & Gas Index Swap Bank Of America Na - Cash Offset,Ishares U.S. Energy (Iye) Swap Goldman Sachs International - Cash Offset,Ishares U.S. Energy (Iye) Swap Morgan Stanley & Co. International Plc - Cas,Ishares U.S. Energy (Iye) Swap Bank Of America Na - Cash Offset,Dj U.S. Oil & Gas Index Swap Citibank Na - Cash Offset,Dj U.S. Oil & Gas Index Swap Ubs Ag - Cash Offset,Dj U.S. Oil & Gas Index Swap Societe Generale - Cash Offset,Dj U.S. Oil & Gas Index Swap Goldman Sachs International - Cash Offset,SUM
07/23/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
07/26/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
07/27/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
07/28/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
07/29/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
07/30/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
08/02/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
08/03/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
08/04/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99
08/05/2021,0.0,23.84,0.0,0.0,0.0,17.99,13.64,0.0,0.0,0.0,0.0,0.0,5.54,3.28,3.02,2.6,2.54,2.53,2.39,2.17,2.15,1.77,1.67,1.61,1.39,1.35,1.17,1.14,1.12,0.84,0.72,0.68,0.55,0.55,0.52,0.5,0.47,0.45,0.42,0.4,0.33,0.26,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,20.22,19.91,18.36,9.04,8.24,7.27,6.51,5.98,-5.98,-6.51,-7.27,-8.24,-9.04,-18.36,-19.91,-20.22,-28.12,99.99000000000001
