,BIIB,ILMN,CTLT,TECH,ALXN,GILD,QGEN,AMGN,FLGT,FGEN,ALKS,RGNX,RGEN,IONS,CSII,MYGN,HALO,EBS,OPK,SGMO,VCYT,IRWD,VCEL,NBIX,UTHR,PGEN,XNCR,BPMC,ARWR,EXEL,AGPXX,Exelixis Inc,Securities Lending - Bnym,Cash/Receivables/Payables,FibroGen Inc,Interest/Overdraft,AZN,n/a,688008.SS,INCY,DVAX,CLDX,PRTA,CDMO,DRNA,CDNA,SUM
07/23/2021,5.72,5.95,5.28,5.39,5.0,5.06,5.02,4.95,3.0,1.84,2.94,2.94,2.99,2.75,2.63,2.89,2.63,3.04,2.62,2.58,2.65,2.85,2.61,2.61,2.63,2.29,2.27,2.38,2.43,2.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,5.94,6.1,5.54,5.56,0.0,5.16,5.27,5.04,3.24,0.0,3.04,3.02,3.12,2.89,2.75,3.04,2.73,3.05,2.75,2.65,2.72,2.96,2.71,2.76,2.72,2.35,2.3,2.43,2.5,2.06,1.65,0.0,0.0,0.0,1.79,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,6.01,6.3,5.68,5.7,0.0,5.27,5.42,5.17,3.43,0.0,3.12,2.88,3.23,2.97,2.82,3.06,2.8,3.14,2.75,2.62,2.83,3.01,2.77,2.81,2.74,2.32,2.29,2.44,2.55,2.06,0.0,0.0,0.0,0.0,1.77,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/28/2021,6.01,6.3,5.68,5.7,0.0,5.27,5.42,5.17,3.43,0.0,3.12,2.88,3.23,2.97,2.82,3.06,2.8,3.14,2.75,2.62,2.83,3.01,2.77,2.81,2.74,2.32,2.29,2.44,2.55,2.06,0.0,0.0,0.0,0.0,1.77,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/29/2021,6.21,6.33,5.59,5.75,0.0,5.31,5.4,5.18,3.57,0.0,3.15,2.78,3.2,2.96,2.85,3.08,2.78,3.07,2.73,2.58,2.73,3.06,2.72,2.76,2.76,2.37,2.28,2.39,2.52,2.06,0.0,0.0,0.0,0.0,1.76,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,6.23,6.25,5.62,5.75,0.0,5.31,5.44,5.16,3.58,0.0,3.11,2.71,3.51,2.87,2.9,2.99,2.71,3.08,2.77,2.56,2.7,3.06,2.8,2.71,2.8,2.34,2.27,2.38,2.48,2.07,0.08,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,6.05,6.22,5.79,5.78,0.0,5.3,5.41,5.03,3.5,0.0,3.24,2.66,3.68,2.85,2.92,2.98,2.66,3.16,2.81,2.55,2.81,3.02,2.78,2.63,2.72,2.36,2.28,2.43,2.53,2.06,0.08,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,5.99,6.26,5.8,5.75,0.0,5.17,5.45,5.0,3.5,1.72,3.27,2.64,3.74,2.87,2.87,3.01,2.67,3.18,2.58,2.51,3.18,3.04,2.73,2.64,2.68,2.33,2.2,2.52,2.56,2.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,5.99,6.26,5.8,5.75,0.0,5.17,5.45,5.0,3.5,1.72,3.27,2.64,3.74,2.87,2.87,3.01,2.67,3.18,2.58,2.51,3.18,3.04,2.73,2.64,2.68,2.33,2.2,2.52,2.56,2.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,6.07,6.22,5.82,5.79,0.0,5.17,5.45,4.96,3.52,1.76,3.4,2.6,3.77,2.91,2.72,2.94,2.62,3.08,2.66,2.52,3.13,3.04,2.73,2.71,2.65,2.38,2.2,2.49,2.51,2.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,5.99,6.32,5.75,5.69,0.0,5.09,5.3,4.71,4.09,1.78,3.44,2.55,3.77,2.96,2.73,3.28,2.54,2.89,2.74,2.54,3.32,2.96,2.54,2.55,2.94,2.29,2.24,2.49,2.44,2.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/12/2021,6.12,6.27,5.79,5.61,0.0,5.09,5.3,4.63,4.09,1.79,3.55,2.6,3.82,2.93,2.66,3.13,2.57,2.91,2.76,2.55,3.29,2.99,2.5,2.47,3.01,2.34,2.15,2.66,2.28,2.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/13/2021,6.15,6.36,5.75,5.51,0.0,5.22,5.32,4.7,3.68,1.74,3.61,2.54,3.79,2.99,2.59,3.14,2.65,2.9,2.76,2.64,3.11,3.08,2.4,2.45,3.0,2.55,2.25,2.69,2.25,2.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,6.17,6.37,5.76,5.47,0.0,5.3,5.22,4.67,3.72,1.64,3.62,2.53,3.84,3.01,2.58,3.16,2.66,2.99,2.78,2.64,3.0,3.13,2.43,2.42,2.96,2.57,2.25,2.68,2.18,2.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,6.25,6.58,5.82,5.66,0.0,5.39,5.33,4.75,3.62,1.58,3.53,2.51,3.88,2.97,2.6,3.17,2.65,2.87,2.71,2.48,2.75,3.04,2.49,2.53,2.92,2.47,2.25,2.64,2.23,2.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/20/2021,6.32,6.51,5.76,5.58,0.0,5.45,5.31,4.72,3.47,1.56,3.63,2.53,3.86,2.96,2.59,3.15,2.6,2.99,2.75,2.5,2.68,3.04,2.53,2.56,2.96,2.47,2.29,2.66,2.21,2.29,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/23/2021,6.3,6.03,5.95,5.76,0.0,5.51,5.53,4.72,3.38,1.54,3.83,2.41,4.02,2.97,2.62,3.28,2.53,2.99,2.63,2.4,2.69,3.02,2.61,2.57,3.01,2.37,2.23,2.67,2.19,2.21,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/25/2021,6.22,6.1,5.93,5.68,0.0,5.44,5.49,4.6,3.43,0.0,3.8,2.4,3.97,3.02,2.59,3.3,2.54,3.03,2.73,2.43,2.77,3.01,2.57,2.57,2.99,2.37,2.25,2.67,2.2,2.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,6.2,5.9,5.92,5.59,0.0,5.36,5.45,4.57,3.5,1.58,3.71,2.53,3.96,2.95,2.55,3.28,2.57,3.01,2.83,2.54,2.81,2.93,2.65,2.57,2.98,2.52,2.29,2.69,2.25,2.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,6.25,5.91,5.97,5.73,0.0,5.34,5.46,4.54,3.47,1.56,3.75,2.52,4.02,3.02,2.52,3.26,2.55,2.96,2.77,2.51,2.93,2.96,2.65,2.56,2.96,2.42,2.23,2.65,2.27,2.26,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/30/2021,6.14,5.81,6.18,5.76,0.0,5.29,5.53,4.49,3.56,0.0,3.78,2.49,4.07,2.95,2.44,3.13,2.55,2.97,2.77,2.47,3.1,2.93,2.66,2.58,2.97,2.45,2.24,2.6,2.32,2.28,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/31/2021,6.06,5.65,6.06,5.69,0.0,5.2,5.53,4.45,3.41,0.0,3.79,2.52,4.05,2.96,2.43,3.24,2.62,2.99,2.79,2.52,3.28,2.92,2.76,2.6,3.0,2.46,2.28,2.59,2.35,2.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,6.06,5.65,6.06,5.69,0.0,5.2,5.53,4.45,3.41,0.0,3.79,2.52,4.05,2.96,2.43,3.24,2.62,2.99,2.79,2.52,3.28,2.92,2.76,2.6,3.0,2.46,2.28,2.59,2.35,2.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,6.06,5.54,6.06,5.8,0.0,5.24,5.56,4.46,3.33,1.46,3.82,2.49,4.14,2.91,2.4,3.28,2.61,2.96,2.77,2.49,3.34,2.92,2.76,2.61,2.99,2.43,2.33,2.59,2.37,2.26,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/03/2021,4.75,4.67,5.06,4.97,0.0,4.94,2.76,4.92,2.61,0.0,2.75,0.0,5.13,0.0,2.64,2.73,2.77,2.69,2.73,0.0,0.0,2.64,2.75,2.74,2.79,0.0,2.83,2.63,2.85,2.71,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,3.44,2.87,2.8,2.69,2.67,2.51,100.03
09/06/2021,4.6,4.69,5.3,4.97,0.0,4.8,2.74,4.83,2.63,0.0,2.61,0.0,5.11,0.0,2.66,2.69,2.77,2.64,2.7,0.0,0.0,2.59,2.96,2.72,2.7,0.0,2.82,2.72,2.87,2.8,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.06,2.9,2.94,2.62,2.7,2.58,100.06
09/07/2021,4.64,4.73,5.4,5.06,0.0,4.84,2.78,4.9,2.66,0.0,2.61,0.0,5.26,0.0,2.65,2.72,2.77,2.67,2.57,0.0,0.0,2.55,2.84,2.74,2.72,0.0,2.8,2.73,2.85,2.77,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.1,2.93,2.96,2.54,2.73,2.56,100.03
09/08/2021,4.64,4.73,5.4,5.06,0.0,4.84,2.78,4.9,2.66,0.0,2.61,0.0,5.26,0.0,2.65,2.72,2.77,2.67,2.57,0.0,0.0,2.55,2.84,2.74,2.72,0.0,2.8,2.73,2.85,2.77,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.1,2.93,2.96,2.54,2.73,2.56,100.03
09/09/2021,4.64,4.73,5.4,5.06,0.0,4.84,2.78,4.9,2.66,0.0,2.61,0.0,5.26,0.0,2.65,2.72,2.77,2.67,2.57,0.0,0.0,2.55,2.83,2.74,2.72,0.0,2.8,2.73,2.84,2.77,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,3.1,2.93,2.96,2.54,2.73,2.56,100.0
09/10/2021,4.6,4.72,5.48,5.12,0.0,4.83,2.79,4.84,2.57,0.0,2.61,0.0,5.37,0.0,2.67,2.69,2.84,2.59,2.53,0.0,0.0,2.54,2.85,2.71,2.71,0.0,2.82,2.7,2.79,2.76,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,3.12,3.01,3.01,2.62,2.68,2.52,99.99
09/13/2021,4.27,4.76,5.55,5.13,0.0,4.86,2.78,4.77,2.63,0.0,2.69,0.0,5.42,0.0,2.68,2.63,2.77,2.53,2.62,0.0,0.0,2.54,2.81,2.76,2.78,0.0,2.77,2.7,2.81,2.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,3.39,2.97,3.06,2.34,2.88,2.42,99.99
09/14/2021,4.28,4.77,5.44,5.23,0.0,4.9,2.79,4.75,2.73,0.0,2.73,0.0,5.44,0.0,2.65,2.58,2.77,2.48,2.56,0.0,0.0,2.51,2.67,2.84,2.78,0.0,2.77,2.83,2.77,2.87,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.16,3.02,3.25,2.38,2.86,2.42,100.02
09/15/2021,4.28,4.77,5.44,5.23,0.0,4.9,2.79,4.75,2.73,0.0,2.73,0.0,5.44,0.0,2.65,2.58,2.77,2.48,2.56,0.0,0.0,2.51,2.67,2.84,2.78,0.0,2.77,2.83,2.77,2.87,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.16,3.02,3.25,2.38,2.86,2.42,100.02
09/16/2021,4.37,4.77,5.47,5.16,0.0,4.98,2.72,4.88,2.58,0.0,2.81,0.0,5.42,0.0,2.67,2.57,2.79,2.52,2.61,0.0,0.0,2.54,2.77,2.88,2.81,0.0,2.86,2.89,2.82,2.95,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,2.69,3.04,3.13,2.26,2.84,2.26,100.0
09/17/2021,4.31,4.76,5.57,5.27,0.0,4.96,2.75,4.9,2.57,0.0,2.8,0.0,5.54,0.0,2.7,2.52,2.84,2.53,2.56,0.0,0.0,2.5,2.68,2.83,2.82,0.0,2.84,2.93,2.76,2.95,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,2.55,3.01,3.24,2.2,2.84,2.32,100.01
09/20/2021,4.3,4.7,5.49,5.39,0.0,4.95,2.74,4.86,2.52,0.0,2.68,0.0,5.56,0.0,2.74,2.54,2.84,2.5,2.76,0.0,0.0,2.49,2.57,2.82,2.73,0.0,2.85,2.97,2.77,2.97,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,2.61,2.97,3.2,2.29,2.83,2.36,100.03
09/21/2021,4.3,4.7,5.49,5.39,0.0,4.95,2.73,4.86,2.52,0.0,2.68,0.0,5.56,0.0,2.74,2.54,2.84,2.5,2.76,0.0,0.0,2.49,2.57,2.82,2.73,0.0,2.85,2.97,2.77,2.97,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,2.61,2.97,3.2,2.28,2.83,2.36,100.01000000000002
09/22/2021,4.25,4.61,5.33,5.37,0.0,4.9,2.71,4.83,2.64,0.0,2.67,0.0,5.61,0.0,2.73,2.59,2.8,2.46,2.81,0.0,0.0,2.51,2.64,2.81,2.63,0.0,2.91,3.01,2.78,2.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,2.65,2.99,3.25,2.35,2.83,2.35,99.99
09/23/2021,4.31,4.61,5.43,5.42,0.0,4.95,2.78,4.84,2.61,0.0,2.68,0.0,5.71,0.0,2.68,2.61,2.8,2.47,2.76,0.0,0.0,2.56,2.51,2.83,2.66,0.0,2.9,3.05,2.73,2.88,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,2.72,2.87,3.22,2.29,2.78,2.25,100.03000000000002
09/24/2021,4.24,4.55,5.41,5.4,0.0,4.98,2.77,4.81,2.62,0.0,2.73,0.0,5.83,0.0,2.62,2.65,2.78,2.37,2.76,0.0,0.0,2.62,2.5,2.82,2.65,0.0,2.88,3.1,2.71,2.94,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,2.69,2.9,3.21,2.37,2.74,2.25,100.0
09/27/2021,4.13,4.44,5.49,5.36,0.0,4.88,2.72,4.71,2.5,0.0,2.82,0.0,5.9,0.0,2.51,2.66,2.78,2.3,2.75,0.0,0.0,2.63,2.55,2.75,2.62,0.0,2.88,3.1,2.76,2.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,3.47,3.06,3.31,2.45,2.73,2.29,100.02
09/28/2021,4.14,4.48,5.56,5.43,0.0,4.89,2.71,4.73,2.47,0.0,2.86,0.0,5.94,0.0,2.49,2.57,2.7,2.26,2.69,0.0,0.0,2.75,2.53,2.77,2.57,0.0,2.86,3.04,2.81,2.91,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,3.55,3.05,3.19,2.48,2.8,2.23,100.02
09/29/2021,4.14,4.48,5.56,5.43,0.0,4.89,2.71,4.73,2.47,0.0,2.86,0.0,5.93,0.0,2.49,2.57,2.7,2.26,2.69,0.0,0.0,2.75,2.53,2.77,2.57,0.0,2.86,3.04,2.81,2.91,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,3.55,3.05,3.19,2.48,2.8,2.23,100.01
09/30/2021,4.12,4.46,5.43,5.22,0.0,4.9,2.67,4.77,2.57,0.0,2.9,0.0,5.72,0.0,2.53,2.54,2.72,2.33,2.7,0.0,0.0,2.79,2.56,2.81,2.61,0.0,2.99,3.08,2.86,3.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,3.35,3.07,3.32,2.42,2.77,2.18,100.03000000000002
10/05/2021,4.16,4.34,5.41,5.05,0.0,4.97,2.67,4.87,2.69,0.0,2.85,0.0,5.49,0.0,2.54,2.58,2.82,2.23,2.71,0.0,0.0,2.76,2.59,2.9,2.52,0.0,2.86,3.04,2.78,3.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,3.56,3.08,3.12,2.51,2.74,2.27,100.0
10/07/2021,4.17,4.15,5.35,5.12,0.0,4.9,2.67,4.93,2.36,0.0,2.87,0.0,5.29,0.0,2.57,2.52,2.82,2.43,2.66,0.0,0.0,2.84,2.65,3.11,2.58,0.0,3.17,2.95,2.8,3.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.23,3.27,3.2,2.45,2.77,2.32,100.0
10/08/2021,4.18,4.21,5.37,5.11,0.0,4.85,2.67,4.91,2.42,0.0,2.89,0.0,5.2,0.0,2.59,2.55,2.79,2.4,2.72,0.0,0.0,2.86,2.74,3.07,2.61,0.0,3.17,2.88,2.71,3.14,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.34,3.24,3.18,2.52,2.75,2.38,100.03
10/11/2021,4.23,4.32,5.33,5.09,0.0,4.84,2.64,4.78,2.43,0.0,2.96,0.0,5.17,0.0,2.57,2.53,2.67,2.38,2.77,0.0,0.0,2.94,2.77,3.11,2.67,0.0,3.21,2.91,2.62,3.19,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,3.36,3.14,3.21,2.55,2.71,2.38,100.01999999999998
10/12/2021,4.23,4.42,5.34,5.04,0.0,4.87,2.66,4.82,2.5,0.0,2.95,0.0,4.95,0.0,2.53,2.48,2.61,2.36,2.76,0.0,0.0,2.97,2.74,3.17,2.68,0.0,3.28,2.98,2.71,3.22,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,3.23,3.11,3.14,2.64,2.72,2.26,99.96
10/13/2021,4.23,4.42,5.34,5.04,0.0,4.87,2.66,4.82,2.5,0.0,2.95,0.0,4.95,0.0,2.53,2.48,2.61,2.36,2.76,0.0,0.0,2.97,2.74,3.17,2.68,0.0,3.28,2.98,2.71,3.22,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,3.23,3.11,3.14,2.64,2.72,2.26,99.96
10/14/2021,4.26,4.39,5.31,5.06,0.0,4.91,2.67,4.8,2.55,0.0,2.93,0.0,4.89,0.0,2.47,2.53,2.62,2.34,2.82,0.0,0.0,2.95,2.68,3.18,2.67,0.0,3.32,2.96,2.72,3.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,3.29,3.04,3.08,2.69,2.72,2.33,99.98
10/15/2021,4.26,4.4,5.32,5.07,0.0,4.87,2.69,4.7,2.5,0.0,2.96,0.0,4.85,0.0,2.51,2.57,2.57,2.32,2.79,0.0,0.0,2.98,2.61,3.22,2.63,0.0,3.37,2.97,2.86,3.22,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,3.4,2.98,2.92,2.74,2.83,2.4,100.04
10/18/2021,4.2,4.37,5.25,5.2,0.0,4.85,2.68,4.74,2.36,0.0,2.94,0.0,5.11,0.0,2.57,2.58,2.66,2.3,2.79,0.0,0.0,2.89,2.71,3.1,2.56,0.0,3.4,3.0,2.98,3.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,3.15,2.68,2.85,2.89,2.89,2.55,100.03999999999998
10/21/2021,4.01,4.45,5.37,5.27,0.0,4.74,2.73,4.71,2.44,0.0,2.83,0.0,5.07,0.0,2.59,2.6,2.6,2.28,2.78,0.0,0.0,2.87,2.8,3.18,2.54,0.0,3.3,2.97,2.98,3.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,3.21,2.62,2.79,3.1,2.86,2.58,100.0
10/22/2021,3.94,4.43,5.42,5.21,0.0,4.76,2.72,4.73,2.49,0.0,2.86,0.0,4.99,0.0,2.58,2.6,2.68,2.28,2.78,0.0,0.0,2.84,2.8,3.12,2.54,0.0,3.33,3.03,2.99,3.18,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,3.25,2.61,2.74,3.08,2.83,2.64,99.99
10/25/2021,3.96,4.4,5.37,5.18,0.0,4.75,2.77,4.77,2.54,0.0,2.82,0.0,5.13,0.0,2.62,2.59,2.68,2.25,2.74,0.0,0.0,2.78,2.68,3.14,2.59,0.0,3.38,2.98,2.97,3.15,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,3.48,2.65,2.67,3.0,2.86,2.54,100.00000000000004
10/26/2021,3.88,4.37,5.38,5.25,0.0,4.76,2.78,4.77,2.51,0.0,2.84,0.0,5.2,0.0,2.61,2.58,2.68,2.22,2.72,0.0,0.0,2.74,2.72,3.12,2.59,0.0,3.42,3.01,2.93,3.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,3.34,2.7,2.69,3.01,2.95,2.58,100.01
10/27/2021,3.88,4.36,5.38,5.25,0.0,4.76,2.78,4.77,2.51,0.0,2.83,0.0,5.2,0.0,2.61,2.58,2.68,2.22,2.72,0.0,0.0,2.74,2.72,3.12,2.59,0.0,3.42,3.01,2.93,3.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,3.34,2.69,2.69,3.01,2.95,2.58,99.97
