,UNH,ABT,MDT,TMO,JNJ,DHR,ISRG,SYK,XTSLA,CVS,EW,BDX,ILMN,BSX,HCA,CI,HUM,ANTM,DXCM,CNC,IDXX,RMD,ABBV,ZBH,PFE,LH,IQV,A,BAX,PODD,COO,MCK,TFX,ALGN,EXAS,CERN,DGX,HOLX,WBA,ABMD,MASI,TDOC,CAH,ABC,PEN,TECH,UHS,PKI,AMED,BIO,EHC,WAT,NVCR,DVA,NTRA,STE,GH,HSIC,WELL,XRAY,THC,CHD,VTR,GMED,MPW,AMGN,LHCG,HRC,AVTR,STAA,SEM,NVTA,TNDM,CHE,CRL,INSP,NEO,ACHC,QDEL,BRKR,SWAV,IART,LLY,OMCL,PINC,PEAK,TXG,NVRO,BFAM,NOVT,NVST,CDNA,AMN,CHNG,PACB,LIVN,NUVA,MMSI,MOH,ICUI,TWST,MD,MMS,OHI,ATRC,ENSG,BHC.TO,PGNY,USD,MDRX,VCYT,USPH,OMI,ITGR,NSTG,SBRA,ZTS,DOC,HAE,MYGN,IRTC,MODV,OPCH,PDCO,ICLR,MEDP,LOPE,GKOS,ADPT,HCSG,RCM,SYNH,EVH,SRCL,EYE,SILK,OPK,NEOG,LMNX,PHR,NHI,CSII,QTRX,CVET,ANGO,MGLN,LMAT,PRGO,ADUS,AVNS,TRHC,OSIS,OFIX,OSUR,STRA,CUTR,AXGN,127.HK,XENT,n/a,SUM
07/23/2021,11.93,7.68,5.79,4.5,4.32,4.24,3.96,2.95,2.99,2.71,2.43,2.34,2.4,2.15,2.3,1.88,1.6,1.4,1.33,1.22,1.26,1.19,1.0,0.88,0.88,0.79,0.77,0.78,0.72,0.62,0.63,0.65,0.57,0.62,0.55,0.56,0.55,0.49,0.47,0.47,0.47,0.42,0.43,0.38,0.35,0.37,0.36,0.35,0.31,0.32,0.31,0.32,0.31,0.29,0.26,0.28,0.26,0.26,0.27,0.25,0.24,0.23,0.23,0.22,0.23,0.22,0.21,0.2,0.19,0.17,0.17,0.14,0.16,0.16,0.16,0.15,0.15,0.14,0.16,0.15,0.12,0.13,0.14,0.14,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.96
07/26/2021,11.95,7.68,5.84,4.41,4.34,4.17,3.91,2.99,2.98,2.75,2.42,2.33,2.36,2.19,2.3,1.88,1.6,1.38,1.32,1.24,1.26,1.19,1.0,0.9,0.87,0.79,0.76,0.78,0.71,0.61,0.62,0.66,0.58,0.62,0.55,0.55,0.55,0.49,0.47,0.47,0.47,0.41,0.44,0.38,0.35,0.37,0.36,0.35,0.3,0.31,0.31,0.32,0.31,0.3,0.29,0.29,0.26,0.26,0.27,0.25,0.25,0.23,0.23,0.22,0.23,0.22,0.21,0.2,0.19,0.17,0.17,0.14,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.14,0.12,0.13,0.14,0.14,0.12,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.1,0.11,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.0,0.06,0.06,0.06,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.06,0.01,0.0,99.98
07/27/2021,11.92,7.59,5.81,4.48,4.33,4.29,4.01,2.98,2.97,2.72,2.43,2.34,2.37,2.18,2.27,1.86,1.59,1.37,1.33,1.24,1.28,1.2,1.0,0.89,0.88,0.79,0.76,0.78,0.71,0.61,0.63,0.66,0.58,0.62,0.55,0.55,0.55,0.5,0.47,0.47,0.47,0.41,0.44,0.38,0.35,0.37,0.35,0.35,0.3,0.32,0.3,0.32,0.3,0.29,0.28,0.29,0.26,0.26,0.27,0.25,0.24,0.23,0.23,0.22,0.23,0.22,0.21,0.2,0.19,0.17,0.16,0.14,0.17,0.16,0.17,0.15,0.16,0.14,0.18,0.15,0.12,0.13,0.14,0.14,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,99.99
07/28/2021,11.86,7.68,5.82,4.5,4.33,4.28,3.98,2.99,2.94,2.71,2.45,2.33,2.39,2.18,2.26,1.85,1.6,1.35,1.34,1.23,1.28,1.19,1.0,0.89,0.88,0.79,0.76,0.79,0.71,0.62,0.63,0.67,0.58,0.63,0.54,0.55,0.55,0.5,0.46,0.47,0.47,0.4,0.43,0.38,0.35,0.37,0.35,0.36,0.31,0.32,0.3,0.32,0.3,0.29,0.28,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.17,0.16,0.14,0.16,0.16,0.17,0.15,0.16,0.14,0.18,0.15,0.12,0.13,0.14,0.14,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.0,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.07,0.01,0.0,99.93
07/29/2021,11.83,7.65,5.84,4.51,4.37,4.29,3.97,3.02,2.96,2.72,2.46,2.34,2.39,2.19,2.25,1.83,1.6,1.35,1.33,1.23,1.28,1.2,1.0,0.89,0.88,0.79,0.76,0.78,0.71,0.59,0.63,0.67,0.58,0.63,0.53,0.55,0.55,0.5,0.47,0.47,0.46,0.4,0.44,0.39,0.35,0.37,0.36,0.38,0.3,0.32,0.31,0.32,0.29,0.29,0.27,0.29,0.25,0.26,0.27,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.2,0.21,0.19,0.16,0.16,0.13,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.14,0.12,0.14,0.14,0.14,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.1,0.1,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,99.96
07/30/2021,11.81,7.63,5.91,4.49,4.37,4.28,3.98,3.06,3.13,2.73,2.47,2.37,2.35,2.26,2.26,1.82,1.6,1.35,1.31,1.18,1.27,1.22,1.0,0.9,0.89,0.79,0.75,0.78,0.72,0.6,0.63,0.67,0.59,0.62,0.52,0.56,0.56,0.5,0.47,0.46,0.46,0.4,0.44,0.39,0.34,0.37,0.37,0.37,0.3,0.33,0.31,0.32,0.29,0.29,0.26,0.29,0.24,0.26,0.27,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.2,0.21,0.19,0.15,0.16,0.13,0.16,0.16,0.16,0.14,0.15,0.14,0.16,0.14,0.12,0.14,0.14,0.14,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.11,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.0,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.01,0.0,100.1
08/02/2021,11.67,7.67,5.9,4.5,4.33,4.36,3.99,3.05,2.91,2.7,2.5,2.37,2.37,2.24,2.25,1.81,1.46,1.35,1.33,1.15,1.3,1.24,1.0,0.9,0.9,0.82,0.76,0.79,0.67,0.61,0.64,0.67,0.57,0.66,0.51,0.55,0.56,0.51,0.47,0.47,0.47,0.41,0.44,0.39,0.35,0.38,0.37,0.39,0.3,0.33,0.31,0.33,0.26,0.29,0.27,0.29,0.24,0.27,0.26,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.23,0.19,0.16,0.16,0.14,0.17,0.15,0.17,0.15,0.16,0.14,0.17,0.14,0.12,0.14,0.14,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,100.01
08/03/2021,11.63,7.64,5.91,4.54,4.32,4.34,4.01,3.06,2.9,2.67,2.5,2.36,2.38,2.24,2.24,1.81,1.44,1.35,1.49,1.14,1.25,1.24,0.98,0.9,0.89,0.82,0.76,0.79,0.67,0.62,0.64,0.67,0.57,0.68,0.49,0.56,0.56,0.52,0.47,0.47,0.47,0.39,0.43,0.38,0.35,0.38,0.37,0.4,0.3,0.34,0.31,0.32,0.24,0.29,0.27,0.29,0.24,0.27,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.23,0.19,0.16,0.16,0.13,0.17,0.16,0.17,0.15,0.16,0.14,0.16,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.1,0.11,0.12,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,100.01
08/04/2021,11.63,7.64,5.91,4.54,4.32,4.34,4.01,3.06,2.9,2.67,2.5,2.36,2.38,2.24,2.24,1.81,1.44,1.35,1.49,1.14,1.25,1.24,0.98,0.9,0.89,0.82,0.76,0.79,0.67,0.62,0.64,0.67,0.57,0.68,0.49,0.56,0.56,0.52,0.47,0.47,0.47,0.39,0.43,0.38,0.35,0.38,0.37,0.4,0.3,0.34,0.31,0.32,0.24,0.29,0.27,0.29,0.24,0.27,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.23,0.19,0.16,0.16,0.13,0.17,0.16,0.17,0.15,0.16,0.14,0.16,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.1,0.11,0.12,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,100.01
08/05/2021,11.63,7.64,5.91,4.54,4.32,4.34,4.01,3.06,2.9,2.67,2.5,2.36,2.38,2.24,2.24,1.81,1.44,1.35,1.49,1.14,1.25,1.24,0.98,0.9,0.89,0.82,0.76,0.79,0.67,0.62,0.64,0.67,0.57,0.68,0.49,0.56,0.56,0.52,0.47,0.47,0.47,0.39,0.43,0.38,0.35,0.38,0.37,0.4,0.3,0.34,0.31,0.32,0.24,0.29,0.27,0.29,0.24,0.27,0.26,0.26,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.23,0.19,0.16,0.16,0.13,0.17,0.16,0.17,0.15,0.16,0.14,0.16,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.1,0.11,0.12,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,100.01
08/06/2021,11.81,7.65,5.87,4.48,4.34,4.38,4.02,3.01,2.91,2.7,2.54,2.34,2.37,2.22,2.27,1.83,1.43,1.38,1.5,1.15,1.27,1.24,0.97,0.84,0.95,0.83,0.76,0.78,0.66,0.61,0.64,0.67,0.55,0.68,0.47,0.57,0.57,0.52,0.47,0.46,0.47,0.4,0.43,0.39,0.34,0.37,0.37,0.4,0.3,0.34,0.31,0.32,0.23,0.29,0.26,0.29,0.24,0.26,0.26,0.25,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.23,0.19,0.16,0.16,0.14,0.16,0.15,0.17,0.16,0.16,0.14,0.16,0.14,0.12,0.14,0.14,0.14,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.1,0.1,0.11,0.1,0.11,0.11,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.07,0.05,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.06,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,100.04
08/09/2021,11.64,7.74,5.78,4.57,4.37,4.5,4.14,3.0,2.94,2.6,2.57,2.25,2.48,2.2,2.26,1.63,1.41,1.33,1.52,1.12,1.3,1.22,0.97,0.83,0.94,0.83,0.76,0.8,0.65,0.62,0.63,0.65,0.55,0.69,0.5,0.56,0.58,0.53,0.47,0.5,0.48,0.4,0.37,0.39,0.35,0.38,0.35,0.41,0.23,0.35,0.31,0.33,0.25,0.31,0.29,0.29,0.25,0.25,0.26,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.18,0.23,0.2,0.19,0.16,0.15,0.17,0.15,0.17,0.18,0.16,0.14,0.17,0.14,0.13,0.14,0.15,0.14,0.12,0.13,0.11,0.09,0.11,0.11,0.11,0.11,0.12,0.1,0.12,0.12,0.1,0.11,0.11,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.07,0.0,0.06,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.08,0.04,0.06,0.05,0.05,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.0,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.05,99.99
08/10/2021,11.76,7.75,5.81,4.54,4.36,4.5,4.19,2.98,2.91,2.64,2.58,2.24,2.4,2.21,2.27,1.66,1.42,1.34,1.5,1.12,1.26,1.26,0.96,0.82,0.94,0.83,0.76,0.8,0.65,0.61,0.63,0.66,0.55,0.68,0.47,0.56,0.58,0.52,0.47,0.5,0.47,0.39,0.37,0.38,0.34,0.38,0.35,0.41,0.22,0.35,0.31,0.33,0.24,0.32,0.28,0.29,0.25,0.26,0.26,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.18,0.23,0.2,0.19,0.15,0.14,0.17,0.15,0.17,0.18,0.16,0.14,0.15,0.15,0.13,0.14,0.15,0.15,0.12,0.13,0.1,0.09,0.11,0.12,0.11,0.1,0.12,0.1,0.11,0.12,0.1,0.11,0.11,0.09,0.08,0.1,0.08,0.08,0.09,0.08,0.07,0.06,0.08,0.06,0.08,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.05,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.0,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,99.95
08/11/2021,11.76,7.75,5.81,4.54,4.36,4.5,4.19,2.98,2.91,2.64,2.58,2.24,2.4,2.21,2.27,1.66,1.42,1.34,1.5,1.12,1.26,1.26,0.96,0.82,0.94,0.83,0.76,0.8,0.65,0.61,0.63,0.66,0.55,0.68,0.47,0.56,0.58,0.52,0.47,0.5,0.47,0.39,0.37,0.38,0.34,0.38,0.35,0.41,0.22,0.35,0.31,0.33,0.24,0.32,0.28,0.29,0.25,0.26,0.26,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.18,0.23,0.2,0.19,0.15,0.14,0.17,0.15,0.17,0.18,0.16,0.14,0.15,0.15,0.13,0.14,0.15,0.15,0.12,0.13,0.1,0.09,0.11,0.12,0.11,0.1,0.12,0.1,0.11,0.12,0.1,0.11,0.11,0.09,0.08,0.1,0.08,0.08,0.09,0.08,0.07,0.06,0.08,0.06,0.08,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.05,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.0,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,99.95
08/13/2021,11.8,7.87,5.73,4.61,4.42,4.58,4.09,2.91,2.98,2.74,2.53,2.24,2.47,2.13,2.21,1.69,1.43,1.35,1.47,1.1,1.25,1.28,0.98,0.81,1.02,0.85,0.77,0.82,0.65,0.63,0.63,0.65,0.53,0.68,0.45,0.56,0.59,0.53,0.49,0.48,0.46,0.39,0.38,0.38,0.34,0.37,0.34,0.41,0.23,0.36,0.3,0.33,0.23,0.32,0.26,0.29,0.23,0.25,0.26,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.18,0.21,0.2,0.18,0.15,0.13,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.12,0.14,0.15,0.14,0.12,0.13,0.1,0.08,0.11,0.12,0.11,0.1,0.12,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.08,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.04,0.06,0.05,0.05,0.06,0.06,0.06,0.03,0.05,0.04,0.05,0.05,0.06,0.04,0.05,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,99.95
08/16/2021,11.59,7.84,5.81,4.61,4.44,4.63,4.1,2.98,2.96,2.79,2.52,2.3,2.48,2.19,2.22,1.67,1.39,1.31,1.44,1.06,1.26,1.27,0.98,0.82,1.0,0.84,0.76,0.82,0.65,0.63,0.68,0.65,0.53,0.7,0.45,0.56,0.59,0.53,0.49,0.47,0.46,0.39,0.38,0.38,0.34,0.37,0.35,0.4,0.22,0.36,0.3,0.34,0.23,0.32,0.25,0.29,0.23,0.25,0.25,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.18,0.22,0.2,0.17,0.15,0.13,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.12,0.13,0.1,0.08,0.11,0.12,0.11,0.09,0.12,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.08,0.11,0.08,0.08,0.08,0.08,0.07,0.06,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.04,0.06,0.05,0.06,0.06,0.06,0.06,0.03,0.04,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.0,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.0,100.02
