,V,HD,JNJ,FB,NVDA,AAPL,MSFT,GOOG,UNH,AMZN,MA,ADBE,COST,NKE,NFLX,UNP,AMGN,NOW,ISRG,LRCX,MMM,HCA,IDXX,WDAY,ADSK,WM,MNST,CDNS,ECL,SNPS,FTNT,XLNX,VRTX,CTSH,ATVI,NVR,ILMN,ODFL,CTAS,VMW,VEEV,ZBRA,EBAY,RMD,BIIB,CERN,MCK,CPRT,EPAM,CMI,SIRI,ETSY,SWKS,ULTA,PATH,PINS,PAYC,LKQ,TTWO,FICO,DOCS,ABMD,RH,WSO,MKTX,GDDY,Z,JKHY,RPM,CGNX,WSM,EXAS,UPST,ZEN,UAA,PSTG,DAR,SAM,BMBL,NYT,CASY,NATI,GMED,EXEL,WING,OLED,SKLZ,MTZ,CRUS,WINA,UPWK,BCPC,ALRM,OLLI,APPF,MTH,SNBR,PJT,IRBT,AVAV,n/a,SUM
01/25/2022,5.41,4.76,5.22,5.15,4.6,5.1,4.98,5.03,5.08,4.7,4.84,4.02,3.05,2.91,2.76,1.85,1.65,1.43,1.23,1.17,1.15,1.09,0.85,0.89,0.84,0.75,0.71,0.67,0.73,0.69,0.71,0.66,0.73,0.63,0.81,0.57,0.63,0.51,0.51,0.58,0.47,0.44,0.44,0.47,0.45,0.45,0.45,0.37,0.32,0.38,0.34,0.28,0.29,0.28,0.24,0.24,0.22,0.21,0.22,0.19,0.18,0.17,0.13,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.01,0.01,0.01,0.09,100.01
01/26/2022,5.37,4.9,5.37,5.09,4.6,5.2,5.04,4.96,5.21,4.57,4.88,4.04,3.12,3.01,2.21,1.94,1.69,1.43,1.17,1.16,1.19,1.11,0.84,0.9,0.82,0.76,0.73,0.68,0.68,0.69,0.68,0.69,0.75,0.64,0.84,0.39,0.61,0.5,0.52,0.59,0.47,0.45,0.45,0.48,0.45,0.46,0.45,0.38,0.32,0.37,0.35,0.27,0.29,0.27,0.25,0.23,0.21,0.22,0.23,0.2,0.18,0.16,0.12,0.15,0.17,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.11,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.05,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.01,0.01,0.01,0.06,99.96
01/27/2022,5.37,4.9,5.37,5.09,4.6,5.2,5.04,4.96,5.21,4.57,4.88,4.04,3.12,3.01,2.21,1.94,1.69,1.43,1.17,1.16,1.19,1.11,0.84,0.9,0.82,0.76,0.73,0.68,0.68,0.69,0.68,0.69,0.75,0.64,0.84,0.39,0.61,0.5,0.52,0.59,0.47,0.45,0.45,0.48,0.45,0.46,0.45,0.38,0.32,0.37,0.35,0.27,0.29,0.27,0.25,0.23,0.21,0.22,0.23,0.2,0.18,0.16,0.12,0.15,0.17,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.11,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.05,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.01,0.01,0.01,0.06,99.96
01/28/2022,5.37,4.9,5.37,5.09,4.6,5.2,5.04,4.96,5.21,4.57,4.88,4.04,3.12,3.01,2.21,1.94,1.69,1.43,1.17,1.16,1.19,1.11,0.84,0.9,0.82,0.76,0.73,0.68,0.68,0.69,0.68,0.69,0.75,0.64,0.84,0.39,0.61,0.5,0.52,0.59,0.47,0.45,0.45,0.48,0.45,0.46,0.45,0.38,0.32,0.37,0.35,0.27,0.29,0.27,0.25,0.23,0.21,0.22,0.23,0.2,0.18,0.16,0.12,0.15,0.17,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.11,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.05,0.06,0.06,0.02,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.01,0.01,0.01,0.06,99.96
01/31/2022,5.42,5.04,5.6,4.98,4.36,5.15,5.14,4.92,5.25,4.51,4.85,4.01,3.15,3.07,2.16,1.93,1.67,1.49,1.15,1.06,1.18,1.07,0.79,0.84,0.79,0.74,0.71,0.64,0.65,0.66,0.64,0.64,0.75,0.62,0.82,0.29,0.54,0.48,0.52,0.6,0.46,0.44,0.43,0.47,0.45,0.46,0.47,0.36,0.3,0.37,0.36,0.26,0.29,0.26,0.24,0.21,0.21,0.22,0.22,0.2,0.17,0.14,0.11,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.13,0.1,0.13,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.05,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,1.04,100.02
02/01/2022,5.42,5.04,5.6,4.98,4.36,5.15,5.14,4.92,5.25,4.51,4.85,4.01,3.15,3.07,2.16,1.93,1.67,1.49,1.15,1.06,1.18,1.07,0.79,0.84,0.79,0.74,0.71,0.64,0.65,0.66,0.64,0.64,0.75,0.62,0.82,0.29,0.54,0.48,0.52,0.6,0.46,0.44,0.43,0.47,0.45,0.46,0.47,0.36,0.3,0.37,0.36,0.26,0.29,0.26,0.24,0.21,0.21,0.22,0.22,0.2,0.17,0.14,0.11,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.13,0.1,0.13,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.05,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,1.04,100.02
02/02/2022,5.42,5.04,5.6,4.98,4.36,5.15,5.14,4.92,5.25,4.51,4.85,4.01,3.15,3.07,2.16,1.93,1.67,1.49,1.15,1.06,1.18,1.07,0.79,0.84,0.79,0.74,0.71,0.64,0.65,0.66,0.64,0.64,0.75,0.62,0.82,0.29,0.54,0.48,0.52,0.6,0.46,0.44,0.43,0.47,0.45,0.46,0.47,0.36,0.3,0.37,0.36,0.26,0.29,0.26,0.24,0.21,0.21,0.22,0.22,0.2,0.17,0.14,0.11,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.13,0.1,0.13,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.05,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.01,0.01,1.04,100.02
02/03/2022,5.76,4.98,5.42,4.9,4.36,5.29,5.11,5.03,5.09,4.63,5.09,4.08,3.11,2.98,2.07,1.87,1.64,1.59,1.15,1.09,1.11,1.06,0.79,0.85,0.8,0.72,0.7,0.64,0.63,0.66,0.64,0.63,0.77,0.62,0.79,0.29,0.57,0.47,0.51,0.6,0.46,0.44,0.42,0.43,0.45,0.45,0.46,0.36,0.3,0.36,0.35,0.26,0.28,0.26,0.23,0.2,0.21,0.22,0.21,0.22,0.17,0.14,0.11,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.12,0.11,0.13,0.11,0.1,0.11,0.09,0.09,0.08,0.11,0.08,0.07,0.07,0.07,0.06,0.05,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,1.0,100.06000000000002
02/04/2022,5.61,4.89,5.34,5.0,4.59,5.33,5.06,5.02,5.07,4.72,5.05,4.13,3.13,2.97,2.26,1.82,1.6,1.63,1.18,1.12,1.11,1.06,0.8,0.88,0.82,0.72,0.7,0.66,0.63,0.68,0.66,0.67,0.75,0.61,0.77,0.29,0.59,0.48,0.51,0.59,0.48,0.44,0.43,0.45,0.44,0.44,0.45,0.37,0.31,0.35,0.36,0.27,0.29,0.26,0.25,0.22,0.22,0.22,0.21,0.22,0.18,0.14,0.11,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.13,0.12,0.13,0.11,0.1,0.11,0.09,0.09,0.08,0.11,0.08,0.07,0.07,0.07,0.07,0.05,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.02,0.01,0.01,0.39,100.02
02/07/2022,5.74,4.89,5.25,5.06,4.64,5.26,5.01,5.38,5.05,4.67,5.09,4.04,3.18,2.92,2.23,1.84,1.58,1.58,1.19,1.14,1.1,1.04,0.83,0.83,0.79,0.7,0.69,0.65,0.63,0.67,0.68,0.71,0.77,0.62,0.76,0.29,0.59,0.5,0.5,0.59,0.47,0.44,0.41,0.46,0.43,0.43,0.44,0.37,0.3,0.35,0.37,0.24,0.29,0.26,0.23,0.2,0.21,0.22,0.21,0.22,0.18,0.15,0.11,0.14,0.15,0.15,0.13,0.15,0.13,0.13,0.14,0.13,0.11,0.13,0.11,0.1,0.11,0.09,0.09,0.08,0.11,0.08,0.07,0.07,0.07,0.07,0.04,0.05,0.05,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.39,100.02
02/08/2022,5.86,4.96,5.45,3.86,4.57,5.37,5.0,5.38,5.34,4.47,5.19,4.02,3.3,2.97,2.18,1.86,1.6,1.59,1.2,1.14,1.12,1.08,0.87,0.83,0.79,0.71,0.71,0.65,0.64,0.67,0.68,0.72,0.77,0.63,0.79,0.3,0.61,0.53,0.51,0.61,0.47,0.45,0.42,0.47,0.44,0.45,0.47,0.37,0.3,0.37,0.38,0.23,0.28,0.26,0.23,0.18,0.21,0.22,0.22,0.22,0.18,0.15,0.11,0.14,0.16,0.15,0.13,0.15,0.14,0.13,0.14,0.13,0.11,0.13,0.11,0.1,0.11,0.09,0.08,0.08,0.11,0.08,0.07,0.08,0.07,0.06,0.04,0.06,0.05,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.4,99.99000000000002
02/09/2022,5.75,4.86,5.39,3.83,4.61,5.33,5.05,5.36,5.25,5.04,5.06,4.02,3.27,2.95,2.19,1.83,1.58,1.62,1.2,1.12,1.09,1.07,0.84,0.84,0.8,0.7,0.69,0.65,0.63,0.68,0.71,0.74,0.76,0.63,0.79,0.29,0.61,0.5,0.51,0.61,0.48,0.44,0.43,0.47,0.44,0.44,0.47,0.37,0.3,0.37,0.38,0.24,0.27,0.26,0.24,0.2,0.22,0.22,0.23,0.22,0.18,0.15,0.11,0.13,0.16,0.15,0.13,0.15,0.13,0.13,0.14,0.14,0.11,0.13,0.11,0.1,0.11,0.09,0.09,0.08,0.11,0.08,0.07,0.08,0.07,0.06,0.04,0.06,0.05,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.4,99.96000000000002
02/10/2022,5.8,4.89,5.44,3.68,4.76,5.38,5.02,5.18,5.32,5.07,5.05,4.01,3.27,2.99,2.17,1.84,1.61,1.6,1.21,1.09,1.1,1.05,0.83,0.85,0.81,0.71,0.7,0.66,0.63,0.68,0.7,0.75,0.77,0.65,0.8,0.2,0.6,0.49,0.51,0.62,0.48,0.45,0.43,0.48,0.45,0.45,0.48,0.37,0.3,0.36,0.39,0.24,0.27,0.26,0.25,0.2,0.22,0.22,0.24,0.23,0.2,0.14,0.11,0.13,0.17,0.15,0.13,0.15,0.14,0.13,0.15,0.14,0.11,0.13,0.11,0.1,0.11,0.1,0.09,0.08,0.1,0.08,0.08,0.08,0.07,0.06,0.04,0.06,0.05,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.27,100.0
02/11/2022,5.72,4.87,5.37,3.55,4.76,5.39,5.0,5.11,5.34,5.1,4.95,3.98,3.25,2.91,2.15,1.83,1.71,1.63,1.19,1.08,1.09,1.06,0.82,0.84,0.8,0.7,0.69,0.65,0.62,0.68,0.71,0.77,0.75,0.65,0.8,0.19,0.59,0.49,0.51,0.61,0.47,0.43,0.43,0.48,0.44,0.45,0.49,0.37,0.3,0.35,0.38,0.25,0.28,0.25,0.25,0.2,0.22,0.22,0.23,0.23,0.2,0.15,0.11,0.13,0.16,0.15,0.13,0.15,0.13,0.13,0.14,0.14,0.11,0.13,0.11,0.1,0.11,0.1,0.08,0.08,0.1,0.08,0.08,0.08,0.07,0.06,0.04,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.02,0.01,0.92,100.01
02/14/2022,5.68,4.8,5.32,3.68,4.9,5.32,4.97,5.1,5.28,5.03,4.96,3.86,3.24,2.94,2.17,1.83,1.63,1.69,1.23,1.12,1.08,1.07,0.83,0.85,0.79,0.7,0.68,0.66,0.63,0.69,0.73,0.77,0.74,0.66,0.81,0.19,0.59,0.49,0.51,0.62,0.47,0.41,0.43,0.49,0.44,0.45,0.48,0.37,0.31,0.35,0.36,0.25,0.28,0.26,0.25,0.19,0.24,0.22,0.23,0.23,0.24,0.15,0.11,0.13,0.16,0.15,0.13,0.15,0.13,0.13,0.14,0.14,0.12,0.15,0.11,0.1,0.11,0.1,0.09,0.08,0.1,0.08,0.08,0.08,0.07,0.06,0.05,0.06,0.06,0.01,0.04,0.03,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.91,100.00000000000001
