,MSFT,MA,IDXX,SPGI,CSGP,HEI.A,MCO,GOOG,ODFL,V,AMZN,VEEV,Casella Waste Systems Inc Class A,TWLO,OKTA,SHOP,COUP,TEAM,NOW,WDAY,MSCI,MKTX,CVNA,U,Us Dollars,CWST,n/a,ADYEY,SUM
07/23/2021,9.23,9.01,8.54,8.29,6.73,5.54,4.9,4.74,4.15,4.19,3.85,3.79,0.0,3.58,2.71,2.38,1.92,2.2,2.19,2.06,1.89,1.54,1.43,1.21,0.2,3.71,0.0,0.0,99.98
07/26/2021,9.31,9.05,8.58,8.2,6.7,5.51,4.88,4.75,4.12,4.15,3.87,3.78,0.0,3.66,2.71,2.45,1.87,2.18,2.2,2.09,1.89,1.53,1.45,1.24,0.2,3.59,0.0,0.0,99.96
07/27/2021,9.3,9.19,6.27,8.09,7.0,5.92,4.82,4.85,4.16,4.18,3.83,3.78,0.0,3.66,2.76,2.49,2.49,2.17,2.21,2.09,1.89,2.0,1.44,1.24,0.2,3.96,0.0,0.0,99.99
07/28/2021,9.3,9.19,6.27,8.09,7.0,5.92,4.82,4.85,4.16,4.18,3.83,3.78,0.0,3.66,2.76,2.49,2.49,2.17,2.21,2.09,1.89,2.0,1.44,1.24,0.2,3.96,0.0,0.0,99.99
07/29/2021,9.34,9.24,6.24,8.04,6.98,5.93,4.82,4.94,4.15,4.23,3.9,3.75,0.0,3.57,2.72,2.42,2.5,2.15,2.22,2.08,1.89,1.98,1.44,1.22,0.22,4.01,0.0,0.0,99.98
07/30/2021,9.33,9.25,6.3,8.09,7.02,5.96,4.87,4.88,4.19,4.27,3.85,3.76,0.0,3.5,2.69,2.39,2.42,2.15,2.23,2.03,1.93,1.99,1.46,1.2,0.23,4.0,0.0,0.0,99.99
08/02/2021,9.28,9.17,6.42,8.26,6.86,5.91,4.8,4.84,4.31,4.2,3.81,3.81,0.0,3.53,2.68,2.33,2.42,2.15,2.23,2.06,1.96,2.02,1.46,1.32,0.19,3.99,0.0,0.0,100.01
08/03/2021,9.28,9.17,6.42,8.26,6.86,5.91,4.8,4.84,4.31,4.2,3.81,3.81,0.0,3.53,2.68,2.33,2.42,2.15,2.23,2.06,1.96,2.02,1.46,1.32,0.19,3.99,0.0,0.0,100.01
08/04/2021,9.28,9.17,6.42,8.26,6.86,5.91,4.8,4.84,4.31,4.2,3.81,3.81,0.0,3.53,2.68,2.33,2.42,2.15,2.23,2.06,1.96,2.02,1.46,1.32,0.19,3.99,0.0,0.0,100.01
08/05/2021,9.28,9.17,6.42,8.26,6.86,5.91,4.8,4.84,4.31,4.2,3.81,3.81,0.0,3.53,2.68,2.33,2.42,2.15,2.23,2.06,1.96,2.02,1.46,1.32,0.19,3.99,0.0,0.0,100.01
08/06/2021,9.33,8.7,6.37,8.53,6.87,5.69,4.84,4.85,4.42,4.03,3.57,3.89,0.0,3.34,2.63,2.34,2.41,2.66,2.23,2.07,2.04,2.04,1.43,1.25,0.2,4.26,0.0,0.0,99.99
08/09/2021,9.3,8.7,6.39,8.55,6.84,5.71,4.88,4.82,4.34,4.03,3.54,3.88,0.0,3.36,2.7,2.35,2.39,2.74,2.25,2.05,2.05,2.06,1.44,1.3,0.0,4.15,0.19,0.0,100.01
08/10/2021,9.35,8.81,6.24,8.59,6.73,5.8,4.89,4.85,4.37,4.08,3.53,3.87,0.0,3.34,2.59,2.33,2.39,2.69,2.24,2.06,2.07,2.06,1.48,1.27,0.0,4.19,0.19,0.0,100.01
08/11/2021,9.35,8.81,6.24,8.59,6.73,5.8,4.89,4.85,4.37,4.08,3.53,3.87,0.0,3.34,2.59,2.33,2.39,2.69,2.24,2.06,2.07,2.06,1.48,1.27,0.0,4.19,0.19,0.0,100.01
08/12/2021,9.37,8.77,6.28,8.53,6.74,5.56,4.88,4.91,4.39,4.08,3.54,3.82,0.0,3.39,2.61,2.38,2.39,2.72,2.24,2.06,2.07,2.06,1.54,1.31,0.0,4.16,0.21,0.0,100.01
08/13/2021,9.39,8.78,6.2,8.58,6.75,5.77,4.9,4.96,4.43,4.08,3.55,3.71,0.0,3.34,2.54,2.36,2.34,2.67,2.22,2.05,2.08,2.01,1.61,1.29,0.0,4.19,0.21,0.0,100.01
08/16/2021,9.45,8.59,6.21,8.58,6.63,5.87,4.86,4.94,4.52,3.95,3.52,3.7,0.0,3.34,2.57,2.32,2.41,2.74,2.23,2.08,2.07,1.98,1.55,1.52,0.0,4.21,0.2,0.0,100.04
08/17/2021,9.52,8.59,6.15,8.65,6.65,5.8,4.86,4.93,4.53,3.96,3.5,3.7,0.0,3.3,2.56,2.3,2.39,2.73,2.24,2.08,2.08,1.97,1.56,1.54,0.0,4.24,0.17,0.0,100.0
08/18/2021,9.52,8.59,6.15,8.65,6.65,5.8,4.86,4.93,4.53,3.96,3.5,3.7,0.0,3.3,2.56,2.3,2.39,2.73,2.24,2.08,2.08,1.97,1.56,1.54,0.0,4.24,0.17,0.0,100.0
08/19/2021,9.61,8.63,6.2,8.76,6.57,5.7,4.93,4.96,4.56,4.01,3.51,3.68,0.0,3.14,2.52,2.29,2.36,2.71,2.22,2.05,2.09,2.01,1.56,1.46,0.0,4.27,0.17,0.0,99.97
08/20/2021,9.6,8.66,6.26,8.77,6.6,5.69,4.92,4.93,4.55,4.02,3.47,3.69,0.0,3.14,2.52,2.29,2.35,2.75,2.24,2.05,2.1,2.04,1.53,1.45,0.0,4.22,0.17,0.0,100.01
08/23/2021,9.79,8.58,6.33,8.62,6.56,5.7,4.85,4.94,4.57,3.99,3.43,3.71,0.0,3.12,2.54,2.28,2.38,2.75,2.27,2.07,2.04,2.04,1.53,1.41,0.0,4.32,0.18,0.0,100.0
08/24/2021,9.93,8.43,6.27,8.6,6.52,5.65,4.83,4.95,4.57,3.95,3.41,3.7,0.0,3.09,2.51,2.24,2.42,2.81,2.3,2.08,2.05,2.03,1.51,1.47,0.0,4.52,0.17,0.0,100.01
08/25/2021,9.93,8.43,6.27,8.6,6.52,5.65,4.83,4.95,4.57,3.95,3.41,3.7,0.0,3.09,2.51,2.24,2.42,2.81,2.3,2.08,2.05,2.03,1.51,1.47,0.0,4.52,0.17,0.0,100.01
08/26/2021,9.84,8.48,6.1,8.54,6.53,5.6,4.81,4.99,4.55,3.95,3.44,3.68,0.0,3.13,2.54,2.26,2.5,2.83,2.35,2.12,2.04,2.02,1.53,1.48,0.0,4.52,0.17,0.0,100.0
08/27/2021,9.73,8.47,6.09,8.47,6.57,5.66,4.76,5.01,4.55,3.94,3.47,3.66,0.0,3.18,2.65,2.34,2.53,2.83,2.35,2.14,2.02,2.02,1.51,1.48,0.0,4.42,0.17,0.0,100.02
08/30/2021,9.68,8.31,6.13,8.52,6.49,5.58,4.77,5.03,4.59,3.9,3.5,3.71,0.0,3.18,2.83,2.31,2.53,2.82,2.37,2.16,2.05,2.02,1.51,1.42,0.0,4.42,0.17,0.0,100.0
08/31/2021,8.91,8.76,6.02,8.45,6.45,5.55,4.75,4.54,4.6,3.89,3.5,3.74,0.0,3.21,2.8,2.78,2.92,2.85,2.37,2.33,2.05,2.03,1.43,1.45,0.0,4.42,0.19,0.0,99.99
09/01/2021,8.91,8.76,6.02,8.45,6.45,5.55,4.75,4.54,4.6,3.89,3.5,3.74,0.0,3.21,2.8,2.78,2.92,2.85,2.37,2.33,2.05,2.03,1.43,1.45,0.0,4.42,0.19,0.0,99.99
09/02/2021,8.95,8.61,6.14,8.49,6.45,5.41,4.75,4.53,4.63,3.84,3.54,3.73,0.0,3.23,2.8,2.79,2.97,2.89,2.39,2.33,2.06,1.98,1.42,1.47,0.0,4.44,0.14,0.0,99.98
09/03/2021,8.95,8.61,6.14,8.49,6.45,5.41,4.75,4.53,4.63,3.84,3.54,3.73,0.0,3.23,2.8,2.79,2.97,2.89,2.39,2.33,2.06,1.98,1.42,1.47,0.0,4.44,0.14,0.0,99.98
09/06/2021,8.86,8.31,6.11,8.57,6.69,5.39,4.8,4.48,4.71,3.71,3.58,3.54,0.0,3.16,2.87,2.77,3.09,2.96,2.45,2.32,2.09,1.99,1.34,1.55,0.0,4.47,0.17,0.0,99.98
09/07/2021,8.82,8.25,6.11,8.59,6.71,5.31,4.77,4.48,4.71,3.71,3.58,3.54,0.0,3.22,2.84,2.78,3.15,3.02,2.51,2.37,2.09,1.96,1.37,1.55,0.0,4.41,0.17,0.0,100.02
09/08/2021,8.82,8.25,6.11,8.59,6.71,5.31,4.77,4.48,4.71,3.71,3.58,3.54,0.0,3.22,2.84,2.78,3.15,3.02,2.51,2.37,2.09,1.96,1.37,1.55,0.0,4.41,0.17,0.0,100.02
09/09/2021,8.82,8.25,6.11,8.59,6.71,5.31,4.77,4.48,4.71,3.71,3.58,3.54,0.0,3.22,2.84,2.78,3.15,3.02,2.51,2.37,2.09,1.96,1.37,1.55,0.0,4.41,0.17,0.0,100.02
09/10/2021,8.85,8.41,6.09,8.54,6.74,5.25,4.76,4.53,4.75,3.75,3.63,3.48,0.0,3.17,2.8,2.76,3.18,3.01,2.46,2.35,2.11,1.87,1.39,1.59,0.0,4.36,0.17,0.0,100.0
09/13/2021,8.78,8.59,6.06,8.64,6.91,5.28,4.78,4.52,4.57,3.78,3.62,3.44,0.0,3.11,2.82,2.71,3.09,3.0,2.42,2.32,2.11,1.85,1.39,1.56,0.0,4.46,0.19,0.0,100.0
09/14/2021,8.78,8.54,6.14,8.67,6.98,5.27,4.81,4.45,4.63,3.76,3.62,3.43,0.0,3.04,2.71,2.69,3.02,3.02,2.43,2.31,2.12,1.84,1.4,1.58,0.0,4.57,0.21,0.0,100.02
09/15/2021,8.78,8.54,6.14,8.67,6.98,5.27,4.81,4.45,4.63,3.76,3.62,3.43,0.0,3.04,2.71,2.69,3.02,3.02,2.43,2.31,2.12,1.84,1.4,1.58,0.0,4.57,0.21,0.0,100.02
09/16/2021,8.87,8.6,5.93,8.7,6.96,5.37,4.79,4.52,4.63,3.78,3.63,3.4,0.0,3.0,2.67,2.69,3.0,3.01,2.41,2.33,2.1,1.82,1.39,1.55,0.0,4.65,0.21,0.0,100.01
09/17/2021,8.94,8.54,5.98,8.73,6.94,5.41,4.79,4.51,4.6,3.74,3.61,3.4,0.0,3.0,2.71,2.64,2.98,3.11,2.43,2.34,2.13,1.79,1.4,1.55,0.0,4.54,0.18,0.0,99.99
09/20/2021,9.02,8.47,5.95,8.7,6.87,5.35,4.76,4.5,4.6,3.73,3.62,3.43,0.0,3.06,2.71,2.66,2.99,3.2,2.45,2.33,2.11,1.78,1.44,1.57,0.0,4.5,0.19,0.0,99.99
09/21/2021,8.93,8.46,5.97,8.62,6.94,5.41,4.66,4.45,4.61,3.72,3.62,3.43,0.0,3.14,2.76,2.7,2.99,3.23,2.45,2.33,2.09,1.79,1.4,1.61,0.0,4.53,0.19,0.0,100.03
09/22/2021,8.93,8.46,5.97,8.62,6.94,5.41,4.66,4.45,4.61,3.72,3.62,3.43,0.0,3.14,2.76,2.7,2.99,3.23,2.45,2.33,2.09,1.79,1.4,1.61,0.0,4.53,0.19,0.0,100.03
09/23/2021,8.93,8.46,5.97,8.62,6.94,5.41,4.66,4.45,4.61,3.72,3.62,3.43,0.0,3.14,2.76,2.7,2.99,3.23,2.45,2.33,2.09,1.79,1.4,1.61,0.0,4.53,0.19,0.0,100.03
09/24/2021,8.84,8.38,6.06,8.66,6.89,5.42,4.69,4.42,4.78,3.72,3.52,3.41,0.0,3.08,2.71,2.63,3.0,3.26,2.48,2.36,2.1,1.78,1.36,1.55,0.0,4.71,0.19,0.0,100.0
09/27/2021,8.79,8.6,6.07,8.6,6.77,5.65,4.68,4.39,4.7,3.77,3.52,3.34,0.0,3.06,2.69,2.64,2.98,3.22,2.46,2.31,2.1,1.76,1.34,1.63,0.0,4.73,0.18,0.0,99.98
09/28/2021,8.77,8.69,6.04,8.61,6.75,5.63,4.66,4.41,4.74,3.82,3.53,3.35,0.0,3.01,2.66,2.58,2.98,3.25,2.46,2.29,2.12,0.0,1.35,1.65,0.0,4.73,0.18,1.75,100.01000000000002
09/29/2021,8.77,8.69,6.04,8.61,6.75,5.63,4.66,4.41,4.74,3.82,3.53,3.35,0.0,3.01,2.66,2.58,2.98,3.25,2.46,2.29,2.12,0.0,1.35,1.65,0.0,4.73,0.18,1.75,100.01000000000002
09/30/2021,8.76,8.8,5.87,8.6,6.8,5.84,4.64,4.45,4.75,3.85,3.56,3.35,0.0,3.07,2.58,2.62,2.93,3.13,2.44,2.29,2.08,0.0,1.36,1.62,0.0,4.74,0.13,1.75,100.01
10/01/2021,8.74,8.96,5.86,8.52,6.86,6.01,4.63,4.43,4.83,3.91,3.59,3.35,0.0,2.97,2.61,2.57,2.8,3.15,2.38,2.26,2.02,0.0,1.34,1.55,0.0,4.81,0.13,1.72,100.0
10/04/2021,8.76,9.02,5.89,8.53,6.86,6.03,4.69,4.38,4.83,3.93,3.58,3.32,0.0,2.88,2.58,2.53,2.74,3.2,2.4,2.24,2.06,0.0,1.35,1.53,0.0,4.83,0.13,1.7,99.99
10/05/2021,8.84,9.12,5.78,8.49,7.0,5.95,4.65,4.4,4.66,3.97,3.53,3.35,0.0,2.96,2.61,2.52,2.78,3.21,2.44,2.27,2.04,0.0,1.32,1.52,0.0,4.8,0.12,1.65,99.98
10/06/2021,8.84,9.12,5.78,8.49,7.0,5.95,4.65,4.4,4.66,3.97,3.53,3.35,0.0,2.96,2.61,2.52,2.78,3.21,2.44,2.27,2.04,0.0,1.32,1.52,0.0,4.8,0.12,1.65,99.98
10/07/2021,8.84,9.12,5.78,8.49,7.0,5.95,4.65,4.4,4.66,3.97,3.53,3.35,0.0,2.96,2.61,2.52,2.78,3.21,2.44,2.27,2.04,0.0,1.32,1.52,0.0,4.8,0.12,1.65,99.98
10/08/2021,8.94,8.8,5.77,8.54,6.98,6.04,4.66,4.45,4.79,3.91,3.51,3.3,0.0,2.96,2.53,2.49,2.73,3.24,2.48,2.27,2.04,0.0,1.27,1.57,0.0,4.93,0.13,1.68,100.01
10/11/2021,8.96,8.9,5.74,8.53,6.9,5.9,4.66,4.46,4.77,3.94,3.53,3.33,0.0,2.94,2.55,2.59,2.83,3.2,2.44,2.28,2.02,0.0,1.24,1.63,0.0,4.87,0.13,1.66,100.0
10/12/2021,9.02,8.99,5.72,8.53,6.93,5.79,4.69,4.52,4.7,3.97,3.54,3.34,0.0,2.93,2.51,2.57,2.81,3.2,2.38,2.28,2.01,0.0,1.23,1.65,0.0,4.93,0.14,1.62,100.0
10/13/2021,9.02,8.99,5.72,8.53,6.93,5.79,4.69,4.52,4.7,3.97,3.54,3.34,0.0,2.93,2.51,2.57,2.81,3.2,2.38,2.28,2.01,0.0,1.23,1.65,0.0,4.93,0.14,1.62,100.0
10/14/2021,9.07,8.86,5.73,8.57,6.95,5.87,4.69,4.52,4.73,3.91,3.52,3.34,0.0,2.96,2.5,2.55,2.8,3.22,2.39,2.28,2.01,0.0,1.24,1.65,0.0,4.89,0.14,1.63,100.02
10/15/2021,8.98,8.76,5.72,8.56,6.96,5.9,4.68,4.42,4.68,3.86,3.5,3.34,0.0,2.99,2.59,2.53,2.99,3.26,2.43,2.29,2.0,0.0,1.23,1.69,0.0,4.86,0.13,1.63,99.98
10/18/2021,8.98,8.46,5.66,8.5,7.14,5.83,4.65,4.43,4.68,3.76,3.44,3.48,0.0,3.17,2.72,2.54,3.12,3.23,2.44,2.34,1.99,0.0,1.2,1.66,0.0,4.72,0.12,1.73,99.99
10/19/2021,8.94,8.66,5.65,8.45,7.18,5.79,4.61,4.39,4.75,3.82,3.52,3.46,0.0,3.1,2.69,2.55,3.04,3.22,2.46,2.32,1.98,0.0,1.2,1.63,0.0,4.76,0.11,1.72,100.0
10/20/2021,8.94,8.66,5.65,8.45,7.18,5.79,4.61,4.39,4.75,3.82,3.52,3.46,0.0,3.1,2.69,2.55,3.04,3.22,2.46,2.32,1.98,0.0,1.2,1.63,0.0,4.76,0.11,1.72,100.0
10/21/2021,8.94,8.64,5.63,8.45,7.2,5.78,4.6,4.39,4.78,3.78,3.52,3.44,0.0,3.14,2.71,2.6,2.98,3.23,2.44,2.31,1.97,0.0,1.2,1.68,0.0,4.76,0.11,1.7,99.98
10/22/2021,8.94,8.64,5.63,8.45,7.2,5.78,4.6,4.39,4.78,3.78,3.52,3.44,0.0,3.14,2.71,2.6,2.98,3.23,2.44,2.31,1.97,0.0,1.2,1.68,0.0,4.76,0.11,1.7,99.98
10/25/2021,8.94,8.48,5.62,8.31,7.39,5.65,4.57,4.33,4.9,3.73,3.47,3.56,0.0,3.17,2.68,2.62,3.02,3.21,2.49,2.35,2.0,0.0,1.24,1.67,0.0,4.77,0.1,1.72,99.99
10/26/2021,8.9,8.55,5.69,8.41,7.45,5.68,4.65,4.21,4.95,3.75,3.37,3.52,0.0,3.08,2.69,2.49,2.9,3.26,2.49,2.35,2.05,0.0,1.22,1.64,0.0,4.88,0.11,1.71,100.0
10/27/2021,8.9,8.55,5.69,8.41,7.45,5.68,4.65,4.21,4.95,3.75,3.37,3.52,0.0,3.08,2.69,2.49,2.9,3.26,2.49,2.35,2.05,0.0,1.22,1.64,0.0,4.88,0.11,1.71,100.0
10/28/2021,8.85,8.58,5.68,8.34,7.43,5.72,4.68,4.21,4.98,3.78,3.35,3.52,0.0,3.08,2.69,2.49,2.87,3.3,2.49,2.36,2.05,0.0,1.2,1.66,0.0,4.85,0.13,1.71,100.0
10/29/2021,8.85,8.58,5.68,8.34,7.43,5.72,4.68,4.21,4.98,3.78,3.35,3.52,0.0,3.08,2.69,2.49,2.87,3.3,2.49,2.36,2.05,0.0,1.2,1.66,0.0,4.85,0.13,1.71,100.0
11/01/2021,9.43,8.02,5.76,8.85,6.64,5.9,5.0,4.48,5.21,3.43,3.52,3.48,0.0,2.48,2.55,2.57,2.76,3.25,2.52,2.43,2.09,0.0,1.23,1.7,0.0,4.9,0.09,1.71,100.0
