,JNJ,PFE,ZTS,MRK,CTLT,LLY,ELAN,BMY,JAZZ,VTRS,OGN,PRGO,RETA,RPRX,ITCI,PBH,ARVN,PCRX,FOLD,CORT,RVNC,IRWD,AXSM,VNDA,ENDP,ZGNX,MDGL,OMER,INVA,COLL,AMPH,AERI,TBPH,ATRS,CCXI,CARA,NUVB,PAHC,AMRX,SPPI,CPRX,NGM,RLMD,PHAT,TXMD,PRVB,XTSLA,AVIR,USD,SGAFT,SUM
07/29/2021,22.9,18.84,5.02,4.6,4.65,4.75,4.66,4.57,4.0,3.95,2.89,2.37,1.3,1.32,0.96,1.02,1.2,1.0,0.9,0.81,0.76,0.81,0.53,0.42,0.45,0.36,0.33,0.34,0.32,0.33,0.29,0.28,0.27,0.26,0.28,0.2,0.22,0.19,0.21,0.2,0.21,0.2,0.14,0.16,0.14,0.12,0.13,0.12,0.02,0.01,100.01
07/30/2021,22.94,18.92,5.03,4.63,4.67,4.74,4.7,4.54,4.0,3.96,2.82,2.41,1.27,1.3,0.94,1.01,1.18,1.0,0.9,0.81,0.74,0.81,0.54,0.41,0.44,0.35,0.33,0.34,0.32,0.33,0.29,0.28,0.27,0.26,0.28,0.2,0.2,0.19,0.21,0.2,0.21,0.19,0.14,0.15,0.14,0.12,0.13,0.12,0.01,0.01,99.98000000000002
08/02/2021,22.54,19.24,4.99,4.59,4.71,4.73,4.69,4.56,3.96,3.99,2.84,2.39,1.3,1.26,0.94,1.0,1.29,1.0,0.91,0.81,0.76,0.82,0.53,0.41,0.46,0.35,0.33,0.35,0.32,0.33,0.29,0.28,0.25,0.26,0.29,0.2,0.21,0.19,0.21,0.2,0.21,0.19,0.14,0.16,0.14,0.13,0.13,0.12,0.01,0.01,100.02000000000002
08/03/2021,22.7,19.09,5.01,4.53,4.87,4.7,4.7,4.53,3.88,3.98,2.79,2.44,1.27,1.26,0.93,1.0,1.26,0.99,0.94,0.83,0.74,0.82,0.49,0.34,0.45,0.34,0.33,0.34,0.34,0.33,0.29,0.28,0.25,0.26,0.28,0.2,0.21,0.18,0.22,0.2,0.21,0.19,0.14,0.16,0.13,0.12,0.13,0.12,0.18,0.02,99.99
08/04/2021,22.7,19.09,5.01,4.53,4.87,4.7,4.7,4.53,3.88,3.98,2.79,2.44,1.27,1.26,0.93,1.0,1.26,0.99,0.94,0.83,0.74,0.82,0.49,0.34,0.45,0.34,0.33,0.34,0.34,0.33,0.29,0.28,0.25,0.26,0.28,0.2,0.21,0.18,0.22,0.2,0.21,0.19,0.14,0.16,0.13,0.12,0.13,0.12,0.18,0.02,99.99
08/05/2021,22.7,19.09,5.01,4.53,4.87,4.7,4.7,4.53,3.88,3.98,2.79,2.44,1.27,1.26,0.93,1.0,1.26,0.99,0.94,0.83,0.74,0.82,0.49,0.34,0.45,0.34,0.33,0.34,0.34,0.33,0.29,0.28,0.25,0.26,0.28,0.2,0.21,0.18,0.22,0.2,0.21,0.19,0.14,0.16,0.13,0.12,0.13,0.12,0.18,0.02,99.99
08/06/2021,22.46,19.9,4.93,4.4,4.86,4.83,4.62,4.52,3.83,3.92,2.78,2.42,1.27,1.21,0.92,0.99,1.22,0.99,0.92,0.84,0.75,0.78,0.49,0.35,0.4,0.34,0.32,0.34,0.35,0.33,0.29,0.27,0.26,0.25,0.28,0.19,0.21,0.19,0.21,0.19,0.21,0.18,0.13,0.16,0.13,0.12,0.16,0.13,0.15,0.02,100.01000000000002
08/10/2021,22.57,19.87,4.93,4.4,4.89,5.03,4.5,4.5,3.39,3.98,2.81,2.46,1.25,1.2,0.9,1.1,1.17,1.01,1.05,0.86,0.73,0.81,0.51,0.33,0.38,0.3,0.34,0.34,0.36,0.27,0.28,0.27,0.25,0.24,0.29,0.21,0.2,0.18,0.21,0.16,0.21,0.23,0.12,0.17,0.13,0.13,0.1,0.15,0.2,0.02,99.99
08/11/2021,22.57,19.87,4.93,4.4,4.89,5.03,4.5,4.5,3.39,3.98,2.81,2.46,1.25,1.2,0.9,1.1,1.17,1.01,1.05,0.86,0.73,0.81,0.51,0.33,0.38,0.3,0.34,0.34,0.36,0.27,0.28,0.27,0.25,0.24,0.29,0.21,0.2,0.18,0.21,0.16,0.21,0.23,0.12,0.17,0.13,0.13,0.1,0.15,0.2,0.02,99.99
08/13/2021,22.69,21.28,4.86,4.39,4.8,5.15,3.77,4.45,3.27,4.23,2.89,2.47,1.0,1.19,0.78,1.12,1.12,0.93,1.04,0.83,0.67,0.82,0.24,0.34,0.38,0.3,0.32,0.35,0.36,0.25,0.28,0.25,0.26,0.23,0.27,0.21,0.2,0.18,0.22,0.15,0.22,0.21,0.12,0.16,0.12,0.13,0.13,0.15,0.17,0.02,99.97
08/16/2021,22.91,20.9,4.9,4.45,4.86,5.05,3.85,4.43,3.3,4.19,3.2,2.08,1.05,1.22,0.79,1.12,1.12,0.97,1.07,0.81,0.66,0.85,0.24,0.34,0.36,0.29,0.32,0.36,0.38,0.24,0.27,0.26,0.26,0.23,0.27,0.22,0.21,0.19,0.22,0.14,0.22,0.21,0.13,0.16,0.12,0.13,0.12,0.15,0.19,0.02,100.03
08/17/2021,22.84,21.25,4.89,4.45,4.82,5.02,3.92,4.43,3.19,4.15,3.24,2.04,1.06,1.25,0.78,1.12,1.12,0.96,1.04,0.81,0.65,0.83,0.23,0.34,0.34,0.29,0.32,0.36,0.39,0.23,0.27,0.26,0.26,0.23,0.26,0.22,0.22,0.19,0.22,0.14,0.22,0.2,0.12,0.16,0.11,0.13,0.13,0.13,0.19,0.02,100.04
08/19/2021,22.92,21.32,4.95,4.49,4.81,5.1,3.97,4.48,3.13,4.12,3.23,2.04,1.06,1.23,0.78,1.11,1.06,0.94,1.01,0.79,0.66,0.81,0.21,0.34,0.33,0.29,0.31,0.34,0.38,0.27,0.26,0.25,0.25,0.23,0.25,0.2,0.2,0.19,0.21,0.14,0.2,0.19,0.11,0.16,0.1,0.12,0.12,0.13,0.19,0.02,100.0
08/20/2021,22.85,21.72,4.93,4.49,4.74,5.09,3.94,4.45,3.04,4.03,3.29,2.05,1.08,1.24,0.8,1.09,1.05,0.93,1.03,0.79,0.63,0.8,0.21,0.33,0.32,0.29,0.3,0.34,0.38,0.27,0.26,0.25,0.24,0.22,0.25,0.2,0.2,0.19,0.2,0.14,0.2,0.19,0.12,0.15,0.1,0.12,0.13,0.13,0.18,0.02,99.99
08/23/2021,23.16,21.41,5.02,4.55,4.84,5.14,3.99,4.5,2.96,4.09,3.23,1.99,1.02,1.26,0.77,1.08,1.01,0.9,1.02,0.8,0.65,0.79,0.2,0.32,0.31,0.27,0.29,0.32,0.38,0.26,0.26,0.25,0.26,0.22,0.26,0.2,0.18,0.19,0.21,0.13,0.2,0.19,0.12,0.15,0.1,0.11,0.13,0.14,0.18,0.02,100.03
08/24/2021,23.15,21.26,5.01,4.54,4.92,5.12,3.97,4.52,2.99,4.06,3.13,2.04,1.01,1.26,0.78,1.08,1.05,0.92,1.04,0.81,0.67,0.8,0.21,0.33,0.19,0.29,0.3,0.34,0.37,0.26,0.26,0.25,0.27,0.22,0.27,0.22,0.19,0.19,0.21,0.14,0.2,0.19,0.12,0.15,0.1,0.12,0.13,0.14,0.21,0.02,100.02
08/25/2021,23.15,21.26,5.01,4.54,4.92,5.12,3.97,4.52,2.99,4.06,3.13,2.04,1.01,1.26,0.78,1.08,1.05,0.92,1.04,0.81,0.67,0.8,0.21,0.33,0.19,0.29,0.3,0.34,0.37,0.26,0.26,0.25,0.27,0.22,0.27,0.22,0.19,0.19,0.21,0.14,0.2,0.19,0.12,0.15,0.1,0.12,0.13,0.14,0.21,0.02,100.02
08/26/2021,22.7,21.59,4.95,4.48,4.93,5.02,3.97,4.46,3.08,4.04,3.1,2.04,1.05,1.23,0.81,1.07,1.06,0.95,1.06,0.81,0.67,0.78,0.24,0.33,0.23,0.3,0.31,0.34,0.36,0.27,0.26,0.26,0.27,0.23,0.27,0.23,0.22,0.18,0.22,0.14,0.2,0.2,0.13,0.16,0.11,0.12,0.13,0.14,0.31,0.02,100.03
08/27/2021,22.69,21.17,4.97,4.5,5.04,4.98,4.08,4.49,3.06,4.07,3.13,2.04,1.05,1.26,0.85,1.07,1.04,0.96,1.08,0.83,0.67,0.8,0.25,0.33,0.23,0.3,0.31,0.36,0.37,0.27,0.26,0.26,0.18,0.23,0.28,0.24,0.22,0.18,0.24,0.14,0.2,0.2,0.13,0.16,0.11,0.13,0.12,0.14,0.31,0.02,100.0
08/30/2021,22.67,20.97,5.0,4.48,5.26,5.01,4.19,4.44,3.02,4.01,3.24,2.01,1.05,1.27,0.84,1.06,1.03,0.96,1.09,0.84,0.68,0.8,0.23,0.35,0.21,0.3,0.31,0.36,0.34,0.27,0.26,0.25,0.16,0.23,0.29,0.22,0.23,0.18,0.22,0.14,0.19,0.2,0.13,0.16,0.11,0.13,0.09,0.14,0.35,0.02,99.99
08/31/2021,22.64,20.63,5.0,4.47,5.25,4.98,4.26,4.41,3.02,4.03,3.27,2.02,1.09,1.28,0.85,1.07,1.06,0.99,1.13,0.85,0.69,0.81,0.24,0.36,0.2,0.31,0.31,0.37,0.35,0.27,0.27,0.26,0.16,0.23,0.3,0.24,0.23,0.18,0.23,0.15,0.2,0.2,0.13,0.17,0.11,0.13,0.07,0.15,0.36,0.02,100.0
09/01/2021,22.64,20.63,5.0,4.47,5.25,4.98,4.26,4.41,3.02,4.03,3.27,2.02,1.09,1.28,0.85,1.07,1.06,0.99,1.13,0.85,0.69,0.81,0.24,0.36,0.2,0.31,0.31,0.37,0.35,0.27,0.27,0.26,0.16,0.23,0.3,0.24,0.23,0.18,0.23,0.15,0.2,0.2,0.13,0.17,0.11,0.13,0.07,0.15,0.36,0.02,100.0
09/02/2021,22.67,20.65,5.04,4.47,5.25,5.02,4.26,4.44,2.98,4.03,3.21,2.04,1.06,1.27,0.87,1.08,1.05,0.98,1.13,0.85,0.67,0.81,0.24,0.35,0.2,0.31,0.31,0.37,0.36,0.27,0.27,0.26,0.16,0.23,0.29,0.24,0.22,0.18,0.23,0.14,0.2,0.19,0.13,0.17,0.11,0.13,0.07,0.14,0.36,0.02,99.98
09/03/2021,22.67,20.4,5.02,4.47,5.27,4.96,4.27,4.43,2.99,4.11,3.24,2.07,1.07,1.26,0.9,1.08,1.07,0.99,1.15,0.84,0.67,0.8,0.26,0.35,0.2,0.31,0.31,0.38,0.36,0.27,0.27,0.26,0.16,0.23,0.3,0.26,0.22,0.19,0.24,0.14,0.2,0.2,0.13,0.18,0.11,0.14,0.07,0.14,0.36,0.02,99.99
09/06/2021,22.54,20.42,5.05,4.45,5.55,4.9,4.26,4.32,3.03,4.18,3.35,2.06,1.13,1.26,0.93,1.07,1.06,0.97,1.17,0.85,0.68,0.79,0.27,0.34,0.19,0.31,0.31,0.37,0.36,0.27,0.27,0.26,0.17,0.23,0.3,0.25,0.23,0.19,0.24,0.14,0.2,0.19,0.13,0.18,0.11,0.13,0.08,0.13,0.11,0.02,100.0
09/07/2021,22.6,20.46,5.08,4.46,5.59,4.91,4.31,4.29,3.07,4.12,3.36,2.08,1.11,1.27,0.92,1.07,1.05,0.93,1.15,0.84,0.67,0.77,0.27,0.35,0.19,0.31,0.3,0.37,0.36,0.26,0.26,0.25,0.16,0.23,0.3,0.24,0.23,0.18,0.23,0.14,0.19,0.19,0.13,0.18,0.11,0.13,0.08,0.13,0.12,0.01,100.01
09/08/2021,22.6,20.46,5.08,4.46,5.59,4.91,4.31,4.29,3.07,4.12,3.36,2.08,1.11,1.27,0.92,1.07,1.05,0.93,1.15,0.84,0.67,0.77,0.27,0.35,0.19,0.31,0.3,0.37,0.36,0.26,0.26,0.25,0.16,0.23,0.3,0.24,0.23,0.18,0.23,0.14,0.19,0.19,0.13,0.18,0.11,0.13,0.08,0.13,0.12,0.01,100.01
09/09/2021,22.63,20.48,5.08,4.47,5.6,4.92,4.31,4.3,3.07,4.13,3.36,2.09,1.11,1.27,0.92,1.07,1.05,0.94,1.15,0.84,0.67,0.77,0.27,0.35,0.19,0.31,0.3,0.37,0.36,0.27,0.26,0.25,0.16,0.23,0.3,0.25,0.23,0.18,0.23,0.14,0.19,0.19,0.13,0.18,0.11,0.13,0.08,0.13,0.12,0.01,100.15
09/10/2021,22.43,20.59,5.07,4.42,5.67,4.86,4.33,4.3,3.05,4.09,3.39,2.09,1.12,1.27,0.91,1.04,1.11,0.93,1.14,0.85,0.68,0.76,0.27,0.35,0.19,0.31,0.3,0.37,0.36,0.26,0.26,0.25,0.16,0.23,0.3,0.25,0.23,0.18,0.23,0.13,0.19,0.19,0.13,0.18,0.1,0.13,0.14,0.14,0.05,0.01,99.99
09/13/2021,22.23,20.59,5.11,4.37,5.76,4.65,4.33,4.26,3.08,4.05,3.35,2.25,1.12,1.26,0.93,1.04,1.19,0.94,1.17,0.85,0.71,0.77,0.27,0.35,0.19,0.32,0.3,0.38,0.38,0.27,0.25,0.29,0.17,0.23,0.31,0.26,0.22,0.18,0.22,0.14,0.19,0.19,0.14,0.17,0.1,0.13,0.11,0.14,0.08,0.01,100.0
09/14/2021,22.28,20.58,5.18,4.38,5.67,4.68,4.35,4.27,3.11,3.95,3.3,2.25,1.11,1.28,0.91,1.03,1.23,0.94,1.12,0.85,0.69,0.76,0.28,0.35,0.25,0.32,0.31,0.38,0.38,0.27,0.25,0.3,0.17,0.22,0.3,0.25,0.23,0.18,0.23,0.14,0.19,0.21,0.14,0.17,0.11,0.13,0.13,0.14,0.07,0.01,100.02999999999999
