,LIN,SHW,APD,FCX,ECL,NEM,DD,PPG,DOW,IFF,CTVA,NUE,BLL,LYB,IP,VMC,MLM,ALB,AMCR,AVY,CE,EMN,FMC,WRK,PKG,CF,MOS,Sealed Air Corporation,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,SEE,603087.SS,SSIXX,n/a,SLVM WI,SUM
07/23/2021,16.38,7.3,6.86,5.24,5.78,5.25,4.31,4.13,4.15,3.93,3.38,3.01,3.05,2.69,2.51,2.54,2.38,2.4,1.91,1.83,1.87,1.62,1.46,1.42,1.38,1.11,1.13,0.91,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,16.47,7.23,6.85,5.47,5.74,5.17,4.31,4.14,4.23,3.95,3.39,3.05,2.92,2.69,2.46,2.54,2.38,2.45,1.91,1.81,1.82,1.61,1.48,1.39,1.36,1.1,1.13,0.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,16.56,7.29,6.84,5.49,5.77,5.13,4.26,4.17,4.18,3.99,3.35,3.05,2.83,2.68,2.46,2.55,2.4,2.4,1.88,1.81,1.86,1.62,1.48,1.38,1.37,1.1,1.11,0.0,0.0,0.0,0.9,0.06,0.0,0.0,0.0,99.97
07/28/2021,16.56,7.29,6.84,5.49,5.77,5.13,4.26,4.17,4.18,3.99,3.35,3.05,2.83,2.68,2.46,2.55,2.4,2.4,1.88,1.81,1.86,1.62,1.48,1.38,1.37,1.1,1.11,0.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,16.4,7.22,6.76,5.67,5.76,5.11,4.25,4.19,4.27,3.96,3.34,3.13,2.85,2.72,2.45,2.5,2.35,2.43,1.9,1.82,1.85,1.63,1.47,1.4,1.37,1.09,1.12,0.9,0.44,-0.38,0.0,0.0,0.0,0.0,0.0,99.97000000000004
07/30/2021,16.4,7.26,6.74,5.62,5.79,5.18,4.21,4.18,4.26,3.97,3.35,3.15,2.85,2.73,2.46,2.51,2.36,2.36,1.9,1.82,1.86,1.62,1.46,1.41,1.4,1.09,1.11,0.0,0.0,0.0,0.9,0.06,0.0,0.0,0.0,100.01000000000002
08/02/2021,16.25,7.24,6.7,5.66,5.73,5.22,4.21,4.13,4.25,3.94,3.36,3.17,2.84,2.72,2.44,2.59,2.44,2.42,1.9,1.86,1.85,1.62,1.47,1.41,1.41,1.09,1.12,0.0,0.0,0.0,0.9,0.06,0.0,0.0,0.0,100.0
08/03/2021,16.21,7.21,6.67,5.87,5.71,5.23,4.21,4.07,4.25,3.91,3.36,3.26,2.8,2.73,2.4,2.56,2.42,2.5,1.89,1.84,1.85,1.62,1.45,1.39,1.4,1.08,1.13,0.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,16.58,7.22,6.68,5.79,5.69,5.22,4.19,4.07,4.2,3.94,3.31,3.27,2.79,2.69,2.38,2.51,2.38,2.53,1.87,1.84,1.84,1.62,1.45,1.38,1.41,1.06,1.13,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,16.38,7.32,6.7,5.63,5.69,5.21,4.22,4.11,4.19,3.96,3.33,3.25,2.84,2.71,2.39,2.53,2.4,2.57,1.89,1.85,1.84,1.62,1.46,1.38,1.41,1.05,1.1,0.91,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/06/2021,16.36,7.36,6.68,5.57,5.67,5.21,4.16,4.13,4.22,3.93,3.34,3.36,2.78,2.71,2.42,2.52,2.38,2.54,1.89,1.87,1.85,1.61,1.45,1.39,1.4,1.05,1.14,0.93,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,16.46,7.35,6.66,5.59,5.65,4.96,4.24,4.08,4.19,3.94,3.46,3.27,2.93,2.68,2.38,2.52,2.4,2.77,1.9,1.86,1.84,1.61,1.29,1.36,1.4,1.04,1.14,0.0,0.0,0.0,0.94,0.08,0.0,0.0,0.0,99.99
08/16/2021,16.08,7.33,6.19,5.67,5.5,4.71,4.24,4.13,4.21,3.97,3.47,3.83,3.0,2.76,2.4,2.61,2.48,2.82,1.9,1.83,1.87,1.62,1.25,1.41,1.41,1.07,1.2,0.0,0.0,0.0,0.94,0.13,0.0,0.0,0.0,100.03
08/17/2021,16.21,7.37,6.23,5.62,5.55,4.75,4.19,4.11,4.19,3.98,3.46,3.85,2.97,2.76,2.37,2.57,2.45,2.8,1.91,1.83,1.87,1.61,1.24,1.39,1.42,1.06,1.18,0.0,0.0,0.0,0.94,0.13,0.0,0.0,0.0,100.01
08/18/2021,16.21,7.37,6.23,5.62,5.55,4.75,4.19,4.11,4.19,3.98,3.46,3.85,2.97,2.76,2.37,2.57,2.45,2.8,1.91,1.83,1.87,1.61,1.24,1.39,1.42,1.06,1.18,0.0,0.0,0.0,0.94,0.13,0.0,0.0,0.0,100.01
08/24/2021,16.97,7.64,6.15,5.0,5.74,4.69,4.08,4.02,4.13,3.93,3.26,3.67,3.27,2.66,2.42,2.56,2.46,2.7,2.08,1.91,1.82,1.58,1.19,1.39,1.48,1.0,1.12,0.0,0.0,0.0,0.95,0.13,0.0,0.0,0.0,100.0
08/30/2021,16.62,7.43,6.1,5.2,5.69,4.66,4.11,3.97,4.26,3.91,3.37,3.67,3.22,2.71,2.41,2.59,2.49,2.8,2.03,1.94,1.85,1.6,1.25,1.4,1.48,0.99,1.14,0.0,0.0,0.0,0.96,0.14,0.0,0.0,0.0,99.98999999999998
08/31/2021,15.9,6.89,6.73,5.75,5.42,5.37,4.41,4.31,4.36,3.98,3.5,3.07,2.85,2.84,2.57,2.47,2.35,2.11,1.89,1.87,1.83,1.71,1.49,1.52,1.38,1.18,1.18,0.0,0.0,0.0,0.96,0.0,0.43,0.0,0.0,100.32
09/01/2021,15.9,6.89,6.73,5.75,5.42,5.37,4.41,4.31,4.36,3.98,3.5,3.07,2.85,2.84,2.57,2.47,2.35,2.11,1.89,1.87,1.83,1.71,1.49,1.52,1.38,1.18,1.18,0.0,0.0,0.0,0.96,0.0,0.43,0.0,0.0,100.32
09/07/2021,16.67,7.52,6.07,5.42,5.73,4.89,3.97,3.82,4.15,3.89,3.43,3.54,3.31,2.55,2.43,2.48,2.42,2.93,2.03,1.94,1.81,1.59,1.27,1.45,1.5,1.01,1.15,0.0,0.0,0.0,0.96,0.0,0.0,0.06,0.0,99.99
09/13/2021,16.9,7.39,6.14,5.3,5.88,4.77,3.94,3.86,4.09,3.95,3.38,3.55,3.3,2.48,2.42,2.46,2.41,2.99,1.97,1.97,1.81,1.57,1.32,1.45,1.52,1.03,1.15,0.0,0.0,0.0,0.93,0.0,0.0,0.09,0.0,100.02
09/21/2021,17.24,7.53,6.21,5.19,5.82,4.74,3.98,3.78,4.04,3.65,3.35,3.41,3.29,2.58,2.41,2.45,2.32,2.88,1.98,1.93,1.82,1.53,1.33,1.44,1.45,1.14,1.26,0.0,0.0,0.0,0.93,0.0,0.0,0.31,0.0,99.99000000000002
09/28/2021,17.23,7.6,6.18,5.09,5.99,4.63,3.84,3.79,4.56,3.55,3.34,3.19,3.24,2.65,2.39,2.51,2.35,2.85,1.95,1.93,1.83,1.49,1.3,1.45,1.45,1.27,1.33,0.0,0.0,0.0,0.92,0.0,0.0,0.09,0.0,99.98999999999998
09/29/2021,17.23,7.6,6.18,5.09,5.99,4.63,3.84,3.79,4.56,3.55,3.34,3.19,3.24,2.65,2.39,2.51,2.35,2.85,1.95,1.93,1.83,1.49,1.3,1.45,1.45,1.27,1.33,0.0,0.0,0.0,0.92,0.0,0.0,0.09,0.0,99.98999999999998
10/05/2021,16.68,7.49,6.18,5.23,5.77,4.64,3.92,3.71,4.74,3.81,3.46,3.11,3.18,2.75,2.26,2.49,2.4,2.78,1.96,1.89,1.85,1.51,1.29,1.48,1.43,1.43,1.42,0.0,0.0,0.0,0.9,0.0,0.0,0.13,0.13,100.02
10/06/2021,16.68,7.49,6.18,5.23,5.77,4.64,3.92,3.71,4.74,3.81,3.46,3.11,3.18,2.75,2.26,2.49,2.4,2.78,1.96,1.89,1.85,1.51,1.29,1.48,1.43,1.43,1.42,0.0,0.0,0.0,0.9,0.0,0.0,0.13,0.13,100.02
10/07/2021,16.6,7.54,6.18,5.24,5.77,4.77,4.01,3.73,4.74,3.75,3.41,3.1,3.2,2.73,2.3,2.48,2.37,2.75,1.96,1.88,1.86,1.51,1.28,1.49,1.44,1.43,1.44,0.0,0.0,0.0,0.92,0.0,0.0,0.14,0.0,100.02
10/11/2021,16.52,7.61,6.23,5.39,5.76,4.67,3.94,3.82,4.67,3.68,3.34,3.11,3.21,2.77,2.27,2.51,2.41,2.78,1.95,1.89,1.9,1.52,1.24,1.45,1.45,1.4,1.46,0.0,0.0,0.0,0.92,0.0,0.0,0.15,0.0,100.02
10/12/2021,16.45,7.55,6.32,5.39,5.76,4.67,3.96,3.85,4.71,3.7,3.38,3.09,3.21,2.78,2.29,2.5,2.4,2.7,1.94,1.84,1.9,1.54,1.23,1.44,1.42,1.41,1.5,0.0,0.0,0.0,0.92,0.0,0.0,0.16,0.0,100.01
10/13/2021,16.45,7.55,6.32,5.39,5.76,4.67,3.96,3.85,4.71,3.7,3.38,3.09,3.21,2.78,2.29,2.5,2.4,2.7,1.94,1.84,1.9,1.54,1.23,1.44,1.42,1.41,1.5,0.0,0.0,0.0,0.92,0.0,0.0,0.16,0.0,100.01
10/19/2021,16.51,7.45,6.72,5.88,5.68,4.73,3.91,3.95,4.56,3.81,3.31,3.1,3.09,2.72,2.16,2.43,2.37,2.78,1.91,1.8,1.9,1.51,1.23,1.29,1.32,1.32,1.49,0.0,0.0,0.0,0.89,0.0,0.0,0.17,0.0,99.99
10/20/2021,16.51,7.45,6.72,5.88,5.68,4.73,3.91,3.95,4.56,3.81,3.31,3.1,3.09,2.72,2.16,2.43,2.37,2.78,1.91,1.8,1.9,1.51,1.23,1.29,1.32,1.32,1.49,0.0,0.0,0.0,0.89,0.0,0.0,0.17,0.0,99.99
10/21/2021,16.5,7.47,6.72,5.87,5.65,4.68,3.9,3.88,4.56,3.76,3.3,3.12,3.05,2.7,2.14,2.49,2.42,2.88,1.91,1.8,1.89,1.51,1.23,1.32,1.32,1.36,1.5,0.0,0.0,0.0,0.89,0.0,0.0,0.17,0.0,99.99
10/26/2021,16.51,7.63,6.68,5.79,5.68,4.69,3.88,4.02,4.54,3.73,3.22,3.08,3.12,2.62,2.13,2.51,2.44,2.81,1.9,1.84,1.89,1.5,1.24,1.33,1.31,1.32,1.5,0.0,0.0,0.0,0.91,0.0,0.0,0.16,0.0,99.98
11/02/2021,16.9,7.86,6.8,5.68,5.67,4.42,3.73,3.91,4.28,3.76,3.25,3.36,3.06,2.51,1.99,2.59,2.51,3.0,1.91,1.85,1.84,1.45,1.2,1.32,1.34,1.25,1.47,0.0,0.0,0.0,0.91,0.0,0.0,0.16,0.0,99.97999999999998
11/03/2021,16.9,7.86,6.8,5.68,5.67,4.42,3.73,3.91,4.28,3.76,3.25,3.36,3.06,2.51,1.99,2.59,2.51,3.0,1.91,1.85,1.84,1.45,1.2,1.32,1.34,1.25,1.47,0.0,0.0,0.0,0.91,0.0,0.0,0.16,0.0,99.97999999999998
11/05/2021,17.11,7.67,6.68,5.73,5.71,4.42,4.1,3.89,4.41,3.64,3.18,3.19,3.08,2.52,1.94,2.62,2.57,3.08,1.88,1.81,1.87,1.5,1.22,1.27,1.28,1.23,1.32,0.0,0.0,0.0,0.92,0.0,0.0,0.17,0.0,100.01
11/09/2021,17.03,7.68,6.8,5.4,5.7,4.47,4.18,3.85,4.32,3.55,3.47,3.27,2.94,2.44,1.9,2.58,2.56,3.17,1.86,1.86,1.87,1.51,1.36,1.29,1.28,1.27,1.28,0.0,0.0,0.0,0.94,0.0,0.0,0.16,0.0,99.99
11/10/2021,17.03,7.68,6.8,5.4,5.7,4.47,4.18,3.85,4.32,3.55,3.47,3.27,2.94,2.44,1.9,2.58,2.56,3.17,1.86,1.86,1.87,1.51,1.36,1.29,1.28,1.27,1.28,0.0,0.0,0.0,0.94,0.0,0.0,0.16,0.0,99.99
11/24/2021,16.96,7.96,6.51,5.55,5.78,4.47,4.14,3.77,4.23,3.69,3.47,3.28,3.09,2.34,1.84,2.57,2.57,3.25,1.81,1.79,1.82,1.52,1.32,1.23,1.25,1.39,1.33,0.0,0.0,0.0,0.96,0.0,0.0,0.11,0.0,100.0
11/25/2021,16.81,7.89,6.5,5.47,5.76,4.4,4.09,3.78,4.33,3.67,3.45,3.47,3.06,2.42,1.87,2.59,2.57,3.28,1.82,1.79,1.82,1.54,1.32,1.27,1.26,1.38,1.33,0.0,0.0,0.0,0.96,0.0,0.0,0.11,0.0,100.01
11/26/2021,16.82,7.82,6.53,5.6,5.73,4.37,4.1,3.75,4.35,3.62,3.47,3.46,3.03,2.43,1.86,2.62,2.59,3.17,1.79,1.81,1.84,1.56,1.33,1.26,1.26,1.38,1.34,0.0,0.0,0.0,0.97,0.0,0.0,0.12,0.0,99.98
11/29/2021,16.79,7.89,6.55,5.64,5.72,4.4,4.09,3.74,4.34,3.65,3.47,3.38,3.04,2.4,1.85,2.66,2.62,3.19,1.79,1.8,1.83,1.52,1.33,1.24,1.25,1.39,1.34,0.0,0.0,0.0,0.96,0.0,0.0,0.12,0.0,99.99
