,AGPXX,B 0 09/09/21,B 0 08/05/21,XIB 0 10/07/21,Cash/Receivables/Payables,NYBOT FINEX United States Dollar Index Future,B 0 10/07/21,CMBR 0 09/09/21,018000.KQ,B 0 02/03/22,B 0 12/02/21,B 0 01/06/22,n/a,688008.SS,B 0 12/09/21,B 0 03/10/22,B 0 12.09.21,B 0 03.10.22,B 0 02.03.22,B 0 12.02.21,B 0 01.06.22,WIB 0 02.03.22,CMBR 0 12.02.21,SUM
07/27/2021,41.83,0.0,26.52,0.0,0.0,-105.48,2.65,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.310000000000002
07/28/2021,41.83,0.0,26.52,0.0,0.0,-105.48,2.65,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.310000000000002
07/29/2021,41.7,0.0,26.5,0.0,0.0,0.0,2.65,29.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,38.46,0.0,27.97,0.0,0.0,0.0,2.8,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,38.46,30.77,27.97,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,39.17,30.63,27.85,0.0,0.0,-103.72,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.279999999999987
08/04/2021,39.17,30.63,27.85,0.0,0.0,-103.72,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.279999999999987
08/05/2021,38.76,30.59,27.81,0.0,0.0,-103.44,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5
08/09/2021,48.5,30.66,0.0,0.0,0.0,0.0,2.79,0.0,0.0,6.97,5.57,5.57,-103.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.810000000000017
08/10/2021,48.83,30.85,0.0,0.0,0.0,0.0,2.8,0.0,0.0,7.01,5.61,5.61,-105.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.439999999999998
08/11/2021,48.49,30.63,0.0,0.0,0.0,0.0,2.78,0.0,0.0,6.96,5.57,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/12/2021,48.29,30.9,0.0,0.0,0.0,0.0,2.81,0.0,0.0,7.02,5.62,5.62,-105.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.209999999999994
08/13/2021,48.13,30.94,0.0,0.0,0.0,0.0,2.81,0.0,0.0,7.03,5.63,5.63,-105.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.579999999999998
08/30/2021,44.83,32.81,0.0,0.0,0.0,0.0,2.98,0.0,0.0,7.46,5.96,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,41.6,34.73,0.0,0.0,0.0,0.0,3.16,0.0,0.0,7.89,6.31,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,33.04,27.8,0.0,0.0,0.0,0.0,2.53,0.0,0.0,6.32,5.05,5.05,0.0,0.0,10.11,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,50.86,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,7.94,6.35,6.35,-100.26,0.0,12.7,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1899999999999977
09/20/2021,51.16,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,7.96,6.37,6.37,-100.92,0.0,12.74,12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3900000000000148
09/21/2021,50.89,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,7.99,6.39,6.39,-101.49,0.0,12.78,12.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0799999999999983
09/22/2021,50.89,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,7.99,6.39,6.39,-101.49,0.0,12.78,12.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0799999999999983
09/23/2021,50.65,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,7.99,6.39,6.39,-101.67,0.0,12.79,12.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4699999999999989
09/27/2021,50.15,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,7.98,6.38,6.38,-101.18,0.0,12.76,12.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5799999999999983
09/28/2021,50.79,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,8.0,6.4,6.4,-101.86,0.0,12.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4699999999999989
09/29/2021,50.79,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,8.0,6.4,6.4,-101.86,0.0,12.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4699999999999989
09/30/2021,50.48,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,8.01,6.4,6.4,-101.96,0.0,12.81,12.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8499999999999943
10/01/2021,50.66,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,8.04,6.43,6.43,-102.85,0.0,12.86,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3500000000000085
10/11/2021,53.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.85,0.0,0.0,0.0,12.93,12.93,8.08,6.46,6.46,0.0,0.0,-3.8299999999999983
10/12/2021,53.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.54,0.0,0.0,0.0,12.91,12.91,8.07,6.45,6.45,0.0,0.0,-3.61
10/13/2021,53.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.54,0.0,0.0,0.0,12.91,12.91,8.07,6.45,6.45,0.0,0.0,-3.61
10/14/2021,53.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.09,0.0,0.0,0.0,12.94,12.94,8.09,6.47,6.47,0.0,0.0,-3.9000000000000057
10/15/2021,53.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.53,0.0,0.0,0.0,12.97,12.97,8.11,6.49,6.49,0.0,0.0,-4.280000000000015
10/18/2021,53.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.28,0.0,0.0,0.0,12.89,12.89,8.06,6.45,6.45,0.0,0.0,-3.3699999999999903
10/19/2021,53.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.24,0.0,0.0,0.0,12.89,12.89,8.06,6.45,6.45,0.0,0.0,-3.2099999999999795
10/20/2021,53.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.24,0.0,0.0,0.0,12.89,12.89,8.06,6.45,6.45,0.0,0.0,-3.2099999999999795
10/21/2021,53.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.25,0.0,0.0,0.0,12.89,12.89,8.06,6.45,6.45,0.0,0.0,-3.1899999999999835
10/22/2021,53.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.77,0.0,0.0,0.0,12.86,12.86,8.04,6.43,6.43,0.0,0.0,-2.9699999999999847
10/25/2021,55.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.59,0.0,0.0,0.0,12.45,12.45,7.78,6.23,6.23,0.0,0.0,-2.289999999999992
10/26/2021,54.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.3,0.0,0.0,0.0,12.43,12.43,7.77,6.22,6.22,0.0,0.0,-2.3899999999999864
10/27/2021,54.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.3,0.0,0.0,0.0,12.43,12.43,7.77,6.22,6.22,0.0,0.0,-2.3899999999999864
10/28/2021,55.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.71,0.0,0.0,0.0,12.46,12.46,7.79,6.23,6.23,0.0,0.0,-2.44999999999996
10/29/2021,54.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.01,0.0,0.0,0.0,12.48,12.48,7.8,6.24,6.24,0.0,0.0,-2.800000000000012
11/01/2021,51.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.71,0.0,0.0,0.0,13.25,13.25,0.0,6.63,6.62,8.28,0.0,-2.1599999999999824
11/02/2021,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.48,0.0,0.0,0.0,13.37,13.36,0.0,6.68,6.68,8.36,0.0,-2.529999999999987
11/03/2021,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.48,0.0,0.0,0.0,13.37,13.36,0.0,6.68,6.68,8.36,0.0,-2.529999999999987
11/04/2021,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.48,0.0,0.0,0.0,13.37,13.36,0.0,6.68,6.68,8.36,0.0,-2.529999999999987
11/08/2021,51.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35,13.35,8.35,6.68,6.67,0.0,0.0,100.00999999999998
11/09/2021,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.93,0.0,0.0,0.0,13.4,13.4,8.38,6.7,6.7,0.0,0.0,-3.9200000000000017
11/10/2021,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.93,0.0,0.0,0.0,13.4,13.4,8.38,6.7,6.7,0.0,0.0,-3.9200000000000017
11/11/2021,51.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.32,0.0,0.0,0.0,13.36,13.36,8.35,6.68,6.68,0.0,0.0,-3.579999999999984
11/12/2021,51.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.13,0.0,0.0,0.0,13.34,13.34,8.34,6.67,6.67,0.0,0.0,-3.2099999999999795
11/15/2021,52.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.89,0.0,0.0,0.0,13.53,13.52,8.46,6.76,6.76,0.0,0.0,-4.499999999999986
11/16/2021,50.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.79,0.0,0.0,0.0,13.52,13.52,8.45,6.76,6.76,0.0,0.0,-5.799999999999997
11/17/2021,50.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.79,0.0,0.0,0.0,13.52,13.52,8.45,0.0,6.76,0.0,6.76,-5.799999999999997
