,2330.TW,700.HK,9988.HK,005930.KS,1299.HK,3690.HK,RELIANCE.NS,388.HK,INFY.NS,939.HK,NIO,JD,2318.HK,000660.KS,HDFC.NS,2269.HK,005935.KQ,2454.TW,2317.TW,BIDU,PDD,XTSLA,1810.HK,035420.KS,ICICIBANK.NS,NTES,035720.KS,D05.SI,TCS.NS,006400.KS,051910.KS,1398.HK,M4B.,O39.SI,005380.KS,3988.HK,YUMC,HINDUNILVR.NS,HKD,2020.HK,2331.HK,600519.SS,AXISBANK.NS,669.HK,U11.SI,BY6.,2303.TW,068270.KS,BAJFINANCE.NS,005490.KS,BBCA.JK,2308.TW,2382.HK,000270.KS,16.HK,2313.HK,1.HK,823.HK,2603.TW,105560.KS,27.HK,175.HK,2319.HK,3.HK,BILI,2002.TW,2881.TW,BHARTIARTL.NS,TCOM,012330.KS,6098.HK,066570.KS,1303.TW,2.HK,LI,ASIANPAINT.NS,055550.KS,11.HK,051900.KS,PBBANK.KL,2412.TW,2882.TW,Z74.SI,BEKE,2688.HK,BBRI.JK,1301.TW,BGNE,XPEV,HCLTECH.NS,1113.HK,2891.TW,CHL.,1801.HK,LT.NS,291.HK,MARUTI.NS,1216.TW,207940.KS,SNPMF,2609.TW,096770.KS,ZLAB,2388.HK,J36.SI,ZTO,3711.TW,INR,1109.HK,KOTAKBANK.NS,2886.TW,PTT-R.BK,036570.KS,086790.KS,EDU,2884.TW,011200.KS,CPALL-R.BK,2357.TW,1326.TW,017670.KS,1093.HK,TLKM.JK,028260.KS,2885.TW,3008.TW,3034.TW,000858.SZ,SBIN.NS,857.HK,2333.HK,600036.SS,1997.HK,TME,1177.HK,300750.SZ,HTHT,960.HK,968.HK,WIPRO.NS,SCVUF,1928.HK,TATASTEEL.NS,ULTRACEMCO.NS,2892.TW,2327.TW,TAL,6.HK,688.HK,DRREDDY.NS,2899.HK,1101.TW,5871.TW,66.HK,2382.TW,TECHM.NS,M&M.NS,268.HK,6415.TW,1288.HK,384.HK,009150.KS,288.HK,241.HK,ITC.NS,NESTLEIND.NS,992.HK,17.HK,DIVISLAB.NS,2007.HK,HINDALCO.NS,091990.KQ,033780.KS,VIPS,TITAN.NS,2601.HK,AOT-R.BK,BMRI.JK,TATAMOTORS.NS,A17U.SI,NTPC.NS,2379.TW,DMART.NS,FUTU,C31.SI,C38U.SI,MAYBANK.KL,12.HK,1918.HK,SUNPHARMA.NS,SMPH.PM,003550.KS,JSWSTEEL.NS,034730.KS,5880.TW,1821.HK,6862.HK,586.HK,2409.TW,3481.TW,BDMS-R.BK,1919.HK,2883.TW,HDFCLIFE.NS,090430.KS,POWERGRID.NS,1088.HK,TWD,KRW,6969.HK,6690.HK,F34.SI,853.HK,DELTA-R.BK,TATACONSUM.NS,9930.TW,2359.HK,6186.HK,5876.TW,ASII.JK,CNH,CIMB.KL,BJFIN.NS,SBILIFE.NS,S68.SI,267.HK,2880.TW,916.HK,868.HK,AQE.,1658.HK,APOLLOHOSP.NS,NVAA.,SUM
07/23/2021,7.12,5.56,5.5,4.54,2.0,1.76,1.11,1.16,0.98,0.93,0.8,0.89,0.82,0.78,0.78,0.83,0.72,0.72,0.7,0.67,0.62,0.0,0.71,0.68,0.61,0.64,0.57,0.55,0.55,0.49,0.45,0.45,0.45,0.4,0.39,0.39,0.38,0.37,0.24,0.36,0.37,0.34,0.33,0.33,0.31,0.29,0.31,0.32,0.3,0.29,0.31,0.3,0.29,0.28,0.28,0.25,0.26,0.27,0.21,0.24,0.2,0.24,0.25,0.26,0.25,0.21,0.26,0.24,0.2,0.22,0.21,0.21,0.22,0.22,0.2,0.23,0.2,0.2,0.2,0.2,0.2,0.22,0.2,0.19,0.23,0.2,0.2,0.2,0.23,0.2,0.19,0.19,0.17,0.19,0.2,0.2,0.18,0.17,0.18,0.16,0.13,0.16,0.17,0.17,0.17,0.18,0.19,5.95,0.17,0.17,0.17,0.15,0.16,0.15,0.13,0.16,0.13,0.15,0.15,0.15,0.16,0.17,0.15,0.13,0.13,0.14,0.14,0.15,0.14,0.12,0.16,0.12,0.13,0.11,0.13,0.16,0.12,0.13,0.13,0.14,0.14,0.12,0.14,0.14,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.1,0.0,0.11,0.11,0.1,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.42999999999999
07/27/2021,7.13,5.49,5.51,4.5,2.03,1.77,1.11,1.19,1.0,0.92,0.82,0.9,0.79,0.78,0.78,0.8,0.72,0.71,0.67,0.66,0.63,0.0,0.69,0.65,0.62,0.62,0.54,0.56,0.55,0.49,0.45,0.44,0.45,0.41,0.38,0.39,0.38,0.36,0.32,0.35,0.35,0.33,0.32,0.34,0.31,0.31,0.3,0.31,0.31,0.3,0.31,0.29,0.3,0.28,0.28,0.25,0.26,0.27,0.17,0.24,0.21,0.25,0.25,0.26,0.24,0.21,0.26,0.24,0.2,0.22,0.21,0.21,0.22,0.22,0.21,0.22,0.2,0.2,0.19,0.19,0.2,0.22,0.2,0.18,0.23,0.21,0.2,0.2,0.23,0.2,0.19,0.19,0.17,0.18,0.2,0.19,0.18,0.17,0.17,0.16,0.11,0.16,0.17,0.17,0.17,0.17,0.18,5.91,0.18,0.17,0.17,0.15,0.15,0.16,0.13,0.16,0.13,0.14,0.14,0.15,0.15,0.17,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.18,0.12,0.13,0.11,0.13,0.16,0.12,0.14,0.13,0.14,0.13,0.13,0.15,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.1,0.1,0.11,0.11,0.1,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.11,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.11,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.19
07/29/2021,7.29,5.16,5.32,4.63,2.05,1.55,1.13,1.15,1.05,0.95,0.8,0.82,0.77,0.79,0.81,0.73,0.74,0.75,0.69,0.63,0.56,0.0,0.68,0.69,0.67,0.52,0.57,0.58,0.57,0.5,0.46,0.46,0.44,0.42,0.39,0.4,0.39,0.37,0.37,0.34,0.33,0.32,0.34,0.34,0.33,0.32,0.33,0.31,0.32,0.32,0.32,0.3,0.3,0.28,0.29,0.26,0.27,0.28,0.18,0.25,0.2,0.26,0.25,0.27,0.2,0.22,0.25,0.25,0.18,0.22,0.17,0.22,0.23,0.23,0.21,0.23,0.2,0.21,0.17,0.2,0.21,0.22,0.2,0.12,0.24,0.21,0.2,0.18,0.22,0.21,0.19,0.2,0.17,0.17,0.21,0.18,0.19,0.18,0.18,0.16,0.11,0.16,0.14,0.17,0.18,0.17,0.19,0.46,0.18,0.18,0.17,0.15,0.17,0.16,0.0,0.17,0.13,0.15,0.14,0.15,0.15,0.17,0.15,0.14,0.13,0.15,0.15,0.13,0.15,0.13,0.19,0.12,0.13,0.1,0.13,0.16,0.11,0.14,0.13,0.15,0.14,0.12,0.16,0.15,0.13,0.12,0.0,0.13,0.13,0.12,0.12,0.13,0.14,0.14,0.11,0.14,0.12,0.12,0.14,0.12,0.13,0.13,0.11,0.0,0.12,0.12,0.1,0.11,0.13,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.1,0.11,0.12,0.11,0.0,0.11,0.1,0.1,0.0,0.1,0.11,0.1,0.1,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.63,0.62,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.73
07/30/2021,7.46,4.82,5.12,4.75,2.02,1.31,1.15,1.1,1.08,0.99,0.75,0.82,0.76,0.81,0.82,0.69,0.76,0.74,0.72,0.62,0.51,0.0,0.66,0.72,0.68,0.52,0.59,0.59,0.58,0.54,0.49,0.47,0.44,0.43,0.4,0.41,0.38,0.38,0.39,0.33,0.3,0.31,0.34,0.34,0.33,0.31,0.33,0.32,0.33,0.34,0.33,0.3,0.3,0.29,0.3,0.26,0.28,0.29,0.16,0.26,0.2,0.26,0.25,0.28,0.2,0.22,0.25,0.26,0.19,0.23,0.15,0.22,0.23,0.24,0.18,0.23,0.21,0.21,0.18,0.2,0.22,0.22,0.21,0.13,0.25,0.22,0.21,0.18,0.2,0.21,0.2,0.2,0.17,0.15,0.21,0.18,0.19,0.18,0.19,0.17,0.1,0.17,0.13,0.18,0.18,0.17,0.19,0.43,0.17,0.18,0.18,0.15,0.17,0.17,0.0,0.17,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.12,0.15,0.13,0.18,0.12,0.13,0.1,0.12,0.15,0.11,0.13,0.13,0.16,0.14,0.12,0.16,0.15,0.13,0.12,0.0,0.13,0.13,0.11,0.13,0.13,0.14,0.14,0.12,0.14,0.13,0.11,0.14,0.13,0.14,0.13,0.11,0.0,0.12,0.12,0.0,0.11,0.13,0.11,0.13,0.12,0.12,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.13,0.11,0.0,0.12,0.1,0.11,0.11,0.0,0.11,0.1,0.11,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.48,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.17
08/02/2021,7.28,5.15,5.43,4.64,2.02,1.49,1.11,1.14,1.05,0.94,0.78,0.88,0.76,0.77,0.79,0.77,0.74,0.72,0.7,0.64,0.57,0.69,0.68,0.68,0.67,0.58,0.57,0.57,0.56,0.52,0.47,0.45,0.44,0.43,0.39,0.4,0.37,0.37,0.26,0.36,0.34,0.31,0.31,0.35,0.33,0.34,0.33,0.31,0.33,0.33,0.32,0.29,0.31,0.28,0.29,0.26,0.27,0.28,0.18,0.25,0.19,0.28,0.24,0.27,0.21,0.22,0.25,0.26,0.2,0.22,0.19,0.22,0.23,0.23,0.2,0.22,0.21,0.21,0.18,0.2,0.21,0.21,0.21,0.12,0.24,0.21,0.2,0.2,0.21,0.21,0.19,0.2,0.17,0.18,0.21,0.18,0.18,0.18,0.18,0.16,0.11,0.16,0.15,0.17,0.17,0.17,0.19,0.34,0.16,0.17,0.17,0.15,0.17,0.17,0.0,0.17,0.13,0.15,0.14,0.15,0.16,0.18,0.16,0.15,0.13,0.15,0.15,0.12,0.15,0.13,0.2,0.12,0.13,0.1,0.13,0.17,0.12,0.13,0.13,0.15,0.13,0.12,0.18,0.15,0.13,0.12,0.0,0.13,0.12,0.1,0.13,0.13,0.14,0.13,0.11,0.14,0.12,0.13,0.14,0.12,0.13,0.13,0.11,0.0,0.11,0.12,0.1,0.11,0.12,0.11,0.14,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.0,0.11,0.1,0.12,0.11,0.0,0.11,0.1,0.1,0.1,0.0,0.11,0.0,0.1,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.51,0.42,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,75.89
08/03/2021,7.31,5.07,5.26,4.65,2.07,1.42,1.11,1.14,1.06,0.96,0.83,0.88,0.78,0.77,0.81,0.74,0.74,0.71,0.7,0.63,0.58,0.59,0.67,0.67,0.67,0.59,0.57,0.58,0.56,0.51,0.48,0.45,0.43,0.44,0.38,0.4,0.38,0.37,0.27,0.35,0.33,0.3,0.31,0.36,0.33,0.35,0.35,0.3,0.33,0.34,0.32,0.29,0.31,0.28,0.29,0.26,0.27,0.28,0.17,0.25,0.19,0.29,0.25,0.27,0.2,0.22,0.24,0.26,0.19,0.22,0.19,0.21,0.23,0.24,0.23,0.22,0.21,0.21,0.17,0.2,0.21,0.21,0.21,0.11,0.24,0.21,0.2,0.21,0.22,0.21,0.19,0.2,0.17,0.17,0.21,0.17,0.18,0.18,0.18,0.16,0.1,0.16,0.16,0.17,0.17,0.17,0.2,0.34,0.15,0.18,0.18,0.15,0.17,0.16,0.0,0.17,0.13,0.15,0.13,0.15,0.15,0.17,0.16,0.15,0.14,0.15,0.15,0.12,0.15,0.13,0.22,0.12,0.13,0.1,0.13,0.17,0.12,0.12,0.14,0.15,0.14,0.12,0.17,0.15,0.13,0.11,0.0,0.13,0.11,0.11,0.13,0.13,0.14,0.14,0.11,0.15,0.12,0.12,0.14,0.12,0.13,0.13,0.11,0.0,0.11,0.12,0.1,0.11,0.13,0.11,0.14,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.0,0.11,0.1,0.11,0.1,0.0,0.13,0.0,0.1,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.29,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.09,0.09,0.0,0.1,0.09,0.0,0.0,0.0,0.0,75.32000000000001
08/04/2021,7.31,5.07,5.26,4.65,2.07,1.42,1.11,1.14,1.06,0.96,0.83,0.88,0.78,0.77,0.81,0.74,0.74,0.71,0.7,0.63,0.58,0.59,0.67,0.67,0.67,0.59,0.57,0.58,0.56,0.51,0.48,0.45,0.43,0.44,0.38,0.4,0.38,0.37,0.27,0.35,0.33,0.3,0.31,0.36,0.33,0.35,0.35,0.3,0.33,0.34,0.32,0.29,0.31,0.28,0.29,0.26,0.27,0.28,0.17,0.25,0.19,0.29,0.25,0.27,0.2,0.22,0.24,0.26,0.19,0.22,0.19,0.21,0.23,0.24,0.23,0.22,0.21,0.21,0.17,0.2,0.21,0.21,0.21,0.11,0.24,0.21,0.2,0.21,0.22,0.21,0.19,0.2,0.17,0.17,0.21,0.17,0.18,0.18,0.18,0.16,0.1,0.16,0.16,0.17,0.17,0.17,0.2,0.34,0.15,0.18,0.18,0.15,0.17,0.16,0.0,0.17,0.13,0.15,0.13,0.15,0.15,0.17,0.16,0.15,0.14,0.15,0.15,0.12,0.15,0.13,0.22,0.12,0.13,0.1,0.13,0.17,0.12,0.12,0.14,0.15,0.14,0.12,0.17,0.15,0.13,0.11,0.0,0.13,0.11,0.11,0.13,0.13,0.14,0.14,0.11,0.15,0.12,0.12,0.14,0.12,0.13,0.13,0.11,0.0,0.11,0.12,0.1,0.11,0.13,0.11,0.14,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.0,0.11,0.1,0.11,0.1,0.0,0.13,0.0,0.1,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.29,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.09,0.09,0.0,0.1,0.09,0.0,0.0,0.0,0.0,75.32000000000001
08/05/2021,7.31,5.07,5.26,4.65,2.07,1.42,1.11,1.14,1.06,0.96,0.83,0.88,0.78,0.77,0.81,0.74,0.74,0.71,0.7,0.63,0.58,0.59,0.67,0.67,0.67,0.59,0.57,0.58,0.56,0.51,0.48,0.45,0.43,0.44,0.38,0.4,0.38,0.37,0.27,0.35,0.33,0.3,0.31,0.36,0.33,0.35,0.35,0.3,0.33,0.34,0.32,0.29,0.31,0.28,0.29,0.26,0.27,0.28,0.17,0.25,0.19,0.29,0.25,0.27,0.2,0.22,0.24,0.26,0.19,0.22,0.19,0.21,0.23,0.24,0.23,0.22,0.21,0.21,0.17,0.2,0.21,0.21,0.21,0.11,0.24,0.21,0.2,0.21,0.22,0.21,0.19,0.2,0.17,0.17,0.21,0.17,0.18,0.18,0.18,0.16,0.1,0.16,0.16,0.17,0.17,0.17,0.2,0.34,0.15,0.18,0.18,0.15,0.17,0.16,0.0,0.17,0.13,0.15,0.13,0.15,0.15,0.17,0.16,0.15,0.14,0.15,0.15,0.12,0.15,0.13,0.22,0.12,0.13,0.1,0.13,0.17,0.12,0.12,0.14,0.15,0.14,0.12,0.17,0.15,0.13,0.11,0.0,0.13,0.11,0.11,0.13,0.13,0.14,0.14,0.11,0.15,0.12,0.12,0.14,0.12,0.13,0.13,0.11,0.0,0.11,0.12,0.1,0.11,0.13,0.11,0.14,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.0,0.11,0.1,0.11,0.1,0.0,0.13,0.0,0.1,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.29,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.09,0.09,0.0,0.1,0.09,0.0,0.0,0.0,0.0,75.32000000000001
08/06/2021,7.4,4.65,5.31,4.76,2.03,1.38,1.13,1.17,1.07,0.95,0.82,0.86,0.78,0.81,0.83,0.78,0.75,0.72,0.7,0.63,0.55,0.84,0.68,0.66,0.67,0.53,0.55,0.57,0.58,0.51,0.48,0.45,0.44,0.43,0.39,0.4,0.37,0.37,0.2,0.35,0.34,0.31,0.32,0.36,0.32,0.38,0.36,0.31,0.33,0.31,0.33,0.29,0.3,0.28,0.28,0.27,0.27,0.28,0.18,0.25,0.18,0.29,0.26,0.27,0.19,0.22,0.25,0.27,0.18,0.22,0.18,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.17,0.2,0.21,0.21,0.2,0.11,0.25,0.21,0.2,0.22,0.23,0.22,0.19,0.2,0.17,0.17,0.21,0.18,0.19,0.18,0.18,0.16,0.1,0.16,0.16,0.18,0.17,0.17,0.2,0.0,0.16,0.18,0.17,0.15,0.16,0.16,0.0,0.17,0.12,0.14,0.13,0.15,0.15,0.17,0.16,0.15,0.14,0.15,0.16,0.13,0.15,0.13,0.2,0.12,0.12,0.1,0.13,0.16,0.11,0.12,0.15,0.15,0.14,0.11,0.17,0.15,0.13,0.11,0.0,0.13,0.12,0.1,0.13,0.13,0.14,0.13,0.11,0.15,0.13,0.13,0.14,0.12,0.14,0.13,0.11,0.0,0.12,0.12,0.1,0.11,0.13,0.11,0.14,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.12,0.11,0.0,0.11,0.1,0.1,0.1,0.0,0.13,0.1,0.1,0.12,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,74.78
08/10/2021,7.41,4.73,5.31,4.8,2.02,1.39,1.13,1.21,1.07,0.95,0.8,0.85,0.76,0.8,0.86,0.76,0.77,0.72,0.71,0.63,0.54,0.34,0.69,0.68,0.68,0.5,0.56,0.58,0.58,0.53,0.48,0.44,0.43,0.43,0.39,0.39,0.37,0.37,0.21,0.35,0.33,0.29,0.33,0.37,0.33,0.4,0.38,0.32,0.32,0.31,0.33,0.29,0.31,0.28,0.28,0.27,0.27,0.27,0.18,0.25,0.17,0.3,0.26,0.27,0.18,0.22,0.25,0.28,0.18,0.23,0.17,0.21,0.23,0.22,0.2,0.22,0.21,0.2,0.17,0.19,0.21,0.21,0.2,0.0,0.24,0.22,0.21,0.21,0.22,0.22,0.19,0.2,0.17,0.16,0.21,0.17,0.18,0.18,0.19,0.16,0.11,0.15,0.16,0.17,0.16,0.17,0.21,0.14,0.15,0.19,0.18,0.14,0.17,0.16,0.0,0.17,0.13,0.14,0.13,0.15,0.15,0.17,0.16,0.15,0.14,0.14,0.17,0.12,0.15,0.13,0.21,0.12,0.11,0.1,0.13,0.16,0.11,0.11,0.15,0.15,0.13,0.11,0.17,0.15,0.13,0.11,0.0,0.12,0.11,0.11,0.13,0.13,0.14,0.13,0.11,0.15,0.12,0.12,0.15,0.12,0.14,0.14,0.11,0.0,0.12,0.12,0.1,0.11,0.13,0.11,0.14,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.12,0.11,0.0,0.11,0.1,0.1,0.1,0.0,0.13,0.0,0.1,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.26,0.19,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,74.65
08/11/2021,7.41,4.73,5.31,4.8,2.02,1.39,1.13,1.21,1.07,0.95,0.8,0.85,0.76,0.8,0.86,0.76,0.77,0.72,0.71,0.63,0.54,0.34,0.69,0.68,0.68,0.5,0.56,0.58,0.58,0.53,0.48,0.44,0.43,0.43,0.39,0.39,0.37,0.37,0.21,0.35,0.33,0.29,0.33,0.37,0.33,0.4,0.38,0.32,0.32,0.31,0.33,0.29,0.31,0.28,0.28,0.27,0.27,0.27,0.18,0.25,0.17,0.3,0.26,0.27,0.18,0.22,0.25,0.28,0.18,0.23,0.17,0.21,0.23,0.22,0.2,0.22,0.21,0.2,0.17,0.19,0.21,0.21,0.2,0.0,0.24,0.22,0.21,0.21,0.22,0.22,0.19,0.2,0.17,0.16,0.21,0.17,0.18,0.18,0.19,0.16,0.11,0.15,0.16,0.17,0.16,0.17,0.21,0.14,0.15,0.19,0.18,0.14,0.17,0.16,0.0,0.17,0.13,0.14,0.13,0.15,0.15,0.17,0.16,0.15,0.14,0.14,0.17,0.12,0.15,0.13,0.21,0.12,0.11,0.1,0.13,0.16,0.11,0.11,0.15,0.15,0.13,0.11,0.17,0.15,0.13,0.11,0.0,0.12,0.11,0.11,0.13,0.13,0.14,0.13,0.11,0.15,0.12,0.12,0.15,0.12,0.14,0.14,0.11,0.0,0.12,0.12,0.1,0.11,0.13,0.11,0.14,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.12,0.11,0.0,0.11,0.1,0.1,0.1,0.0,0.13,0.0,0.1,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.26,0.19,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,74.65
08/13/2021,7.36,5.04,5.27,4.66,2.03,1.55,1.12,1.15,1.08,0.95,0.81,0.87,0.77,0.75,0.86,0.78,0.75,0.71,0.68,0.63,0.57,0.0,0.71,0.68,0.68,0.52,0.56,0.59,0.58,0.54,0.48,0.44,0.46,0.43,0.38,0.39,0.36,0.37,0.22,0.35,0.35,0.31,0.33,0.37,0.33,0.39,0.36,0.32,0.32,0.3,0.33,0.28,0.29,0.27,0.28,0.27,0.27,0.27,0.17,0.25,0.18,0.3,0.26,0.26,0.18,0.22,0.25,0.29,0.17,0.22,0.18,0.21,0.23,0.22,0.2,0.22,0.2,0.2,0.17,0.19,0.21,0.21,0.21,0.1,0.24,0.21,0.2,0.21,0.23,0.22,0.18,0.2,0.17,0.17,0.2,0.19,0.18,0.18,0.19,0.16,0.11,0.15,0.16,0.17,0.16,0.17,0.2,0.13,0.16,0.19,0.17,0.14,0.16,0.16,0.0,0.17,0.12,0.14,0.13,0.15,0.15,0.18,0.16,0.14,0.13,0.14,0.16,0.13,0.14,0.13,0.2,0.13,0.11,0.1,0.13,0.15,0.11,0.12,0.15,0.15,0.13,0.11,0.16,0.15,0.13,0.11,0.0,0.12,0.12,0.11,0.13,0.13,0.14,0.13,0.11,0.16,0.13,0.13,0.15,0.12,0.13,0.13,0.11,0.0,0.11,0.12,0.1,0.11,0.13,0.11,0.13,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.0,0.1,0.1,0.12,0.11,0.0,0.11,0.1,0.1,0.1,0.0,0.13,0.1,0.1,0.12,0.11,0.11,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,74.26
08/16/2021,7.36,5.04,5.2,4.47,2.01,1.55,1.14,1.13,1.1,0.98,0.78,0.87,0.77,0.67,0.87,0.74,0.72,0.7,0.69,0.61,0.55,0.16,0.69,0.67,0.69,0.53,0.56,0.58,0.59,0.55,0.49,0.45,0.47,0.42,0.38,0.4,0.37,0.38,0.24,0.34,0.35,0.3,0.34,0.41,0.33,0.4,0.37,0.33,0.32,0.3,0.33,0.28,0.29,0.28,0.28,0.26,0.27,0.27,0.17,0.25,0.18,0.31,0.25,0.27,0.18,0.23,0.26,0.29,0.17,0.22,0.18,0.2,0.23,0.23,0.2,0.22,0.21,0.2,0.17,0.19,0.22,0.22,0.21,0.1,0.25,0.21,0.2,0.19,0.22,0.23,0.19,0.2,0.17,0.16,0.21,0.18,0.18,0.18,0.19,0.17,0.11,0.15,0.16,0.17,0.16,0.17,0.2,0.0,0.17,0.19,0.16,0.14,0.16,0.17,0.0,0.17,0.13,0.14,0.13,0.15,0.15,0.18,0.16,0.14,0.13,0.14,0.16,0.13,0.15,0.13,0.2,0.13,0.12,0.1,0.13,0.15,0.11,0.13,0.14,0.16,0.13,0.11,0.17,0.15,0.13,0.11,0.0,0.13,0.13,0.11,0.13,0.12,0.15,0.13,0.11,0.17,0.13,0.13,0.15,0.12,0.14,0.13,0.11,0.0,0.12,0.12,0.11,0.11,0.13,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.0,0.11,0.1,0.1,0.1,0.0,0.12,0.1,0.1,0.12,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.11,0.1,0.18,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.29
