,MRNA,BIO,LH,BNTX,NVAX,ALNY,DGX,ZLAB,CVAC,IMAB,VIR,ADPT,ABCL,IBRX,QDEL,TBLD.L,ETFMG Sit Ultra Short ETF,EBS,DRNA,BCRX,OPK,FLGT,TBIO,INO,AVIR,IMCR,VBIV,LMNX,LLY,REGN,HOLX,ABT,AZN,MRK,ALXN,GILD,GSK,BMY,ABBV,TAK,PFE,SNY,JNJ,PCVX,DVAX,SBTX,VIVO,ARCT,VXRT,ENTA,FGXXX,CMRX,OSUR,ALGS,VACC,XBIT,SIGA,SQZ,CDAK,CUE,TNXP,CVM,PRTK,ATHX,IBIO,ABUS,HOOK,CRMD,TLIS,LHDX,ENOB,CODX,IMNM,PHAS,CFRX,ASMB,ENZ,IMV.TO,EVAX,IFRX,688101.SS,n/a,VALT,688001.SS,688226.SS,OCDX,ADGI,ICVX,SUM
09/06/2021,10.42,7.26,5.95,7.8,5.08,4.63,4.12,2.83,3.21,2.49,3.0,2.56,2.21,2.07,2.78,0.0,0.0,1.58,0.76,1.32,1.22,1.26,1.32,0.86,1.12,0.71,0.88,0.0,0.73,0.76,0.75,0.67,1.01,0.59,0.0,0.62,0.61,0.58,0.57,0.57,0.68,0.58,0.6,0.64,0.94,0.37,0.41,0.69,0.5,0.55,0.67,0.28,0.38,0.3,0.23,0.22,0.23,0.18,0.18,0.18,0.11,0.24,0.12,0.18,0.13,0.15,0.1,0.11,0.1,0.16,0.17,0.15,0.08,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,1.75,0.0,2.28,0.0,0.0,0.0,0.0,99.98999999999997
09/07/2021,10.42,7.26,5.95,7.8,5.08,4.63,4.12,2.83,3.21,2.49,3.0,2.56,2.21,2.07,2.78,0.0,0.0,1.58,0.76,1.32,1.22,1.26,1.32,0.86,1.12,0.71,0.88,0.0,0.73,0.76,0.75,0.67,1.01,0.59,0.0,0.62,0.61,0.58,0.57,0.57,0.68,0.58,0.6,0.64,0.94,0.37,0.41,0.69,0.5,0.55,0.67,0.28,0.38,0.3,0.23,0.22,0.23,0.18,0.18,0.18,0.11,0.24,0.12,0.18,0.13,0.15,0.1,0.11,0.1,0.16,0.17,0.15,0.08,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,0.0,1.75,0.0,0.0,2.28,0.0,0.0,99.98999999999997
09/08/2021,10.42,7.26,5.95,7.8,5.08,4.63,4.12,2.83,3.21,2.49,3.0,2.56,2.21,2.07,2.78,0.0,0.0,1.58,0.76,1.32,1.22,1.26,1.32,0.86,1.12,0.71,0.88,0.0,0.73,0.76,0.75,0.67,1.01,0.59,0.0,0.62,0.61,0.58,0.57,0.57,0.68,0.58,0.6,0.64,0.94,0.37,0.41,0.69,0.5,0.55,0.67,0.28,0.38,0.3,0.23,0.22,0.23,0.18,0.18,0.18,0.11,0.24,0.12,0.18,0.13,0.15,0.1,0.11,0.1,0.16,0.17,0.15,0.08,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,0.0,1.75,0.0,0.0,2.28,0.0,0.0,99.98999999999997
09/09/2021,10.93,7.22,5.92,7.95,4.94,4.58,4.15,2.82,3.12,2.51,2.97,2.58,2.37,1.96,2.81,0.0,0.0,1.58,0.76,1.3,1.15,1.27,1.31,0.83,1.11,0.69,0.81,0.0,0.73,0.76,0.75,0.67,1.0,0.59,0.0,0.62,0.61,0.58,0.57,0.58,0.68,0.57,0.6,0.61,0.94,0.34,0.41,0.66,0.49,0.54,0.67,0.27,0.37,0.3,0.23,0.22,0.25,0.18,0.17,0.17,0.11,0.22,0.12,0.17,0.12,0.15,0.09,0.11,0.1,0.16,0.17,0.14,0.08,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,0.0,1.76,0.0,0.0,2.23,0.0,0.0,99.95
09/10/2021,11.37,7.05,5.82,8.19,5.28,4.33,4.11,2.9,3.04,2.59,2.99,2.58,2.37,2.0,2.74,0.0,0.0,1.51,0.74,1.24,1.11,1.2,1.29,0.83,1.14,0.67,0.79,0.0,0.71,0.75,0.74,0.66,0.99,0.58,0.0,0.6,0.6,0.57,0.55,0.58,0.68,0.56,0.59,0.62,0.93,0.33,0.39,0.68,0.49,0.53,0.67,0.28,0.37,0.3,0.24,0.22,0.24,0.19,0.17,0.17,0.11,0.23,0.11,0.17,0.12,0.15,0.09,0.09,0.1,0.15,0.17,0.14,0.09,0.07,0.07,0.06,0.08,0.05,0.08,0.06,0.0,0.0,1.74,0.0,0.0,2.24,0.0,0.0,100.02999999999996
09/13/2021,11.16,7.21,5.97,8.05,5.28,4.34,4.24,2.92,3.08,2.63,2.98,2.48,2.32,1.85,2.8,0.0,0.0,1.5,0.79,1.25,1.12,1.21,1.32,0.81,1.07,0.69,0.78,0.0,0.72,0.76,0.76,0.68,0.98,0.58,0.0,0.62,0.6,0.57,0.56,0.59,0.68,0.55,0.59,0.61,0.98,0.32,0.4,0.68,0.49,0.54,0.69,0.27,0.37,0.27,0.24,0.22,0.24,0.17,0.17,0.17,0.1,0.22,0.11,0.16,0.12,0.15,0.09,0.09,0.09,0.15,0.17,0.14,0.09,0.07,0.07,0.06,0.08,0.06,0.08,0.06,0.0,0.0,1.77,0.0,0.0,2.17,0.0,0.0,100.02
09/14/2021,11.94,7.13,5.85,8.34,5.08,4.39,4.19,2.65,3.07,2.7,2.99,2.5,2.32,1.78,2.79,0.0,0.0,1.46,0.78,1.26,1.14,1.22,1.31,0.82,1.1,0.66,0.79,0.0,0.67,0.72,0.74,0.67,0.95,0.57,0.0,0.6,0.58,0.56,0.54,0.58,0.67,0.54,0.57,0.62,1.01,0.35,0.4,0.68,0.51,0.52,0.68,0.27,0.36,0.27,0.24,0.22,0.24,0.17,0.17,0.16,0.1,0.21,0.11,0.16,0.12,0.17,0.09,0.08,0.09,0.15,0.17,0.14,0.1,0.07,0.07,0.06,0.08,0.05,0.08,0.06,0.0,0.0,1.75,0.0,0.0,1.95,0.0,0.0,99.95
09/15/2021,11.84,7.26,5.84,8.34,4.78,4.41,4.15,2.67,3.03,2.53,3.15,2.5,2.41,1.78,2.98,0.0,0.0,1.43,0.78,1.26,1.12,1.27,1.32,0.78,1.11,0.67,0.77,0.0,0.68,0.73,0.75,0.67,0.96,0.57,0.0,0.61,0.59,0.56,0.54,0.58,0.67,0.53,0.57,0.63,0.94,0.32,0.41,0.65,0.5,0.53,0.71,0.27,0.39,0.27,0.25,0.22,0.23,0.18,0.17,0.17,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.17,0.17,0.14,0.1,0.07,0.07,0.06,0.08,0.05,0.08,0.06,0.0,0.0,1.76,0.0,0.0,2.0,0.0,0.0,100.01
09/16/2021,11.84,7.26,5.84,8.34,4.78,4.41,4.15,2.67,3.03,2.53,3.15,2.5,2.41,1.78,2.98,0.0,0.0,1.43,0.78,1.26,1.12,1.27,1.32,0.78,1.11,0.67,0.77,0.0,0.68,0.73,0.75,0.67,0.96,0.57,0.0,0.61,0.59,0.56,0.54,0.58,0.67,0.53,0.57,0.63,0.94,0.32,0.41,0.65,0.5,0.53,0.71,0.27,0.39,0.27,0.25,0.22,0.23,0.18,0.17,0.17,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.17,0.17,0.14,0.1,0.07,0.07,0.06,0.08,0.05,0.08,0.06,0.0,0.0,1.76,0.0,0.0,2.0,0.0,0.0,100.01
09/17/2021,11.4,7.22,5.95,8.05,4.76,4.46,4.24,2.75,3.06,2.48,3.13,2.54,2.32,1.81,2.93,0.0,0.0,1.48,0.79,1.33,1.16,1.22,1.36,0.79,1.11,0.7,0.79,0.0,0.69,0.74,0.76,0.68,0.98,0.58,0.0,0.63,0.6,0.57,0.56,0.6,0.67,0.55,0.59,0.66,0.81,0.25,0.41,0.68,0.49,0.56,0.73,0.27,0.37,0.28,0.25,0.22,0.24,0.19,0.18,0.19,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.18,0.17,0.14,0.12,0.07,0.07,0.06,0.08,0.06,0.08,0.06,0.0,0.0,1.82,0.0,0.0,2.12,0.0,0.0,100.00999999999998
09/20/2021,11.89,7.26,6.04,8.82,4.77,4.53,4.33,2.52,2.63,2.49,3.31,2.5,2.48,1.79,3.04,0.0,0.0,1.49,0.79,1.3,1.22,1.22,0.0,0.77,1.04,0.7,0.78,0.0,0.68,0.76,0.76,0.69,1.0,0.58,0.0,0.64,0.6,0.57,0.57,0.61,0.68,0.55,0.59,0.66,0.81,0.28,0.41,0.66,0.48,0.58,0.75,0.26,0.37,0.3,0.27,0.23,0.24,0.19,0.19,0.18,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.15,0.16,0.13,0.12,0.07,0.08,0.06,0.08,0.06,0.08,0.06,0.0,0.0,1.83,0.0,0.0,2.11,0.0,0.0,100.01
09/21/2021,11.78,7.04,5.84,9.03,4.75,4.49,4.21,2.49,2.51,2.43,3.25,2.56,2.55,1.77,2.92,0.0,0.0,1.46,0.78,1.28,1.21,1.18,0.0,0.77,1.07,0.69,0.77,0.0,0.66,0.75,0.73,0.68,0.98,0.56,0.0,0.62,0.59,0.55,0.56,0.6,0.66,0.54,0.58,0.64,0.79,0.21,0.4,0.66,0.47,0.56,2.08,0.25,0.39,0.29,0.27,0.22,0.24,0.2,0.2,0.18,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.14,0.16,0.13,0.13,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,0.0,1.79,0.0,0.0,2.09,0.0,0.0,100.0
09/22/2021,11.78,7.04,5.84,9.03,4.75,4.49,4.21,2.49,2.51,2.43,3.25,2.56,2.55,1.77,2.92,0.0,0.0,1.46,0.78,1.28,1.21,1.18,0.0,0.77,1.07,0.69,0.77,0.0,0.66,0.75,0.73,0.68,0.98,0.56,0.0,0.62,0.59,0.55,0.56,0.6,0.66,0.54,0.58,0.64,0.79,0.21,0.4,0.66,0.47,0.56,2.08,0.25,0.39,0.29,0.27,0.22,0.24,0.2,0.2,0.18,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.14,0.16,0.13,0.13,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,0.0,1.79,0.0,0.0,2.09,0.0,0.0,100.0
09/23/2021,11.78,7.04,5.84,9.03,4.75,4.49,4.21,2.49,2.51,2.43,3.25,2.56,2.55,1.77,2.92,0.0,0.0,1.46,0.78,1.28,1.21,1.18,0.0,0.77,1.07,0.69,0.77,0.0,0.66,0.75,0.73,0.68,0.98,0.56,0.0,0.62,0.59,0.55,0.56,0.6,0.66,0.54,0.58,0.64,0.79,0.21,0.4,0.66,0.47,0.56,2.08,0.25,0.39,0.29,0.27,0.22,0.24,0.2,0.2,0.18,0.1,0.22,0.11,0.16,0.12,0.2,0.09,0.08,0.09,0.14,0.16,0.13,0.13,0.07,0.07,0.06,0.08,0.05,0.07,0.05,0.0,0.0,1.79,0.0,0.0,2.09,0.0,0.0,100.0
09/24/2021,6.67,3.87,5.86,6.37,5.47,5.66,4.08,3.35,3.06,2.84,3.54,2.89,3.12,2.06,3.48,0.0,0.0,1.55,0.85,1.46,1.38,1.41,0.0,0.88,1.25,0.85,0.41,0.0,0.65,0.7,0.7,0.71,0.72,0.68,0.0,0.73,0.69,0.67,0.7,0.75,0.69,0.67,0.69,0.7,0.91,0.2,0.45,0.69,0.52,0.61,0.79,0.28,0.51,0.35,0.29,0.25,0.28,0.22,0.21,0.22,0.11,0.25,0.12,0.16,0.13,0.23,0.11,0.1,0.1,0.16,0.19,0.14,0.15,0.07,0.08,0.08,0.09,0.07,0.08,0.06,0.0,0.0,1.82,0.0,0.0,2.27,3.28,0.58,100.01999999999998
09/27/2021,6.78,3.88,5.81,6.34,5.51,5.6,4.04,3.33,3.16,2.95,3.2,2.91,3.16,2.11,3.43,0.0,0.0,1.53,0.83,1.46,1.38,1.42,0.0,0.87,1.39,0.85,0.42,0.0,0.64,0.7,0.7,0.71,0.72,0.68,0.0,0.72,0.69,0.67,0.7,0.75,0.69,0.68,0.69,0.72,1.15,0.19,0.44,0.7,0.52,0.58,0.79,0.3,0.43,0.36,0.3,0.24,0.28,0.22,0.2,0.22,0.11,0.25,0.12,0.16,0.13,0.23,0.1,0.1,0.1,0.15,0.19,0.15,0.14,0.08,0.08,0.08,0.09,0.08,0.08,0.06,0.0,0.0,1.82,0.0,0.0,2.32,3.09,0.55,100.0
09/28/2021,6.89,3.88,5.8,6.48,5.99,5.63,3.98,3.33,3.24,2.66,3.04,2.88,3.07,2.19,3.33,0.0,0.0,1.5,0.85,1.43,1.38,1.34,0.0,0.88,1.38,0.83,0.43,0.0,0.64,0.69,0.69,0.7,0.72,0.68,0.0,0.71,0.68,0.66,0.69,0.74,0.68,0.67,0.68,0.71,1.17,0.19,0.44,0.71,0.53,0.58,0.77,0.31,0.42,0.35,0.29,0.23,0.28,0.22,0.21,0.23,0.11,0.25,0.12,0.16,0.13,0.23,0.1,0.1,0.1,0.15,0.19,0.14,0.16,0.08,0.08,0.08,0.09,0.07,0.09,0.06,0.0,0.0,1.78,0.0,0.0,2.3,3.13,0.58,99.96
