,NEP,NEE,SRE,XEL,IBDRY,US Dollar,PEG,LNT,ENLAY,LNG,WMB,AWK,WEC,CQP,CMS,IDA,AEP,ALA.TO,EDPR.LS,PPL,CNP,NPI.TO,D,ATO,OGS,PWR,BEP.UN.TO,FTS.TO,NJR,CPK,CWEN.A,AES,HASI,ENPH,NGG,H.TO,EMA.TO,BEPC,DTE,ES,ECV.DE,Orsted A/S,EIX,DTM WI,USAU,n/a,DTM,SO,ACO.X.TO,ORSTED.CO,ALA.NE,ACO.X.NE,MISXX,SUM
10/28/2021,7.37,5.85,2.97,3.37,4.41,0.0,3.28,2.7,3.79,4.28,1.98,2.66,2.67,3.93,1.93,2.76,3.39,0.0,2.51,2.34,2.73,1.01,0.95,4.14,2.23,4.01,1.45,0.49,0.67,1.02,1.56,1.02,0.98,1.03,0.0,0.48,0.49,0.37,3.0,0.25,0.19,0.0,0.14,0.0,0.0,3.33,0.99,1.48,0.0,0.15,2.4,1.24,0.0,99.99
10/29/2021,7.37,5.85,2.97,3.37,4.41,0.0,3.28,2.7,3.79,4.28,1.98,2.66,2.67,3.93,1.93,2.76,3.39,0.0,2.51,2.34,2.73,1.01,0.95,4.14,2.23,4.01,1.45,0.49,0.67,1.02,1.56,1.02,0.98,1.03,0.0,0.48,0.49,0.37,3.0,0.25,0.19,0.0,0.14,0.0,0.0,3.33,0.99,1.48,0.0,0.15,2.4,1.24,0.0,99.99
11/01/2021,7.53,5.94,2.93,3.32,4.71,0.0,3.27,2.69,4.51,4.11,1.93,2.64,2.64,3.86,1.92,2.73,3.36,0.0,2.29,2.32,2.65,1.01,0.94,4.05,2.15,4.0,1.5,0.49,0.66,1.01,1.6,1.03,0.97,1.27,0.0,0.47,0.48,0.39,2.93,0.25,0.2,0.0,0.14,0.0,0.0,2.01,1.89,1.47,0.0,0.16,2.35,1.24,0.0,100.01
11/02/2021,7.57,5.9,2.9,3.35,4.64,0.0,3.26,2.7,4.49,4.09,1.92,2.64,2.65,3.88,1.92,2.75,3.38,0.0,2.22,2.32,2.65,1.0,0.94,4.04,2.16,4.02,1.51,0.49,0.66,1.01,1.64,1.02,0.97,1.32,0.0,0.48,0.48,0.38,2.93,0.24,0.2,0.0,0.14,0.0,0.0,2.05,1.89,1.47,0.0,0.15,2.31,1.28,0.0,100.01
11/03/2021,7.57,5.9,2.9,3.35,4.64,0.0,3.26,2.7,4.49,4.09,1.92,2.64,2.65,3.88,1.92,2.75,3.38,0.0,2.22,2.32,2.65,1.0,0.94,4.04,2.16,4.02,1.51,0.49,0.66,1.01,1.64,1.02,0.97,1.32,0.0,0.48,0.48,0.38,2.93,0.24,0.2,0.0,0.14,0.0,0.0,2.05,1.89,1.47,0.0,0.15,2.31,1.28,0.0,100.01
11/04/2021,7.57,5.9,2.9,3.35,4.64,0.0,3.26,2.7,4.49,4.09,1.92,2.64,2.65,3.88,1.92,2.75,3.38,0.0,2.22,2.32,2.65,1.0,0.94,4.04,2.16,4.02,1.51,0.49,0.66,1.01,1.64,1.02,0.97,1.32,0.0,0.48,0.48,0.38,2.93,0.24,0.2,0.0,0.14,0.0,0.0,2.05,1.89,1.47,0.0,0.15,2.31,1.28,0.0,100.01
11/05/2021,7.62,5.87,2.89,3.34,4.67,0.0,3.25,2.7,4.47,4.15,1.93,2.66,2.66,3.83,1.91,2.77,3.38,0.0,2.24,2.34,2.65,1.0,0.93,4.09,2.19,3.97,1.5,0.49,0.67,1.02,1.63,1.02,0.98,1.35,0.0,0.48,0.47,0.39,2.9,0.24,0.19,0.0,0.14,0.0,0.0,2.02,1.88,1.46,0.0,0.15,2.26,1.24,0.0,99.99
11/09/2021,7.55,5.9,2.88,3.3,4.66,0.0,3.27,2.68,4.52,4.25,1.95,2.56,2.66,3.77,1.92,2.76,3.38,0.0,2.04,2.3,2.7,0.98,0.95,4.11,2.22,3.88,1.48,0.49,0.68,1.05,1.73,1.01,1.01,1.36,0.0,0.49,0.48,0.38,2.94,0.24,0.18,0.0,0.15,0.0,0.0,2.05,1.92,1.48,0.0,0.15,2.29,1.24,0.0,99.99
11/10/2021,7.56,5.91,2.89,3.31,4.67,0.0,3.28,2.69,4.52,4.26,1.95,2.56,2.67,3.77,1.93,2.77,3.39,2.3,2.04,2.31,2.71,0.98,0.95,4.12,2.22,3.89,1.49,0.5,0.69,1.05,1.73,1.01,1.01,1.36,0.0,0.49,0.48,0.38,2.94,0.24,0.19,0.0,0.15,0.0,0.0,0.0,1.92,1.48,1.24,0.15,0.0,0.0,1.9,100.05
11/11/2021,7.52,5.9,2.87,3.28,4.66,0.0,3.2,2.65,4.51,4.3,1.96,2.58,2.63,3.86,1.91,2.72,3.37,2.31,2.1,2.32,2.71,0.98,0.93,4.11,2.23,4.0,1.48,0.5,0.68,1.03,1.7,0.98,1.01,1.39,0.0,0.49,0.48,0.37,2.92,0.24,0.19,0.0,0.15,0.0,0.0,0.0,1.95,1.48,1.25,0.15,0.0,0.0,1.92,99.97
11/12/2021,7.59,5.93,2.86,3.33,4.64,0.0,3.2,2.66,4.45,4.26,1.97,2.59,2.66,3.83,1.93,2.72,3.34,2.28,2.09,2.33,2.72,0.99,0.93,4.12,2.22,3.95,1.48,0.5,0.69,1.02,1.7,0.98,1.02,1.38,0.0,0.49,0.49,0.37,2.93,0.24,0.19,0.0,0.15,0.0,0.0,0.0,1.95,1.5,1.25,0.15,0.0,0.0,1.92,99.99
11/15/2021,7.52,5.96,2.79,3.33,4.6,0.0,3.21,2.66,4.39,4.16,1.99,2.61,2.64,3.82,1.93,2.72,3.32,0.0,2.09,2.34,2.75,0.98,0.94,4.19,2.19,3.9,1.46,0.5,0.69,1.03,1.75,1.02,1.01,1.44,0.0,0.49,0.48,0.37,2.93,0.24,0.19,0.0,0.15,0.0,0.0,2.13,1.94,1.5,0.0,0.15,2.25,1.26,0.0,100.01
11/16/2021,7.6,6.02,2.8,3.31,4.56,0.0,3.2,2.66,4.38,4.16,1.98,2.61,2.63,3.8,1.93,2.72,3.3,0.0,2.09,2.32,2.73,0.98,0.93,4.22,2.17,3.91,1.47,0.5,0.69,1.03,1.75,1.01,1.03,1.45,0.0,0.48,0.48,0.37,2.91,0.24,0.19,0.0,0.15,0.0,0.0,2.17,1.96,1.47,0.0,0.15,2.25,1.24,0.0,100.0
11/17/2021,7.6,6.02,2.8,3.31,4.56,0.0,3.2,2.66,4.38,4.16,1.98,2.61,2.63,3.8,1.93,2.72,3.3,0.0,2.09,2.32,2.73,0.98,0.93,4.22,2.17,3.91,1.47,0.5,0.69,1.03,1.75,1.01,1.03,1.45,0.0,0.48,0.48,0.37,2.91,0.24,0.19,0.0,0.15,0.0,0.0,2.17,1.96,1.47,0.0,0.15,2.25,1.24,0.0,100.0
11/18/2021,7.65,6.04,2.83,3.34,4.54,0.0,3.24,2.68,4.36,4.09,1.96,2.61,2.66,3.73,1.95,2.76,3.3,0.0,2.06,2.32,2.74,0.98,0.94,4.22,2.22,3.93,1.44,0.5,0.69,1.03,1.75,1.01,1.0,1.4,0.0,0.48,0.48,0.36,2.92,0.24,0.18,0.0,0.15,0.0,0.0,2.21,1.94,1.46,0.0,0.15,2.23,1.23,0.0,100.0
11/19/2021,7.64,6.05,2.87,3.34,4.54,0.0,3.22,2.68,4.31,4.22,1.94,2.6,2.66,3.72,1.94,2.83,3.31,2.24,2.07,2.32,2.73,0.98,0.94,4.16,2.2,3.98,1.44,0.49,0.67,1.04,1.75,1.02,1.0,1.44,0.0,0.48,0.49,0.37,2.92,0.24,0.19,0.0,0.15,0.0,0.0,0.0,1.9,1.46,1.24,0.14,0.0,0.0,2.07,99.99
11/24/2021,7.7,6.14,2.8,3.39,4.49,0.0,3.24,2.72,4.22,4.14,1.88,2.64,2.67,3.59,1.95,2.87,3.34,0.0,2.02,2.29,2.71,0.99,0.92,4.18,2.19,4.03,1.42,0.49,0.67,1.03,1.78,1.0,1.01,1.54,0.0,0.49,0.48,0.36,2.88,0.24,0.18,0.0,0.15,0.0,0.0,2.24,1.87,1.48,0.0,0.14,2.19,1.26,0.0,100.01
11/25/2021,7.71,6.07,2.85,3.46,4.44,0.0,3.26,2.77,4.19,4.08,1.9,2.66,2.7,3.6,1.97,2.89,3.38,2.18,1.98,2.3,2.72,0.97,0.92,4.21,2.19,4.01,1.41,0.49,0.69,1.04,1.79,1.02,0.99,1.5,0.0,0.49,0.48,0.36,2.93,0.25,0.18,0.0,0.15,0.0,0.0,0.0,1.84,1.49,1.26,0.14,0.0,0.0,2.09,100.0
11/26/2021,7.66,6.07,2.86,3.43,4.46,0.0,3.29,2.77,4.18,4.16,1.93,2.63,2.69,3.65,1.96,2.88,3.38,2.26,1.94,2.32,2.72,0.95,0.93,4.2,2.19,4.02,1.38,0.49,0.68,1.05,1.8,1.0,0.98,1.44,0.0,0.49,0.48,0.34,2.91,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.49,1.25,0.14,0.0,0.0,2.09,99.99
11/29/2021,7.68,6.03,2.85,3.4,4.43,0.0,3.3,2.74,4.23,4.3,1.95,2.62,2.66,3.81,1.94,2.85,3.34,2.24,1.95,2.3,2.72,0.95,0.93,4.16,2.2,4.04,1.37,0.49,0.69,1.04,1.78,1.0,0.96,1.46,0.0,0.49,0.48,0.34,2.89,0.24,0.17,0.0,0.15,0.0,0.0,0.0,1.89,1.48,1.25,0.13,0.0,0.0,2.08,100.0
11/30/2021,7.63,6.05,2.8,3.41,4.48,0.0,3.3,2.75,4.21,4.29,1.96,2.62,2.66,3.89,1.95,2.86,3.34,2.21,2.07,2.3,2.71,0.97,0.93,4.16,2.15,3.95,1.38,0.49,0.67,1.03,1.77,0.98,0.93,1.44,0.0,0.49,0.48,0.34,2.9,0.25,0.18,0.0,0.15,0.0,0.0,0.0,1.9,1.48,1.25,0.14,0.0,0.0,2.11,100.01
12/01/2021,7.63,6.05,2.8,3.41,4.48,0.0,3.3,2.75,4.21,4.29,1.96,2.62,2.66,3.89,1.95,2.86,3.34,2.21,2.07,2.3,2.71,0.97,0.93,4.16,2.15,3.95,1.38,0.49,0.67,1.03,1.77,0.98,0.93,1.44,0.0,0.49,0.48,0.34,2.9,0.25,0.18,0.0,0.15,0.0,0.0,0.0,1.9,1.48,1.25,0.14,0.0,0.0,2.11,100.01
12/02/2021,7.64,6.18,2.84,3.43,4.44,0.0,3.3,2.75,4.13,4.24,1.93,2.64,2.68,3.82,1.96,2.86,3.34,2.2,2.03,2.3,2.72,0.96,0.93,4.14,2.16,4.06,1.38,0.49,0.67,1.02,1.75,0.96,0.93,1.48,0.0,0.49,0.48,0.35,2.9,0.25,0.18,0.0,0.15,0.0,0.0,0.0,1.88,1.49,1.26,0.14,0.0,0.0,2.09,100.02
12/06/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/07/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/08/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/09/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/10/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/13/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/14/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99
12/15/2021,7.66,6.3,2.85,3.45,4.4,0.0,3.31,2.74,4.11,4.26,1.91,2.65,2.68,3.81,1.95,2.89,3.33,2.18,2.01,2.33,2.74,0.95,0.91,4.08,2.19,3.87,1.35,0.49,0.69,1.04,1.76,1.0,0.94,1.38,0.0,0.5,0.48,0.34,2.92,0.25,0.17,0.0,0.15,0.0,0.0,0.0,1.88,1.5,1.23,0.14,0.0,0.0,2.22,99.99000000000001
