,PZZA,CHUY,RICK,DPZ,FRGI,BLMN,SBUX,DIN,YUM,JACK,CBRL,CMG,DRI,WING,WEN,EAT,TACO,RUTH,LOCO,TXRH,CAKE,MCD,QSR,DASH,SHAK,YUMC,BJRI,FENER.IS,DENN,GRUB,TAST,PLAY,n/a,002960.SZ,STKS,SUM
08/31/2021,5.23,5.41,4.99,5.01,4.46,5.12,4.34,4.68,4.23,4.41,4.36,4.12,4.05,3.66,3.53,3.56,3.18,3.13,2.88,2.68,2.34,2.24,1.91,1.68,1.42,1.23,1.31,0.0,0.98,0.96,0.73,0.82,0.0,1.34,0.0,99.99
09/01/2021,5.23,5.41,4.99,5.01,4.46,5.12,4.34,4.68,4.23,4.41,4.36,4.12,4.05,3.66,3.53,3.56,3.18,3.13,2.88,2.68,2.34,2.24,1.91,1.68,1.42,1.23,1.31,0.0,0.98,0.96,0.73,0.82,0.0,1.34,0.0,99.99
09/02/2021,5.34,5.23,5.02,5.14,4.44,5.05,4.43,4.61,4.27,4.44,4.34,4.18,4.03,3.68,3.51,3.43,3.15,3.08,2.89,2.66,2.33,2.27,1.92,1.75,1.41,1.26,1.27,0.0,0.97,1.0,0.73,0.79,0.0,1.36,0.0,99.98
09/03/2021,5.34,5.23,5.02,5.14,4.44,5.05,4.43,4.61,4.27,4.44,4.34,4.18,4.03,3.68,3.51,3.43,3.15,3.08,2.89,2.66,2.33,2.27,1.92,1.75,1.41,1.26,1.27,0.0,0.97,1.0,0.73,0.79,0.0,1.36,0.0,99.98
09/06/2021,5.47,5.19,4.88,5.08,4.3,4.94,4.46,4.73,4.22,4.36,4.43,3.99,3.98,3.78,3.51,3.43,3.17,3.13,2.85,2.67,2.35,2.26,1.92,1.73,1.4,1.28,1.24,0.0,0.97,1.07,0.72,0.79,0.0,1.7,0.0,100.0
09/07/2021,5.55,5.19,4.86,5.11,4.29,4.89,4.49,4.65,4.25,4.38,4.39,4.07,3.96,3.81,3.52,3.4,3.15,3.1,2.85,2.65,2.32,2.27,1.93,1.76,1.39,1.3,1.19,0.0,0.96,1.07,0.71,0.79,1.75,0.0,0.0,100.0
09/08/2021,5.55,5.19,4.86,5.11,4.29,4.89,4.49,4.65,4.25,4.38,4.39,4.07,3.96,3.81,3.52,3.4,3.15,3.1,2.85,2.65,2.32,2.27,1.93,1.76,1.39,1.3,1.19,0.0,0.96,1.07,0.71,0.79,1.75,0.0,0.0,100.0
09/09/2021,5.55,5.19,4.86,5.11,4.29,4.89,4.49,4.65,4.25,4.38,4.39,4.07,3.96,3.81,3.52,3.4,3.15,3.1,2.85,2.65,2.32,2.27,1.93,1.76,1.39,1.3,1.19,0.0,0.96,1.07,0.71,0.79,1.75,0.0,0.0,100.0
09/10/2021,5.56,5.15,5.02,5.12,4.26,4.81,4.45,4.57,4.2,4.39,4.35,4.03,3.95,3.86,3.5,3.45,3.2,3.07,2.93,2.66,2.3,2.25,1.92,1.8,1.41,1.3,1.21,0.0,0.98,1.08,0.71,0.77,1.75,0.0,0.0,100.01
09/13/2021,5.49,4.99,5.33,5.14,4.25,4.85,4.57,4.54,4.21,4.27,4.22,4.06,3.97,3.92,3.52,3.45,3.17,3.06,2.88,2.65,2.29,2.27,1.94,1.89,1.38,1.28,1.18,0.0,0.97,1.05,0.7,0.77,1.75,0.0,0.0,100.01
09/14/2021,5.55,5.06,5.29,5.12,4.23,4.73,4.62,4.53,4.26,4.24,4.2,4.07,4.01,4.01,3.48,3.41,3.15,3.06,2.83,2.63,2.28,2.29,1.96,1.93,1.35,1.28,1.16,0.0,0.97,1.05,0.71,0.78,1.77,0.0,0.0,100.01
09/15/2021,5.55,5.06,5.29,5.12,4.23,4.73,4.62,4.53,4.26,4.24,4.2,4.07,4.01,4.01,3.48,3.41,3.15,3.06,2.83,2.63,2.28,2.29,1.96,1.93,1.35,1.28,1.16,0.0,0.97,1.05,0.71,0.78,1.77,0.0,0.0,100.01
09/16/2021,5.5,5.12,5.18,5.1,4.3,4.75,4.6,4.6,4.22,4.22,4.26,3.98,4.02,3.93,3.48,3.36,3.22,3.09,2.79,2.63,2.34,2.31,1.96,1.91,1.39,1.29,1.17,0.0,0.97,1.04,0.72,0.79,1.76,0.0,0.0,100.0
09/17/2021,5.55,5.01,5.07,5.14,4.31,4.73,4.66,4.57,4.28,4.21,4.24,4.03,4.06,3.96,3.53,3.28,3.19,3.12,2.8,2.64,2.33,2.34,1.98,1.89,1.37,1.3,1.15,0.0,0.94,1.03,0.71,0.77,1.79,0.0,0.0,99.98
09/20/2021,5.64,5.07,5.19,5.11,4.27,4.81,4.47,4.6,4.25,4.28,4.2,4.06,4.05,3.98,3.51,3.32,3.14,3.16,2.78,2.61,2.3,2.33,1.95,1.94,1.36,1.22,1.17,0.0,0.95,0.97,0.7,0.79,1.82,0.0,0.0,100.0
09/21/2021,5.55,5.16,5.26,5.05,4.11,4.83,4.39,4.68,4.17,4.24,4.29,4.09,4.03,4.0,3.48,3.34,3.21,3.12,2.8,2.61,2.31,2.33,1.91,2.05,1.38,1.15,1.23,0.0,0.95,0.96,0.71,0.8,1.81,0.0,0.0,100.0
09/22/2021,5.55,5.16,5.26,5.05,4.11,4.83,4.39,4.68,4.17,4.24,4.29,4.09,4.03,4.0,3.48,3.34,3.21,3.12,2.8,2.61,2.31,2.33,1.91,2.05,1.38,1.15,1.23,0.0,0.95,0.96,0.71,0.8,1.81,0.0,0.0,100.0
09/23/2021,5.55,5.16,5.26,5.05,4.11,4.83,4.39,4.68,4.17,4.24,4.29,4.09,4.03,4.0,3.48,3.34,3.21,3.12,2.8,2.61,2.31,2.33,1.91,2.05,1.38,1.15,1.23,0.0,0.95,0.96,0.71,0.8,1.81,0.0,0.0,100.0
09/27/2021,5.48,5.15,5.43,4.88,4.14,4.89,4.37,4.86,4.05,4.26,4.44,4.11,4.25,3.95,3.44,3.48,3.21,3.19,2.74,2.64,2.39,2.32,1.88,1.97,1.36,1.17,1.25,0.0,0.96,0.9,0.69,0.86,1.28,0.0,0.0,99.99
09/28/2021,5.46,5.42,5.25,4.82,4.21,4.88,4.33,4.86,4.04,4.23,4.4,4.07,4.2,3.89,3.48,3.37,3.22,3.23,2.74,2.66,2.49,2.32,1.85,1.99,1.39,1.2,1.34,0.0,0.97,0.85,0.69,0.89,1.27,0.0,0.0,100.01
09/29/2021,5.46,5.42,5.25,4.82,4.21,4.88,4.33,4.86,4.04,4.23,4.4,4.07,4.2,3.89,3.48,3.37,3.22,3.23,2.74,2.66,2.49,2.32,1.85,1.99,1.39,1.2,1.34,0.0,0.97,0.85,0.69,0.89,1.27,0.0,0.0,100.01
09/30/2021,5.59,5.82,6.62,4.94,4.37,5.14,4.46,2.16,5.74,4.43,0.94,4.12,4.37,3.88,3.57,3.57,3.4,3.43,2.86,2.77,2.59,2.41,1.93,2.01,1.4,1.25,1.39,0.0,1.03,0.87,0.73,0.91,1.31,0.0,0.0,100.01
10/01/2021,5.59,5.82,6.62,4.94,4.37,5.14,4.46,2.16,5.74,4.43,0.94,4.12,4.37,3.88,3.57,3.57,3.4,3.43,2.86,2.77,2.59,2.41,1.93,2.01,1.4,1.25,1.39,0.0,1.03,0.87,0.73,0.91,1.31,0.0,0.0,100.01
10/04/2021,5.37,5.47,6.28,4.86,4.24,5.04,4.32,2.08,5.53,4.25,0.9,3.94,4.2,3.61,3.4,3.44,3.29,3.29,2.76,2.67,2.5,2.34,1.86,1.89,1.35,1.23,1.33,0.0,1.0,0.84,0.69,0.88,5.16,0.0,0.0,100.01
10/05/2021,5.44,5.44,6.52,4.72,4.2,5.01,4.33,2.12,5.53,4.16,0.9,3.88,4.17,3.66,3.43,3.44,3.27,3.34,2.71,2.7,2.51,2.31,1.87,1.85,1.33,1.21,1.33,0.0,1.02,0.83,0.68,0.9,1.04,0.0,4.15,100.0
10/06/2021,5.44,5.44,6.52,4.72,4.2,5.01,4.33,2.12,5.53,4.16,0.9,3.88,4.17,3.66,3.43,3.44,3.27,3.34,2.71,2.7,2.51,2.31,1.87,1.85,1.33,1.21,1.33,0.0,1.02,0.83,0.68,0.9,1.04,0.0,4.15,100.0
10/07/2021,5.44,5.44,6.52,4.72,4.2,5.01,4.33,2.12,5.53,4.16,0.9,3.88,4.17,3.66,3.43,3.44,3.27,3.34,2.71,2.7,2.51,2.31,1.87,1.85,1.33,1.21,1.33,0.0,1.02,0.83,0.68,0.9,1.04,0.0,4.15,100.0
10/08/2021,5.45,5.36,6.43,4.74,4.21,4.96,4.33,2.1,5.58,4.2,0.9,3.88,4.21,3.7,3.46,3.4,3.27,3.3,2.74,2.7,2.5,2.34,1.88,1.82,1.28,1.22,1.33,0.0,1.01,0.85,0.69,0.89,1.05,0.0,4.22,100.0
10/11/2021,5.49,5.25,6.89,4.85,4.14,4.79,4.33,2.12,5.59,4.13,0.9,3.93,4.25,3.51,3.45,3.36,3.31,3.1,2.71,2.64,2.41,2.37,1.84,1.89,1.29,1.23,1.28,0.0,0.97,0.86,0.69,0.9,1.15,0.0,4.38,100.0
10/12/2021,5.44,5.25,6.66,4.9,4.17,4.63,4.38,2.09,5.67,4.25,0.89,3.96,4.24,3.5,3.5,3.34,3.39,3.01,2.72,2.7,2.37,2.42,1.92,1.91,1.31,1.26,1.23,0.0,0.96,0.88,0.69,0.85,1.12,0.0,4.41,100.02
10/13/2021,5.44,5.25,6.66,4.9,4.17,4.63,4.38,2.09,5.67,4.25,0.89,3.96,4.24,3.5,3.5,3.34,3.39,3.01,2.72,2.7,2.37,2.42,1.92,1.91,1.31,1.26,1.23,0.0,0.96,0.88,0.69,0.85,1.12,0.0,4.41,100.02
10/14/2021,5.45,5.24,6.5,4.92,4.18,4.69,4.4,2.09,5.64,4.2,0.9,3.91,4.23,3.56,3.49,3.42,3.42,3.01,2.71,2.69,2.38,2.42,1.91,1.84,1.28,1.27,1.18,0.0,0.97,0.84,0.7,0.85,1.13,0.0,4.59,100.01
10/15/2021,5.53,5.28,6.46,4.91,4.21,4.62,4.38,2.08,5.63,4.14,0.88,3.94,4.19,3.68,3.44,3.38,3.44,3.03,2.72,2.67,2.38,2.39,1.9,1.86,1.27,1.25,1.18,0.0,0.96,0.86,0.7,0.87,1.12,0.0,4.66,100.01
10/18/2021,5.41,5.1,6.54,4.81,4.19,4.6,4.35,2.02,5.67,4.24,0.87,3.96,4.08,3.82,3.48,3.3,3.49,3.13,2.7,2.59,2.28,2.36,1.88,1.96,1.27,1.26,1.17,0.0,0.92,0.86,0.69,0.84,1.11,0.0,5.06,100.01
10/19/2021,5.37,5.14,6.57,4.66,4.22,4.55,4.41,2.02,5.78,4.23,0.86,4.01,4.11,3.83,3.51,3.24,3.28,3.08,2.53,2.61,2.26,2.37,1.9,2.01,1.27,1.3,1.16,0.0,0.93,0.92,0.69,0.83,1.13,0.0,5.2,99.98
10/20/2021,5.37,5.14,6.57,4.66,4.22,4.55,4.41,2.02,5.78,4.23,0.86,4.01,4.11,3.83,3.51,3.24,3.28,3.08,2.53,2.61,2.26,2.37,1.9,2.01,1.27,1.3,1.16,0.0,0.93,0.92,0.69,0.83,1.13,0.0,5.2,99.98
10/21/2021,5.41,5.08,6.62,4.69,4.2,4.53,4.46,2.02,5.8,4.18,0.87,4.03,4.08,3.76,3.5,3.27,3.26,3.06,2.48,2.65,2.25,2.36,1.87,2.01,1.27,1.3,1.16,0.0,0.93,0.93,0.69,0.82,1.12,0.0,5.34,100.0
10/22/2021,5.38,5.04,6.59,4.77,4.18,4.47,4.5,2.11,5.81,4.22,0.87,4.03,4.04,3.82,3.51,3.34,3.29,3.02,2.49,2.63,2.24,2.38,1.89,2.0,1.3,1.31,1.17,0.0,0.92,0.96,0.7,0.81,1.13,0.0,5.06,99.98
10/25/2021,5.38,5.0,6.71,4.85,4.22,4.38,4.58,2.07,5.92,4.38,0.85,4.08,4.06,3.83,3.6,3.05,3.25,3.03,2.48,2.62,2.19,2.4,1.93,2.08,1.24,1.32,1.1,0.0,0.95,0.95,0.74,0.83,1.14,0.0,4.78,99.99
10/26/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
10/27/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
10/28/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
10/29/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
11/01/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
11/02/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
11/03/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
11/04/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
11/05/2021,5.4,5.09,6.59,4.82,4.21,4.34,4.6,2.1,5.92,4.37,0.84,3.98,4.07,3.9,3.64,3.08,3.26,3.07,2.47,2.66,2.25,2.37,1.94,2.03,1.21,1.31,1.13,0.0,0.98,0.92,0.77,0.87,1.14,0.0,4.66,99.99
11/08/2021,6.27,3.11,6.53,5.33,4.46,4.11,0.92,2.3,3.22,4.37,0.93,4.04,4.11,4.8,3.66,1.13,6.52,3.08,2.52,0.96,2.33,2.54,1.82,1.99,1.34,1.23,1.09,0.0,3.8,0.83,0.7,0.86,3.72,0.0,5.37,99.99
11/09/2021,5.59,3.29,6.64,4.89,4.46,4.12,0.9,2.27,3.06,4.27,0.9,3.78,4.1,4.6,3.47,1.12,6.34,3.08,2.46,0.95,2.36,2.4,1.77,1.79,1.48,1.18,1.12,0.0,3.64,0.78,0.67,0.87,5.99,0.0,5.66,100.0
11/10/2021,5.59,3.29,6.64,4.89,4.46,4.12,0.9,2.27,3.06,4.27,0.9,3.78,4.1,4.6,3.47,1.12,6.34,3.08,2.46,0.95,2.36,2.4,1.77,1.79,1.48,1.18,1.12,0.0,3.64,0.78,0.67,0.87,5.99,0.0,5.66,100.0
11/11/2021,5.59,3.29,6.64,4.89,4.46,4.12,0.9,2.27,3.06,4.27,0.9,3.78,4.1,4.6,3.47,1.12,6.34,3.08,2.46,0.95,2.36,2.4,1.77,1.79,1.48,1.18,1.12,0.0,3.64,0.78,0.67,0.87,5.99,0.0,5.66,100.0
11/12/2021,5.61,3.19,6.73,4.95,4.43,4.13,0.89,2.13,3.07,4.38,0.91,3.85,4.16,4.65,3.54,1.12,6.36,3.03,2.43,0.94,2.31,2.4,1.74,1.74,1.37,1.15,1.11,0.0,3.57,0.81,0.69,0.85,6.03,0.0,5.75,100.02
11/15/2021,5.54,3.17,6.67,4.99,4.47,4.0,0.89,2.12,3.11,4.29,0.92,3.9,4.11,4.82,3.34,1.11,6.45,2.96,2.44,0.94,2.33,2.44,1.76,1.98,1.39,1.16,1.11,0.0,3.61,0.78,0.68,0.84,6.12,0.0,5.56,100.0
11/16/2021,5.54,3.17,6.67,4.99,4.47,4.0,0.89,2.12,3.11,4.29,0.92,3.9,4.11,4.82,3.34,1.11,6.45,2.96,2.44,0.94,2.33,2.44,1.76,1.98,1.39,1.16,1.11,0.0,3.61,0.78,0.68,0.84,6.12,0.0,5.56,100.0
11/17/2021,5.54,3.17,6.67,4.99,4.47,4.0,0.89,2.12,3.11,4.29,0.92,3.9,4.11,4.82,3.34,1.11,6.45,2.96,2.44,0.94,2.33,2.44,1.76,1.98,1.39,1.16,1.11,0.0,3.61,0.78,0.68,0.84,6.12,0.0,5.56,100.0
11/18/2021,5.54,3.17,6.67,4.99,4.47,4.0,0.89,2.12,3.11,4.29,0.92,3.9,4.11,4.82,3.34,1.11,6.45,2.96,2.44,0.94,2.33,2.44,1.76,1.98,1.39,1.16,1.11,0.0,3.61,0.78,0.68,0.84,6.12,0.0,5.56,100.0
11/19/2021,5.64,3.19,6.92,5.35,4.07,3.79,0.89,2.09,3.17,4.22,0.9,3.98,4.02,4.8,3.44,1.06,6.38,2.98,2.41,0.94,2.29,2.46,1.77,2.19,1.43,1.17,1.07,0.0,3.42,0.78,0.6,0.85,6.17,0.0,5.56,100.0
11/22/2021,5.64,3.19,6.92,5.35,4.07,3.79,0.89,2.09,3.17,4.22,0.9,3.98,4.02,4.8,3.44,1.06,6.38,2.98,2.41,0.94,2.29,2.46,1.77,2.19,1.43,1.17,1.07,0.0,3.42,0.78,0.6,0.85,6.17,0.0,5.56,100.0
