,ANGL,SJNK,SHYG,USHY,PFF,Cash&Other,n/a,STPZ,TIP,SUM
08/19/2021,42.37,5.59,5.31,20.41,15.0,1.33,0.0,4.99,4.99,99.99
08/20/2021,42.36,5.6,5.32,20.43,14.97,1.33,0.0,5.0,4.99,100.0
08/23/2021,42.36,5.6,5.32,20.43,14.96,1.32,0.0,5.0,5.0,99.99
08/24/2021,42.4,5.6,5.32,20.42,14.98,1.31,0.0,4.99,4.98,100.0
08/25/2021,42.4,5.6,5.32,20.42,14.98,1.31,0.0,4.99,4.98,100.0
08/26/2021,42.4,5.59,5.32,20.44,14.97,1.31,0.0,4.99,4.98,100.0
08/27/2021,42.46,5.59,5.31,20.43,14.96,1.3,0.0,4.98,4.97,100.0
08/30/2021,42.61,5.61,5.33,20.5,14.92,1.03,0.0,5.0,4.98,99.98
08/31/2021,42.6,5.6,5.33,20.47,14.98,1.02,0.0,5.0,5.0,100.0
09/01/2021,42.6,5.6,5.33,20.47,14.98,1.02,0.0,5.0,5.0,100.0
09/02/2021,42.63,5.6,5.32,20.47,14.97,1.02,0.0,4.99,5.0,100.0
09/03/2021,42.49,5.58,5.3,20.41,14.9,1.38,0.0,4.99,4.95,100.0
09/06/2021,42.56,5.58,5.3,20.35,14.94,1.37,0.0,4.95,4.94,99.99
09/07/2021,42.57,5.58,5.3,20.39,14.92,1.37,0.0,4.95,4.93,100.01
09/08/2021,42.57,5.58,5.3,20.39,14.92,1.37,0.0,4.95,4.93,100.01
09/09/2021,42.57,5.58,5.3,20.39,14.92,1.37,0.0,4.95,4.93,100.01
09/10/2021,42.55,5.58,5.31,20.41,14.9,1.37,0.0,4.96,4.93,100.01
09/13/2021,42.53,5.57,5.3,20.39,14.92,1.35,0.0,4.96,4.96,99.98
09/14/2021,42.55,5.57,5.3,20.4,14.9,1.35,0.0,4.96,4.96,99.98999999999998
09/15/2021,42.55,5.57,5.3,20.4,14.9,1.35,0.0,4.96,4.96,99.98999999999998
09/16/2021,42.58,5.58,5.3,20.43,14.86,1.35,0.0,4.96,4.95,100.01
09/17/2021,42.62,5.57,5.3,20.43,14.83,1.34,0.0,4.95,4.95,99.98999999999998
09/20/2021,42.61,5.57,5.29,20.42,14.9,1.33,0.0,4.94,4.93,99.99
09/21/2021,42.61,5.58,5.3,20.43,14.88,1.33,0.0,4.95,4.93,100.01
09/22/2021,42.61,5.58,5.3,20.43,14.88,1.33,0.0,4.95,4.93,100.01
09/23/2021,42.61,5.59,5.31,20.45,14.8,1.33,0.0,4.96,4.95,100.0
09/24/2021,42.61,5.59,5.31,20.43,14.84,1.32,0.0,4.95,4.94,99.99
09/27/2021,42.62,5.59,5.31,20.44,14.87,1.31,0.0,4.94,4.92,100.0
09/28/2021,42.75,5.61,5.33,20.52,14.87,1.03,0.0,4.96,4.93,100.0
09/29/2021,42.75,5.61,5.33,20.52,14.87,1.03,0.0,4.96,4.93,100.0
09/30/2021,42.75,5.62,5.33,20.53,14.84,1.03,0.0,4.97,4.93,100.0
10/01/2021,42.71,5.63,5.35,20.56,14.77,1.03,0.0,5.0,4.95,100.0
10/04/2021,42.53,5.61,5.32,20.45,14.79,1.39,0.0,4.97,4.93,99.99
10/05/2021,42.56,5.61,5.32,20.46,14.77,1.35,0.0,4.98,4.95,100.0
10/06/2021,42.56,5.61,5.32,20.46,14.77,1.35,0.0,4.98,4.95,100.0
10/07/2021,42.56,5.61,5.33,20.47,14.71,1.35,0.0,5.0,4.96,99.99
10/08/2021,42.52,5.62,5.34,20.47,14.72,1.35,0.0,5.01,4.97,100.0
10/11/2021,42.5,5.62,5.33,20.46,14.77,1.34,0.0,5.01,4.96,99.99
10/12/2021,42.42,5.62,5.34,20.46,14.81,1.34,0.0,5.02,4.98,99.99
10/13/2021,42.42,5.62,5.34,20.46,14.81,1.34,0.0,5.02,4.98,99.99
10/14/2021,42.38,5.63,5.34,20.46,14.83,1.34,0.0,5.03,4.99,100.0
10/15/2021,42.46,5.62,5.33,20.43,14.84,1.33,0.0,5.02,4.98,100.01
10/18/2021,42.45,5.6,5.32,20.44,14.91,1.31,0.0,4.99,4.97,99.99
10/19/2021,42.47,5.61,5.32,20.44,14.89,1.31,0.0,4.99,4.97,100.0
10/20/2021,42.47,5.61,5.32,20.44,14.89,1.31,0.0,4.99,4.97,100.0
10/21/2021,42.48,5.61,5.32,20.42,14.91,1.3,0.0,4.99,4.97,100.0
10/22/2021,42.48,5.61,5.33,20.44,14.89,1.3,0.0,4.99,4.95,99.99
10/25/2021,42.48,5.6,5.31,20.39,14.95,1.29,0.0,5.0,4.97,99.98999999999998
10/26/2021,42.47,5.6,5.32,20.38,14.94,1.28,0.0,5.01,4.99,99.98999999999998
