,NEE,DUK,SO,D,EXC,AEP,SRE,XEL,PEG,WEC,AWK,ES,DTE,ED,PPL,EIX,ETR,FE,AEE,CMS,AES,PCG,LNT,EVRG,CNP,ATO,WTRG,NI,UGI,PNW,NRG,VST,OGE,MDU,NEP,IDA,HE,NFG,POR,BKH,NJR,AGR,PNM,OGS,SWX,SR,ALE,NWE,AVA,ORA,AWR,CWT,MGEE,SJI,NOVA,CPK,OTTR,CWEN,SJW,NWN,MSEX,CWEN.A,UTL,YORW,SGU,Us Dollar,4338.SR,SUM
07/23/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
07/26/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
07/27/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
07/28/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
07/29/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
07/30/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/02/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/03/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/04/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/05/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/06/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/09/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/10/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/11/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/12/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/13/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/16/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.01
08/17/2021,13.88,7.33,6.18,5.73,4.18,4.06,3.88,3.42,2.92,2.71,2.7,2.66,2.43,2.37,2.08,2.12,1.93,1.95,1.83,1.65,1.68,1.46,1.35,1.32,1.31,1.19,1.03,0.93,0.93,0.89,0.95,0.79,0.65,0.61,0.56,0.48,0.45,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.35,0.29,0.29,0.3,0.28,0.27,0.26,0.25,0.29,0.2,0.2,0.19,0.17,0.16,0.14,0.09,0.08,0.06,0.0,0.0,0.07,100.00999999999999
