,NIO,BY6.,LI,XPEV,300750.SZ,968.HK,916.HK,601012.SS,3898.HK,813.HK,586.HK,3333.HK,1585.HK,3800.HK,257.HK,601816.SS,KC,JKS,371.HK,002594.SZ,300274.SZ,600703.SS,2208.HK,819.HK,410.HK,NIU,405.HK,1798.HK,002074.SZ,002459.SZ,182.HK,300450.SZ,688009.SS,002202.SZ,1381.HK,658.HK,686.HK,603218.SS,1257.HK,002506.SZ,1330.HK,U9E.SI,Cash,1257.HK.1,1257.HK.2,CHG.BK,1363.HK,n/a,603613.SS,SUM
08/05/2021,9.81,8.96,9.01,8.94,6.89,4.81,4.9,4.53,4.09,2.87,3.06,1.68,2.14,1.84,2.2,2.1,1.75,2.19,1.84,1.66,1.82,1.69,1.41,1.19,1.14,0.86,0.93,0.7,0.66,0.57,0.42,0.5,0.38,0.47,0.26,0.26,0.24,0.29,0.24,0.23,0.2,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,9.66,10.39,8.33,9.25,6.65,5.49,5.05,4.49,3.84,2.6,3.06,1.43,2.11,1.68,2.15,1.78,1.57,2.06,1.71,1.91,1.96,1.7,1.5,1.34,0.87,0.76,0.86,0.66,0.75,0.62,0.46,0.58,0.35,0.47,0.24,0.26,0.24,0.32,0.22,0.22,0.19,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,99.99
08/11/2021,9.66,10.39,8.33,9.25,6.65,5.49,5.05,4.49,3.84,2.6,3.06,1.43,2.11,1.68,2.15,1.78,1.57,2.06,1.71,1.91,1.96,1.7,1.5,1.34,0.87,0.76,0.86,0.66,0.75,0.62,0.46,0.58,0.35,0.47,0.24,0.26,0.24,0.32,0.22,0.22,0.19,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,99.99
08/16/2021,9.52,10.52,8.34,9.34,6.29,5.05,5.03,4.23,3.55,2.83,3.06,1.69,2.28,1.82,2.24,1.82,1.64,2.12,1.77,1.91,1.98,1.63,1.46,1.39,0.94,0.73,0.88,0.66,0.72,0.64,0.54,0.58,0.36,0.47,0.24,0.28,0.23,0.3,0.22,0.26,0.19,0.17,0.0,0.0,0.0,0.03,0.0,0.07,0.0,100.02
08/17/2021,9.52,10.52,8.34,9.34,6.29,5.05,5.03,4.23,3.55,2.83,3.06,1.69,2.28,1.82,2.24,1.82,1.64,2.12,1.77,1.91,1.98,1.63,1.46,1.39,0.94,0.73,0.88,0.66,0.72,0.64,0.54,0.58,0.36,0.47,0.24,0.28,0.23,0.3,0.22,0.26,0.19,0.17,0.0,0.0,0.0,0.03,0.0,0.07,0.0,100.02
08/18/2021,9.28,10.95,8.25,9.15,6.16,5.07,4.9,4.29,3.62,2.75,3.05,1.57,2.33,1.82,2.47,1.82,1.61,2.04,1.85,2.02,1.95,1.65,1.44,1.43,0.95,0.72,0.9,0.67,0.71,0.61,0.56,0.59,0.36,0.47,0.25,0.27,0.24,0.3,0.23,0.25,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.02
08/19/2021,9.1,10.98,7.98,9.1,6.25,5.12,4.92,4.24,3.69,2.75,3.12,1.57,2.36,1.8,2.81,1.84,1.61,1.77,1.92,1.99,1.9,1.63,1.45,1.43,1.03,0.69,0.92,0.66,0.7,0.62,0.55,0.62,0.36,0.47,0.25,0.27,0.24,0.31,0.24,0.26,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.01
08/25/2021,8.52,10.97,8.11,9.01,6.61,5.2,4.89,4.27,3.65,2.8,3.25,1.45,2.42,1.71,2.81,1.92,1.49,1.54,2.0,2.06,1.91,1.6,1.42,1.42,0.98,0.86,0.98,0.65,0.69,0.57,0.57,0.62,0.38,0.47,0.27,0.33,0.26,0.33,0.24,0.28,0.21,0.19,0.0,0.0,0.0,0.0,0.0,0.14,0.0,100.04999999999998
08/26/2021,8.63,10.59,8.38,9.22,6.46,5.17,4.94,4.18,3.56,2.71,3.21,1.42,2.25,1.65,2.74,1.88,1.56,1.64,1.97,1.99,1.92,1.59,1.47,1.32,0.99,0.85,0.96,0.64,0.69,0.58,0.56,0.62,0.38,0.49,0.27,0.3,0.25,0.35,0.23,0.29,0.21,0.19,0.0,0.0,0.0,0.0,0.0,0.7,0.0,100.0
08/27/2021,8.67,10.78,8.32,9.19,6.66,5.21,5.33,4.16,3.73,2.61,3.2,1.21,2.19,1.62,2.74,1.86,1.56,1.64,1.97,1.98,1.97,1.63,1.53,1.31,1.0,0.83,0.93,0.7,0.66,0.61,0.59,0.59,0.37,0.5,0.26,0.29,0.25,0.36,0.23,0.29,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.12,0.0,100.04
