,WAT,MCO,CTXS,ABC,ETSY,KMB,HRL,MKTX,REGN,DRE,CHTR,AWK,HD,VIAC,LLY,ILMN,WEC,EW,DLR,ROK,PWR,INTU,PYPL,ROP,EMR,CPRT,SBUX,NEM,TXN,EBAY,KEYS,ETN,GILD,IFF,ITW,VRSK,VZ,QCOM,CPB,WMT,VRTX,ABT,HUM,BLL,DIS,ECL,BBY,WST,ZTS,K,TSCO,FENER.IS,ALXN,MKC,AMCR,VFC,ULTA,UNM,BIIB,TT,DOV,ALLE,ANSS,AMD,ADSK,TSLA,MOS,BEN,Us Dollars,KR,ADBE,BWA,GPC,SPGI,OMC,POOL,EXPD,SEE,APH,MXIM,JNPR,GE,GRMN,CDNS,DXC,NKE,MSFT,XYL,ATVI,WHR,HOLX,HLT,F,APTV,TPR,PVH,DGX,IRM,MU,TROW,PNR,HST,PH,LRCX,EL,WYNN,TER,AMAT,BSX,NTAP,GS,MAR,n/a,002960.SZ,UNH,CME,AAPL,PEP,IP,EXR,CBOE,LKQ,CRL,WAB,NDAQ,XRAY,FAST,SHW,AAP,MDT,PLD,LOW,MTB,DLTR,CMCSA,SUM
07/23/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,-0.03,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,0.0,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,0.46,3.09,2.42,0.0,3.53,0.0,2.28,2.07,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.33,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,3.35,0.81,0.0,0.0,0.0,0.57,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.67,0.0,3.86,1.64,0.0,2.4,0.63,0.0,0.0,0.0,0.0,2.57,0.0,0.48,0.0,3.23,3.23,0.55,0.71,0.59,0.0,0.4,0.0,0.0,3.01,2.87,2.39,2.29,2.19,2.01,1.98,1.97,1.91,1.89,1.8,1.67,1.54,1.43,1.38,1.36,1.28,1.26,1.24,1.12,1.09,1.07,1.06,0.94,0.91,0.8,0.79,0.77,0.71,0.71,0.68,0.62,0.6,0.57,0.55,0.53,0.53,0.39,0.39,0.38,0.35,0.23,0.2,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
